#Number of Samples: 14
#Total Number of Reads: 187533685
#S1	TS047_RoL_RNA_477_TS047_RoL_RNA_477_kraken2_custom_k2.kraken2.kraken2.report.txt
#S2	TS047_RoL_RNA_655_TS047_RoL_RNA_655_kraken2_custom_k2.kraken2.kraken2.report.txt
#S3	TS047_RoL_RNA_20_TS047_RoL_RNA_20_kraken2_custom_k2.kraken2.kraken2.report.txt
#S4	TS047_RoL_RNA_328_TS047_RoL_RNA_328_kraken2_custom_k2.kraken2.kraken2.report.txt
#S5	TS047_RoL_RNA_46_TS047_RoL_RNA_46_kraken2_custom_k2.kraken2.kraken2.report.txt
#S6	TS047_RoL_RNA_710_TS047_RoL_RNA_710_kraken2_custom_k2.kraken2.kraken2.report.txt
#S7	TS047_RoL_RNA_177_TS047_RoL_RNA_177_kraken2_custom_k2.kraken2.kraken2.report.txt
#S8	TS047_RoL_RNA_291_TS047_RoL_RNA_291_kraken2_custom_k2.kraken2.kraken2.report.txt
#S9	TS047_RoL_RNA_532_TS047_RoL_RNA_532_kraken2_custom_k2.kraken2.kraken2.report.txt
#S10	TS047_RoL_RNA_498_TS047_RoL_RNA_498_kraken2_custom_k2.kraken2.kraken2.report.txt
#S11	TS047_RoL_RNA_708_TS047_RoL_RNA_708_kraken2_custom_k2.kraken2.kraken2.report.txt
#S12	TS047_RoL_RNA_526_TS047_RoL_RNA_526_kraken2_custom_k2.kraken2.kraken2.report.txt
#S13	TS047_RoL_RNA_355_TS047_RoL_RNA_355_kraken2_custom_k2.kraken2.kraken2.report.txt
#S14	TS047_RoL_RNA_16_TS047_RoL_RNA_16_kraken2_custom_k2.kraken2.kraken2.report.txt
#perc	tot_all	tot_lvl	1_all	1_lvl	2_all	2_lvl	3_all	3_lvl	4_all	4_lvl	5_all	5_lvl	6_all	6_lvl	7_all	7_lvl	8_all	8_lvl	9_all	9_lvl	10_all	10_lvl	11_all	11_lvl	12_all	12_lvl	13_all	13_lvl	14_all	14_lvl	lvl_type	taxid	name
4.3979	8247581	8247581	556036	556036	411602	411602	460645	460645	821418	821418	166331	166331	574480	574480	427324	427324	573082	573082	450929	450929	777264	777264	692427	692427	461835	461835	1481679	1481679	392529	392529	U	0	unclassified
95.6021	179286104	0	12753331	0	14664101	0	12604174	0	13366104	0	15182217	0	11597542	0	11186304	0	11263428	0	12227183	0	12280502	0	15798185	0	19421896	0	7060304	0	9880833	0	R	1	root
95.6021	179286104	0	12753331	0	14664101	0	12604174	0	13366104	0	15182217	0	11597542	0	11186304	0	11263428	0	12227183	0	12280502	0	15798185	0	19421896	0	7060304	0	9880833	0	R1	131567	  cellular organisms
95.6021	179286104	0	12753331	0	14664101	0	12604174	0	13366104	0	15182217	0	11597542	0	11186304	0	11263428	0	12227183	0	12280502	0	15798185	0	19421896	0	7060304	0	9880833	0	R2	2759	    Eukaryota
95.6021	179286104	0	12753331	0	14664101	0	12604174	0	13366104	0	15182217	0	11597542	0	11186304	0	11263428	0	12227183	0	12280502	0	15798185	0	19421896	0	7060304	0	9880833	0	R3	33154	      Opisthokonta
95.6021	179286104	0	12753331	0	14664101	0	12604174	0	13366104	0	15182217	0	11597542	0	11186304	0	11263428	0	12227183	0	12280502	0	15798185	0	19421896	0	7060304	0	9880833	0	K	33208	        Metazoa
95.6021	179286104	0	12753331	0	14664101	0	12604174	0	13366104	0	15182217	0	11597542	0	11186304	0	11263428	0	12227183	0	12280502	0	15798185	0	19421896	0	7060304	0	9880833	0	K1	6072	          Eumetazoa
95.6021	179286104	0	12753331	0	14664101	0	12604174	0	13366104	0	15182217	0	11597542	0	11186304	0	11263428	0	12227183	0	12280502	0	15798185	0	19421896	0	7060304	0	9880833	0	K2	33213	            Bilateria
95.6021	179286104	0	12753331	0	14664101	0	12604174	0	13366104	0	15182217	0	11597542	0	11186304	0	11263428	0	12227183	0	12280502	0	15798185	0	19421896	0	7060304	0	9880833	0	K3	33511	              Deuterostomia
95.6021	179286104	0	12753331	0	14664101	0	12604174	0	13366104	0	15182217	0	11597542	0	11186304	0	11263428	0	12227183	0	12280502	0	15798185	0	19421896	0	7060304	0	9880833	0	P	7711	                Chordata
95.6021	179286104	0	12753331	0	14664101	0	12604174	0	13366104	0	15182217	0	11597542	0	11186304	0	11263428	0	12227183	0	12280502	0	15798185	0	19421896	0	7060304	0	9880833	0	P1	89593	                  Craniata
95.6021	179286104	0	12753331	0	14664101	0	12604174	0	13366104	0	15182217	0	11597542	0	11186304	0	11263428	0	12227183	0	12280502	0	15798185	0	19421896	0	7060304	0	9880833	0	P2	7742	                    Vertebrata
95.6021	179286104	0	12753331	0	14664101	0	12604174	0	13366104	0	15182217	0	11597542	0	11186304	0	11263428	0	12227183	0	12280502	0	15798185	0	19421896	0	7060304	0	9880833	0	P3	7776	                      Gnathostomata
95.6021	179286104	0	12753331	0	14664101	0	12604174	0	13366104	0	15182217	0	11597542	0	11186304	0	11263428	0	12227183	0	12280502	0	15798185	0	19421896	0	7060304	0	9880833	0	P4	117570	                        Teleostomi
