Sample	PE mapped uniquely	PE mapped discordantly uniquely	PE one mate mapped uniquely	PE multimapped	PE one mate multimapped	PE neither mate aligned
TS047_RoL_RNA_16_TS047_RoL_RNA_16	9457311.0	1345059.0	1964229.0	3976953.0	1112495.5	5851578.5
TS047_RoL_RNA_177_TS047_RoL_RNA_177	8606477.0	1335324.0	2310236.5	3900138.0	1279789.0	6688278.5
TS047_RoL_RNA_20_TS047_RoL_RNA_20	10707307.0	1610964.0	2537284.5	4661652.0	1421576.5	7494994.0
TS047_RoL_RNA_291_TS047_RoL_RNA_291	9192663.0	1364917.0	2370345.0	4067678.0	1228727.5	6872520.5
TS047_RoL_RNA_328_TS047_RoL_RNA_328	10465176.0	1537375.0	2646595.0	5218363.0	1642349.5	8361202.5
TS047_RoL_RNA_355_TS047_RoL_RNA_355	8348107.0	1201442.0	1228857.5	2941840.0	813397.5	5298286.0
TS047_RoL_RNA_46_TS047_RoL_RNA_46	4140148.0	794614.0	1413062.0	6246759.0	4026387.0	9114485.0
TS047_RoL_RNA_477_TS047_RoL_RNA_477	10346552.0	1513830.0	2641966.5	4741459.0	1436421.5	7717149.0
TS047_RoL_RNA_498_TS047_RoL_RNA_498	10248483.0	1461334.0	2458193.5	4691123.0	1478473.5	7659765.0
TS047_RoL_RNA_526_TS047_RoL_RNA_526	9485866.0	1498760.0	2827582.0	7813891.0	3927403.5	11629985.5
TS047_RoL_RNA_532_TS047_RoL_RNA_532	9627730.0	1441950.0	2612997.0	3994276.0	1321831.5	7301333.5
TS047_RoL_RNA_655_TS047_RoL_RNA_655	7374057.0	1030874.0	2440866.5	5540012.0	2803420.5	8800542.0
TS047_RoL_RNA_708_TS047_RoL_RNA_708	11435478.0	1427770.0	3422810.5	5806183.0	1925081.0	9714950.5
TS047_RoL_RNA_710_TS047_RoL_RNA_710	9966470.0	1146529.0	2618138.5	4356618.0	1271115.0	7136239.5
