Sample	Actinopteri	Unclassified
TS047_RoL_RNA_16_TS047_RoL_RNA_16_kraken2_custom_k2	9880833.0	392529.0
TS047_RoL_RNA_177_TS047_RoL_RNA_177_kraken2_custom_k2	11186304.0	427324.0
TS047_RoL_RNA_20_TS047_RoL_RNA_20_kraken2_custom_k2	12604174.0	460645.0
TS047_RoL_RNA_291_TS047_RoL_RNA_291_kraken2_custom_k2	11263428.0	573082.0
TS047_RoL_RNA_328_TS047_RoL_RNA_328_kraken2_custom_k2	13366104.0	821418.0
TS047_RoL_RNA_355_TS047_RoL_RNA_355_kraken2_custom_k2	7060304.0	1481679.0
TS047_RoL_RNA_46_TS047_RoL_RNA_46_kraken2_custom_k2	15182217.0	166331.0
TS047_RoL_RNA_477_TS047_RoL_RNA_477_kraken2_custom_k2	12753331.0	556036.0
TS047_RoL_RNA_498_TS047_RoL_RNA_498_kraken2_custom_k2	12280502.0	777264.0
TS047_RoL_RNA_526_TS047_RoL_RNA_526_kraken2_custom_k2	19421896.0	461835.0
TS047_RoL_RNA_532_TS047_RoL_RNA_532_kraken2_custom_k2	12227183.0	450929.0
TS047_RoL_RNA_655_TS047_RoL_RNA_655_kraken2_custom_k2	14664101.0	411602.0
TS047_RoL_RNA_708_TS047_RoL_RNA_708_kraken2_custom_k2	15798185.0	692427.0
TS047_RoL_RNA_710_TS047_RoL_RNA_710_kraken2_custom_k2	11597542.0	574480.0
