Sample	total_reads	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	paired_aligned_discord_one	paired_aligned_mate_none	paired_aligned_mate_one	paired_aligned_mate_multi	overall_alignment_rate	paired_aligned_mate_multi_halved	paired_aligned_mate_none_halved	paired_aligned_mate_one_halved
TS047_RoL_RNA_16_TS047_RoL_RNA_16	23707626	23707626	10273362	9457311	3976953	1345059	11703157	3928458	2224991	75.32	1112495.5	5851578.5	1964229.0
TS047_RoL_RNA_177_TS047_RoL_RNA_177	24120243	24120243	11613628	8606477	3900138	1335324	13376557	4620473	2559578	72.27	1279789.0	6688278.5	2310236.5
TS047_RoL_RNA_20_TS047_RoL_RNA_20	28433778	28433778	13064819	10707307	4661652	1610964	14989988	5074569	2843153	73.64	1421576.5	7494994.0	2537284.5
TS047_RoL_RNA_291_TS047_RoL_RNA_291	25096851	25096851	11836510	9192663	4067678	1364917	13745041	4740690	2457455	72.62	1228727.5	6872520.5	2370345.0
TS047_RoL_RNA_328_TS047_RoL_RNA_328	29871061	29871061	14187522	10465176	5218363	1537375	16722405	5293190	3284699	72.01	1642349.5	8361202.5	2646595.0
TS047_RoL_RNA_355_TS047_RoL_RNA_355	19831930	19831930	8541983	8348107	2941840	1201442	10596572	2457715	1626795	73.28	813397.5	5298286.0	1228857.5
TS047_RoL_RNA_46_TS047_RoL_RNA_46	25735455	25735455	15348548	4140148	6246759	794614	18228970	2826124	8052774	64.58	4026387.0	9114485.0	1413062.0
TS047_RoL_RNA_477_TS047_RoL_RNA_477	28397378	28397378	13309367	10346552	4741459	1513830	15434298	5283933	2872843	72.82	1436421.5	7717149.0	2641966.5
TS047_RoL_RNA_498_TS047_RoL_RNA_498	27997372	27997372	13057766	10248483	4691123	1461334	15319530	4916387	2956947	72.64	1478473.5	7659765.0	2458193.5
TS047_RoL_RNA_526_TS047_RoL_RNA_526	37183488	37183488	19883731	9485866	7813891	1498760	23259971	5655164	7854807	68.72	3927403.5	11629985.5	2827582.0
TS047_RoL_RNA_532_TS047_RoL_RNA_532	26300118	26300118	12678112	9627730	3994276	1441950	14602667	5225994	2643663	72.24	1321831.5	7301333.5	2612997.0
TS047_RoL_RNA_655_TS047_RoL_RNA_655	27989772	27989772	15075703	7374057	5540012	1030874	17601084	4881733	5606841	68.56	2803420.5	8800542.0	2440866.5
TS047_RoL_RNA_708_TS047_RoL_RNA_708	33732273	33732273	16490612	11435478	5806183	1427770	19429901	6845621	3850162	71.2	1925081.0	9714950.5	3422810.5
TS047_RoL_RNA_710_TS047_RoL_RNA_710	26495110	26495110	12172022	9966470	4356618	1146529	14272479	5236277	2542230	73.07	1271115.0	7136239.5	2618138.5
