Sample	bowtie2-overall_alignment_rate	samtools_stats_stats-error_rate	samtools_stats_stats-non_primary_alignments	samtools_stats_stats-reads_mapped	samtools_stats_stats-reads_mapped_percent	samtools_stats_stats-reads_properly_paired_percent	samtools_stats_stats-reads_MQ0_percent	samtools_stats_stats-raw_total_sequences	kraken-pct_top_one	kraken-pct_top_n	kraken-pct_unclassified	bracken-pct_top_one	bracken-pct_top_n	bracken-pct_unclassified
TS047_RoL_RNA_16_TS047_RoL_RNA_16	75.32	2.206435	0.0	35.712095	75.3177374233928	56.66642455048009	6.358036439414051	47.415251999999995						
TS047_RoL_RNA_16_TS047_RoL_RNA_16_kraken2_custom_k2									96.17915731967783	96.17915731967783	3.820842680322177			
TS047_RoL_RNA_16_TS047_RoL_RNA_16_kraken2_custom_k2.bracken												96.17915731967783	96.17915731967783	3.820842680322177
TS047_RoL_RNA_177_TS047_RoL_RNA_177	72.27	2.2737279999999997	0.0	34.863929	72.27109818089312	51.85111526446894	6.549515276442282	48.240486						
TS047_RoL_RNA_177_TS047_RoL_RNA_177_kraken2_custom_k2									96.32049519753862	96.32049519753862	3.679504802461384			
TS047_RoL_RNA_177_TS047_RoL_RNA_177_kraken2_custom_k2.bracken												96.32049519753862	96.32049519753862	3.679504802461384
TS047_RoL_RNA_20_TS047_RoL_RNA_20	73.64	2.271167	0.0	41.877568	73.64052712235426	54.05176547414838	6.61655830611043	56.867556						
TS047_RoL_RNA_20_TS047_RoL_RNA_20_kraken2_custom_k2									96.47415704725798	96.47415704725798	3.5258429527420163			
TS047_RoL_RNA_20_TS047_RoL_RNA_20_kraken2_custom_k2.bracken												96.47415704725798	96.47415704725798	3.5258429527420163
TS047_RoL_RNA_291_TS047_RoL_RNA_291	72.62	2.259783	0.0	36.448661	72.61600469317844	52.83667261681555	6.2648477293027724	50.193701999999995						
TS047_RoL_RNA_291_TS047_RoL_RNA_291_kraken2_custom_k2									95.1583532646025	95.1583532646025	4.841646735397512			
TS047_RoL_RNA_291_TS047_RoL_RNA_291_kraken2_custom_k2.bracken												95.1583532646025	95.1583532646025	4.841646735397512
TS047_RoL_RNA_328_TS047_RoL_RNA_328	72.01	2.271854	0.0	43.019717	72.00902070401851	52.504124309477994	6.597813850669716	59.742121999999995						
TS047_RoL_RNA_328_TS047_RoL_RNA_328_kraken2_custom_k2									94.21027858141824	94.21027858141824	5.789721418581765			
TS047_RoL_RNA_328_TS047_RoL_RNA_328_kraken2_custom_k2.bracken												94.21027858141824	94.21027858141824	5.789721418581765
TS047_RoL_RNA_355_TS047_RoL_RNA_355	73.28	2.136983	0.0	29.067287999999998	73.2840626202291	56.9281305450352	6.2754936105563095	39.66386						
TS047_RoL_RNA_355_TS047_RoL_RNA_355_kraken2_custom_k2									82.65415653484676	82.65415653484676	17.345843465153234			
TS047_RoL_RNA_355_TS047_RoL_RNA_355_kraken2_custom_k2.bracken												82.65415653484676	82.65415653484676	17.345843465153234
TS047_RoL_RNA_46_TS047_RoL_RNA_46	64.58	2.721292	0.0	33.24194	64.58393682956061	40.36030060474936	12.395273368976769	51.470909999999996						
TS047_RoL_RNA_46_TS047_RoL_RNA_46_kraken2_custom_k2									98.91630791394729	98.91630791394729	1.0836920860527002			
TS047_RoL_RNA_46_TS047_RoL_RNA_46_kraken2_custom_k2.bracken												98.91630791394729	98.91630791394729	1.0836920860527002
TS047_RoL_RNA_477_TS047_RoL_RNA_477	72.82	2.236634	0.0	41.360458	72.82443118516083	53.13170462427904	6.414618631339837	56.794756						
TS047_RoL_RNA_477_TS047_RoL_RNA_477_kraken2_custom_k2									95.82222054587571	95.82222054587571	4.177779454124302			
TS047_RoL_RNA_477_TS047_RoL_RNA_477_kraken2_custom_k2.bracken												95.82222054587571	95.82222054587571	4.177779454124302
TS047_RoL_RNA_498_TS047_RoL_RNA_498	72.64	2.199439	0.0	40.675214	72.64112860307031	53.36074400125841	6.4393615229315095	55.994744						
TS047_RoL_RNA_498_TS047_RoL_RNA_498_kraken2_custom_k2									94.04749633283366	94.04749633283366	5.952503667166344			
TS047_RoL_RNA_498_TS047_RoL_RNA_498_kraken2_custom_k2.bracken												94.04749633283366	94.04749633283366	5.952503667166344
TS047_RoL_RNA_526_TS047_RoL_RNA_526	68.72	2.4739839999999997	0.0	51.107005	68.72271503953583	46.52537438123072	9.378161349467806	74.366976						
TS047_RoL_RNA_526_TS047_RoL_RNA_526_kraken2_custom_k2									97.67732222891166	97.67732222891166	2.3226777710883337			
TS047_RoL_RNA_526_TS047_RoL_RNA_526_kraken2_custom_k2.bracken												97.67732222891166	97.67732222891166	2.3226777710883337
TS047_RoL_RNA_532_TS047_RoL_RNA_532	72.24	2.262957	0.0	37.997569	72.2384002231473	51.79446723394929	6.381277452823595	52.600235999999995						
TS047_RoL_RNA_532_TS047_RoL_RNA_532_kraken2_custom_k2									96.4432480167394	96.4432480167394	3.556751983260599			
TS047_RoL_RNA_532_TS047_RoL_RNA_532_kraken2_custom_k2.bracken												96.4432480167394	96.4432480167394	3.556751983260599
TS047_RoL_RNA_655_TS047_RoL_RNA_655	68.56	2.421926	0.0	38.37846	68.5580075464709	46.138528745428864	8.520649971711094	55.979544						
TS047_RoL_RNA_655_TS047_RoL_RNA_655_kraken2_custom_k2									97.26976579466974	97.26976579466974	2.730234205330259			
TS047_RoL_RNA_655_TS047_RoL_RNA_655_kraken2_custom_k2.bracken												97.26976579466974	97.26976579466974	2.730234205330259
TS047_RoL_RNA_708_TS047_RoL_RNA_708	71.2	2.238689	0.0	48.034645	71.19983435447709	51.113249913517535	6.328832332170441	67.464546						
TS047_RoL_RNA_708_TS047_RoL_RNA_708_kraken2_custom_k2									95.80108367112148	95.80108367112148	4.198916328878516			
TS047_RoL_RNA_708_TS047_RoL_RNA_708_kraken2_custom_k2.bracken												95.80108367112148	95.80108367112148	4.198916328878516
TS047_RoL_RNA_710_TS047_RoL_RNA_710	73.07	2.170544	0.0	38.717741	73.06582422190358	54.059364161915155	5.855420113371864	52.99022						
TS047_RoL_RNA_710_TS047_RoL_RNA_710_kraken2_custom_k2									95.28032400861582	95.28032400861582	4.719675991384175			
TS047_RoL_RNA_710_TS047_RoL_RNA_710_kraken2_custom_k2.bracken												95.28032400861582	95.28032400861582	4.719675991384175
