Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
TS047_RoL_RNA_16_TS047_RoL_RNA_16	47415252.0	0.0	47415252.0	1.0	23707626.0	23707626.0	35712095.0	30523632.0	11703157.0	26868528.0	47415252.0	0.0	3014679.0	0.0	0.0	0.0	4788940452.0	2394470226.0	2394470226.0	3606921595.0	3606921595.0	0.0	0.0	79584391.0	0.02206435	101.0	101.0	101.0	101.0	101.0	101.0	39.4	216.8	296.3	14126439.0	917166.0	5904.0	212307.0	56.7	75.3177374233928	64.37513397587765	24.682262576607204	56.66642455048009	100.0	0.0	6.358036439414051	0.0
TS047_RoL_RNA_177_TS047_RoL_RNA_177	48240486.0	0.0	48240486.0	1.0	24120243.0	24120243.0	34863929.0	28639408.0	13376557.0	25013230.0	48240486.0	0.0	3159518.0	0.0	0.0	0.0	4872289086.0	2436144543.0	2436144543.0	3521256829.0	3521256829.0	0.0	0.0	80063810.0	0.02273728	101.0	101.0	101.0	101.0	101.0	101.0	39.5	246.6	381.2	13389072.0	721664.0	5628.0	203340.0	51.9	72.27109818089312	59.3679922710563	27.728901819106884	51.85111526446894	100.0	0.0	6.549515276442282	0.0
TS047_RoL_RNA_20_TS047_RoL_RNA_20	56867556.0	0.0	56867556.0	1.0	28433778.0	28433778.0	41877568.0	35090108.0	14989988.0	30737918.0	56867556.0	0.0	3762675.0	0.0	0.0	0.0	5743623156.0	2871811578.0	2871811578.0	4229634368.0	4229634368.0	0.0	0.0	96062064.0	0.02271167	101.0	101.0	101.0	101.0	101.0	101.0	39.4	225.2	324.7	16265746.0	1030717.0	6183.0	242408.0	54.1	73.64052712235426	61.704969350186246	26.359472877645736	54.05176547414838	100.0	0.0	6.61655830611043	0.0
TS047_RoL_RNA_291_TS047_RoL_RNA_291	50193702.0	0.0	50193702.0	1.0	25096851.0	25096851.0	36448661.0	30194650.0	13745041.0	26520682.0	50193702.0	0.0	3144559.0	0.0	0.0	0.0	5069563902.0	2534781951.0	2534781951.0	3681314761.0	3681314761.0	0.0	0.0	83189723.0	0.02259783	101.0	101.0	101.0	101.0	101.0	101.0	39.4	246.2	379.5	14164579.0	714145.0	5696.0	212905.0	52.8	72.61600469317844	60.15625227244645	27.38399530682156	52.83667261681555	100.0	0.0	6.2648477293027724	0.0
TS047_RoL_RNA_328_TS047_RoL_RNA_328	59742122.0	0.0	59742122.0	1.0	29871061.0	29871061.0	43019717.0	35618586.0	16722405.0	31367078.0	59742122.0	0.0	3941674.0	0.0	0.0	0.0	6033954322.0	3016977161.0	3016977161.0	4344991417.0	4344991417.0	0.0	0.0	98711873.0	0.02271854	101.0	101.0	101.0	101.0	101.0	101.0	39.4	234.8	344.2	16653225.0	888929.0	6019.0	261120.0	52.5	72.00902070401851	59.62055716735338	27.990979295981482	52.504124309477994	100.0	0.0	6.597813850669716	0.0
TS047_RoL_RNA_355_TS047_RoL_RNA_355	39663860.0	0.0	39663860.0	1.0	19831930.0	19831930.0	29067288.0	25771218.0	10596572.0	22579894.0	39663860.0	0.0	2489103.0	0.0	0.0	0.0	4006049860.0	2003024930.0	2003024930.0	2935796088.0	2935796088.0	0.0	0.0	62737461.0	0.02136983	101.0	101.0	101.0	101.0	101.0	101.0	39.4	179.8	171.0	11624027.0	1080836.0	4325.0	176421.0	56.9	73.2840626202291	64.97405446671101	26.715937379770903	56.9281305450352	100.0	0.0	6.2754936105563095	0.0
TS047_RoL_RNA_46_TS047_RoL_RNA_46	51470910.0	0.0	51470910.0	1.0	25735455.0	25735455.0	33241940.0	24087436.0	18228970.0	20773814.0	51470910.0	0.0	6379960.0	0.0	0.0	0.0	5198561910.0	2599280955.0	2599280955.0	3357435940.0	3357435940.0	0.0	0.0	91365631.0	0.02721292	101.0	101.0	101.0	101.0	101.0	101.0	39.5	207.8	243.8	10922175.0	698875.0	2773.0	419895.0	40.4	64.58393682956061	46.798154530393965	35.41606317043938	40.36030060474936	100.0	0.0	12.395273368976769	0.0
TS047_RoL_RNA_477_TS047_RoL_RNA_477	56794756.0	0.0	56794756.0	1.0	28397378.0	28397378.0	41360458.0	34303866.0	15434298.0	30176022.0	56794756.0	0.0	3643167.0	0.0	0.0	0.0	5736270356.0	2868135178.0	2868135178.0	4177406258.0	4177406258.0	0.0	0.0	93433271.0	0.02236634	101.0	101.0	101.0	101.0	101.0	101.0	39.5	244.2	377.0	16094084.0	805963.0	6417.0	245469.0	53.1	72.82443118516083	60.399706620801396	27.175568814839174	53.13170462427904	100.0	0.0	6.414618631339837	0.0
TS047_RoL_RNA_498_TS047_RoL_RNA_498	55994744.0	0.0	55994744.0	1.0	27997372.0	27997372.0	40675214.0	33901508.0	15319530.0	29879212.0	55994744.0	0.0	3605704.0	0.0	0.0	0.0	5655469144.0	2827734572.0	2827734572.0	4108196614.0	4108196614.0	0.0	0.0	90357262.0	0.02199439	101.0	101.0	101.0	101.0	101.0	101.0	39.4	237.5	351.7	15866954.0	829541.0	6012.0	248247.0	53.4	72.64112860307031	60.54408963812746	27.358871396929686	53.36074400125841	100.0	0.0	6.4393615229315095	0.0
TS047_RoL_RNA_526_TS047_RoL_RNA_526	74366976.0	0.0	74366976.0	1.0	37183488.0	37183488.0	51107005.0	39403152.0	23259971.0	34599514.0	74366976.0	0.0	6974255.0	0.0	0.0	0.0	7511064576.0	3755532288.0	3755532288.0	5161807505.0	5161807505.0	0.0	0.0	127702297.0	0.02473984	101.0	101.0	101.0	101.0	101.0	101.0	39.5	240.7	344.6	18440763.0	836912.0	6280.0	417621.0	46.5	68.72271503953583	52.984744196133505	31.27728496046417	46.52537438123072	100.0	0.0	9.378161349467806	0.0
TS047_RoL_RNA_532_TS047_RoL_RNA_532	52600236.0	0.0	52600236.0	1.0	26300118.0	26300118.0	37997569.0	31090198.0	14602667.0	27244012.0	52600236.0	0.0	3356567.0	0.0	0.0	0.0	5312623836.0	2656311918.0	2656311918.0	3837754469.0	3837754469.0	0.0	0.0	86846721.0	0.02262957	101.0	101.0	101.0	101.0	101.0	101.0	39.5	249.9	383.7	14603668.0	727384.0	5748.0	208299.0	51.8	72.2384002231473	59.106575111183915	27.761599776852712	51.79446723394929	100.0	0.0	6.381277452823595	0.0
