Sample	Total sequences	Mapped &amp; paired	Properly paired	Duplicated	QC Failed	Reads MQ0	Mapped bases (CIGAR)	Bases Trimmed	Duplicated bases	Diff chromosomes	Other orientation	Inward pairs	Outward pairs
TS047_RoL_RNA_16_TS047_RoL_RNA_16	47.415251999999995	30.523632	26.868527999999998	0.0	0.0	3.0146789999999997	3606.921595	0.0	0.0	0.212307	0.0059039999999999995	14.126439	0.9171659999999999
TS047_RoL_RNA_177_TS047_RoL_RNA_177	48.240486	28.639408	25.01323	0.0	0.0	3.159518	3521.256829	0.0	0.0	0.20334	0.005627999999999999	13.389071999999999	0.721664
TS047_RoL_RNA_20_TS047_RoL_RNA_20	56.867556	35.090108	30.737917999999997	0.0	0.0	3.7626749999999998	4229.634368	0.0	0.0	0.24240799999999998	0.006183	16.265746	1.0307169999999999
TS047_RoL_RNA_291_TS047_RoL_RNA_291	50.193701999999995	30.19465	26.520681999999997	0.0	0.0	3.1445589999999997	3681.3147609999996	0.0	0.0	0.21290499999999998	0.005696	14.164579	0.7141449999999999
TS047_RoL_RNA_328_TS047_RoL_RNA_328	59.742121999999995	35.618586	31.367078	0.0	0.0	3.941674	4344.991417	0.0	0.0	0.26111999999999996	0.006019	16.653225	0.888929
TS047_RoL_RNA_355_TS047_RoL_RNA_355	39.66386	25.771217999999998	22.579894	0.0	0.0	2.489103	2935.796088	0.0	0.0	0.176421	0.004325	11.624027	1.080836
TS047_RoL_RNA_46_TS047_RoL_RNA_46	51.470909999999996	24.087436	20.773813999999998	0.0	0.0	6.37996	3357.43594	0.0	0.0	0.41989499999999996	0.002773	10.922175	0.6988749999999999
TS047_RoL_RNA_477_TS047_RoL_RNA_477	56.794756	34.303866	30.176022	0.0	0.0	3.643167	4177.406258	0.0	0.0	0.245469	0.006417	16.094084	0.805963
TS047_RoL_RNA_498_TS047_RoL_RNA_498	55.994744	33.901508	29.879212	0.0	0.0	3.605704	4108.1966139999995	0.0	0.0	0.248247	0.006012	15.866954	0.829541
TS047_RoL_RNA_526_TS047_RoL_RNA_526	74.366976	39.403152	34.599514	0.0	0.0	6.974254999999999	5161.807505	0.0	0.0	0.41762099999999996	0.00628	18.440763	0.836912
TS047_RoL_RNA_532_TS047_RoL_RNA_532	52.600235999999995	31.090197999999997	27.244011999999998	0.0	0.0	3.3565669999999996	3837.754469	0.0	0.0	0.20829899999999998	0.005748	14.603667999999999	0.7273839999999999
TS047_RoL_RNA_655_TS047_RoL_RNA_655	55.979544	28.938992	25.828138	0.0	0.0	4.769820999999999	3876.22446	0.0	0.0	0.25529199999999996	0.004958	13.931206	0.27804
TS047_RoL_RNA_708_TS047_RoL_RNA_708	67.464546	38.398088	34.483322	0.0	0.0	4.269718	4851.499145	0.0	0.0	0.238368	0.006808	18.499765	0.454103
TS047_RoL_RNA_710_TS047_RoL_RNA_710	52.99022	31.720941999999997	28.646175999999997	0.0	0.0	3.1028	3910.491841	0.0	0.0	0.171044	0.005875	15.298105	0.385447
