Sample	Reads passing filters
TS047_RoL_RNA_110_1	28614129.0
TS047_RoL_RNA_110_2	28614129.0
TS047_RoL_RNA_112_1	25359608.0
TS047_RoL_RNA_112_2	25359608.0
TS047_RoL_RNA_114_1	28352492.0
TS047_RoL_RNA_114_2	28352492.0
TS047_RoL_RNA_116_1	29158777.0
TS047_RoL_RNA_116_2	29158777.0
TS047_RoL_RNA_119_1	23817997.0
TS047_RoL_RNA_119_2	23817997.0
TS047_RoL_RNA_136_1	23364962.0
TS047_RoL_RNA_136_2	23364962.0
TS047_RoL_RNA_142_1	26219487.0
TS047_RoL_RNA_142_2	26219487.0
TS047_RoL_RNA_145_1	29027796.0
TS047_RoL_RNA_145_2	29027796.0
TS047_RoL_RNA_146_1	30393377.0
TS047_RoL_RNA_146_2	30393377.0
TS047_RoL_RNA_16_1	23707626.0
TS047_RoL_RNA_16_2	23707626.0
TS047_RoL_RNA_170_1	25843735.0
TS047_RoL_RNA_170_2	25843735.0
TS047_RoL_RNA_175_1	25420154.0
TS047_RoL_RNA_175_2	25420154.0
TS047_RoL_RNA_177_1	24120243.0
TS047_RoL_RNA_177_2	24120243.0
TS047_RoL_RNA_200_1	34364755.0
TS047_RoL_RNA_200_2	34364755.0
TS047_RoL_RNA_204_1	23367292.0
TS047_RoL_RNA_204_2	23367292.0
TS047_RoL_RNA_20_1	28433778.0
TS047_RoL_RNA_20_2	28433778.0
TS047_RoL_RNA_229_1	28873412.0
TS047_RoL_RNA_229_2	28873412.0
TS047_RoL_RNA_231_1	20299404.0
TS047_RoL_RNA_231_2	20299404.0
TS047_RoL_RNA_258_1	26385738.0
TS047_RoL_RNA_258_2	26385738.0
TS047_RoL_RNA_262_1	28777383.0
TS047_RoL_RNA_262_2	28777383.0
TS047_RoL_RNA_286_1	25176499.0
TS047_RoL_RNA_286_2	25176499.0
TS047_RoL_RNA_288_1	25706774.0
TS047_RoL_RNA_288_2	25706774.0
TS047_RoL_RNA_289_1	30352787.0
TS047_RoL_RNA_289_2	30352787.0
TS047_RoL_RNA_291_1	25096851.0
TS047_RoL_RNA_291_2	25096851.0
TS047_RoL_RNA_317_1	25335689.0
TS047_RoL_RNA_317_2	25335689.0
TS047_RoL_RNA_318_1	26774014.0
TS047_RoL_RNA_318_2	26774014.0
TS047_RoL_RNA_319_1	27559362.0
TS047_RoL_RNA_319_2	27559362.0
TS047_RoL_RNA_322_1	28929489.0
TS047_RoL_RNA_322_2	28929489.0
TS047_RoL_RNA_326_1	24152003.0
TS047_RoL_RNA_326_2	24152003.0
TS047_RoL_RNA_328_1	29871061.0
TS047_RoL_RNA_328_2	29871061.0
TS047_RoL_RNA_347_1	23112990.0
TS047_RoL_RNA_347_2	23112990.0
TS047_RoL_RNA_355_1	19831930.0
TS047_RoL_RNA_355_2	19831930.0
TS047_RoL_RNA_377_1	24087841.0
TS047_RoL_RNA_377_2	24087841.0
TS047_RoL_RNA_381_1	25280672.0
TS047_RoL_RNA_381_2	25280672.0
TS047_RoL_RNA_407_1	30645302.0
TS047_RoL_RNA_407_2	30645302.0
TS047_RoL_RNA_412_1	26174890.0
TS047_RoL_RNA_412_2	26174890.0
TS047_RoL_RNA_439_1	24261449.0
TS047_RoL_RNA_439_2	24261449.0
TS047_RoL_RNA_442_1	29065384.0
TS047_RoL_RNA_442_2	29065384.0
TS047_RoL_RNA_468_1	27304092.0
TS047_RoL_RNA_468_2	27304092.0
TS047_RoL_RNA_469_1	30795561.0
TS047_RoL_RNA_469_2	30795561.0
TS047_RoL_RNA_46_1	25735455.0
TS047_RoL_RNA_46_2	25735455.0
TS047_RoL_RNA_477_1	28397378.0
