Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
TS047_RoL_RNA_110_1 - illumina_universal_adapter	(1, 0.00011532764111044582)	(2, 0.00013280152612718004)	(3, 0.0003285090383146033)	(4, 0.0009610636759203819)	(5, 0.0013489839232918815)	(6, 0.0017613676096868089)	(7, 0.0020164863309311285)	(8, 0.0022890789371921823)	(9, 0.0025092498884030333)	(10, 0.002891927970269513)	(12, 0.0032064579005707285)	(14, 0.0035419564928920256)	(16, 0.003760380055601203)	(18, 0.003917645020751811)	(20, 0.0040486991583773176)	(22, 0.0041937324040162115)	(24, 0.004324786541641718)	(26, 0.004438366794250491)	(28, 0.004614853032919506)	(30, 0.0047494019475483595)	(32, 0.004890940416183907)	(34, 0.005060437100846229)	(36, 0.0052124599004918165)	(38, 0.005528737219294705)	(40, 0.005925394409174573)	(42, 0.006432137074659864)	(44, 0.007073428654774011)	(46, 0.00793139640909566)	(48, 0.009287369886394236)	(50, 0.011303856217325364)	(52, 0.014333827879227077)	(54, 0.01843320130415292)	(56, 0.02432889010879905)	(58, 0.032798482176410126)	(60, 0.04476110385886636)	(62, 0.06260368784945367)	(64, 0.08634545542169045)	(66, 0.1208319148907171)	(68, 0.1669979191049289)	(70, 0.22950899536379388)	(72, 0.31452643552421256)	(74, 0.4276191667410181)	(76, 0.5723571037231292)	(78, 0.7527627348013983)	(80, 0.973010571106323)	(82, 1.2427147441741107)	(84, 1.5715243333110016)	(86, 1.963486290286872)	(88, 2.408060367659627)	(90, 2.7711834248038794)
TS047_RoL_RNA_110_1 - polya	(1, 0.0035332195503836586)	(2, 0.007160798079857682)	(3, 0.010148832417719232)	(4, 0.012675556191139)	(5, 0.01557622110391688)	(6, 0.017683571636935028)	(7, 0.02048288801661585)	(8, 0.024152403870130033)	(9, 0.028755025183537824)	(10, 0.036380628604840634)	(12, 0.041764332578496446)	(14, 0.04767924265666098)	(16, 0.05265056294392187)	(18, 0.0577896325273434)	(20, 0.06291297561424987)	(22, 0.06835783818546426)	(24, 0.07393026011730079)	(26, 0.08013174190973976)	(28, 0.08605364154191099)	(30, 0.09213105875073116)	(32, 0.09786424042472164)	(34, 0.10346112579558162)	(36, 0.10910868543299011)	(38, 0.11500961640314125)	(40, 0.12163221882448352)	(42, 0.12786864838695597)	(44, 0.13381850623515396)	(46, 0.1394643184840608)	(48, 0.14471347354308775)	(50, 0.15052179292265022)	(52, 0.1560260667029215)	(54, 0.1620999891347383)	(56, 0.1681022686379865)	(58, 0.17387214547051213)	(60, 0.17983423503822185)	(62, 0.1860182429456441)	(64, 0.19187898398025677)	(66, 0.19719104502534396)	(68, 0.20286481549027757)	(70, 0.20798466380018066)	(72, 0.21329148267976283)	(74, 0.21822785519699028)	(76, 0.2241375231096498)	(78, 0.22951773230630224)	(80, 0.23414481705873347)	(82, 0.23845387710386012)	(84, 0.24250607103924077)	(86, 0.24706326025160508)	(88, 0.2517619879326049)	(90, 0.25524453321644003)
TS047_RoL_RNA_110_2 - illumina_universal_adapter	(1, 0.00011532764111044582)	(2, 0.00013280152612718004)	(3, 0.00032151948430790957)	(4, 0.0009645584529237287)	(5, 0.0013454891462885345)	(6, 0.0017264198396533404)	(7, 0.0019780437838943133)	(8, 0.0022471416131520203)	(9, 0.0024673125643628713)	(10, 0.0028831910277611456)	(12, 0.003204710512069055)	(14, 0.003552440823902066)	(16, 0.00376911699810957)	(18, 0.0039246345747585044)	(20, 0.004060930877889031)	(22, 0.004209458900531272)	(24, 0.004375460808190247)	(26, 0.004504767557314081)	(28, 0.00467251685347473)	(30, 0.004803570991100237)	(32, 0.004955593790745824)	(34, 0.005140816971923206)	(36, 0.005306818879582181)	(38, 0.005638822694900131)	(40, 0.006075669820318487)	(42, 0.0065876546513087995)	(44, 0.007244672727938006)	(46, 0.008121861755778063)	(48, 0.009481330010079985)	(50, 0.011496068952509441)	(52, 0.014522545837407808)	(54, 0.01871802562992569)	(56, 0.02462070398857851)	(58, 0.03303612701263771)	(60, 0.0449952539180906)	(62, 0.06291647039125321)	(64, 0.08685744025268077)	(66, 0.12120410864157355)	(68, 0.16727051171118995)	(70, 0.22991963166168713)	(72, 0.314984251311651)	(74, 0.4279599074988444)	(76, 0.5725300951847949)	(78, 0.7535018801376061)	(80, 0.9736186623049055)	(82, 1.2424526358988597)	(84, 1.5703553304033822)	(86, 1.9609840299524754)	(88, 2.4049762269541737)	(90, 2.76885590331965)
TS047_RoL_RNA_110_2 - polya	(1, 0.016907731142192028)	(2, 0.02177246073085083)	(3, 0.024236278518210357)	(4, 0.026738538852606696)	(5, 0.029006649127778797)	(6, 0.031138463099820372)	(7, 0.033126991214724726)	(8, 0.03912053377546456)	(9, 0.04593534893199091)	(10, 0.05377063897349453)	(12, 0.05984980357081636)	(14, 0.06721504610536984)	(16, 0.07386735413124054)	(18, 0.08057907336616817)	(20, 0.08772763972651412)	(22, 0.09579707982724199)	(24, 0.1025087990621696)	(26, 0.1097744404521277)	(28, 0.1174192651469489)	(30, 0.12401915151776943)	(32, 0.13276133619164154)	(34, 0.1404830459805364)	(36, 0.14817854494190613)	(38, 0.15618333166807208)	(40, 0.16277273370788256)	(42, 0.17063073979990795)	(44, 0.17826158538671577)	(46, 0.1849069038585798)	(48, 0.19167628691406263)	(50, 0.19953254561758632)	(52, 0.20801436940470913)	(54, 0.21479248940270035)	(56, 0.2212176369233535)	(58, 0.227812281128669)	(60, 0.23396483604306112)	(62, 0.24055773285987492)	(64, 0.24786880635087652)	(66, 0.25567089601084836)	(68, 0.26246299511685295)	(70, 0.2697426156148244)	(72, 0.2764071553602069)	(74, 0.2830769372710943)	(76, 0.28929589294854996)	(78, 0.2962697204587286)	(80, 0.30305832478772987)	(82, 0.3097752861881625)	(84, 0.3160396739666617)	(86, 0.3226273286179705)	(88, 0.3296832833877278)	(90, 0.33460392940844014)
TS047_RoL_RNA_110_2 - polyg	(1, 0.07376425820964182)	(2, 0.08425557877368904)	(3, 0.08667046968300171)	(4, 0.08902594938325747)	(5, 0.0895501659337595)	(6, 0.0898996436340942)	(7, 0.09040638629957948)	(8, 0.09079430654695099)	(9, 0.09115426857829571)	(10, 0.09164703213576761)	(12, 0.09218522779428304)	(14, 0.09262556969670473)	(16, 0.09295233134651766)	(18, 0.09360235986914017)	(20, 0.09606093549099468)	(22, 0.09660262592651345)	(24, 0.09715305330454056)	(26, 0.09760387953797231)	(28, 0.09812285392296932)	(30, 0.09872919773305)	(32, 0.09928836205358549)	(34, 0.09969026140897037)	(36, 0.10013409808839543)	(38, 0.10058841909883051)	(40, 0.1010427401092656)	(42, 0.10140969169461703)	(44, 0.1018902235325772)	(46, 0.10236201842802903)	(48, 0.1028110972729591)	(50, 0.10317455408130718)	(52, 0.10348384184610337)	(54, 0.10391894158302006)	(56, 0.10421949240530788)	(58, 0.10449557978857228)	(60, 0.10473322462479986)	(62, 0.10500232245405758)	(64, 0.10534481060038556)	(66, 0.10562614014915497)	(68, 0.10599309173450641)	(70, 0.10638974892438627)	(72, 0.10677766917175777)	(74, 0.10720927413167111)	(76, 0.10763738431458109)	(78, 0.10818781169260822)	(80, 0.10938127803925116)	(82, 0.11055727050087738)	(84, 0.11154105022731951)	(86, 0.1125545355582901)	(88, 0.1132709648439762)	(90, 0.1138563399920368)
TS047_RoL_RNA_112_1 - illumina_universal_adapter	(1, 0.00012224163717357146)	(2, 0.0001459013088845853)	(3, 0.0003509517970467051)	(4, 0.001139607520747166)	(5, 0.0016758934128634796)	(6, 0.0019716393092511523)	(7, 0.0022831583201128347)	(8, 0.002571017659263503)	(9, 0.002740578639859102)	(10, 0.0032157437133886295)	(12, 0.0035292343635595627)	(14, 0.003811178784782478)	(16, 0.004022144190872351)	(18, 0.004272542383147247)	(20, 0.0044342168065058425)	(22, 0.0045229405754221436)	(24, 0.00467081352361598)	(26, 0.00480685663595431)	(28, 0.005002048927570174)	(30, 0.005110489089578988)	(32, 0.005213014333660048)	(34, 0.005445667772151683)	(36, 0.005632973506530543)	(38, 0.00588534333811469)	(40, 0.006299387593057432)	(42, 0.006831730206555243)	(44, 0.0075001159323913845)	(46, 0.008517481815964978)	(48, 0.009883827857276027)	(50, 0.01169970766109634)	(52, 0.014787294819383644)	(54, 0.01891985081157406)	(56, 0.02466915103735042)	(58, 0.033618421862041406)	(60, 0.04662532638517125)	(62, 0.06501874950117525)	(64, 0.08993435545218206)	(66, 0.12505319482856359)	(68, 0.17298177479714985)	(70, 0.23700287480784404)	(72, 0.32447859604138996)	(74, 0.4403833844750282)	(76, 0.587654982679543)	(78, 0.7717824344918897)	(80, 0.999147936356114)	(82, 1.2749566160486392)	(84, 1.6102969730446937)	(86, 2.0050704253788147)	(88, 2.456692153916575)	(90, 2.8326778552728418)
TS047_RoL_RNA_112_1 - polya	(1, 0.0028352173267031573)	(2, 0.006656254308031891)	(3, 0.009349513604468965)	(4, 0.011845608969980924)	(5, 0.014282555156215349)	(6, 0.016305457087507032)	(7, 0.019117014742499175)	(8, 0.023162818605082538)	(9, 0.027117927059440352)	(10, 0.03580891313461943)	(12, 0.0411540273019993)	(14, 0.04601017492068489)	(16, 0.05001457435777398)	(18, 0.05425951379059171)	(20, 0.05908805845894779)	(22, 0.06407236263273469)	(24, 0.06976645695785202)	(26, 0.07529887685961076)	(28, 0.08138335576795983)	(30, 0.08639723453138551)	(32, 0.091095651005331)	(34, 0.09572308846414346)	(36, 0.1006817613269101)	(38, 0.1058040802523446)	(40, 0.11085147688402755)	(42, 0.11595407941636952)	(44, 0.1210409088342375)	(46, 0.1259246594032526)	(48, 0.13065659374545538)	(50, 0.1359267856190837)	(52, 0.14080462127017107)	(54, 0.1465696946104214)	(56, 0.15218098008455022)	(58, 0.1575260942519301)	(60, 0.1626957325207866)	(62, 0.16882161585462993)	(64, 0.17367184855538775)	(66, 0.17793650438129802)	(68, 0.18266843872350078)	(70, 0.1871282868410269)	(72, 0.19142646053519438)	(74, 0.19555112997014779)	(76, 0.19985916186086156)	(78, 0.20378666736488987)	(80, 0.20720548992713136)	(82, 0.21131044296899226)	(84, 0.21548834666529545)	(86, 0.21864888447802505)	(88, 0.2226552555544234)	(90, 0.22523613141023316)
TS047_RoL_RNA_112_2 - illumina_universal_adapter	(1, 0.00011435507993656685)	(2, 0.00013801475164758068)	(3, 0.0003509517970467051)	(4, 0.0011514373566026731)	(5, 0.0016877232487189865)	(6, 0.001975582587869655)	(7, 0.0022910448773498394)	(8, 0.0025789042165005075)	(9, 0.002752408475714609)	(10, 0.0032177153526978808)	(12, 0.0035095179704670515)	(14, 0.003785547473762213)	(16, 0.003978768126068826)	(18, 0.004231137957652974)	(20, 0.0043947840203208185)	(22, 0.004509139100257386)	(24, 0.0046826433594714875)	(26, 0.004832487946974575)	(28, 0.005009935484807179)	(30, 0.005136120400599253)	(32, 0.005264276955700578)	(34, 0.005502845312119966)	(36, 0.00568029284995257)	(38, 0.005930691042227466)	(40, 0.006354593493716464)	(42, 0.0068691913534310155)	(44, 0.0075572934723596675)	(46, 0.008592404109716522)	(48, 0.009968608347573828)	(50, 0.011782516512084888)	(52, 0.01489967826001096)	(54, 0.019034205891510628)	(56, 0.0248111090676165)	(58, 0.033713060548885454)	(60, 0.046810660480240865)	(62, 0.06526126113621315)	(64, 0.0903444564285063)	(66, 0.12529767810291073)	(68, 0.17343919511689612)	(70, 0.2376830903695357)	(72, 0.3251726130782463)	(74, 0.44123907593524314)	(76, 0.5884298369280787)	(78, 0.7727091049672377)	(80, 0.9993727032373686)	(82, 1.2742271095042164)	(84, 1.608581646845645)	(86, 2.001637801341409)	(88, 2.4519621912136813)	(90, 2.829353671397444)
TS047_RoL_RNA_112_2 - polya	(1, 0.009732011630463689)	(2, 0.012405554533808252)	(3, 0.013904000408839127)	(4, 0.01604914397730438)	(5, 0.017389858707595164)	(6, 0.018726630159267448)	(7, 0.020449842915552952)	(8, 0.026151823797907287)	(9, 0.03128597255919729)	(10, 0.03668629262723619)	(12, 0.03962403519802041)	(14, 0.043748704632973826)	(16, 0.047605231121869075)	(18, 0.05153076498658812)	(20, 0.056028074250990004)	(22, 0.06075409367526501)	(24, 0.06540913408440699)	(26, 0.07001094023219917)	(28, 0.07439192277735523)	(30, 0.07883599778040734)	(32, 0.08428758047048676)	(34, 0.08948482168967281)	(36, 0.09452433176411876)	(38, 0.099636792493007)	(40, 0.10331389980476038)	(42, 0.10845987840190591)	(44, 0.11350333175497035)	(46, 0.11791191725045592)	(48, 0.12216671487981991)	(50, 0.1268533015179099)	(52, 0.13196970552541665)	(54, 0.1359031259473727)	(56, 0.1402091861987772)	(58, 0.14426287661859757)	(60, 0.14826924769499591)	(62, 0.15313131023160925)	(64, 0.1578514147379565)	(66, 0.1622107092507108)	(68, 0.16614215803335763)	(70, 0.17060397779019298)	(72, 0.17477005165064063)	(74, 0.1794862128783694)	(76, 0.18320078133699857)	(78, 0.18732347913264275)	(80, 0.19174783774260235)	(82, 0.19571871931143414)	(84, 0.199689600880266)	(86, 0.20395228506686697)	(88, 0.20817356482797367)	(90, 0.21123354903593147)
TS047_RoL_RNA_114_1 - illumina_universal_adapter	(1, 9.87567512584079e-05)	(2, 0.00013049999273432472)	(3, 0.0002786351196219366)	(4, 0.000871175627172384)	(5, 0.0014037566786016553)	(6, 0.001717662066530166)	(7, 0.0019716079983375006)	(8, 0.002257297171620752)	(9, 0.0025006620229361142)	(10, 0.002925668756030334)	(12, 0.003251918737866146)	(14, 0.0035041011562581517)	(16, 0.0036980876319443103)	(18, 0.00389031059421514)	(20, 0.004056080855256039)	(22, 0.004195398415067007)	(24, 0.004306499760232716)	(26, 0.004385857863922508)	(28, 0.004486378128596245)	(30, 0.0046433308225605)	(32, 0.004765013248218181)	(34, 0.004929019995843751)	(36, 0.005091263230053994)	(38, 0.0052411618703569335)	(40, 0.005556830771700773)	(42, 0.0059112969681818445)	(44, 0.00650560098914762)	(46, 0.007240986083339694)	(48, 0.00834141845450481)	(50, 0.009815715669719614)	(52, 0.012004235818142545)	(54, 0.014854073497313746)	(56, 0.018894282731831826)	(58, 0.024921971585425366)	(60, 0.03354202515955211)	(62, 0.046516193356125446)	(64, 0.06486202341579005)	(66, 0.08976106932681614)	(68, 0.12410196606351218)	(70, 0.17114192290399025)	(72, 0.2349546558376597)	(74, 0.3188449890048466)	(76, 0.43094800979046216)	(78, 0.5699798804281473)	(80, 0.7403670195903768)	(82, 0.9507682781464148)	(84, 1.2103133650474183)	(86, 1.5186354695029982)	(88, 1.8723027944069255)	(90, 2.16506541999906)
