Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
TS047_RoL_RNA_110_1	(1, 0.0017613676096868089)	(2, 0.014492840232879358)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.12879651168134454)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.26746926317414726)	(30, 0.0)	(32, 0.0)	(34, 0.13190686321432324)	(36, 0.0)	(38, 0.0)	(40, 0.0002463817787359524)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 2.7958216026774745e-05)	(64, 0.13307237134493943)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.13194705314986174)	(76, 0.0)	(78, 0.1315224377439551)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 8.736942508367107e-06)	(88, 0.0)	(90, 0.0)	(92, 1.3979108013387373e-05)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.26885319486747267)
TS047_RoL_RNA_110_2	(1, 0.0007968091567630803)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 1.7473885016734216e-06)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0002096866202008106)	(26, 0.0)	(28, 6.989554006693686e-06)	(30, 6.989554006693686e-06)	(32, 6.115859755856975e-05)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 3.494777003346843e-06)	(54, 2.0968662020081058e-05)	(56, 8.736942508367107e-06)	(58, 0.13517273232395088)	(60, 0.0)	(62, 3.494777003346843e-06)	(64, 0.0)	(66, 0.00019221273518407636)	(68, 0.0)	(70, 2.6210827525101325e-05)	(72, 1.5726496515060794e-05)	(74, 7.513770557195712e-05)	(76, 0.2654894720017513)	(78, 3.145299303012159e-05)	(80, 6.989554006693686e-06)	(82, 5.591643205354949e-05)	(84, 0.00015901235365228136)	(86, 0.00012406458361881293)	(88, 8.91168135853445e-05)	(90, 0.13520069053997763)	(92, 0.0001694966846623219)	(94, 7.339031707028371e-05)	(96, 0.00033549859232129693)	(98, 3.6695158535141856e-05)	(100, 0.0003686989738530919)
TS047_RoL_RNA_112_1	(1, 0.0019440363589216362)	(2, 0.014385080400296409)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.13158129258149415)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.2701559897929022)	(30, 0.0)	(32, 0.0)	(34, 0.12848976214458835)	(36, 0.0)	(38, 0.0)	(40, 0.0002503981922748964)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 1.7744753783260373e-05)	(64, 0.134312013024807)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.1343238428606625)	(76, 0.0)	(78, 0.13569216054128283)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 3.943278618502305e-06)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.2729951503982238)
TS047_RoL_RNA_112_2	(1, 0.0008872376891630187)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.00021293704539912447)	(26, 0.0)	(28, 1.1829835855506916e-05)	(30, 0.0)	(32, 2.1688032401762676e-05)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 9.858196546255761e-06)	(54, 1.7744753783260373e-05)	(56, 0.0)	(58, 0.13800095017241593)	(60, 0.0)	(62, 7.88655723700461e-06)	(64, 1.9716393092511525e-06)	(66, 4.929098273127881e-05)	(68, 0.0)	(70, 0.0)	(72, 1.9716393092511525e-06)	(74, 2.7602950329516135e-05)	(76, 0.2770172945890962)	(78, 2.3659671711013832e-05)	(80, 0.0)	(82, 1.9716393092511523e-05)	(84, 8.083721167929724e-05)	(86, 2.3659671711013832e-05)	(88, 1.577311447400922e-05)	(90, 0.13779787132356305)	(92, 6.900737582379034e-05)	(94, 3.154622894801844e-05)	(96, 0.00011435507993656685)	(98, 1.9716393092511525e-06)	(100, 0.0001695609805955991)
TS047_RoL_RNA_114_1	(1, 0.0019716079983375006)	(2, 0.01432678298613046)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.12571734435195325)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.26214979621544376)	(30, 0.0)	(32, 0.0)	(34, 0.13188964130560374)	(36, 0.0)	(38, 0.0)	(40, 0.00010404729150439404)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.13220707372036292)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.1303077697720539)	(76, 0.0)	(78, 0.12945246576561947)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.26225031648011754)
TS047_RoL_RNA_114_2	(1, 0.0009170269759709305)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 7.759459027446336e-05)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 2.9979728060588114e-05)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 1.0581080491972275e-05)	(58, 0.12998681033046408)	(60, 0.0)	(62, 1.7635134153287125e-06)	(64, 0.0)	(66, 4.937837562920395e-05)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 2.9979728060588114e-05)	(76, 0.2655480865667822)	(78, 1.7635134153287125e-05)	(80, 0.0)	(82, 1.7635134153287125e-06)	(84, 0.00010757431833505147)	(86, 5.1141889044532665e-05)	(88, 2.9979728060588114e-05)	(90, 0.13411519523574858)	(92, 4.4087835383217815e-05)	(94, 4.4087835383217815e-05)	(96, 0.00016047972079491284)	(98, 0.0)	(100, 8.112161710512077e-05)
TS047_RoL_RNA_116_1	(1, 0.0017833395412983199)	(2, 0.013975208905366642)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.13159845490090344)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.2741112907444644)	(30, 0.0)	(32, 0.0)	(34, 0.12826326700876378)	(36, 0.0)	(38, 0.0)	(40, 0.00025549768428216314)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 1.714749558940692e-06)	(64, 0.13563669011220875)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.13520800272247357)	(76, 0.0)	(78, 0.1353005991986564)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.26921739550324764)
TS047_RoL_RNA_116_2	(1, 0.0008367977847630578)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.00021434369486758652)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 2.572124338411038e-05)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 1.714749558940692e-06)	(56, 1.0288497353644153e-05)	(58, 0.13760522260587266)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 4.115398941457661e-05)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 1.2003246912584845e-05)	(76, 0.27416444798079154)	(78, 8.573747794703461e-06)	(80, 0.0)	(82, 3.429499117881384e-06)	(84, 7.373423103444977e-05)	(86, 5.315723632716146e-05)	(88, 3.0865492060932456e-05)	(90, 0.13469186310523243)	(92, 2.2291744266228997e-05)	(94, 2.0576994707288306e-05)	(96, 0.00010631447265432292)	(98, 0.0)	(100, 4.972773720928008e-05)
TS047_RoL_RNA_119_1	(1, 0.001889327637416362)	(2, 0.01441347062055638)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.13098288659621546)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.2726215810674592)	(30, 0.0)	(32, 0.0)	(34, 0.12671510538858494)	(36, 0.0)	(38, 0.0)	(40, 0.0001616424756456221)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 2.0992529304626245e-06)	(64, 0.13579227505990532)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.13402050558659487)	(76, 0.0)	(78, 0.13355027293017124)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.27470194072154763)
TS047_RoL_RNA_119_2	(1, 0.0009236712894035548)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.00010916115238405648)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 1.8893276374163623e-05)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 2.0992529304626245e-06)	(54, 0.0)	(56, 0.0)	(58, 0.13650602105626264)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 5.038207033110298e-05)	(68, 0.0)	(70, 0.0)	(72, 2.0992529304626245e-06)	(74, 1.6794023443700996e-05)	(76, 0.2727622310138002)	(78, 1.0496264652313122e-05)	(80, 2.0992529304626245e-06)	(82, 6.297758791387873e-06)	(84, 7.137459963572924e-05)	(86, 3.358804688740199e-05)	(88, 6.297758791387873e-06)	(90, 0.1386850455980828)	(92, 4.618356447017774e-05)	(94, 3.568729981786462e-05)	(96, 0.0001553447168542342)	(98, 2.0992529304626245e-06)	(100, 7.557310549665449e-05)
