Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
TS047_RoL_RNA_110_1	(1, 39.59681149127412)	(2, 39.48075323208335)	(3, 39.521931141080685)	(4, 39.54095488980287)	(5, 39.589054204655326)	(6, 39.534190259644106)	(7, 39.59915019604476)	(8, 39.53775045887296)	(9, 39.53363920320622)	(10, 39.52986687101327)	(12, 39.530886577047305)	(14, 39.533459781354864)	(16, 39.630775691267765)	(18, 39.579336837406444)	(20, 39.635522367289255)	(22, 39.634110058006655)	(24, 39.63162100792934)	(26, 39.61060544600187)	(28, 39.50753762241024)	(30, 39.6024124305863)	(32, 39.61384070086495)	(34, 39.539456049841675)	(36, 39.587555784067376)	(38, 39.58472990738247)	(40, 39.58092895296586)	(42, 39.575497615181646)	(44, 39.577993235439735)	(46, 39.57379377160143)	(48, 39.572474423387135)	(50, 39.56522422891153)	(52, 39.56816948717887)	(54, 39.55292261385975)	(56, 39.55879614577819)	(58, 39.545548983860385)	(60, 39.55167427951415)	(62, 39.54190770580506)	(64, 39.50044668492268)	(66, 39.54103687727137)	(68, 39.53451324693476)	(70, 39.52722433032996)	(72, 39.52234548184221)	(74, 39.464788496619974)	(76, 39.51520851814151)	(78, 39.4455260196807)	(80, 39.500153717766494)	(82, 39.49335700555484)	(84, 39.490870401821425)	(86, 39.47952974560225)	(88, 39.47493065401362)	(90, 39.46746287472179)	(92, 39.47249835911482)	(94, 39.470203758429975)	(96, 39.46855687971491)	(98, 39.456905223290214)	(100, 39.31655854350835)
TS047_RoL_RNA_110_2	(1, 39.45707199404882)	(2, 39.39715166587807)	(3, 39.45574943063967)	(4, 39.4682723349713)	(5, 39.51951093811033)	(6, 39.47938810229031)	(7, 39.51653856037344)	(8, 39.46874776443484)	(9, 39.51140235650716)	(10, 39.48880407997042)	(12, 39.48183752159641)	(14, 39.49612004614923)	(16, 39.4913964007082)	(18, 39.48671616039754)	(20, 39.48387427763396)	(22, 39.481027921555814)	(24, 39.46953227197655)	(26, 39.48606676093478)	(28, 39.488502480715034)	(30, 39.45833640436862)	(32, 39.48085377681774)	(34, 39.465136890939434)	(36, 39.45008320889306)	(38, 39.43781989659724)	(40, 39.44051457935343)	(42, 39.43452571979388)	(44, 39.4421427959593)	(46, 39.42488397951935)	(48, 39.40819418267108)	(50, 39.416135154769165)	(52, 39.41788100556896)	(54, 39.40740666962115)	(56, 39.40647087318297)	(58, 39.34336023298141)	(60, 39.38890825577812)	(62, 39.38647057892274)	(64, 39.38615465108164)	(66, 39.364781503571194)	(68, 39.348046833786206)	(70, 39.34858122013779)	(72, 39.35336647849739)	(74, 39.34521505092816)	(76, 39.23738957771526)	(78, 39.32846447990781)	(80, 39.317902215370594)	(82, 39.31349544136046)	(84, 39.30558358075481)	(86, 39.28525781791226)	(88, 39.27895247134728)	(90, 39.19496934538878)	(92, 39.24504656423406)	(94, 39.20632363123826)	(96, 39.18645868969138)	(98, 39.13937254563995)	(100, 39.03571829846717)
TS047_RoL_RNA_112_1	(1, 39.57601055978468)	(2, 39.47443809068342)	(3, 39.50071862309544)	(4, 39.52454974856078)	(5, 39.588037322974394)	(6, 39.515040295575545)	(7, 39.57001054590434)	(8, 39.53695546082574)	(9, 39.522210122490854)	(10, 39.520115847216566)	(12, 39.5186842793469)	(14, 39.521070751566825)	(16, 39.61849228899753)	(18, 39.56907563397668)	(20, 39.624894122969096)	(22, 39.62621717181117)	(24, 39.623208450225256)	(26, 39.60224724293846)	(28, 39.49785158351028)	(30, 39.589915191118095)	(32, 39.599681036079105)	(34, 39.5344454456867)	(36, 39.58155354767314)	(38, 39.57739859385839)	(40, 39.574771857672246)	(42, 39.56959626505268)	(44, 39.57412866949679)	(46, 39.57026914611613)	(48, 39.57087767287255)	(50, 39.56270948667661)	(52, 39.56704362307178)	(54, 39.54841510168454)	(56, 39.554993673403786)	(58, 39.541591810094225)	(60, 39.545377436433554)	(62, 39.53793075192645)	(64, 39.498787757287104)	(66, 39.542147260320434)	(68, 39.533985225639135)	(70, 39.527350974825794)	(72, 39.5217903999147)	(74, 39.46161407542262)	(76, 39.516392524679404)	(78, 39.44480277455393)	(80, 39.50053194828564)	(82, 39.49400077477539)	(84, 39.49272039220796)	(86, 39.48351378302062)	(88, 39.482113997976626)	(90, 39.473273561641804)	(92, 39.47730990163571)	(94, 39.475835509760245)	(96, 39.473789815678536)	(98, 39.46544441854148)	(100, 39.32341820898809)
TS047_RoL_RNA_112_2	(1, 39.39632071599845)	(2, 39.31753519218436)	(3, 39.41473637920586)	(4, 39.43051217510933)	(5, 39.4663389118633)	(6, 39.425447428051726)	(7, 39.448950472736016)	(8, 39.405757376060386)	(9, 39.44964433204173)	(10, 39.43137338715961)	(12, 39.425012090092245)	(14, 39.45218072771472)	(16, 39.446974732417)	(18, 39.447305415761946)	(20, 39.43968258499895)	(22, 39.43907098248522)	(24, 39.4284371430347)	(26, 39.44384503104307)	(28, 39.44518424732748)	(30, 39.40662253138929)	(32, 39.44144763594137)	(34, 39.42239604019116)	(36, 39.414548836874765)	(38, 39.40123057107192)	(40, 39.402287921800685)	(42, 39.394443399913754)	(44, 39.40380639953109)	(46, 39.384119817624935)	(48, 39.362666410300974)	(50, 39.37619043638214)	(52, 39.378438144627474)	(54, 39.36128977230248)	(56, 39.36156465825497)	(58, 39.296646817253645)	(60, 39.349329216760765)	(62, 39.34287509491472)	(64, 39.34095144530625)	(66, 39.31845291141724)	(68, 39.30642626652589)	(70, 39.30070117803083)	(72, 39.306668580997)	(74, 39.300627754182955)	(76, 39.18847700642691)	(78, 39.280634069737985)	(80, 39.26985811452606)	(82, 39.2732446810692)	(84, 39.2669637085873)	(86, 39.24304326786124)	(88, 39.235449932822306)	(90, 39.15387580123478)	(92, 39.20455919507904)	(94, 39.16591518291608)	(96, 39.144580231681815)	(98, 39.09275005354972)	(100, 38.98806203944477)
TS047_RoL_RNA_114_1	(1, 39.59329338669772)	(2, 39.489172803575784)	(3, 39.525532358848736)	(4, 39.53775012087121)	(5, 39.588658097496335)	(6, 39.53603937177727)	(7, 39.585644887934365)	(8, 39.53876802081454)	(9, 39.53796498734573)	(10, 39.5375691843948)	(12, 39.53318008166619)	(14, 39.537897903295416)	(16, 39.63148833619282)	(18, 39.58291821403212)	(20, 39.63653833320895)	(22, 39.63756102990877)	(24, 39.63463275115288)	(26, 39.613148360997684)	(28, 39.513334559798125)	(30, 39.60511139549921)	(32, 39.61535896033407)	(34, 39.54513924208143)	(36, 39.59272334862135)	(38, 39.58878034424629)	(40, 39.5855573823987)	(42, 39.580043193381385)	(44, 39.58487670149065)	(46, 39.57971736664276)	(48, 39.57986437312107)	(50, 39.57218921003487)	(52, 39.5763937787197)	(54, 39.5597714655911)	(56, 39.56520689609929)	(58, 39.55369778430763)	(60, 39.55915945589545)	(62, 39.55068683204284)	(64, 39.510342230235)	(66, 39.549628582912575)	(68, 39.54288377896377)	(70, 39.538901412969274)	(72, 39.53331022895624)	(74, 39.47636006739725)	(76, 39.52676942823932)	(78, 39.457073402930504)	(80, 39.51155771422138)	(82, 39.50505112566472)	(84, 39.50186523286912)	(86, 39.49123837156889)	(88, 39.48658241399028)	(90, 39.4785978601105)	(92, 39.48392832630021)	(94, 39.48046351622284)	(96, 39.47839618471632)	(98, 39.467492381269345)	(100, 39.33178667328431)
TS047_RoL_RNA_114_2	(1, 39.424551746633064)	(2, 39.35993492212254)	(3, 39.4373250859219)	(4, 39.449983303054985)	(5, 39.48553940161592)	(6, 39.458456491231885)	(7, 39.494134342759004)	(8, 39.44407510987041)	(9, 39.48764701176884)	(10, 39.466148513506326)	(12, 39.45971479332398)	(14, 39.47876532334442)	(16, 39.4740769876595)	(18, 39.471177912685775)	(20, 39.46663601915486)	(22, 39.46110070324683)	(24, 39.45077300436237)	(26, 39.46564478353437)	(28, 39.46907248928947)	(30, 39.437350057271864)	(32, 39.46348846514091)	(34, 39.443762967995895)	(36, 39.43013411307902)	(38, 39.42040988848528)	(40, 39.42186831407977)	(42, 39.41340542482121)	(44, 39.423524323717295)	(46, 39.400463070406644)	(48, 39.38447964291816)	(50, 39.396501584411)	(52, 39.39828513133872)	(54, 39.38582816635659)	(56, 39.38603520283155)	(58, 39.32490417420804)	(60, 39.37140058094364)	(62, 39.36740378940941)	(64, 39.364214052154566)	(66, 39.34522489240099)	(68, 39.328925513849015)	(70, 39.32800305525172)	(72, 39.33324428766261)	(74, 39.32615556332755)	(76, 39.2202838113842)	(78, 39.3095176254701)	(80, 39.300599608669316)	(82, 39.30052705772741)	(84, 39.29388093998933)	(86, 39.272103736066654)	(88, 39.268333838168445)	(90, 39.18960816565965)	(92, 39.243534042792426)	(94, 39.20908028119715)	(96, 39.1955379795187)	(98, 39.15375431549368)	(100, 39.05988341342271)
TS047_RoL_RNA_116_1	(1, 39.577731397993816)	(2, 39.493977199386656)	(3, 39.507953162781824)	(4, 39.53047742708825)	(5, 39.58690462223433)	(6, 39.51434602349749)	(7, 39.58178465441126)	(8, 39.53786923230697)	(9, 39.51825386915233)	(10, 39.51641202235608)	(12, 39.51451818435321)	(14, 39.51883763849217)	(16, 39.61709429719909)	(18, 39.5691954089844)	(20, 39.62380027118421)	(22, 39.62464872926597)	(24, 39.62099898771474)	(26, 39.600596005792696)	(28, 39.495891511499266)	(30, 39.590673161635)	(32, 39.60284671747378)	(34, 39.535818186064525)	(36, 39.58052534233517)	(38, 39.57544213874265)	(40, 39.57322801981715)	(42, 39.57064605281627)	(44, 39.57436630486937)	(46, 39.56890489611413)	(48, 39.56858368922674)	(50, 39.56050125147567)	(52, 39.56607137535295)	(54, 39.55016961102312)	(56, 39.55548286541648)	(58, 39.54095132316421)	(60, 39.54787966587213)	(62, 39.54031738025226)	(64, 39.49983581272973)	(66, 39.54110379869499)	(68, 39.53395589945353)	(70, 39.52845628607812)	(72, 39.52360752304529)	(74, 39.46443185871616)	(76, 39.51759321044226)	(78, 39.44624988901283)	(80, 39.502696426533944)	(82, 39.49506709420632)	(84, 39.49235586938369)	(86, 39.4816495904475)	(88, 39.47886346536413)	(90, 39.469758762516)	(92, 39.473556521249165)	(94, 39.472653122591524)	(96, 39.472537136931365)	(98, 39.46187009146509)	(100, 39.323105595272395)
TS047_RoL_RNA_116_2	(1, 39.39648895425209)	(2, 39.31589503908206)	(3, 39.38741957524488)	(4, 39.410598736702845)	(5, 39.444406053107095)	(6, 39.41472771646081)	(7, 39.45496273729176)	(8, 39.407150306749834)	(9, 39.45644236039118)	(10, 39.43851094989341)	(12, 39.42982313695804)	(14, 39.447407207785155)	(16, 39.44417716833597)	(18, 39.43997075048792)	(20, 39.43867597739096)	(22, 39.433200096149434)	(24, 39.42272623436847)	(26, 39.44063230086776)	(28, 39.44216130875448)	(30, 39.40421685038436)	(32, 39.42087835165377)	(34, 39.408783434229775)	(36, 39.40725915905183)	(38, 39.39880846168548)	(40, 39.402080889743765)	(42, 39.39158662244304)	(44, 39.39894927691927)	(46, 39.37934461380188)	(48, 39.35974290005373)	(50, 39.369686595566066)	(52, 39.371242765085796)	(54, 39.35463956530138)	(56, 39.35788925578051)	(58, 39.29209980240255)	(60, 39.341391444504)	(62, 39.33787929445738)	(64, 39.3369542899553)	(66, 39.31379165868308)	(68, 39.29974326426654)	(70, 39.29873965564468)	(72, 39.30515741452393)	(74, 39.29571981019643)	(76, 39.189110640682905)	(78, 39.28139925072989)	(80, 39.273266845176664)	(82, 39.27139132069908)	(84, 39.266906804767565)	(86, 39.246918174928936)	(88, 39.24141777276873)	(90, 39.16196893305916)	(92, 39.21603869051161)	(94, 39.18244787838667)	(96, 39.16771591620595)	(98, 39.12520130731134)	(100, 39.02605013234951)
TS047_RoL_RNA_119_1	(1, 39.59054491441913)	(2, 39.50667530943093)	(3, 39.53329240909721)	(4, 39.55341500798745)	(5, 39.578804716450335)	(6, 39.544036721475784)	(7, 39.58405016173274)	(8, 39.54414353146488)	(9, 39.536206004224454)	(10, 39.530406020287934)	(12, 39.527682533506066)	(14, 39.533135720858475)	(16, 39.6309212735227)	(18, 39.57935862532857)	(20, 39.63788651077586)	(22, 39.636104412978135)	(24, 39.63347043834123)	(26, 39.616200388303014)	(28, 39.5132821622238)	(30, 39.61268430758473)	(32, 39.61894553937512)	(34, 39.552349511170064)	(36, 39.595117423182145)	(38, 39.59146027266692)	(40, 39.594767729628984)	(42, 39.59055322746073)	(44, 39.59510323223233)	(46, 39.58887432893707)	(48, 39.58821617115831)	(50, 39.5801914829362)	(52, 39.590476058923)	(54, 39.573996671508525)	(56, 39.57747714889712)	(58, 39.56144087179119)	(60, 39.56725462682693)	(62, 39.56088822246471)	(64, 39.52151467648602)	(66, 39.557118342067135)	(68, 39.545192654109414)	(70, 39.539582862488395)	(72, 39.54140409036075)	(74, 39.48204091217242)	(76, 39.535758779380146)	(78, 39.45967530351104)	(80, 39.51913756643768)	(82, 39.51418895551964)	(84, 39.51436143014041)	(86, 39.50076658419262)	(88, 39.49830038184991)	(90, 39.4918528203694)	(92, 39.498096334465075)	(94, 39.49439535154866)	(96, 39.49299565366475)	(98, 39.48195123208723)	(100, 39.3399310193884)
TS047_RoL_RNA_119_2	(1, 39.404797473104054)	(2, 39.36608439408234)	(3, 39.45312143586214)	(4, 39.47585869626233)	(5, 39.50629366524817)	(6, 39.479413823085125)	(7, 39.51322455872339)	(8, 39.464445477929985)	(9, 39.507796226525684)	(10, 39.49348142079286)	(12, 39.48326603618264)	(14, 39.50902143450602)	(16, 39.50243708570456)	(18, 39.50016367875099)	(20, 39.49689421826697)	(22, 39.48758755826529)	(24, 39.47681889455272)	(26, 39.490417519155784)	(28, 39.48587994196153)	(30, 39.447457987336215)	(32, 39.45862840607462)	(34, 39.44234210794468)	(36, 39.41963558060739)	(38, 39.42312966115497)	(40, 39.44220070226728)	(42, 39.435305999912586)	(44, 39.44810833589407)	(46, 39.42705047783825)	(48, 39.415332447980404)	(50, 39.422954751400795)	(52, 39.4263940414469)	(54, 39.41536183752143)	(56, 39.41185658894827)	(58, 39.350646068181135)	(60, 39.40390822956272)	(62, 39.39959350905956)	(64, 39.39916089501565)	(66, 39.38037913095715)	(68, 39.367535649618226)	(70, 39.36484398751079)	(72, 39.370047153839174)	(74, 39.363109920620104)	(76, 39.25306376518563)	(78, 39.34706789156116)	(80, 39.33523188368862)	(82, 39.334911873571905)	(84, 39.32949466741473)	(86, 39.3055678023639)	(88, 39.302415522178464)	(90, 39.22403575749884)	(92, 39.27402098505596)	(94, 39.23725059668116)	(96, 39.22610058268124)	(98, 39.179889098147086)	(100, 39.08904783219177)
