Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
TS047_RoL_RNA_110_1	(15.0, 3.0)	(16.0, 62.0)	(17.0, 414.0)	(18.0, 860.0)	(19.0, 1008.0)	(20.0, 1505.0)	(21.0, 2542.0)	(22.0, 4748.0)	(23.0, 7756.0)	(24.0, 11453.0)	(25.0, 14726.0)	(26.0, 17916.0)	(27.0, 21336.0)	(28.0, 26789.0)	(29.0, 31138.0)	(30.0, 39057.0)	(31.0, 48359.0)	(32.0, 63879.0)	(33.0, 79532.0)	(34.0, 105848.0)	(35.0, 143107.0)	(36.0, 215902.0)	(37.0, 349040.0)	(38.0, 1059714.0)	(39.0, 16045699.0)	(40.0, 10321736.0)			
TS047_RoL_RNA_110_2	(12.0, 1.0)	(13.0, 45.0)	(14.0, 241.0)	(15.0, 1421.0)	(16.0, 5563.0)	(17.0, 9236.0)	(18.0, 10168.0)	(19.0, 9901.0)	(20.0, 11221.0)	(21.0, 12290.0)	(22.0, 14016.0)	(23.0, 15719.0)	(24.0, 19808.0)	(25.0, 22409.0)	(26.0, 26150.0)	(27.0, 29850.0)	(28.0, 36390.0)	(29.0, 41483.0)	(30.0, 49535.0)	(31.0, 60255.0)	(32.0, 77970.0)	(33.0, 94776.0)	(34.0, 125641.0)	(35.0, 172864.0)	(36.0, 269243.0)	(37.0, 444141.0)	(38.0, 1372754.0)	(39.0, 17449639.0)	(40.0, 8231399.0)
TS047_RoL_RNA_112_1	(15.0, 4.0)	(16.0, 63.0)	(17.0, 361.0)	(18.0, 759.0)	(19.0, 1006.0)	(20.0, 1487.0)	(21.0, 2402.0)	(22.0, 4074.0)	(23.0, 6838.0)	(24.0, 9716.0)	(25.0, 12367.0)	(26.0, 15158.0)	(27.0, 18461.0)	(28.0, 23802.0)	(29.0, 27983.0)	(30.0, 35079.0)	(31.0, 43956.0)	(32.0, 57994.0)	(33.0, 71095.0)	(34.0, 94012.0)	(35.0, 127090.0)	(36.0, 191862.0)	(37.0, 312450.0)	(38.0, 954643.0)	(39.0, 14356730.0)	(40.0, 8990216.0)			
TS047_RoL_RNA_112_2	(12.0, 5.0)	(13.0, 41.0)	(14.0, 231.0)	(15.0, 1325.0)	(16.0, 5370.0)	(17.0, 9297.0)	(18.0, 10692.0)	(19.0, 10652.0)	(20.0, 12142.0)	(21.0, 13059.0)	(22.0, 14965.0)	(23.0, 17051.0)	(24.0, 20366.0)	(25.0, 23223.0)	(26.0, 26811.0)	(27.0, 30774.0)	(28.0, 37033.0)	(29.0, 41535.0)	(30.0, 48941.0)	(31.0, 59195.0)	(32.0, 76528.0)	(33.0, 92250.0)	(34.0, 120060.0)	(35.0, 165495.0)	(36.0, 253937.0)	(37.0, 411117.0)	(38.0, 1261886.0)	(39.0, 15550210.0)	(40.0, 7045417.0)
TS047_RoL_RNA_114_1	(15.0, 7.0)	(16.0, 65.0)	(17.0, 433.0)	(18.0, 864.0)	(19.0, 1035.0)	(20.0, 1608.0)	(21.0, 2554.0)	(22.0, 4510.0)	(23.0, 7557.0)	(24.0, 11336.0)	(25.0, 14070.0)	(26.0, 17422.0)	(27.0, 20585.0)	(28.0, 25960.0)	(29.0, 31087.0)	(30.0, 38329.0)	(31.0, 47028.0)	(32.0, 62380.0)	(33.0, 77794.0)	(34.0, 101915.0)	(35.0, 138345.0)	(36.0, 209647.0)	(37.0, 337519.0)	(38.0, 1019591.0)	(39.0, 15862682.0)	(40.0, 10318169.0)			
TS047_RoL_RNA_114_2	(12.0, 7.0)	(13.0, 49.0)	(14.0, 278.0)	(15.0, 1414.0)	(16.0, 5343.0)	(17.0, 9137.0)	(18.0, 10747.0)	(19.0, 10796.0)	(20.0, 11980.0)	(21.0, 12990.0)	(22.0, 15148.0)	(23.0, 16915.0)	(24.0, 20568.0)	(25.0, 23781.0)	(26.0, 27560.0)	(27.0, 31797.0)	(28.0, 38296.0)	(29.0, 43597.0)	(30.0, 51797.0)	(31.0, 62715.0)	(32.0, 81352.0)	(33.0, 98705.0)	(34.0, 128865.0)	(35.0, 176939.0)	(36.0, 272673.0)	(37.0, 443305.0)	(38.0, 1368007.0)	(39.0, 17301084.0)	(40.0, 8086647.0)
TS047_RoL_RNA_116_1	(15.0, 1.0)	(16.0, 58.0)	(17.0, 447.0)	(18.0, 962.0)	(19.0, 1195.0)	(20.0, 1707.0)	(21.0, 2788.0)	(22.0, 4940.0)	(23.0, 7996.0)	(24.0, 11604.0)	(25.0, 14885.0)	(26.0, 18208.0)	(27.0, 21579.0)	(28.0, 27333.0)	(29.0, 31921.0)	(30.0, 39416.0)	(31.0, 49436.0)	(32.0, 65260.0)	(33.0, 80966.0)	(34.0, 106864.0)	(35.0, 144481.0)	(36.0, 220339.0)	(37.0, 356547.0)	(38.0, 1094349.0)	(39.0, 16575898.0)	(40.0, 10279597.0)			
TS047_RoL_RNA_116_2	(12.0, 7.0)	(13.0, 50.0)	(14.0, 344.0)	(15.0, 1515.0)	(16.0, 5990.0)	(17.0, 10355.0)	(18.0, 12171.0)	(19.0, 12002.0)	(20.0, 13913.0)	(21.0, 15102.0)	(22.0, 17019.0)	(23.0, 19079.0)	(24.0, 22904.0)	(25.0, 26035.0)	(26.0, 30470.0)	(27.0, 34588.0)	(28.0, 41593.0)	(29.0, 46853.0)	(30.0, 55290.0)	(31.0, 66721.0)	(32.0, 85254.0)	(33.0, 104292.0)	(34.0, 135851.0)	(35.0, 185652.0)	(36.0, 285973.0)	(37.0, 473568.0)	(38.0, 1500907.0)	(39.0, 18090425.0)	(40.0, 7864854.0)
TS047_RoL_RNA_119_1	(14.0, 1.0)	(15.0, 2.0)	(16.0, 116.0)	(17.0, 727.0)	(18.0, 1364.0)	(19.0, 1401.0)	(20.0, 1274.0)	(21.0, 1879.0)	(22.0, 3224.0)	(23.0, 5225.0)	(24.0, 7832.0)	(25.0, 9800.0)	(26.0, 12309.0)	(27.0, 14735.0)	(28.0, 18940.0)	(29.0, 22233.0)	(30.0, 27730.0)	(31.0, 35159.0)	(32.0, 47071.0)	(33.0, 58809.0)	(34.0, 80042.0)	(35.0, 110808.0)	(36.0, 173039.0)	(37.0, 289605.0)	(38.0, 898215.0)	(39.0, 13766350.0)	(40.0, 8230107.0)		
TS047_RoL_RNA_119_2	(12.0, 7.0)	(13.0, 55.0)	(14.0, 295.0)	(15.0, 1312.0)	(16.0, 4962.0)	(17.0, 8277.0)	(18.0, 9104.0)	(19.0, 8506.0)	(20.0, 9303.0)	(21.0, 10144.0)	(22.0, 11481.0)	(23.0, 12939.0)	(24.0, 15483.0)	(25.0, 17666.0)	(26.0, 20576.0)	(27.0, 23934.0)	(28.0, 28649.0)	(29.0, 32586.0)	(30.0, 39054.0)	(31.0, 47692.0)	(32.0, 61763.0)	(33.0, 75197.0)	(34.0, 99638.0)	(35.0, 137454.0)	(36.0, 215957.0)	(37.0, 360933.0)	(38.0, 1142609.0)	(39.0, 14629423.0)	(40.0, 6792998.0)
