Sample	Unique Reads	Duplicate Reads
TS047_RoL_RNA_110_1	8487122.0	20127007.0
TS047_RoL_RNA_110_2	8445019.0	20169110.0
TS047_RoL_RNA_112_1	6823005.0	18536603.0
TS047_RoL_RNA_112_2	6869213.0	18490395.0
TS047_RoL_RNA_114_1	8341184.0	20011308.0
TS047_RoL_RNA_114_2	8351004.0	20001488.0
TS047_RoL_RNA_116_1	8141710.0	21017067.0
TS047_RoL_RNA_116_2	8165548.0	20993229.0
TS047_RoL_RNA_119_1	6022648.0	17795349.0
TS047_RoL_RNA_119_2	5994056.0	17823941.0
TS047_RoL_RNA_136_1	7019490.0	16345472.0
TS047_RoL_RNA_136_2	6810649.0	16554313.0
TS047_RoL_RNA_142_1	7830089.0	18389398.0
TS047_RoL_RNA_142_2	7746884.0	18472603.0
TS047_RoL_RNA_145_1	8005404.0	21022392.0
TS047_RoL_RNA_145_2	7969097.0	21058699.0
TS047_RoL_RNA_146_1	8387448.0	22005929.0
TS047_RoL_RNA_146_2	8353353.0	22040024.0
TS047_RoL_RNA_16_1	6208338.0	17499288.0
TS047_RoL_RNA_16_2	6213769.0	17493857.0
TS047_RoL_RNA_170_1	6580715.0	19263020.0
TS047_RoL_RNA_170_2	6524831.0	19318904.0
TS047_RoL_RNA_175_1	7094966.0	18325188.0
TS047_RoL_RNA_175_2	7052661.0	18367493.0
TS047_RoL_RNA_177_1	7353443.0	16766800.0
TS047_RoL_RNA_177_2	7341009.0	16779234.0
TS047_RoL_RNA_200_1	8323076.0	26041679.0
TS047_RoL_RNA_200_2	8268120.0	26096635.0
TS047_RoL_RNA_204_1	6169511.0	17197781.0
TS047_RoL_RNA_204_2	6102744.0	17264548.0
TS047_RoL_RNA_20_1	7608069.0	20825709.0
TS047_RoL_RNA_20_2	7589376.0	20844402.0
TS047_RoL_RNA_229_1	7002898.0	21870514.0
TS047_RoL_RNA_229_2	6882234.0	21991178.0
TS047_RoL_RNA_231_1	6118127.0	14181277.0
TS047_RoL_RNA_231_2	6082968.0	14216436.0
TS047_RoL_RNA_258_1	7183590.0	19202148.0
TS047_RoL_RNA_258_2	7149292.0	19236446.0
TS047_RoL_RNA_262_1	7300277.0	21477106.0
TS047_RoL_RNA_262_2	7247662.0	21529721.0
TS047_RoL_RNA_286_1	7918397.0	17258102.0
TS047_RoL_RNA_286_2	7862081.0	17314418.0
TS047_RoL_RNA_288_1	7693412.0	18013362.0
TS047_RoL_RNA_288_2	7614028.0	18092746.0
TS047_RoL_RNA_289_1	8466083.0	21886704.0
TS047_RoL_RNA_289_2	8410501.0	21942286.0
TS047_RoL_RNA_291_1	8740736.0	16356115.0
TS047_RoL_RNA_291_2	8699616.0	16397235.0
TS047_RoL_RNA_317_1	6694911.0	18640778.0
TS047_RoL_RNA_317_2	6557715.0	18777974.0
TS047_RoL_RNA_318_1	7312816.0	19461198.0
TS047_RoL_RNA_318_2	7174014.0	19600000.0
TS047_RoL_RNA_319_1	7807675.0	19751687.0
TS047_RoL_RNA_319_2	7770785.0	19788577.0
TS047_RoL_RNA_322_1	7982178.0	20947311.0
TS047_RoL_RNA_322_2	7951328.0	20978161.0
TS047_RoL_RNA_326_1	7288912.0	16863091.0
TS047_RoL_RNA_326_2	7257020.0	16894983.0
TS047_RoL_RNA_328_1	8683692.0	21187369.0
