Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
TS047_RoL_RNA_110_1	(1.0, 17.351301005142933)	(2.0, 10.38444287576695)	(3.0, 7.358052988987953)	(4.0, 5.504931429749229)	(5.0, 4.2245016663715225)	(6.0, 3.017500340777053)	(7.0, 2.377947986884772)	(8.0, 1.984414264190747)	(9.0, 1.6429073178933755)	('>10', 18.588085763914837)	('>50', 6.537690038026511)	('>100', 12.584190535694736)	('>500', 3.6297186478272505)	('>1k', 4.396145806720692)	('>5k', 0.41816933205134305)	('>10k+', 0.0)
TS047_RoL_RNA_110_2	(1.0, 17.617270768659804)	(2.0, 10.011485304593313)	(3.0, 7.0713343665160675)	(4.0, 5.22576074030415)	(5.0, 3.9285620534141654)	(6.0, 2.9573520912178806)	(7.0, 2.3544810306346555)	(8.0, 1.937339972354911)	(9.0, 1.6844350808676245)	('>10', 18.9308415666091)	('>50', 6.549182642909053)	('>100', 12.728248853997503)	('>500', 4.159624712190775)	('>1k', 4.299055686160541)	('>5k', 0.2927504526560011)	('>10k+', 0.25227467691442884)
TS047_RoL_RNA_112_1	(1.0, 15.359130189090624)	(2.0, 9.36088195131488)	(3.0, 6.847585075217075)	(4.0, 5.171980664564443)	(5.0, 3.946979411487121)	(6.0, 3.086904625132238)	(7.0, 2.454139864401521)	(8.0, 1.9355892872695266)	(9.0, 1.6704630017347395)	('>10', 19.140695649750867)	('>50', 6.983100227789992)	('>100', 15.242237995261307)	('>500', 4.7285038680613445)	('>1k', 3.979929449872476)	('>5k', 0.09187873905196364)	('>10k+', 0.0)
TS047_RoL_RNA_112_2	(1.0, 16.07803938664415)	(2.0, 8.80569491616312)	(3.0, 6.565434622255258)	(4.0, 4.905107234558212)	(5.0, 3.70483133431607)	(6.0, 2.944458084852994)	(7.0, 2.3370520384321933)	(8.0, 1.9536984553718602)	(9.0, 1.6270979022774856)	('>10', 18.90955448795748)	('>50', 7.042287882312719)	('>100', 15.630143031140637)	('>500', 4.921036693541571)	('>1k', 3.996472644294105)	('>5k', 0.30854195416775554)	('>10k+', 0.2705493317144367)
TS047_RoL_RNA_114_1	(1.0, 16.68345154500992)	(2.0, 10.356647763597808)	(3.0, 7.702640220135675)	(4.0, 5.847941849325286)	(5.0, 4.346518013797573)	(6.0, 3.3117781450072763)	(7.0, 2.661883991064675)	(8.0, 2.1475456462045766)	(9.0, 1.7914099931869967)	('>10', 20.08461638266164)	('>50', 6.806401848421061)	('>100', 12.812867682842016)	('>500', 3.1633362565275673)	('>1k', 2.2829606622180707)	('>5k', 0.0)	('>10k+', 0.0)
TS047_RoL_RNA_114_2	(1.0, 17.30753012508565)	(2.0, 9.670158633163208)	(3.0, 7.206888217968369)	(4.0, 5.555700891200255)	(5.0, 4.27037605375247)	(6.0, 3.3343903616720216)	(7.0, 2.6730774566495863)	(8.0, 2.1993446703166444)	(9.0, 1.7764028567246806)	('>10', 20.166022059583334)	('>50', 7.051313767054171)	('>100', 12.859149524883401)	('>500', 3.2897271878971956)	('>1k', 2.2839582690538225)	('>5k', 0.27783667064910855)	('>10k+', 0.07812325434596944)
TS047_RoL_RNA_116_1	(1.0, 16.326818149625584)	(2.0, 9.78891627805153)	(3.0, 6.857067059026495)	(4.0, 4.960661008084733)	(5.0, 3.7852708014370835)	(6.0, 2.87572820378557)	(7.0, 2.3137767909079727)	(8.0, 1.8262728815605433)	(9.0, 1.6000790630325428)	('>10', 19.21008628703169)	('>50', 7.242531282239366)	('>100', 15.047162688124557)	('>500', 4.414685381889445)	('>1k', 3.7509441252030506)	('>5k', 0.0)	('>10k+', 0.0)
TS047_RoL_RNA_116_2	(1.0, 17.03442253679503)	(2.0, 9.075048687722392)	(3.0, 6.438298508812686)	(4.0, 4.782398027871059)	(5.0, 3.5570159053506676)	(6.0, 2.7542133251635765)	(7.0, 2.1406004676575656)	(8.0, 1.8359779361022812)	(9.0, 1.5082279793004831)	('>10', 19.402347546268306)	('>50', 7.549533441916865)	('>100', 15.37698483537581)	('>500', 4.500473469128784)	('>1k', 3.6307737654370746)	('>5k', 0.2902557604092059)	('>10k+', 0.12342780668829567)
TS047_RoL_RNA_119_1	(1.0, 14.823016294073202)	(2.0, 8.82101078680224)	(3.0, 6.210220363406322)	(4.0, 4.642338638537651)	(5.0, 3.340595325993248)	(6.0, 2.6126370214273242)	(7.0, 2.0166933701624203)	(8.0, 1.6617466778131165)	(9.0, 1.4307619139814673)	('>10', 16.728510385724533)	('>50', 6.433553904178003)	('>100', 15.043132549706792)	('>500', 5.86537927258777)	('>1k', 8.97702156936922)	('>5k', 1.3162456009261443)	('>10k+', 0.07713632531053609)
TS047_RoL_RNA_119_2	(1.0, 15.301348290425665)	(2.0, 8.209800716598451)	(3.0, 5.857178741720598)	(4.0, 4.329727761686726)	(5.0, 3.159370225899046)	(6.0, 2.530155420394189)	(7.0, 1.9658337523805296)	(8.0, 1.5914349335073026)	(9.0, 1.3709804753230959)	('>10', 16.249725570669593)	('>50', 6.375257127527475)	('>100', 15.658333993375722)	('>500', 6.646140675784601)	('>1k', 9.743713760458066)	('>5k', 0.7513745028440666)	('>10k+', 0.25962405140486267)
