.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
TS047_RoL_RNA_110_1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_110_2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_112_1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_112_2	1	1	0.25	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_114_1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_114_2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_116_1	1	1	0.25	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_116_2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_119_1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_119_2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_136_1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_136_2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_142_1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_142_2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_145_1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_145_2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_146_1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_146_2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_16_1	1	1	0.25	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_16_2	1	1	0.25	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_170_1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_170_2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_175_1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_175_2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_177_1	1	1	0.25	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_177_2	1	1	0.25	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_200_1	1	1	0.25	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_200_2	1	1	0.25	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_204_1	1	1	0.25	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_204_2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_20_1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
