Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
TS047_RoL_RNA_110_1 - polya	(1, 0.0035323228348618442)	(2, 0.007159074101942767)	(3, 0.010149307788880268)	(4, 0.01267439401340527)	(5, 0.015577193966806588)	(6, 0.017686095619699353)	(7, 0.02047698039417435)	(8, 0.024145699853352645)	(9, 0.028748211586697384)	(10, 0.03637942784973555)	(12, 0.0417653458355645)	(14, 0.04768286092129345)	(16, 0.05265609168483161)	(18, 0.057797195216759245)	(20, 0.06292081200197963)	(22, 0.06836793360128392)	(24, 0.07393396507819741)	(26, 0.08012951943657143)	(28, 0.08604003982361748)	(30, 0.09211143828037012)	(32, 0.09783834782699019)	(34, 0.1034288607492938)	(36, 0.10906658788770697)	(38, 0.1149386374319971)	(40, 0.1215538737113448)	(42, 0.12777915553912111)	(44, 0.1337211520702402)	(46, 0.13935013583529976)	(48, 0.14457867310076356)	(50, 0.1503545455381639)	(52, 0.15582964593219978)	(54, 0.1618625735461965)	(56, 0.16783954357073003)	(58, 0.1735594584186672)	(60, 0.17947697350439618)	(62, 0.18561132424929483)	(64, 0.1914466516254998)	(66, 0.19671016238437805)	(68, 0.20231116735470603)	(70, 0.20737008317710964)	(72, 0.21262135321329287)	(74, 0.21749141217125834)	(76, 0.2233442262941705)	(78, 0.2286514539198169)	(80, 0.23318052131699124)	(82, 0.2374088166708011)	(84, 0.24134858070394158)	(86, 0.24577447629554322)	(88, 0.24998003887863368)	(90, 0.25091383115280014)
TS047_RoL_RNA_110_2 - polya	(1, 0.016878207921825008)	(2, 0.021736026157095408)	(3, 0.02419116539479146)	(4, 0.02668127812590199)	(5, 0.028947560499159884)	(6, 0.031070451549418437)	(7, 0.033039459228653305)	(8, 0.0390339159998941)	(9, 0.04583975781835068)	(10, 0.053659830945827006)	(12, 0.059732978077250365)	(14, 0.06707041699560695)	(16, 0.07370314002166188)	(18, 0.08038832328783854)	(20, 0.08751592124570827)	(22, 0.09554408665900072)	(24, 0.10222926992517736)	(26, 0.10944779896592474)	(28, 0.11705103643423131)	(30, 0.12360506910010369)	(32, 0.13229773088827113)	(34, 0.1399516799220287)	(36, 0.147588142209079)	(38, 0.15554111461153036)	(40, 0.16207066583201257)	(42, 0.16986101149008662)	(44, 0.17740129667024712)	(46, 0.18395532933611952)	(48, 0.19067024007169847)	(50, 0.19844135030839452)	(52, 0.206848978125234)	(54, 0.2135656375354837)	(56, 0.21994655140895442)	(58, 0.22648484600279026)	(60, 0.2325632391582258)	(62, 0.2390892930293666)	(64, 0.24632880616616265)	(66, 0.25402472339201754)	(68, 0.2607291420795722)	(70, 0.267919692325588)	(72, 0.27452793390625274)	(74, 0.2811256834388932)	(76, 0.2872635315331334)	(78, 0.2941585557597969)	(80, 0.3008717178207051)	(82, 0.3074764620520285)	(84, 0.31365627833836596)	(86, 0.32011763124669)	(88, 0.3268220499342446)	(90, 0.32835563762046927)
TS047_RoL_RNA_112_1 - polya	(1, 0.002837398666588372)	(2, 0.006661375450905663)	(3, 0.009352760556070155)	(4, 0.011850776350159778)	(5, 0.01428565114471475)	(6, 0.016310109442294492)	(7, 0.019123830234057372)	(8, 0.023172746829216856)	(9, 0.02712300561260345)	(10, 0.0358206782985016)	(12, 0.0411699048528278)	(14, 0.04602386919205409)	(16, 0.05002740319379804)	(18, 0.054269689100032395)	(20, 0.05909405609572681)	(22, 0.06408219505896423)	(24, 0.06977672395449555)	(26, 0.07530550772624842)	(28, 0.0813946678688713)	(30, 0.08640451155069875)	(32, 0.09109667707861749)	(34, 0.09572570160700158)	(36, 0.10068424322670713)	(38, 0.1058006373452493)	(40, 0.11083218574566679)	(42, 0.11592884830185439)	(44, 0.1210057792956874)	(46, 0.12587158257232645)	(48, 0.13059729175624796)	(50, 0.13586561890492038)	(52, 0.14071761008791123)	(54, 0.14646738735803536)	(56, 0.15205141950438103)	(58, 0.1573749950276463)	(60, 0.16252295964595578)	(62, 0.1686140929448141)	(64, 0.17342859415933126)	(66, 0.17766101428438832)	(68, 0.18236896506219075)	(70, 0.18678686187338084)	(72, 0.1910429598732634)	(74, 0.19511358118701289)	(76, 0.19935784024948272)	(78, 0.20323903856462827)	(80, 0.2066032699460839)	(82, 0.21060680394782785)	(84, 0.21468926419899012)	(86, 0.21777330739501072)	(88, 0.2213683980560149)	(90, 0.2221221437379598)
TS047_RoL_RNA_112_2 - polya	(1, 0.009692143428568903)	(2, 0.012363796971378816)	(3, 0.013859449397855859)	(4, 0.015990458132150324)	(5, 0.017324311747319823)	(6, 0.01865027273754749)	(7, 0.02036691866239581)	(8, 0.026061447557927133)	(9, 0.031199546395059344)	(10, 0.036582316605388326)	(12, 0.0394946952089241)	(14, 0.04359688702244094)	(16, 0.04742481011922915)	(18, 0.051315874215552004)	(20, 0.05579296571380585)	(22, 0.0605028896478437)	(24, 0.06514177995740508)	(26, 0.0697037171737836)	(28, 0.07404268773555539)	(30, 0.07843296035944908)	(32, 0.08384335475707448)	(34, 0.08900513146903218)	(36, 0.09399129727603414)	(38, 0.09905441617621896)	(40, 0.10268305049322592)	(42, 0.10775800833082348)	(44, 0.1127500936065318)	(46, 0.11712260782430639)	(48, 0.12132937691830249)	(50, 0.12597418669657023)	(52, 0.13104322506546145)	(54, 0.1349382354742552)	(56, 0.13918052138048956)	(58, 0.1431702432885853)	(60, 0.1471264215406783)	(62, 0.15195078853637267)	(64, 0.156615329876995)	(66, 0.1608891862829967)	(68, 0.164782223535555)	(70, 0.16919025456556783)	(72, 0.17328850006661375)	(74, 0.17793133668864602)	(76, 0.18157772941177214)	(78, 0.1856226996944607)	(80, 0.18997942866235162)	(82, 0.19385668066502626)	(84, 0.19772998635522998)	(86, 0.2019051849494588)	(88, 0.20580216851448802)	(90, 0.20675520297621416)
TS047_RoL_RNA_114_1 - polya	(1, 0.0028093753089298147)	(2, 0.006765794556807104)	(3, 0.010281043058935365)	(4, 0.013591588335036075)	(5, 0.016408022375897877)	(6, 0.018716227717656794)	(7, 0.021596190345906454)	(8, 0.025623196913103587)	(9, 0.03045842828651294)	(10, 0.03805009447936222)	(12, 0.043628257388612944)	(14, 0.049351124302469344)	(16, 0.05466811413023664)	(18, 0.060445686216565916)	(20, 0.06642796152892275)	(22, 0.07208729985539128)	(24, 0.07787193067365256)	(26, 0.08369891388350573)	(28, 0.09003765515842777)	(30, 0.09649815955917654)	(32, 0.1019704414894475)	(34, 0.10741095912602452)	(36, 0.1124632465063424)	(38, 0.11760200335282708)	(40, 0.12292958127849235)	(42, 0.12877597600115848)	(44, 0.13410708329278975)	(46, 0.13961112951675464)	(48, 0.14546811233731874)	(50, 0.1509386295846067)	(52, 0.15657502703229628)	(54, 0.16259789005326203)	(56, 0.16862604712317675)	(58, 0.1745924402886866)	(60, 0.17997825275279075)	(62, 0.18609464397185527)	(64, 0.19169221839391895)	(66, 0.19675685855511782)	(68, 0.2024479611752803)	(70, 0.20792377247151722)	(72, 0.21280135623651847)	(74, 0.21752894194796507)	(76, 0.22214182326551693)	(78, 0.22701940703051818)	(80, 0.2315528776138352)	(82, 0.23631046293599273)	(84, 0.24073805254032998)	(86, 0.24466094281153034)	(88, 0.2482185437052505)	(90, 0.24903206256041172)
TS047_RoL_RNA_114_2 - polya	(1, 0.011061032937419647)	(2, 0.014438636166874212)	(3, 0.01584685318730511)	(4, 0.01728683450142994)	(5, 0.018984459531072202)	(6, 0.020590321045598665)	(7, 0.02208324284921338)	(8, 0.026607890017615418)	(9, 0.031997231847685555)	(10, 0.03729481016263989)	(12, 0.041042996818523636)	(14, 0.045908227802643926)	(16, 0.050208760232205454)	(18, 0.05528751785726828)	(20, 0.061043913747801604)	(22, 0.06674913383182804)	(24, 0.07178377438231595)	(26, 0.07781193145223068)	(28, 0.08328950743145062)	(30, 0.08828885432227862)	(32, 0.09468406545265654)	(34, 0.10117456946411625)	(36, 0.10746919366446339)	(38, 0.11342852809804127)	(40, 0.1182796416182976)	(42, 0.12457250113566173)	(44, 0.13047007166483476)	(46, 0.13586647222683687)	(48, 0.14127699025270296)	(50, 0.14731573542051568)	(52, 0.15373565211265552)	(54, 0.15868382319697663)	(56, 0.16333376285717138)	(58, 0.1679272326619103)	(60, 0.1726883473500338)	(62, 0.17797004351814116)	(64, 0.18360114691688179)	(66, 0.18860578785665877)	(68, 0.1933051386403774)	(70, 0.19883918447505322)	(72, 0.20377147341252738)	(74, 0.2088925834291821)	(76, 0.21330958493562135)	(78, 0.2182859909476704)	(80, 0.22323769139795752)	(82, 0.22776939729829154)	(84, 0.23226757422194863)	(86, 0.23712574647413692)	(88, 0.24151274836986525)	(90, 0.2426792038216257)
TS047_RoL_RNA_116_1 - polya	(1, 0.0030889130228332795)	(2, 0.006507310101435442)	(3, 0.009482962980098167)	(4, 0.01218747793786775)	(5, 0.014174678649223827)	(6, 0.015938791197819723)	(7, 0.018832073062540228)	(8, 0.022669189462015345)	(9, 0.02727166986603693)	(10, 0.03492702597429208)	(12, 0.04013012835497569)	(14, 0.04548939244959143)	(16, 0.05038703565357264)	(18, 0.05548202607845709)	(20, 0.061054081959090234)	(22, 0.06612676356769867)	(24, 0.07182924022040699)	(26, 0.07762781638938124)	(28, 0.083865704632714)	(30, 0.08994571509932417)	(32, 0.09535989320323474)	(34, 0.10064193447227962)	(36, 0.10561508443904122)	(38, 0.1106242717244025)	(40, 0.11610366021435066)	(42, 0.12228835051117906)	(44, 0.1274434031337297)	(46, 0.13274432109346973)	(48, 0.1381293261299424)	(50, 0.14400169299890658)	(52, 0.1497487872841669)	(54, 0.155624586278712)	(56, 0.16113314783609803)	(58, 0.16625559526562989)	(60, 0.1713231286858669)	(62, 0.1770736550967082)	(64, 0.18251014201689478)	(66, 0.18740778522087598)	(68, 0.19235519424578063)	(70, 0.1976252230752923)	(72, 0.20221569103978065)	(74, 0.20697776528331527)	(76, 0.21189600124078203)	(78, 0.2170973875586752)	(80, 0.22171702859060138)	(82, 0.2263658426899655)	(84, 0.23058564109171384)	(86, 0.23447423937490286)	(88, 0.23825815782787363)	(90, 0.23921915299053287)
TS047_RoL_RNA_116_2 - polya	(1, 0.011964389775107569)	(2, 0.0156573569001838)	(3, 0.017569050848759506)	(4, 0.01960086919266762)	(5, 0.021111004448275003)	(6, 0.02263143608062516)	(7, 0.024196485345527353)	(8, 0.029179931689031713)	(9, 0.034341848562744214)	(10, 0.040612341999095775)	(12, 0.04475491757527329)	(14, 0.05007642828849885)	(16, 0.05464630349950164)	(18, 0.059113214943076656)	(20, 0.06434377432840768)	(22, 0.06975966849510869)	(24, 0.07450286604794823)	(26, 0.07952406577284278)	(28, 0.0845040799907662)	(30, 0.08952184759007983)	(32, 0.09530669525673037)	(34, 0.10012368350955983)	(36, 0.10530619313675788)	(38, 0.11106015167318009)	(40, 0.11598181975622779)	(42, 0.12145949218338548)	(44, 0.12707959782215156)	(46, 0.13245087435630054)	(48, 0.13715117033937851)	(50, 0.14244350798516622)	(52, 0.14789543947046696)	(54, 0.1527639096070103)	(56, 0.15770960256912447)	(58, 0.1622640332150131)	(60, 0.16694373644460553)	(62, 0.17204387505786134)	(64, 0.17696382707811859)	(66, 0.18199875530533682)	(68, 0.1866115320861012)	(70, 0.19177001683423275)	(72, 0.19660931390333825)	(74, 0.20169572401427038)	(76, 0.2065041319531475)	(78, 0.21148071404549001)	(80, 0.21677133562848722)	(82, 0.22157116325341206)	(84, 0.2257223191435419)	(86, 0.23097861947072984)	(88, 0.23618687003978484)	(90, 0.237221655902434)
TS047_RoL_RNA_119_1 - polya	(1, 0.002499970063383695)	(2, 0.005978920000327727)	(3, 0.008924262881725997)	(4, 0.011251966100405941)	(5, 0.013890589965624362)	(6, 0.015823339930593268)	(7, 0.018197261083218123)	(8, 0.02170562243267255)	(9, 0.025915656052017864)	(10, 0.03317817412690646)	(12, 0.03788400012856989)	(14, 0.042988981014302985)	(16, 0.04727044234974497)	(18, 0.051898538189773774)	(20, 0.0566946992441477)	(22, 0.06142993665832153)	(24, 0.06686894715756556)	(26, 0.07188989543612609)	(28, 0.07807259450884727)	(30, 0.08369017429833298)	(32, 0.08790861117839555)	(34, 0.09234973446746542)	(36, 0.09691060422175617)	(38, 0.10164374082075067)	(40, 0.10699241626728419)	(42, 0.11219823628162436)	(44, 0.11661835141890108)	(46, 0.1208746029721913)	(48, 0.1255636224524202)	(50, 0.13101103621238147)	(52, 0.1360613959034524)	(54, 0.14141427298034456)	(56, 0.14679866228492644)	(58, 0.15168515839201085)	(60, 0.15691618818850278)	(62, 0.1625043565654781)	(64, 0.16707783121084474)	(66, 0.17118702570158298)	(68, 0.1754726886673836)	(70, 0.17966171413493578)	(72, 0.18326881379781795)	(74, 0.18714691861883165)	(76, 0.19114897153542487)	(78, 0.19496195108587985)	(80, 0.19899131459980418)	(82, 0.20260261589304496)	(84, 0.2060542552326579)	(86, 0.20958782636426412)	(88, 0.21309828852889787)	(90, 0.21393021133990622)
TS047_RoL_RNA_119_2 - polya	(1, 0.007815032467048188)	(2, 0.010709955784142921)	(3, 0.01194523510957957)	(4, 0.013793952467375916)	(5, 0.015012425271378053)	(6, 0.016369551877214915)	(7, 0.017709871961617267)	(8, 0.022579561547267184)	(9, 0.027314798961441008)	(10, 0.031766426326407436)	(12, 0.03489664094358534)	(14, 0.03892180282715102)	(16, 0.042514196783778005)	(18, 0.04599944916625998)	(20, 0.04993847762747379)	(22, 0.05420943488701921)	(24, 0.05795308753655681)	(26, 0.06183539398792913)	(28, 0.06584585016523961)	(30, 0.06986470960326735)	(32, 0.07469868533086893)	(34, 0.07894863443862121)	(36, 0.08302421588649044)	(38, 0.08760399297739502)	(40, 0.09144008149482244)	(42, 0.0958370876651267)	(44, 0.09983914058171992)	(46, 0.10371724540273361)	(48, 0.1075155192469334)	(50, 0.11186210585293412)	(52, 0.11675280359037718)	(54, 0.12043343178453536)	(56, 0.12418758850996953)	(58, 0.1274627593745201)	(60, 0.1309669190936159)	(62, 0.13476099130745703)	(64, 0.1389037988410643)	(66, 0.14310753001487167)	(68, 0.14676084761169877)	(70, 0.15088684862387153)	(72, 0.15418302764021524)	(74, 0.15803592267907718)	(76, 0.16143924326956588)	(78, 0.16527743260217262)	(80, 0.16878369313644773)	(82, 0.17228785285554354)	(84, 0.17585083539966012)	(86, 0.17938650734644565)	(88, 0.1831364624415212)	(90, 0.18402300644719172)
