Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
TS047_RoL_RNA_110_1	(1, 0.0017626640680894748)	(2, 0.014489518321616454)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.12883535504023821)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.26752280025058095)	(30, 0.0)	(32, 0.0)	(34, 0.13190422371409646)	(36, 0.0)	(38, 0.0)	(40, 0.00024661369660988373)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 2.8013021502882846e-05)	(64, 0.1330740981832728)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.1319811929261104)	(76, 0.0)	(78, 0.13140975103110475)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 8.932566040202586e-06)	(88, 0.0)	(90, 0.0)	(92, 1.4521440307604766e-05)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.3528564245490979)
TS047_RoL_RNA_110_2	(1, 0.0007973956498500004)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 1.7486746707236852e-06)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.00020985824862273966)	(26, 0.0)	(28, 6.995822811688698e-06)	(30, 6.9960840468960115e-06)	(32, 6.121788433265555e-05)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 3.4999543168462793e-06)	(54, 2.100158483209539e-05)	(56, 8.751596334929474e-06)	(58, 0.13520950067750045)	(60, 0.0)	(62, 3.5025402348180026e-06)	(64, 0.0)	(66, 0.00019102399287638234)	(68, 0.0)	(70, 2.631968848157085e-05)	(72, 1.5806628590488855e-05)	(74, 7.38546476175836e-05)	(76, 0.2657421491017928)	(78, 3.1761699730890177e-05)	(80, 7.074574987390896e-06)	(82, 5.498384184518679e-05)	(84, 0.0001584042505306676)	(86, 0.00012510658634347227)	(88, 9.158046715052638e-05)	(90, 0.13540061841205064)	(92, 0.00015800303057077143)	(94, 6.582801772090236e-05)	(96, 0.0003357002104157852)	(98, 1.894689734135242e-05)	(100, 4.41119676429895e-05)
TS047_RoL_RNA_112_1	(1, 0.0019455320481614289)	(2, 0.014384308956487643)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.1316292524673924)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.2701857629234476)	(30, 0.0)	(32, 0.0)	(34, 0.1284979414123427)	(36, 0.0)	(38, 0.0)	(40, 0.0002506365279728324)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 1.7778842928011863e-05)	(64, 0.1343190815930079)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.1343351925376875)	(76, 0.0)	(78, 0.13557286087339487)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 4.098467064708422e-06)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.3585570573222306)
TS047_RoL_RNA_112_2	(1, 0.0008879203059560273)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.00021312051171655668)	(26, 0.0)	(28, 1.1841038323283712e-05)	(30, 0.0)	(32, 2.1710183809073855e-05)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 9.873744040010623e-06)	(54, 1.7774529383785506e-05)	(56, 0.0)	(58, 0.13802851130014973)	(60, 0.0)	(62, 7.905361283607741e-06)	(64, 1.976962065656492e-06)	(66, 4.944486470381893e-05)	(68, 0.0)	(70, 0.0)	(72, 1.9822299821680572e-06)	(74, 2.7786338064903445e-05)	(76, 0.2770968783906439)	(78, 2.19094949437168e-05)	(80, 0.0)	(82, 1.8021405825839932e-05)	(84, 7.83688965022374e-05)	(86, 2.2196485061483054e-05)	(88, 1.6220483408929233e-05)	(90, 0.13777440995886767)	(92, 6.97403609436995e-05)	(94, 3.0982029328291216e-05)	(96, 0.00011252717296795566)	(98, 2.140701044056291e-06)	(100, 8.266446301578148e-06)
TS047_RoL_RNA_114_1	(1, 0.001972915574989656)	(2, 0.014332755187894444)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.12573189785549016)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.26221054449819686)	(30, 0.0)	(32, 0.0)	(34, 0.13187849833196863)	(36, 0.0)	(38, 0.0)	(40, 0.00010413551793882558)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.1322283584457083)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.1303131155794894)	(76, 0.0)	(78, 0.12931219714604658)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.34146458165622395)
TS047_RoL_RNA_114_2	(1, 0.0009141057851919874)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 7.765234923240476e-05)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 3.0006210579561482e-05)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 1.0596847663886077e-05)	(58, 0.13002147471281825)	(60, 0.0)	(62, 1.766887437485093e-06)	(64, 0.0)	(66, 4.9499740594841565e-05)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 2.8358229879999844e-05)	(76, 0.26569508534807135)	(78, 1.777162200385559e-05)	(80, 0.0)	(82, 1.7843285315684566e-06)	(84, 0.00010556308701463278)	(86, 5.026101532528364e-05)	(88, 3.0630118472974e-05)	(90, 0.13445078474831612)	(92, 4.182293290335964e-05)	(94, 4.3883863841096826e-05)	(96, 0.00015288808822195297)	(98, 0.0)	(100, 0.0)
TS047_RoL_RNA_116_1	(1, 0.0017847053020814503)	(2, 0.013982479616691978)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.1316340284680402)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.27413685212597383)	(30, 0.0)	(32, 0.0)	(34, 0.12826927778401817)	(36, 0.0)	(38, 0.0)	(40, 0.000255742403892777)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 1.7179507609886228e-06)	(64, 0.13561102763025068)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.13520025142950534)	(76, 0.0)	(78, 0.13514952800385274)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.35145823866983056)
TS047_RoL_RNA_116_2	(1, 0.0008374386417459113)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0002145283728446828)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 2.5747587644144648e-05)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 1.7176220429719493e-06)	(56, 1.0306839596424702e-05)	(58, 0.13757883887335887)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 3.955605993162718e-05)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 1.0350001516275223e-05)	(76, 0.27441571702709777)	(78, 8.651799138170062e-06)	(80, 0.0)	(82, 3.476910316662215e-06)	(84, 7.149923235110769e-05)	(86, 5.426164861941737e-05)	(88, 2.988400225683985e-05)	(90, 0.1347048695409358)	(92, 2.3089893448844847e-05)	(94, 1.9659503476363193e-05)	(96, 0.00010810293085423045)	(98, 0.0)	(100, 4.782019644393238e-06)
TS047_RoL_RNA_119_1	(1, 0.001886532031023998)	(2, 0.014415793760452869)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.1310152378427401)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.27263342637364896)	(30, 0.0)	(32, 0.0)	(34, 0.1267381481615867)	(36, 0.0)	(38, 0.0)	(40, 0.00015968835556713528)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 2.103014703122146e-06)	(64, 0.1358512303549131)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.1339640164609512)	(76, 0.0)	(78, 0.13346953517785462)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.3609568399262368)
TS047_RoL_RNA_119_2	(1, 0.0009243586788981728)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0001071499096778786)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 1.8911548753300276e-05)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.13657111672612907)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 4.631488462709613e-05)	(68, 0.0)	(70, 0.0)	(72, 2.109445277487823e-06)	(74, 1.4783151650511427e-05)	(76, 0.27272154329520326)	(78, 1.0593228194131075e-05)	(80, 0.0)	(82, 4.257558171602713e-06)	(84, 7.047759677374919e-05)	(86, 3.215928916136335e-05)	(88, 4.3069518035296075e-06)	(90, 0.13890670770737337)	(92, 4.788304071064004e-05)	(94, 3.5049205140982356e-05)	(96, 0.00016124984979466045)	(98, 0.0)	(100, 2.3471299588254726e-05)
