Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
TS047_RoL_RNA_110_1	(1, 39.59820716080179)	(2, 39.48252246880828)	(3, 39.52377950989056)	(4, 39.542856990972254)	(5, 39.59096261148194)	(6, 39.536105987591476)	(7, 39.60115122947742)	(8, 39.53973287875253)	(9, 39.53559061819252)	(10, 39.53185398020913)	(12, 39.532916125204125)	(14, 39.535470239428186)	(16, 39.632794476901985)	(18, 39.58135644204579)	(20, 39.637566778988194)	(22, 39.63622033547165)	(24, 39.63383909686444)	(26, 39.61329592207389)	(28, 39.510562623521416)	(30, 39.60573360561544)	(32, 39.61767385071589)	(34, 39.54398033328218)	(36, 39.59276887800632)	(38, 39.59066721417751)	(40, 39.587699210713296)	(42, 39.583249865421145)	(44, 39.58803932845207)	(46, 39.58327659845214)	(48, 39.58279849045061)	(50, 39.5768251774674)	(52, 39.58185108136267)	(54, 39.56826597664777)	(56, 39.575704359836216)	(58, 39.563833651424645)	(60, 39.57104631457193)	(62, 39.56230419612625)	(64, 39.5219705099367)	(66, 39.56309258024672)	(68, 39.5572806892813)	(70, 39.550884243005086)	(72, 39.54665674453358)	(74, 39.48963882769808)	(76, 39.54072766224438)	(78, 39.47178954950326)	(80, 39.527475736453894)	(82, 39.52146732183152)	(84, 39.519726723812155)	(86, 39.509111828117945)	(88, 39.50511299523746)	(90, 39.49831741304336)	(92, 39.50449800656453)	(94, 39.50321390767775)	(96, 39.50385372438645)	(98, 39.49970326609085)	(100, 39.42332616265519)
TS047_RoL_RNA_110_2	(1, 39.46064284148722)	(2, 39.40327106384436)	(3, 39.46280518263805)	(4, 39.47569473358294)	(5, 39.527205093623515)	(6, 39.487396444797504)	(7, 39.524792342259836)	(8, 39.47720083210334)	(9, 39.520065045101994)	(10, 39.497873244378724)	(12, 39.491318861977916)	(14, 39.50600108424824)	(16, 39.50149212660978)	(18, 39.49696183514034)	(20, 39.494942149905825)	(22, 39.49274875544519)	(24, 39.48209199316743)	(26, 39.49941904698943)	(28, 39.50273606404183)	(30, 39.47336700252862)	(32, 39.496428034571)	(34, 39.4814936440155)	(36, 39.46732928215014)	(38, 39.455902187761964)	(40, 39.459638426191276)	(42, 39.45441862979962)	(44, 39.46304107697942)	(46, 39.44639835650244)	(48, 39.43075814486045)	(50, 39.44007545952949)	(52, 39.44298414345907)	(54, 39.4334104532782)	(56, 39.433284545489876)	(58, 39.37107618315696)	(60, 39.41774701019325)	(62, 39.41636831865958)	(64, 39.41718958391884)	(66, 39.39701093305514)	(68, 39.381708557866396)	(70, 39.38364829787312)	(72, 39.38968957368164)	(74, 39.383275417124096)	(76, 39.27718542176268)	(78, 39.37077430471446)	(80, 39.3634368414459)	(82, 39.362968148878636)	(84, 39.36009490924249)	(86, 39.347062793855926)	(88, 39.34962184306516)	(90, 39.277651006191775)	(92, 39.34404290324423)	(94, 39.325847917974414)	(96, 39.33420119392518)	(98, 39.32728258170452)	(100, 39.386032906023345)
TS047_RoL_RNA_112_1	(1, 39.5777272807634)	(2, 39.47653056939922)	(3, 39.50300440661036)	(4, 39.526900591441745)	(5, 39.59038886647384)	(6, 39.51742328526409)	(7, 39.572389893146486)	(8, 39.53932468806768)	(9, 39.52455395619404)	(10, 39.5224759069731)	(12, 39.52108814672958)	(14, 39.52347882282446)	(16, 39.62087089433543)	(18, 39.57146069441208)	(20, 39.62730988429769)	(22, 39.62873786706625)	(24, 39.625828771860625)	(26, 39.60533448894721)	(28, 39.50120369574226)	(30, 39.59355468600961)	(32, 39.60367818599795)	(34, 39.539134326243335)	(36, 39.586946794976704)	(38, 39.58351405915937)	(40, 39.58147537793763)	(42, 39.57717538415567)	(44, 39.5835883141879)	(46, 39.5792945610609)	(48, 39.58107340614775)	(50, 39.57432320782485)	(52, 39.58053848391607)	(54, 39.562821213925226)	(56, 39.57058445029394)	(58, 39.55818283261404)	(60, 39.56288225105284)	(62, 39.55631778587278)	(64, 39.5181294956014)	(66, 39.561914701661124)	(68, 39.55485355827837)	(70, 39.548953283743316)	(72, 39.54394832833768)	(74, 39.484249558985425)	(76, 39.53985228971397)	(78, 39.46904679037772)	(80, 39.52547918233692)	(82, 39.51951607292452)	(84, 39.51878487477984)	(86, 39.51000984120806)	(88, 39.50894003350815)	(90, 39.50070824454894)	(92, 39.505386617040834)	(94, 39.50490103374435)	(96, 39.50507630556794)	(98, 39.50353729519561)	(100, 39.42241752272081)
TS047_RoL_RNA_112_2	(1, 39.400883074234244)	(2, 39.3246675468522)	(3, 39.42269158084226)	(4, 39.438877460367976)	(5, 39.47508250950114)	(6, 39.43441623304585)	(7, 39.458049277761674)	(8, 39.41514086441291)	(9, 39.45928289504008)	(10, 39.441454718116475)	(12, 39.435531145245136)	(14, 39.46305091311356)	(16, 39.45802046968064)	(18, 39.4586566941772)	(20, 39.45185793579088)	(22, 39.45210110779817)	(24, 39.44229610356612)	(26, 39.45854634368865)	(28, 39.46075792664786)	(30, 39.423020820108874)	(32, 39.45848805903111)	(34, 39.440254143875734)	(36, 39.43339550062274)	(38, 39.42103275868175)	(40, 39.422930803551665)	(42, 39.415919828481165)	(44, 39.42636035711995)	(46, 39.40748179279179)	(48, 39.38737222961721)	(50, 39.40204304051892)	(52, 39.40549957776934)	(54, 39.38955783678375)	(56, 39.39083914106341)	(58, 39.32725388286488)	(60, 39.3811284340633)	(62, 39.37584712250745)	(64, 39.37520482966022)	(66, 39.35393994878796)	(68, 39.34348757957868)	(70, 39.33952755855408)	(72, 39.34703519803445)	(74, 39.34279447970823)	(76, 39.232589687119045)	(78, 39.32799982058991)	(80, 39.32068903080436)	(82, 39.328012767599944)	(84, 39.32720685320653)	(86, 39.310684871833466)	(88, 39.31289580297015)	(90, 39.24352320911235)	(92, 39.312052289141484)	(94, 39.294942415615516)	(96, 39.30310198032478)	(98, 39.29367295148438)	(100, 39.3603013373004)
TS047_RoL_RNA_114_1	(1, 39.594900715582476)	(2, 39.4912462018287)	(3, 39.52775657511174)	(4, 39.54004469800821)	(5, 39.59095029625674)	(6, 39.53835766107647)	(7, 39.58798464062284)	(8, 39.541122001675674)	(9, 39.540276930288776)	(10, 39.53993366415492)	(12, 39.535634472884425)	(14, 39.540295706515714)	(16, 39.63388228032758)	(18, 39.58528576976231)	(20, 39.63904008066928)	(22, 39.64007148403917)	(24, 39.637233273501266)	(26, 39.61628430929447)	(28, 39.51665278754987)	(30, 39.6088057807944)	(32, 39.619382558257215)	(34, 39.54993630905132)	(36, 39.59823499067222)	(38, 39.59489184504473)	(40, 39.59255423110898)	(42, 39.58766215524466)	(44, 39.594555467301944)	(46, 39.589478831583165)	(48, 39.59084349916873)	(50, 39.584327101500534)	(52, 39.59021851834204)	(54, 39.574528235087534)	(56, 39.58106575893436)	(58, 39.570444392615855)	(60, 39.57680505783727)	(62, 39.56924472937081)	(64, 39.52967913501374)	(66, 39.56953668752718)	(68, 39.56388828679158)	(70, 39.5606066403995)	(72, 39.555689625525794)	(74, 39.49949761002691)	(76, 39.55073854433422)	(78, 39.481952357723486)	(80, 39.53733185730347)	(82, 39.531456655426524)	(84, 39.529193222324125)	(86, 39.519276044673816)	(88, 39.51535844209875)	(90, 39.508276628155855)	(92, 39.51478686419767)	(94, 39.512739630446795)	(96, 39.513469788150246)	(98, 39.50983806673791)	(100, 39.43586729674625)
TS047_RoL_RNA_114_2	(1, 39.42857652094232)	(2, 39.3663998924814)	(3, 39.444629983213275)	(4, 39.45767988445985)	(5, 39.493499560823345)	(6, 39.46669783802688)	(7, 39.50251440854832)	(8, 39.45270263139997)	(9, 39.496508557071316)	(10, 39.47537499601623)	(12, 39.46934634483508)	(14, 39.48872482278259)	(16, 39.484241328021355)	(18, 39.481459975878195)	(20, 39.47780521126007)	(22, 39.47303570774812)	(24, 39.46357112245214)	(26, 39.479104956256606)	(28, 39.48332015093024)	(30, 39.452283549507385)	(32, 39.47913883960026)	(34, 39.460081319302034)	(36, 39.4471611878809)	(38, 39.43831308988949)	(40, 39.44055080474173)	(42, 39.43292063419891)	(44, 39.44402430106183)	(46, 39.42170498031909)	(48, 39.4067078001107)	(50, 39.4200477074199)	(52, 39.42270342750383)	(54, 39.411123417543195)	(56, 39.41216373599392)	(58, 39.351884134127374)	(60, 39.39948219885243)	(62, 39.39656141688623)	(64, 39.39443378931735)	(66, 39.3765548360299)	(68, 39.36154127955096)	(70, 39.361858324385466)	(72, 39.36850045493341)	(74, 39.36292140913705)	(76, 39.25849598527002)	(78, 39.350044630911924)	(80, 39.34366701302335)	(82, 39.346801020903115)	(84, 39.344199647820446)	(86, 39.32788281346453)	(88, 39.33136105523201)	(90, 39.26203930427941)	(92, 39.32847971508865)	(94, 39.31075158703419)	(96, 39.31955486277242)	(98, 39.31200558873692)	(100, 39.37507726995787)
TS047_RoL_RNA_116_1	(1, 39.579413190955954)	(2, 39.496112894691436)	(3, 39.51022304937974)	(4, 39.5328422670933)	(5, 39.58926668621377)	(6, 39.51671210057309)	(7, 39.58416641031549)	(8, 39.54028750847349)	(9, 39.52067442091376)	(10, 39.51886225860703)	(12, 39.516990308672675)	(14, 39.52129604749897)	(16, 39.6195650103446)	(18, 39.57164364802962)	(20, 39.62629786368419)	(22, 39.62721862367119)	(24, 39.62368127233587)	(26, 39.603804196567395)	(28, 39.4993202039616)	(30, 39.59447554176762)	(32, 39.60697347607683)	(34, 39.540642850307236)	(36, 39.58622648635665)	(38, 39.58177145607563)	(40, 39.58037368473104)	(42, 39.578489259259285)	(44, 39.584338952661696)	(46, 39.578730856898765)	(48, 39.57931477636504)	(50, 39.572809505683324)	(52, 39.58017367068142)	(54, 39.56518395197216)	(56, 39.57182151671255)	(58, 39.55834508404972)	(60, 39.56627836798352)	(62, 39.559549837612686)	(64, 39.5199215650011)	(66, 39.56156991229916)	(68, 39.555466238649856)	(70, 39.550697234057196)	(72, 39.54633603612002)	(74, 39.487680050218785)	(76, 39.54157557057749)	(78, 39.47092819718373)	(80, 39.52817648723895)	(82, 39.52116949478651)	(84, 39.51893860436935)	(86, 39.508926672441376)	(88, 39.50657324939776)	(90, 39.49814104200544)	(92, 39.50261074729165)	(94, 39.50312808309829)	(96, 39.50549049590898)	(98, 39.501813090023695)	(100, 39.42581961121255)
TS047_RoL_RNA_116_2	(1, 39.4011027350849)	(2, 39.32296243370377)	(3, 39.39544261086186)	(4, 39.41886865265698)	(5, 39.4531559990655)	(6, 39.42372126637334)	(7, 39.464004948026805)	(8, 39.41639395282811)	(9, 39.46597910666095)	(10, 39.448360221348764)	(12, 39.44008296408524)	(14, 39.4580525439893)	(16, 39.454957933638)	(18, 39.450990533751465)	(20, 39.45054458515172)	(22, 39.44592668930447)	(24, 39.43648087383757)	(26, 39.45518264868099)	(28, 39.4577309841617)	(30, 39.42062423760353)	(32, 39.43791826285901)	(34, 39.42695361249675)	(36, 39.42669836753993)	(38, 39.41927927662775)	(40, 39.42368854270691)	(42, 39.41400579195319)	(44, 39.42221763353469)	(46, 39.403351738692095)	(48, 39.38482136259741)	(50, 39.39601846372136)	(52, 39.39858898924054)	(54, 39.382797211349626)	(56, 39.38682515010186)	(58, 39.32220816180002)	(60, 39.372662248572965)	(62, 39.37035599230331)	(64, 39.37061403473199)	(66, 39.34872366744778)	(68, 39.336123944117)	(70, 39.33655161671257)	(72, 39.34420951567021)	(74, 39.33662150843671)	(76, 39.23140689960903)	(78, 39.326212518703244)	(80, 39.320774504982346)	(82, 39.32264781249159)	(84, 39.322688090585046)	(86, 39.30859856843132)	(88, 39.31097073981667)	(90, 39.241879231558094)	(92, 39.30999353008789)	(94, 39.294101918944065)	(96, 39.30357164455101)	(98, 39.2968632671326)	(100, 39.344272427748706)
TS047_RoL_RNA_119_1	(1, 39.592623281611964)	(2, 39.50922596094963)	(3, 39.53603278280071)	(4, 39.5561370798711)	(5, 39.58157156521445)	(6, 39.54685214903939)	(7, 39.58700544972466)	(8, 39.54703164268831)	(9, 39.539199467569404)	(10, 39.53337256255544)	(12, 39.53067982169121)	(14, 39.53615883171147)	(16, 39.633892283222664)	(18, 39.58236693384134)	(20, 39.64090375531002)	(22, 39.63927251941778)	(24, 39.63668693540876)	(26, 39.619832448378276)	(28, 39.51722399445579)	(30, 39.61690488684835)	(32, 39.62341709685344)	(34, 39.55743142253295)	(36, 39.60094452801398)	(38, 39.59786056877846)	(40, 39.602196521235356)	(42, 39.598229417620175)	(44, 39.6047335662756)	(46, 39.59854786336478)	(48, 39.598304761492315)	(50, 39.59183590990225)	(52, 39.60359542165506)	(54, 39.58770476974385)	(56, 39.592437814344684)	(58, 39.57731885240639)	(60, 39.58382164773741)	(62, 39.5781571265146)	(64, 39.53955751781096)	(66, 39.575335989507586)	(68, 39.564414932316275)	(70, 39.55926262893496)	(72, 39.56146922636129)	(74, 39.50269683757468)	(76, 39.55698728681493)	(78, 39.48131039356656)	(80, 39.54145114804288)	(82, 39.53674916319822)	(84, 39.53741752540647)	(86, 39.52398240479573)	(88, 39.5218910081105)	(90, 39.515805219135736)	(92, 39.52299489135996)	(94, 39.52023941186776)	(96, 39.52095520514558)	(98, 39.51592494433038)	(100, 39.43016491840369)
TS047_RoL_RNA_119_2	(1, 39.40943194587796)	(2, 39.37331573970648)	(3, 39.46125216567785)	(4, 39.484290377195066)	(5, 39.5151585789834)	(6, 39.488461587749896)	(7, 39.522424038199546)	(8, 39.473837561188866)	(9, 39.51742796357271)	(10, 39.50348048353203)	(12, 39.493541190788264)	(14, 39.51969902881415)	(16, 39.513266080637266)	(18, 39.511183164403285)	(20, 39.50863974488096)	(22, 39.5000648139262)	(24, 39.49008626741804)	(26, 39.50445687992101)	(28, 39.50060570820396)	(30, 39.46287478739703)	(32, 39.47473730792315)	(34, 39.45937768378875)	(36, 39.43786553240429)	(38, 39.44256238853481)	(40, 39.462771279757085)	(42, 39.45662640575082)	(44, 39.46998316119165)	(46, 39.44972142296099)	(48, 39.438793785591)	(50, 39.44717796507202)	(52, 39.45142048034268)	(54, 39.4411724646569)	(56, 39.43842311305103)	(58, 39.378135945244594)	(60, 39.432431550455426)	(62, 39.429111349014605)	(64, 39.429606311968996)	(66, 39.41197475380322)	(68, 39.400282267108885)	(70, 39.39893996699729)	(72, 39.40540898541978)	(74, 39.400028104203216)	(76, 39.29164071876188)	(78, 39.38812597242952)	(80, 39.37926008586554)	(82, 39.38232465584406)	(84, 39.38166795844426)	(86, 39.363588279081625)	(88, 39.368564481116366)	(90, 39.3003843886452)	(92, 39.364590657348316)	(94, 39.345540394012744)	(96, 39.3580171641601)	(98, 39.34684932134259)	(100, 39.40601112464671)
