Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
TS047_RoL_RNA_110_1	(16.0, 14.0)	(17.0, 111.0)	(18.0, 317.0)	(19.0, 447.0)	(20.0, 807.0)	(21.0, 1416.0)	(22.0, 2727.0)	(23.0, 4821.0)	(24.0, 7612.0)	(25.0, 11139.0)	(26.0, 14693.0)	(27.0, 18090.0)	(28.0, 23260.0)	(29.0, 28314.0)	(30.0, 36486.0)	(31.0, 46424.0)	(32.0, 61892.0)	(33.0, 79263.0)	(34.0, 105724.0)	(35.0, 143042.0)	(36.0, 215260.0)	(37.0, 352327.0)	(38.0, 1060380.0)	(39.0, 15993703.0)	(40.0, 10384814.0)				
TS047_RoL_RNA_110_2	(13.0, 8.0)	(14.0, 61.0)	(15.0, 536.0)	(16.0, 2389.0)	(17.0, 4875.0)	(18.0, 6234.0)	(19.0, 6572.0)	(20.0, 7995.0)	(21.0, 9427.0)	(22.0, 11373.0)	(23.0, 13353.0)	(24.0, 17034.0)	(25.0, 20191.0)	(26.0, 24187.0)	(27.0, 27907.0)	(28.0, 34221.0)	(29.0, 40044.0)	(30.0, 48907.0)	(31.0, 59003.0)	(32.0, 75643.0)	(33.0, 93487.0)	(34.0, 123376.0)	(35.0, 167332.0)	(36.0, 252164.0)	(37.0, 412249.0)	(38.0, 1271486.0)	(39.0, 17372751.0)	(40.0, 8490278.0)	
TS047_RoL_RNA_112_1	(16.0, 18.0)	(17.0, 106.0)	(18.0, 298.0)	(19.0, 417.0)	(20.0, 794.0)	(21.0, 1359.0)	(22.0, 2493.0)	(23.0, 4376.0)	(24.0, 6731.0)	(25.0, 9552.0)	(26.0, 12867.0)	(27.0, 15960.0)	(28.0, 20761.0)	(29.0, 25671.0)	(30.0, 32757.0)	(31.0, 41634.0)	(32.0, 55864.0)	(33.0, 70939.0)	(34.0, 94508.0)	(35.0, 128051.0)	(36.0, 191296.0)	(37.0, 315260.0)	(38.0, 954463.0)	(39.0, 14310691.0)	(40.0, 9043246.0)				
TS047_RoL_RNA_112_2	(13.0, 6.0)	(14.0, 70.0)	(15.0, 520.0)	(16.0, 2362.0)	(17.0, 4801.0)	(18.0, 6603.0)	(19.0, 7106.0)	(20.0, 8597.0)	(21.0, 10056.0)	(22.0, 12185.0)	(23.0, 14477.0)	(24.0, 17672.0)	(25.0, 21091.0)	(26.0, 25087.0)	(27.0, 28975.0)	(28.0, 35325.0)	(29.0, 41059.0)	(30.0, 48902.0)	(31.0, 59334.0)	(32.0, 75362.0)	(33.0, 91622.0)	(34.0, 118077.0)	(35.0, 159423.0)	(36.0, 237714.0)	(37.0, 383452.0)	(38.0, 1170766.0)	(39.0, 15486207.0)	(40.0, 7273261.0)	
TS047_RoL_RNA_114_1	(15.0, 1.0)	(16.0, 14.0)	(17.0, 130.0)	(18.0, 312.0)	(19.0, 465.0)	(20.0, 850.0)	(21.0, 1393.0)	(22.0, 2745.0)	(23.0, 4834.0)	(24.0, 7639.0)	(25.0, 10834.0)	(26.0, 14597.0)	(27.0, 17733.0)	(28.0, 22745.0)	(29.0, 28221.0)	(30.0, 35682.0)	(31.0, 44855.0)	(32.0, 60331.0)	(33.0, 77531.0)	(34.0, 102751.0)	(35.0, 139162.0)	(36.0, 208855.0)	(37.0, 340073.0)	(38.0, 1018310.0)	(39.0, 15815155.0)	(40.0, 10378483.0)			
TS047_RoL_RNA_114_2	(12.0, 1.0)	(13.0, 7.0)	(14.0, 66.0)	(15.0, 540.0)	(16.0, 2264.0)	(17.0, 4769.0)	(18.0, 6697.0)	(19.0, 7265.0)	(20.0, 8618.0)	(21.0, 10062.0)	(22.0, 12451.0)	(23.0, 14730.0)	(24.0, 18410.0)	(25.0, 21679.0)	(26.0, 25912.0)	(27.0, 30060.0)	(28.0, 36470.0)	(29.0, 42419.0)	(30.0, 51367.0)	(31.0, 62073.0)	(32.0, 79743.0)	(33.0, 97837.0)	(34.0, 128002.0)	(35.0, 173051.0)	(36.0, 260210.0)	(37.0, 418644.0)	(38.0, 1288007.0)	(39.0, 17236785.0)	(40.0, 8295562.0)
TS047_RoL_RNA_116_1	(15.0, 1.0)	(16.0, 11.0)	(17.0, 122.0)	(18.0, 327.0)	(19.0, 523.0)	(20.0, 916.0)	(21.0, 1588.0)	(22.0, 2998.0)	(23.0, 5102.0)	(24.0, 7890.0)	(25.0, 11550.0)	(26.0, 15126.0)	(27.0, 18599.0)	(28.0, 24009.0)	(29.0, 29294.0)	(30.0, 37286.0)	(31.0, 47010.0)	(32.0, 63215.0)	(33.0, 80575.0)	(34.0, 107480.0)	(35.0, 145254.0)	(36.0, 219542.0)	(37.0, 359519.0)	(38.0, 1093114.0)	(39.0, 16527690.0)	(40.0, 10337722.0)			
TS047_RoL_RNA_116_2	(12.0, 2.0)	(13.0, 6.0)	(14.0, 102.0)	(15.0, 565.0)	(16.0, 2588.0)	(17.0, 5318.0)	(18.0, 7523.0)	(19.0, 7960.0)	(20.0, 9864.0)	(21.0, 11474.0)	(22.0, 13968.0)	(23.0, 16372.0)	(24.0, 20248.0)	(25.0, 23942.0)	(26.0, 28762.0)	(27.0, 32888.0)	(28.0, 39875.0)	(29.0, 46132.0)	(30.0, 55385.0)	(31.0, 66212.0)	(32.0, 83835.0)	(33.0, 103587.0)	(34.0, 134857.0)	(35.0, 181349.0)	(36.0, 272657.0)	(37.0, 448148.0)	(38.0, 1407895.0)	(39.0, 18023065.0)	(40.0, 8091884.0)
TS047_RoL_RNA_119_1	(16.0, 23.0)	(17.0, 180.0)	(18.0, 441.0)	(19.0, 565.0)	(20.0, 650.0)	(21.0, 1091.0)	(22.0, 1966.0)	(23.0, 3293.0)	(24.0, 5398.0)	(25.0, 7625.0)	(26.0, 10305.0)	(27.0, 12626.0)	(28.0, 16514.0)	(29.0, 20363.0)	(30.0, 26147.0)	(31.0, 33629.0)	(32.0, 45749.0)	(33.0, 58442.0)	(34.0, 80027.0)	(35.0, 111085.0)	(36.0, 171696.0)	(37.0, 291710.0)	(38.0, 896075.0)	(39.0, 13720428.0)	(40.0, 8284257.0)				
TS047_RoL_RNA_119_2	(12.0, 3.0)	(13.0, 10.0)	(14.0, 83.0)	(15.0, 480.0)	(16.0, 2120.0)	(17.0, 4210.0)	(18.0, 5439.0)	(19.0, 5611.0)	(20.0, 6535.0)	(21.0, 7678.0)	(22.0, 9284.0)	(23.0, 10801.0)	(24.0, 13589.0)	(25.0, 16084.0)	(26.0, 19316.0)	(27.0, 22830.0)	(28.0, 27508.0)	(29.0, 32181.0)	(30.0, 38973.0)	(31.0, 47566.0)	(32.0, 60715.0)	(33.0, 74727.0)	(34.0, 98805.0)	(35.0, 134545.0)	(36.0, 205026.0)	(37.0, 337992.0)	(38.0, 1057686.0)	(39.0, 14565246.0)	(40.0, 6995242.0)
