Sample	Unique Reads	Duplicate Reads
TS047_RoL_RNA_110_1	8476003.0	20117080.0
TS047_RoL_RNA_110_2	8426326.0	20166757.0
TS047_RoL_RNA_112_1	6816492.0	18523620.0
TS047_RoL_RNA_112_2	6844393.0	18495719.0
TS047_RoL_RNA_114_1	8332339.0	20001362.0
TS047_RoL_RNA_114_2	8327212.0	20006489.0
TS047_RoL_RNA_116_1	8131364.0	21005099.0
TS047_RoL_RNA_116_2	8140413.0	20996050.0
TS047_RoL_RNA_119_1	6015572.0	17784713.0
TS047_RoL_RNA_119_2	5973935.0	17826350.0
TS047_RoL_RNA_136_1	7013387.0	16336630.0
TS047_RoL_RNA_136_2	6797537.0	16552480.0
TS047_RoL_RNA_142_1	7821387.0	18379279.0
TS047_RoL_RNA_142_2	7729042.0	18471624.0
TS047_RoL_RNA_145_1	7995880.0	21010350.0
TS047_RoL_RNA_145_2	7941405.0	21064825.0
TS047_RoL_RNA_146_1	8378795.0	21991925.0
TS047_RoL_RNA_146_2	8327453.0	22043267.0
TS047_RoL_RNA_16_1	6200938.0	17489789.0
TS047_RoL_RNA_16_2	6195981.0	17494746.0
TS047_RoL_RNA_170_1	6573305.0	19252098.0
TS047_RoL_RNA_170_2	6501482.0	19323921.0
TS047_RoL_RNA_175_1	7086730.0	18315385.0
TS047_RoL_RNA_175_2	7034044.0	18368071.0
TS047_RoL_RNA_177_1	7349263.0	16755216.0
TS047_RoL_RNA_177_2	7320592.0	16783887.0
TS047_RoL_RNA_200_1	8311033.0	26028076.0
TS047_RoL_RNA_200_2	8229928.0	26109181.0
TS047_RoL_RNA_204_1	6161681.0	17190432.0
TS047_RoL_RNA_204_2	6088015.0	17264098.0
TS047_RoL_RNA_20_1	7598385.0	20815251.0
TS047_RoL_RNA_20_2	7568911.0	20844725.0
TS047_RoL_RNA_229_1	6993826.0	21856123.0
TS047_RoL_RNA_229_2	6854008.0	21995941.0
TS047_RoL_RNA_231_1	6111552.0	14172445.0
TS047_RoL_RNA_231_2	6066733.0	14217264.0
TS047_RoL_RNA_258_1	7177460.0	19188845.0
TS047_RoL_RNA_258_2	7128243.0	19238062.0
TS047_RoL_RNA_262_1	7290511.0	21466757.0
