Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
TS047_RoL_RNA_110_1	(1.0, 17.32696318573615)	(2.0, 10.39555180879525)	(3.0, 7.3606975393228025)	(4.0, 5.499060326734452)	(5.0, 4.2297076153886835)	(6.0, 3.0218510181739355)	(7.0, 2.375429344077017)	(8.0, 1.9930904473478424)	(9.0, 1.639499245074881)	('>10', 18.593072012872344)	('>50', 6.543030148237435)	('>100', 12.582594861770321)	('>500', 3.643247245162688)	('>1k', 4.377856653151387)	('>5k', 0.41834854815471934)	('>10k+', 0.0)
TS047_RoL_RNA_110_2	(1.0, 17.563119396658315)	(2.0, 10.021364004203829)	(3.0, 7.075424662400762)	(4.0, 5.226529493626795)	(5.0, 3.930216152708696)	(6.0, 2.959884949405336)	(7.0, 2.3604532369913978)	(8.0, 1.9441963279400756)	(9.0, 1.6852995787275695)	('>10', 18.95598056592435)	('>50', 6.554691712512947)	('>100', 12.72717721672541)	('>500', 4.163872984666271)	('>1k', 4.303858165435599)	('>5k', 0.29308379085879877)	('>10k+', 0.23484776121374054)
TS047_RoL_RNA_112_1	(1.0, 15.344746870980504)	(2.0, 9.375537665220508)	(3.0, 6.851244227358308)	(4.0, 5.171263298888294)	(5.0, 3.9435754570545214)	(6.0, 3.089121035302262)	(7.0, 2.4554224888053926)	(8.0, 1.9359505951076816)	(9.0, 1.673285644467339)	('>10', 19.157370526041202)	('>50', 6.977811583229664)	('>100', 15.245972912006051)	('>500', 4.718819680368892)	('>1k', 3.968382108950358)	('>5k', 0.09149590621898095)	('>10k+', 0.0)
TS047_RoL_RNA_112_2	(1.0, 15.985959284908835)	(2.0, 8.815041440801034)	(3.0, 6.578595231545287)	(4.0, 4.913016731699232)	(5.0, 3.7073348031548465)	(6.0, 2.94960302227004)	(7.0, 2.338241539114325)	(8.0, 1.9574548336233604)	(9.0, 1.6309401406594106)	('>10', 18.935383883217966)	('>50', 7.054583567159181)	('>100', 15.637414924758541)	('>500', 4.930193786204623)	('>1k', 4.00115747092441)	('>5k', 0.3089175863346073)	('>10k+', 0.25616175362418264)
TS047_RoL_RNA_114_1	(1.0, 16.66442197869249)	(2.0, 10.365023610906134)	(3.0, 7.700468318849133)	(4.0, 5.854405923892066)	(5.0, 4.348541650080526)	(6.0, 3.3190267959494495)	(7.0, 2.661181551095319)	(8.0, 2.147696077027462)	(9.0, 1.7933156285072058)	('>10', 20.092226872352082)	('>50', 6.806662838894274)	('>100', 12.814962283738332)	('>500', 3.157987258511794)	('>1k', 2.2740792115038655)	('>5k', 0.0)	('>10k+', 0.0)
TS047_RoL_RNA_114_2	(1.0, 17.22931993021655)	(2.0, 9.68050508793862)	(3.0, 7.217518964722619)	(4.0, 5.5630556615020605)	(5.0, 4.270033704248067)	(6.0, 3.33500897111656)	(7.0, 2.6790221167044774)	(8.0, 2.200951135435927)	(9.0, 1.7806991201067102)	('>10', 20.19712189669221)	('>50', 7.057510851163768)	('>100', 12.867644772260366)	('>500', 3.2927674497425015)	('>1k', 2.286117711915233)	('>5k', 0.2781108021808858)	('>10k+', 0.06461182405340357)
TS047_RoL_RNA_116_1	(1.0, 16.306416627428344)	(2.0, 9.796489251283557)	(3.0, 6.855994301309823)	(4.0, 4.962807005384832)	(5.0, 3.790714535585142)	(6.0, 2.8717541992278077)	(7.0, 2.3199765258570024)	(8.0, 1.8281691673788614)	(9.0, 1.6019613596741613)	('>10', 19.224772199742013)	('>50', 7.249203540402731)	('>100', 15.039146203445085)	('>500', 4.41744287218264)	('>1k', 3.735152211098089)	('>5k', 0.0)	('>10k+', 0.0)
TS047_RoL_RNA_116_2	(1.0, 16.959494919542813)	(2.0, 9.083300382594201)	(3.0, 6.438748038819875)	(4.0, 4.791580990155877)	(5.0, 3.5622613618685017)	(6.0, 2.7587890353235047)	(7.0, 2.140227381679947)	(8.0, 1.8365146484560118)	(9.0, 1.5113848732510349)	('>10', 19.425369069785734)	('>50', 7.55818472883274)	('>100', 15.388446479649186)	('>500', 4.505086233818199)	('>1k', 3.6405487320127787)	('>5k', 0.29058839440059214)	('>10k+', 0.10947472980887614)
TS047_RoL_RNA_119_1	(1.0, 14.807012691066083)	(2.0, 8.824917603161712)	(3.0, 6.210375375732729)	(4.0, 4.648461521135042)	(5.0, 3.340699966406751)	(6.0, 2.622543742132978)	(7.0, 2.0137365668686398)	(8.0, 1.6610532293151403)	(9.0, 1.4315891184964875)	('>10', 16.73415263656456)	('>50', 6.437406628151224)	('>100', 15.040673948084507)	('>500', 5.861325035272719)	('>1k', 8.971862280158179)	('>5k', 1.31702137599649)	('>10k+', 0.07716828145681089)
TS047_RoL_RNA_119_2	(1.0, 15.227304466510585)	(2.0, 8.211163121350312)	(3.0, 5.865316953521146)	(4.0, 4.337011193709881)	(5.0, 3.1634289867673235)	(6.0, 2.531501804226997)	(7.0, 1.9673950468551145)	(8.0, 1.5946373187712617)	(9.0, 1.3727772154716167)	('>10', 16.267427741810167)	('>50', 6.382329622191903)	('>100', 15.671009333741031)	('>500', 6.655330953277172)	('>1k', 9.75200399317155)	('>5k', 0.8038915054244465)	('>10k+', 0.19747074319941502)
