Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
TS047_RoL_RNA_110_1	4.9	28614129	10851329	28614129	2890027029	1823581	2853342727	1.2693411387468376
TS047_RoL_RNA_110_2	4.9	28614129	11549900	28614129	2890027029	3741122	2850345866	1.3730377813708676
TS047_RoL_RNA_112_1	4.9	25359608	9613051	25359608	2561320408	1430625	2528607047	1.277206900699477
TS047_RoL_RNA_112_2	4.9	25359608	10067704	25359608	2561320408	3763877	2525581624	1.3953265623611117
TS047_RoL_RNA_114_1	4.9	28352492	10441344	28352492	2863601692	1625158	2832114644	1.0995610209326556
TS047_RoL_RNA_114_2	4.9	28352492	11166545	28352492	2863601692	3610621	2828969543	1.2093912745180764
TS047_RoL_RNA_116_1	4.9	29158777	10831264	29158777	2945036477	1704381	2910177781	1.1836422493316372
TS047_RoL_RNA_116_2	4.9	29158777	11653637	29158777	2945036477	4093449	2906350472	1.3136001982361862
TS047_RoL_RNA_119_1	4.9	23817997	9042642	23817997	2405617697	1269782	2376389464	1.2149990847028593
TS047_RoL_RNA_119_2	4.9	23817997	9507771	23817997	2405617697	2980463	2373634454	1.329523100860361
TS047_RoL_RNA_136_1	4.9	23364962	8756479	23364962	2359861162	1271518	2330842602	1.2296723412069952
TS047_RoL_RNA_136_2	4.9	23364962	9464832	23364962	2359861162	2828236	2328135257	1.3443970989001768
TS047_RoL_RNA_142_1	4.9	26219487	9792982	26219487	2648168187	1631698	2616346444	1.2016511321378547
TS047_RoL_RNA_142_2	4.9	26219487	10471362	26219487	2648168187	3403329	2613261264	1.3181535512495002
TS047_RoL_RNA_145_1	4.9	29027796	10880568	29027796	2931807396	1714006	2896130174	1.216901971414496
TS047_RoL_RNA_145_2	4.9	29027796	11647628	29027796	2931807396	3949706	2892533916	1.3395654862451953
TS047_RoL_RNA_146_1	4.9	30393377	11249878	30393377	3069731077	2115280	3033679941	1.1744069788429874
TS047_RoL_RNA_146_2	4.9	30393377	11926651	30393377	3069731077	4252777	3030212678	1.2873570358033029
TS047_RoL_RNA_16_1	4.9	23707626	9076182	23707626	2394470226	1591878	2362383689	1.3400265600128618
TS047_RoL_RNA_16_2	4.9	23707626	9576658	23707626	2394470226	3368847	2359880526	1.4445658845289815
TS047_RoL_RNA_170_1	4.9	25843735	9315455	25843735	2610217235	1462178	2583122061	1.038042873852988
TS047_RoL_RNA_170_2	4.9	25843735	10226296	25843735	2610217235	3151767	2579813703	1.1647893360109545
TS047_RoL_RNA_175_1	4.9	25420154	9448152	25420154	2567435554	1499795	2537600949	1.162039099813759
TS047_RoL_RNA_175_2	4.9	25420154	10059876	25420154	2567435554	3356476	2534928150	1.2661429397654902
TS047_RoL_RNA_177_1	4.9	24120243	8857708	24120243	2436144543	1355952	2408447785	1.136909469496942
TS047_RoL_RNA_177_2	4.9	24120243	9553114	24120243	2436144543	3215088	2405572284	1.2549443787252323
TS047_RoL_RNA_200_1	4.9	34364755	12847298	34364755	3470840255	1788971	3429658470	1.1865076458265291
TS047_RoL_RNA_200_2	4.9	34364755	13571331	34364755	3470840255	4686606	3425575101	1.304155497643322
TS047_RoL_RNA_204_1	4.9	23367292	8957606	23367292	2360096492	1392765	2328396113	1.3431814803951667
TS047_RoL_RNA_204_2	4.9	23367292	9535508	23367292	2360096492	3031767	2326192668	1.4365439766943222
