Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
TS047_RoL_RNA_110_1	TS047_RoL_RNA_110_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	28614129.0	2.8 Gbp	0.0	101.0	45.0	29.66059610612956	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_110_2	TS047_RoL_RNA_110_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	28614129.0	2.8 Gbp	0.0	101.0	45.0	29.513455480073787	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_112_1	TS047_RoL_RNA_112_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	25359608.0	2.5 Gbp	0.0	101.0	46.0	26.905008892306213	101.0	101	pass	pass	warn	pass	warn	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_112_2	TS047_RoL_RNA_112_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	25359608.0	2.5 Gbp	0.0	101.0	46.0	27.087219802468134	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_114_1	TS047_RoL_RNA_114_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	28352492.0	2.8 Gbp	0.0	101.0	46.0	29.419576644341834	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_114_2	TS047_RoL_RNA_114_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	28352492.0	2.8 Gbp	0.0	101.0	46.0	29.454214977848377	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_116_1	TS047_RoL_RNA_116_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	29158777.0	2.9 Gbp	0.0	101.0	46.0	27.9219844109372	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_116_2	TS047_RoL_RNA_116_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	29158777.0	2.9 Gbp	0.0	101.0	46.0	28.003737571916133	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_119_1	TS047_RoL_RNA_119_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	23817997.0	2.4 Gbp	0.0	101.0	46.0	25.286122101432824	101.0	101	pass	pass	warn	pass	warn	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_119_2	TS047_RoL_RNA_119_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	23817997.0	2.4 Gbp	0.0	101.0	46.0	25.166076599541082	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_136_1	TS047_RoL_RNA_136_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	23364962.0	2.3 Gbp	0.0	101.0	46.0	30.04280254112365	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_136_2	TS047_RoL_RNA_136_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	23364962.0	2.3 Gbp	0.0	101.0	46.0	29.14898205722511	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_142_1	TS047_RoL_RNA_142_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	26219487.0	2.6 Gbp	0.0	101.0	46.0	29.86362090629724	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_142_2	TS047_RoL_RNA_142_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	26219487.0	2.6 Gbp	0.0	101.0	46.0	29.54628249584525	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_145_1	TS047_RoL_RNA_145_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	29027796.0	2.9 Gbp	0.0	101.0	45.0	27.578407417637425	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_145_2	TS047_RoL_RNA_145_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	29027796.0	2.9 Gbp	0.0	101.0	46.0	27.453328156996886	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_146_1	TS047_RoL_RNA_146_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	30393377.0	3 Gbp	0.0	101.0	47.0	27.59629898992445	101.0	101	pass	pass	warn	pass	warn	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_146_2	TS047_RoL_RNA_146_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	30393377.0	3 Gbp	0.0	101.0	47.0	27.48412145927464	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_16_1	TS047_RoL_RNA_16_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	23707626.0	2.3 Gbp	0.0	101.0	45.0	26.187092258460442	101.0	101	pass	pass	fail	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_16_2	TS047_RoL_RNA_16_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	23707626.0	2.3 Gbp	0.0	101.0	45.0	26.209997558058035	101.0	101	pass	pass	fail	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_170_1	TS047_RoL_RNA_170_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	25843735.0	2.6 Gbp	0.0	101.0	46.0	25.46347981625952	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_170_2	TS047_RoL_RNA_170_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	25843735.0	2.6 Gbp	0.0	101.0	46.0	25.2472441686084	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_175_1	TS047_RoL_RNA_175_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	25420154.0	2.5 Gbp	0.0	101.0	46.0	27.910788486499122	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_175_2	TS047_RoL_RNA_175_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	25420154.0	2.5 Gbp	0.0	101.0	46.0	27.74436595107394	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_177_1	TS047_RoL_RNA_177_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	24120243.0	2.4 Gbp	0.0	101.0	46.0	30.486602969001858	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_177_2	TS047_RoL_RNA_177_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	24120243.0	2.4 Gbp	0.0	101.0	46.0	30.435053683044256	101.0	101	pass	pass	fail	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_200_1	TS047_RoL_RNA_200_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	34364755.0	3.4 Gbp	0.0	101.0	46.0	24.219801036134697	101.0	101	pass	pass	fail	pass	fail	warn	pass	pass	fail	pass	pass
