Sample	salmon-percent_mapped	salmon-num_mapped	salmon-library_types	salmon-compatible_fragment_ratio	salmon-strand_mapping_bias	fastqc_raw-percent_duplicates	fastqc_raw-percent_gc	fastqc_raw-avg_sequence_length	fastqc_raw-median_sequence_length	fastqc_raw-percent_fails	fastqc_raw-total_sequences	cutadapt-percent_trimmed	fastqc_trimmed-percent_duplicates	fastqc_trimmed-percent_gc	fastqc_trimmed-avg_sequence_length	fastqc_trimmed-median_sequence_length	fastqc_trimmed-percent_fails	fastqc_trimmed-total_sequences
TS047_RoL_RNA_110	84.26710753786152	24.094564	ISR	100.0	0.0													
TS047_RoL_RNA_110_1						70.33940389387044	45.0	101.0	101	18.181818181818183	28.614129	1.2693411387468376	70.35645878287814	45.0	99.52029494336095	100	18.181818181818183	28.593083
TS047_RoL_RNA_110_2						70.48654451992621	45.0	101.0	101	18.181818181818183	28.614129	1.3730377813708676	70.5301946942801	45.0	99.47314801625274	100	18.181818181818183	28.593083
TS047_RoL_RNA_112	88.07317031590074	22.31784	ISR	100.0	0.0													
TS047_RoL_RNA_112_1						73.09499110769379	46.0	101.0	101	9.090909090909092	25.359607999999998	1.277206900699477	73.09999421938636	46.0	99.50655411467794	100	18.181818181818183	25.340111999999998
TS047_RoL_RNA_112_2						72.91278019753187	46.0	101.0	101	18.181818181818183	25.359607999999998	1.3953265623611117	72.98989009542305	46.0	99.45013021252629	100	27.27272727272727	25.340111999999998
TS047_RoL_RNA_114	85.74855434523009	24.295738999999998	ISR	100.0	0.0													
TS047_RoL_RNA_114_1						70.58042335565817	46.0	101.0	101	18.181818181818183	28.352491999999998	1.0995610209326556	70.59212704943927	46.0	99.68177664118076	100	18.181818181818183	28.333700999999998
TS047_RoL_RNA_114_2						70.54578502215162	46.0	101.0	101	18.181818181818183	28.352491999999998	1.2093912745180764	70.61022350696616	46.0	99.63023970994823	100	18.181818181818183	28.333700999999998
TS047_RoL_RNA_116	86.47279184161783	25.195113	ISR	100.0	0.0													
TS047_RoL_RNA_116_1						72.0780155890628	46.0	101.0	101	18.181818181818183	29.158776999999997	1.1836422493316372	72.0921409386092	46.0	99.5994034519564	100	27.27272727272727	29.136463
TS047_RoL_RNA_116_2						71.99626242808387	46.0	101.0	101	18.181818181818183	29.158776999999997	1.3136001982361862	72.06108085737591	46.0	99.53651695814966	100	18.181818181818183	29.136463
TS047_RoL_RNA_119	89.31177504807191	21.256456999999997	ISR	100.0	0.0													
TS047_RoL_RNA_119_1						74.71387789856718	46.0	101.0	101	9.090909090909092	23.817997	1.2149990847028593	74.72479422162664	46.0	99.57088146213376	100	18.181818181818183	23.800285
TS047_RoL_RNA_119_2						74.83392340045891	46.0	101.0	101	18.181818181818183	23.817997	1.329523100860361	74.89973409488488	46.0	99.51499381204889	100	18.181818181818183	23.800285
TS047_RoL_RNA_136	86.02213865625879	20.086184	ISR	100.0	0.0													
TS047_RoL_RNA_136_1						69.95719745887635	46.0	101.0	101	18.181818181818183	23.364962	1.2296723412069952	69.96410512129034	46.0	99.55238886978113	100	18.181818181818183	23.350016999999998
TS047_RoL_RNA_136_2						70.85101794277489	46.0	101.0	101	18.181818181818183	23.364962	1.3443970989001768	70.88851706337064	46.0	99.4971178179442	100	18.181818181818183	23.350016999999998
TS047_RoL_RNA_142	86.65404154230278	22.703936	ISR	100.0	0.0													
TS047_RoL_RNA_142_1						70.13637909370276	46.0	101.0	101	18.181818181818183	26.219486999999997	1.2016511321378547	70.14814006850625	46.0	99.58140655661195	100	18.181818181818183	26.200666
TS047_RoL_RNA_142_2						70.45371750415475	46.0	101.0	101	18.181818181818183	26.219486999999997	1.3181535512495002	70.50059307442953	46.0	99.52644764831551	100	18.181818181818183	26.200666
TS047_RoL_RNA_145	86.65609077773982	25.135665	ISR	100.0	0.0													
TS047_RoL_RNA_145_1						72.42159258236258	45.0	101.0	101	18.181818181818183	29.027796	1.216901971414496	72.43392322972942	46.0	99.56772855348662	100	18.181818181818183	29.00623
TS047_RoL_RNA_145_2						72.54667184300311	46.0	101.0	101	18.181818181818183	29.027796	1.3395654862451953	72.62172736917572	46.0	99.50932379009613	100	18.181818181818183	29.00623
TS047_RoL_RNA_146	88.02800855560882	26.73474	ISR	100.0	0.0													
TS047_RoL_RNA_146_1						72.40370101007555	47.0	101.0	101	9.090909090909092	30.393376999999997	1.1744069788429874	72.41160352873278	47.0	99.60751974269955	100	18.181818181818183	30.37072
TS047_RoL_RNA_146_2						72.51587854072537	47.0	101.0	101	18.181818181818183	30.393376999999997	1.2873570358033029	72.58065599042308	47.0	99.55460410553323	100	18.181818181818183	30.37072
TS047_RoL_RNA_16	86.15828463178863	20.411524	ISR	100.0	0.0													
TS047_RoL_RNA_16_1						73.81290774153956	45.0	101.0	101	27.27272727272727	23.707625999999998	1.3400265600128618	73.82546712365126	45.0	99.44690306464635	100	27.27272727272727	23.690727
TS047_RoL_RNA_16_2						73.79000244194197	45.0	101.0	101	27.27272727272727	23.707625999999998	1.4445658845289815	73.84639033442268	45.0	99.40197898950083	100	27.27272727272727	23.690727
TS047_RoL_RNA_170	88.51430120954937	22.859175	ISR	100.0	0.0													
TS047_RoL_RNA_170_1						74.53652018374048	46.0	101.0	101	18.181818181818183	25.843735	1.038042873852988	74.54713732869484	46.0	99.74018378338569	100	18.181818181818183	25.825402999999998
TS047_RoL_RNA_170_2						74.7527558313916	46.0	101.0	101	18.181818181818183	25.843735	1.1647893360109545	74.82524654095548	46.0	99.68270224089049	100	18.181818181818183	25.825402999999998
TS047_RoL_RNA_175	87.02256091667958	22.105570999999998	ISR	100.0	0.0													
TS047_RoL_RNA_175_1						72.08921151350089	46.0	101.0	101	18.181818181818183	25.420154	1.162039099813759	72.10181466755168	46.0	99.62341661314422	100	18.181818181818183	25.402115
TS047_RoL_RNA_175_2						72.25563404892605	46.0	101.0	101	18.181818181818183	25.420154	1.2661429397654902	72.3092217302205	46.0	99.57545226056965	100	18.181818181818183	25.402115
TS047_RoL_RNA_177	88.35480741981604	21.297466	ISR	100.0	0.0													
TS047_RoL_RNA_177_1						69.51339703099814	46.0	101.0	101	18.181818181818183	24.120243	1.136909469496942	69.51080031260646	46.0	99.64070974112322	100	27.27272727272727	24.104478999999998
TS047_RoL_RNA_177_2						69.56494631695574	46.0	101.0	101	27.27272727272727	24.120243	1.2549443787252323	69.629746483182	46.0	99.58532194369353	100	27.27272727272727	24.104478999999998
TS047_RoL_RNA_20	87.5815224774471	24.885095	ISR	100.0	0.0													
TS047_RoL_RNA_200	87.82273296607667	30.157543999999998	ISR	100.0	0.0													
TS047_RoL_RNA_200_1						75.7801989638653	46.0	101.0	101	27.27272727272727	34.364754999999995	1.1865076458265291	75.79718193043911	46.0	99.59855610988625	100	27.27272727272727	34.339109
TS047_RoL_RNA_200_2						75.94011937870143	46.0	101.0	101	27.27272727272727	34.364754999999995	1.304155497643322	76.03336774383831	46.0	99.54090376951831	100	27.27272727272727	34.339109
TS047_RoL_RNA_204	85.45157348287927	19.954748	ISR	100.0	0.0													
TS047_RoL_RNA_204_1						73.59766388291808	45.0	101.0	101	18.181818181818183	23.367292	1.3431814803951667	73.61403273542246	45.0	99.44604398325754	100	27.27272727272727	23.352113
TS047_RoL_RNA_204_2						73.88339444969372	45.0	101.0	101	18.181818181818183	23.367292	1.4365439766943222	73.92949341057182	45.0	99.40503039275289	100	18.181818181818183	23.352113
TS047_RoL_RNA_20_1						73.24285215688363	46.0	101.0	101	18.181818181818183	28.433778	1.2850658546930616	73.2579645838187	46.0	99.49970725323574	100	18.181818181818183	28.413636
TS047_RoL_RNA_20_2						73.30859213741708	46.0	101.0	101	18.181818181818183	28.433778	1.3909734993066458	73.36169776375885	46.0	99.45320451067931	100	18.181818181818183	28.413636
TS047_RoL_RNA_229	89.55486541761304	25.836533	ISR	100.0	0.0													
TS047_RoL_RNA_229_1						75.74620861429742	47.0	101.0	101	9.090909090909092	28.873412	1.401418771849978	75.75792630526594	47.0	99.37740903805411	100	27.27272727272727	28.849949
TS047_RoL_RNA_229_2						76.16411562858762	47.0	101.0	101	18.181818181818183	28.873412	1.5413966384720934	76.24256714866522	47.0	99.31085800186337	100	18.181818181818183	28.849949
TS047_RoL_RNA_231	81.48454666010846	16.528323	ISR	100.0	0.0													
TS047_RoL_RNA_231_1						69.86056259166989	45.0	101.0	101	27.27272727272727	20.299404	1.4983172670858944	69.87008300820352	45.0	99.2974902579605	100	27.27272727272727	20.283997
TS047_RoL_RNA_231_2						70.03376165951425	45.0	101.0	101	18.181818181818183	20.299404	1.5944366574203923	70.09104234698907	45.0	99.25399794231876	100	27.27272727272727	20.283997
TS047_RoL_RNA_258	85.74904598881034	22.608855	ISR	100.0	0.0													
TS047_RoL_RNA_258_1						72.77472751182623	45.0	101.0	101	18.181818181818183	26.385738	1.2543415959360806	72.77791009168934	45.0	99.53291970566221	100	18.181818181818183	26.366305
TS047_RoL_RNA_258_2						72.90471446432238	45.0	101.0	101	18.181818181818183	26.385738	1.3661815678944091	72.96457414687615	46.0	99.48203498745842	100	18.181818181818183	26.366305
TS047_RoL_RNA_262	87.88937113219517	25.274582	ISR	100.0	0.0													
TS047_RoL_RNA_262_1						74.63189657908178	46.0	101.0	101	9.090909090909092	28.777383	1.2370516426351585	74.64811320556416	46.0	99.54362577140499	100	18.181818181818183	28.757268
TS047_RoL_RNA_262_2						74.81472917820477	46.0	101.0	101	18.181818181818183	28.777383	1.3489867689112345	74.88380470089163	46.0	99.4938148505623	100	18.181818181818183	28.757268
TS047_RoL_RNA_286	87.03508813002836	21.89668	ISR	100.0	0.0													
TS047_RoL_RNA_286_1						68.54846022660553	46.0	101.0	101	9.090909090909092	25.176499	1.1157986644765834	68.56071387486767	46.0	99.67156147649949	100	27.27272727272727	25.158451
TS047_RoL_RNA_286_2						68.77214409045136	46.0	101.0	101	27.27272727272727	25.176499	1.22672212354989	68.81981378262645	46.0	99.61418656100886	100	27.27272727272727	25.158451
TS047_RoL_RNA_288	87.87194179053388	22.572713999999998	ISR	100.0	0.0													
TS047_RoL_RNA_288_1						70.07243539592473	46.0	101.0	101	18.181818181818183	25.706774	1.0689002528175169	70.08400400834084	46.0	99.7112316347047	100	27.27272727272727	25.688193
TS047_RoL_RNA_288_2						70.38124082658376	46.0	101.0	101	27.27272727272727	25.706774	1.1923912612787324	70.42870574848402	46.0	99.6518152327803	100	27.27272727272727	25.688193
TS047_RoL_RNA_289	87.09526655067054	26.417278999999997	ISR	100.0	0.0													
TS047_RoL_RNA_289_1						72.10772600260016	46.0	101.0	101	9.090909090909092	30.352787	1.1462012687763081	72.12085745626413	46.0	99.63675711451553	100	18.181818181818183	30.331474999999998
TS047_RoL_RNA_289_2						72.29084745032858	46.0	101.0	101	27.27272727272727	30.352787	1.2574792229096126	72.34979652058925	46.0	99.58386928100265	100	27.27272727272727	30.331474999999998
TS047_RoL_RNA_291	86.58707067658811	21.714361	ISR	100.0	0.0													
TS047_RoL_RNA_291_1						65.17198115846068	46.0	101.0	101	18.181818181818183	25.096850999999997	1.115326349426101	65.18177288911767	46.0	99.66606513166248	100	18.181818181818183	25.078063999999998
TS047_RoL_RNA_291_2						65.33583003048304	46.0	101.0	101	18.181818181818183	25.096850999999997	1.2460878533374093	65.39564232085002	46.0	99.60186663531921	100	18.181818181818183	25.078063999999998
TS047_RoL_RNA_317	85.11279923443512	21.546889	ISR	100.0	0.0													
TS047_RoL_RNA_317_1						73.57517911558257	45.0	101.0	101	18.181818181818183	25.335689	1.2298751245078172	73.58979111575015	45.0	99.55993256512978	100	18.181818181818183	25.315686
TS047_RoL_RNA_317_2						74.11669341437556	45.0	101.0	101	18.181818181818183	25.335689	1.3344222425012033	74.17852779176911	45.0	99.51596456837078	100	18.181818181818183	25.315686
TS047_RoL_RNA_318	87.32772714254068	23.364798	ISR	100.0	0.0													
TS047_RoL_RNA_318_1						72.68689057380669	46.0	101.0	101	18.181818181818183	26.774013999999998	1.2249107742239091	72.7054593421264	46.0	99.55758877034583	100	27.27272727272727	26.755302999999998
TS047_RoL_RNA_318_2						73.2053121006315	46.0	101.0	101	18.181818181818183	26.774013999999998	1.334074735434304	73.26384029972314	46.0	99.50808030467829	100	18.181818181818183	26.755302999999998
TS047_RoL_RNA_319	86.31522217500849	23.772437	ISR	100.0	0.0													
TS047_RoL_RNA_319_1						71.66961262067815	46.0	101.0	101	18.181818181818183	27.559362	1.1074011548935963	71.68417434417651	46.0	99.67521700679256	100	27.27272727272727	27.541418999999998
TS047_RoL_RNA_319_2						71.80346762703175	46.0	101.0	101	18.181818181818183	27.559362	1.2028414004706791	71.83993054029622	46.0	99.63295614870098	100	18.181818181818183	27.541418999999998
TS047_RoL_RNA_322	86.79354736139932	25.090913999999998	ISR	100.0	0.0													
TS047_RoL_RNA_322_1						72.4081613507094	46.0	101.0	101	18.181818181818183	28.929489	1.0652844114656272	72.41330989761394	46.0	99.71766572120839	100	18.181818181818183	28.908731999999997
TS047_RoL_RNA_322_2						72.51480080252118	46.0	101.0	101	18.181818181818183	28.929489	1.183781198088734	72.5604099159176	46.0	99.66110889955326	100	18.181818181818183	28.908731999999997
TS047_RoL_RNA_326	84.00489981454572	20.274407	ISR	100.0	0.0													
TS047_RoL_RNA_326_1						69.82067537799716	45.0	101.0	101	18.181818181818183	24.152003	1.2639138660734894	69.82992058350918	46.0	99.52213663254842	100	27.27272727272727	24.134791
TS047_RoL_RNA_326_2						69.95272124674575	46.0	101.0	101	27.27272727272727	24.152003	1.378848555767633	70.00183074459993	46.0	99.46665796691589	100	27.27272727272727	24.134791
TS047_RoL_RNA_328	85.9618005534598	25.658393999999998	ISR	100.0	0.0													
TS047_RoL_RNA_328_1						70.92941858659259	46.0	101.0	101	9.090909090909092	29.871060999999997	1.1652253273388302	70.94082831243631	46.0	99.62002773999451	100	18.181818181818183	29.848599999999998
TS047_RoL_RNA_328_2						70.95910111404808	46.0	101.0	101	18.181818181818183	29.871060999999997	1.2874201867383643	71.03088429807312	46.0	99.55702109981708	100	18.181818181818183	29.848599999999998
TS047_RoL_RNA_347	86.39671798168482	19.955056	ISR	100.0	0.0													
TS047_RoL_RNA_347_1						69.85628836581759	46.0	101.0	101	9.090909090909092	23.11299	1.308036076356856	69.86580458816701	46.0	99.47438001382604	100	18.181818181818183	23.097006999999998
TS047_RoL_RNA_347_2						70.07775248030845	46.0	101.0	101	9.090909090909092	23.11299	1.4150084107475818	70.14560377646453	46.0	99.42512341534122	100	9.090909090909092	23.097006999999998
TS047_RoL_RNA_355	79.72730212455741	15.796536999999999	ISR	100.0	0.0													
TS047_RoL_RNA_355_1						71.86627209718648	45.0	101.0	101	27.27272727272727	19.83193	1.8341154146294125	71.87813524909453	45.0	98.97695575209447	100	18.181818181818183	19.813209
TS047_RoL_RNA_355_2						72.27375512510831	45.0	101.0	101	18.181818181818183	19.83193	1.9247549255415406	72.3469781287538	45.0	98.93291281084251	100	18.181818181818183	19.813209
TS047_RoL_RNA_377	90.22207103243518	21.716291	ISR	100.0	0.0													
TS047_RoL_RNA_377_1						76.33464838600094	47.0	101.0	101	9.090909090909092	24.087840999999997	1.2331877602923944	76.36330358818884	47.0	99.54886222460898	100	27.27272727272727	24.069820999999997
