Sample	salmon_version	samp_type	opt_type	quant_errors	num_libraries	library_types	frag_dist_length	frag_length_mean	frag_length_sd	seq_bias_correct	gc_bias_correct	num_bias_bins	mapping_type	keep_duplicates	num_valid_targets	num_decoy_targets	num_eq_classes	serialized_eq_classes	eq_class_properties	length_classes	index_seq_hash	index_name_hash	index_seq_hash512	index_name_hash512	index_decoy_seq_hash	index_decoy_name_hash	num_bootstraps	num_processed	num_mapped	num_decoy_fragments	num_dovetail_fragments	num_fragments_filtered_vm	num_alignments_below_threshold_for_mapped_fragments_vm	percent_mapped	call	start_time	end_time
TS047_RoL_RNA_110	1.10.3	none	vb	[]	1	['ISR']	1001	176.3681123776811	68.49586021245891	False	False	4096	mapping	False	121117	26	113702	False	['range_factorized', 'gzipped']	[1540, 2492, 3611, 5261, 93139]	4cdb021ef27a990175985add0accb3f7e5b2d2bb37986674c4e4f50802d0793b	fdc6baad09122ebb2ca5080ce760e19fd65a9c4faa64af4f429325ee4448e3f2	e26b010782ac99674f527f0645803e17a54941047934a974734881b683125ffce6fef3c56315c6eab3260402769dd3ac181d58a1bdb3a46ec91afa6e92d74a71	a5047c9e5fa06112a62dcadc38b359aa777e749a3762adf7522607253e9ae6c1f8e86e3031b602363d403a4fddeac4789f486a3554aa17faceee5632120e488a	ae982e5d6578908fcb22a758582cac09bc51527cb539ebc6400a279cffb679b8	cf64a3f444904ffcad1675fd35f0f8c74e6ac44f219ec30e1fe87f9b87ce5fad	0	28593083	24094564	1468093	221597	2012554	19733020	84.26710753786152	quant	Fri May 16 00:30:29 2025	Fri May 16 00:40:49 2025
TS047_RoL_RNA_112	1.10.3	none	vb	[]	1	['ISR']	1001	176.85157711541345	68.2365678346444	False	False	4096	mapping	False	121117	26	99483	False	['range_factorized', 'gzipped']	[1540, 2492, 3611, 5261, 93139]	4cdb021ef27a990175985add0accb3f7e5b2d2bb37986674c4e4f50802d0793b	fdc6baad09122ebb2ca5080ce760e19fd65a9c4faa64af4f429325ee4448e3f2	e26b010782ac99674f527f0645803e17a54941047934a974734881b683125ffce6fef3c56315c6eab3260402769dd3ac181d58a1bdb3a46ec91afa6e92d74a71	a5047c9e5fa06112a62dcadc38b359aa777e749a3762adf7522607253e9ae6c1f8e86e3031b602363d403a4fddeac4789f486a3554aa17faceee5632120e488a	ae982e5d6578908fcb22a758582cac09bc51527cb539ebc6400a279cffb679b8	cf64a3f444904ffcad1675fd35f0f8c74e6ac44f219ec30e1fe87f9b87ce5fad	0	25340112	22317840	908486	173849	1338049	14845354	88.07317031590074	quant	Fri May 16 00:30:29 2025	Fri May 16 00:40:03 2025
TS047_RoL_RNA_114	1.10.3	none	vb	[]	1	['ISR']	1001	184.081553352567	72.49394316866527	False	False	4096	mapping	False	121117	26	112347	False	['range_factorized', 'gzipped']	[1540, 2492, 3611, 5261, 93139]	4cdb021ef27a990175985add0accb3f7e5b2d2bb37986674c4e4f50802d0793b	fdc6baad09122ebb2ca5080ce760e19fd65a9c4faa64af4f429325ee4448e3f2	e26b010782ac99674f527f0645803e17a54941047934a974734881b683125ffce6fef3c56315c6eab3260402769dd3ac181d58a1bdb3a46ec91afa6e92d74a71	a5047c9e5fa06112a62dcadc38b359aa777e749a3762adf7522607253e9ae6c1f8e86e3031b602363d403a4fddeac4789f486a3554aa17faceee5632120e488a	ae982e5d6578908fcb22a758582cac09bc51527cb539ebc6400a279cffb679b8	cf64a3f444904ffcad1675fd35f0f8c74e6ac44f219ec30e1fe87f9b87ce5fad	0	28333701	24295739	1201733	199413	1728458	18399471	85.74855434523009	quant	Fri May 16 00:30:28 2025	Fri May 16 00:40:44 2025
TS047_RoL_RNA_116	1.10.3	none	vb	[]	1	['ISR']	1001	180.7329818381948	71.03131574415707	False	False	4096	mapping	False	121117	26	102407	False	['range_factorized', 'gzipped']	[1540, 2492, 3611, 5261, 93139]	4cdb021ef27a990175985add0accb3f7e5b2d2bb37986674c4e4f50802d0793b	fdc6baad09122ebb2ca5080ce760e19fd65a9c4faa64af4f429325ee4448e3f2	e26b010782ac99674f527f0645803e17a54941047934a974734881b683125ffce6fef3c56315c6eab3260402769dd3ac181d58a1bdb3a46ec91afa6e92d74a71	a5047c9e5fa06112a62dcadc38b359aa777e749a3762adf7522607253e9ae6c1f8e86e3031b602363d403a4fddeac4789f486a3554aa17faceee5632120e488a	ae982e5d6578908fcb22a758582cac09bc51527cb539ebc6400a279cffb679b8	cf64a3f444904ffcad1675fd35f0f8c74e6ac44f219ec30e1fe87f9b87ce5fad	0	29136463	25195113	1324298	181980	1832536	17085123	86.47279184161783	quant	Fri May 16 00:30:31 2025	Fri May 16 00:41:00 2025
TS047_RoL_RNA_119	1.10.3	none	vb	[]	1	['ISR']	1001	179.40892551225537	70.04453939335401	False	False	4096	mapping	False	121117	26	93272	False	['range_factorized', 'gzipped']	[1540, 2492, 3611, 5261, 93139]	4cdb021ef27a990175985add0accb3f7e5b2d2bb37986674c4e4f50802d0793b	fdc6baad09122ebb2ca5080ce760e19fd65a9c4faa64af4f429325ee4448e3f2	e26b010782ac99674f527f0645803e17a54941047934a974734881b683125ffce6fef3c56315c6eab3260402769dd3ac181d58a1bdb3a46ec91afa6e92d74a71	a5047c9e5fa06112a62dcadc38b359aa777e749a3762adf7522607253e9ae6c1f8e86e3031b602363d403a4fddeac4789f486a3554aa17faceee5632120e488a	ae982e5d6578908fcb22a758582cac09bc51527cb539ebc6400a279cffb679b8	cf64a3f444904ffcad1675fd35f0f8c74e6ac44f219ec30e1fe87f9b87ce5fad	0	23800285	21256457	754938	130137	1078606	12568253	89.31177504807191	quant	Fri May 16 00:30:29 2025	Fri May 16 00:40:00 2025
TS047_RoL_RNA_136	1.10.3	none	vb	[]	1	['ISR']	1001	177.6299649617147	69.16345536443504	False	False	4096	mapping	False	121117	26	104433	False	['range_factorized', 'gzipped']	[1540, 2492, 3611, 5261, 93139]	4cdb021ef27a990175985add0accb3f7e5b2d2bb37986674c4e4f50802d0793b	fdc6baad09122ebb2ca5080ce760e19fd65a9c4faa64af4f429325ee4448e3f2	e26b010782ac99674f527f0645803e17a54941047934a974734881b683125ffce6fef3c56315c6eab3260402769dd3ac181d58a1bdb3a46ec91afa6e92d74a71	a5047c9e5fa06112a62dcadc38b359aa777e749a3762adf7522607253e9ae6c1f8e86e3031b602363d403a4fddeac4789f486a3554aa17faceee5632120e488a	ae982e5d6578908fcb22a758582cac09bc51527cb539ebc6400a279cffb679b8	cf64a3f444904ffcad1675fd35f0f8c74e6ac44f219ec30e1fe87f9b87ce5fad	0	23350017	20086184	1090857	139536	1492764	15819665	86.02213865625879	quant	Fri May 16 00:30:28 2025	Fri May 16 00:40:03 2025
TS047_RoL_RNA_142	1.10.3	none	vb	[]	1	['ISR']	1001	178.8287495500432	69.80504986249761	False	False	4096	mapping	False	121117	26	103168	False	['range_factorized', 'gzipped']	[1540, 2492, 3611, 5261, 93139]	4cdb021ef27a990175985add0accb3f7e5b2d2bb37986674c4e4f50802d0793b	fdc6baad09122ebb2ca5080ce760e19fd65a9c4faa64af4f429325ee4448e3f2	e26b010782ac99674f527f0645803e17a54941047934a974734881b683125ffce6fef3c56315c6eab3260402769dd3ac181d58a1bdb3a46ec91afa6e92d74a71	a5047c9e5fa06112a62dcadc38b359aa777e749a3762adf7522607253e9ae6c1f8e86e3031b602363d403a4fddeac4789f486a3554aa17faceee5632120e488a	ae982e5d6578908fcb22a758582cac09bc51527cb539ebc6400a279cffb679b8	cf64a3f444904ffcad1675fd35f0f8c74e6ac44f219ec30e1fe87f9b87ce5fad	0	26200666	22703936	1195520	175687	1647368	15026966	86.65404154230278	quant	Fri May 16 00:23:08 2025	Fri May 16 00:28:53 2025
TS047_RoL_RNA_145	1.10.3	none	vb	[]	1	['ISR']	1001	177.9960976527255	68.80657471558905	False	False	4096	mapping	False	121117	26	105460	False	['range_factorized', 'gzipped']	[1540, 2492, 3611, 5261, 93139]	4cdb021ef27a990175985add0accb3f7e5b2d2bb37986674c4e4f50802d0793b	fdc6baad09122ebb2ca5080ce760e19fd65a9c4faa64af4f429325ee4448e3f2	e26b010782ac99674f527f0645803e17a54941047934a974734881b683125ffce6fef3c56315c6eab3260402769dd3ac181d58a1bdb3a46ec91afa6e92d74a71	a5047c9e5fa06112a62dcadc38b359aa777e749a3762adf7522607253e9ae6c1f8e86e3031b602363d403a4fddeac4789f486a3554aa17faceee5632120e488a	ae982e5d6578908fcb22a758582cac09bc51527cb539ebc6400a279cffb679b8	cf64a3f444904ffcad1675fd35f0f8c74e6ac44f219ec30e1fe87f9b87ce5fad	0	29006230	25135665	1295529	208160	1771900	17443663	86.65609077773982	quant	Fri May 16 00:22:05 2025	Fri May 16 00:29:23 2025
TS047_RoL_RNA_146	1.10.3	none	vb	[]	1	['ISR']	1001	179.4781290837354	69.89082228217475	False	False	4096	mapping	False	121117	26	107820	False	['range_factorized', 'gzipped']	[1540, 2492, 3611, 5261, 93139]	4cdb021ef27a990175985add0accb3f7e5b2d2bb37986674c4e4f50802d0793b	fdc6baad09122ebb2ca5080ce760e19fd65a9c4faa64af4f429325ee4448e3f2	e26b010782ac99674f527f0645803e17a54941047934a974734881b683125ffce6fef3c56315c6eab3260402769dd3ac181d58a1bdb3a46ec91afa6e92d74a71	a5047c9e5fa06112a62dcadc38b359aa777e749a3762adf7522607253e9ae6c1f8e86e3031b602363d403a4fddeac4789f486a3554aa17faceee5632120e488a	ae982e5d6578908fcb22a758582cac09bc51527cb539ebc6400a279cffb679b8	cf64a3f444904ffcad1675fd35f0f8c74e6ac44f219ec30e1fe87f9b87ce5fad	0	30370720	26734740	1215954	200131	1681244	15972536	88.02800855560882	quant	Fri May 16 00:13:42 2025	Fri May 16 00:20:32 2025
TS047_RoL_RNA_16	1.10.3	none	vb	[]	1	['ISR']	1001	176.23629249293145	69.88497389664057	False	False	4096	mapping	False	121117	26	90122	False	['range_factorized', 'gzipped']	[1540, 2492, 3611, 5261, 93139]	4cdb021ef27a990175985add0accb3f7e5b2d2bb37986674c4e4f50802d0793b	fdc6baad09122ebb2ca5080ce760e19fd65a9c4faa64af4f429325ee4448e3f2	e26b010782ac99674f527f0645803e17a54941047934a974734881b683125ffce6fef3c56315c6eab3260402769dd3ac181d58a1bdb3a46ec91afa6e92d74a71	a5047c9e5fa06112a62dcadc38b359aa777e749a3762adf7522607253e9ae6c1f8e86e3031b602363d403a4fddeac4789f486a3554aa17faceee5632120e488a	ae982e5d6578908fcb22a758582cac09bc51527cb539ebc6400a279cffb679b8	cf64a3f444904ffcad1675fd35f0f8c74e6ac44f219ec30e1fe87f9b87ce5fad	0	23690727	20411524	1131594	172772	1516448	14707341	86.15828463178863	quant	Fri May 16 00:30:30 2025	Fri May 16 00:40:06 2025
