Module	Section	Sample Name	Source
Salmon	all_sections	TS047_RoL_RNA_142	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/447/TS047_RoL_RNA_142/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_561	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/505/TS047_RoL_RNA_561/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_679	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/491/TS047_RoL_RNA_679/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_319	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/475/TS047_RoL_RNA_319/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_85	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/454/TS047_RoL_RNA_85/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_502	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/488/TS047_RoL_RNA_502/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_258	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/466/TS047_RoL_RNA_258/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_469	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/482/TS047_RoL_RNA_469/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_347	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/461/TS047_RoL_RNA_347/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_498	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/485/TS047_RoL_RNA_498/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_112	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/453/TS047_RoL_RNA_112/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_286	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/459/TS047_RoL_RNA_286/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_655	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/496/TS047_RoL_RNA_655/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_506	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/502/TS047_RoL_RNA_506/libParams/flenDist.txt
