task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
20	05/7f090c	1104198	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (TS047_RoL_RNA_79)	CACHED	0	2025-05-15 14:32:29.706	5m 39s	3m 14s	34.5%	72 MB	80.1 MB	3.6 GB	1.9 KB
16	db/525506	1104199	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (TS047_RoL_RNA_110)	CACHED	0	2025-05-15 14:32:29.742	45m 46s	24m 41s	258.8%	1.5 GB	9.1 GB	93.9 GB	91.1 GB
15	0b/43f8d3	1104221	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (TS047_RoL_RNA_85)	CACHED	0	2025-05-15 14:32:30.530	45m 31s	22m 58s	246.4%	1.5 GB	9.1 GB	88.9 GB	86.2 GB
46	65/cc6874	1104216	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (TS047_RoL_RNA_170)	CACHED	0	2025-05-15 14:32:30.362	43m 25s	22m 50s	262.2%	1.4 GB	9 GB	85 GB	82.3 GB
41	75/0ef672	1104215	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (TS047_RoL_RNA_142)	CACHED	0	2025-05-15 14:32:30.312	44m 31s	22m 54s	253.5%	1.6 GB	9 GB	86.2 GB	83.5 GB
3	a2/afe9b1	1104211	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (TS047_RoL_RNA_16)	CACHED	0	2025-05-15 14:32:30.177	40m 46s	22m 32s	230.7%	1.4 GB	9 GB	77.8 GB	75.4 GB
23	73/441792	1104233	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (TS047_RoL_RNA_114)	CACHED	0	2025-05-15 14:32:30.950	45m 31s	24m 35s	261.2%	1.5 GB	9 GB	93.1 GB	90.3 GB
43	06/1993c2	1104205	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (TS047_RoL_RNA_146)	CACHED	0	2025-05-15 14:32:29.971	46m 16s	27m 28s	243.7%	1.6 GB	9 GB	99.8 GB	96.8 GB
14	93/9b6bc5	1104239	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (TS047_RoL_RNA_79)	CACHED	0	2025-05-15 14:32:31.159	42m 16s	22m 46s	245.8%	1.4 GB	9 GB	81.3 GB	78.7 GB
26	3a/55db44	1104217	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (TS047_RoL_RNA_116)	CACHED	0	2025-05-15 14:32:30.396	45m 31s	24m 35s	271.0%	1.4 GB	9 GB	95.8 GB	92.9 GB
42	f2/e8fc5a	1104206	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (TS047_RoL_RNA_145)	CACHED	0	2025-05-15 14:32:30.004	45m 31s	24m 30s	262.6%	1.6 GB	9 GB	95.3 GB	92.4 GB
