UniqueCount	AmbigCount
0	0
172378	14
6685	0
472764	24
212968	16
193878	10
154516	9
0	0
814	6
0	0
0	0
7	139
0	0
0	0
0	0
2	0
0	0
0	0
2	30
0	30
59	0
0	28
0	28
0	5
0	5
0	5
0	502
0	539
0	580
0	445
0	547
0	588
0	493
0	445
0	410
0	427
0	453
0	504
0	545
0	418
0	424
0	512
0	553
0	518
0	559
0	389
0	524
0	398
0	234
0	369
0	358
0	452
0	323
0	340
0	366
0	417
0	458
0	305
0	524
0	501
0	331
0	337
0	489
0	466
0	472
0	302
0	396
0	437
7	407
0	407
0	372
0	217
0	320
0	285
0	17
0	17
0	10
11	18
0	0
7	0
0	15
0	16
0	16
0	16
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	8
0	15
0	0
0	1805
30	821
0	1587
1	0
0	0
3	606
2	609
0	765
0	763
0	754
0	752
0	734
0	0
0	4
0	4
1	43
0	43
0	43
0	43
0	6
13	3
0	3
65	0
0	0
0	0
1	0
1	17
0	17
0	46
0	101
0	78
0	0
0	0
10	21
2	21
0	48
0	48
0	9
1	9
1	88
0	81
128	0
15	113
0	113
1392	90
0	61
0	61
8	170
0	170
0	9
0	9
3	6
0	6
0	6
0	6
0	6
20	27
0	2
0	2
0	0
0	0
0	12
0	12
691	0
0	0
0	0
0	0
0	0
0	0
1	38
12	124
0	39
4	38
0	38
0	119
0	103
0	99
0	100
0	79
0	106
0	133
0	0
0	0
0	0
3	12
0	10
0	12
0	0
0	0
0	0
0	0
2	0
0	2
0	2
0	2
1	0
0	9
0	9
0	9
0	2
280	12
1200	0
0	34
0	34
0	33
0	0
192	4
0	0
0	17
0	19
0	17
0	19
0	17
0	17
0	19
0	19
12	32
0	32
0	639
0	643
0	641
0	641
0	656
0	622
0	622
0	625
0	635
0	595
0	639
0	591
0	608
0	562
0	560
0	558
0	531
0	531
0	575
0	529
0	527
0	527
0	585
0	544
0	0
34	0
0	0
0	14
0	14
0	0
0	0
0	0
0	0
0	0
108	0
1	78
0	53
0	78
0	78
0	0
0	0
0	0
0	147
0	132
2	76
5	0
0	4
0	4
0	4
1	0
0	180
0	175
23	177
8	121
0	121
1905	1
0	93
5	93
0	93
0	106
1	106
0	106
0	106
37	130
0	0
39	0
12	245
0	245
13	80
0	80
0	186
0	187
0	240
0	240
2	9
0	9
0	9
0	9
0	30
0	39
0	27
0	27
0	33
0	42
0	30
0	39
0	39
16	25
0	36
0	36
0	36
0	36
0	2
0	29
0	29
0	5
0	5
0	5
6	331
0	331
3	158
0	0
0	0
6	3
0	6
0	261
0	317
0	263
0	314
19	617
5	617
0	4
0	0
0	42
0	35
0	42
2	38
0	264
0	317
0	32
10	32
3364	263
50	7
0	0
0	0
0	210
0	242
0	261
0	317
0	207
0	206
0	260
0	4
0	0
0	0
0	52
0	52
0	0
0	0
0	0
0	0
0	0
0	0
1980	266
0	20
0	20
8	128
4	128
0	125
0	0
0	1
0	1
0	1
0	1
0	3612
0	3610
0	1
0	1
0	3
0	3
0	3
0	584
0	584
0	63
12	13
3	13
0	26
0	26
3	26
0	26
5	31
0	31
3	36
0	30
0	30
3	10
0	19
13	0
0	2
26	0
0	0
11	117
175	2610
0	1
0	0
0	32
0	32
0	32
0	0
0	0
6	0
9	0
25	0
132	11
0	21
0	2
0	21
1	23
0	21
0	21
0	21
0	21
0	21
0	2
0	2
0	12
4	7
21	313
0	313
37	2114
0	2114
70	2106
1	3
2	7
0	7
1	0
0	26
0	26
9	2778
11	2778
0	0
0	0
0	0
0	0
0	0
0	0
0	558
0	849
0	828
0	530
0	821
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
70	119
0	7
0	7
0	7
0	7
1	1377
0	1170
0	1170
0	1170
0	16
0	16
6	19
41	39
0	24
0	0
0	0
1	20
1	20
0	20
0	20
0	20
3	22
0	463
4	429
0	437
0	0
0	0
0	21
0	21
0	0
133	0
0	0
0	0
36	39
3	4
0	0
17	18
0	8
0	0
0	0
0	0
5	230
0	230
0	627
0	627
0	627
0	637
0	296
0	274
7	0
0	2
0	21
0	2
0	22
0	20
0	5
2	0
1	20
0	13
0	13
101	0
0	130
0	0
0	0
0	0
0	0
0	0
0	0
59	0
1395	26
0	0
71	0
8	0
4	358
0	358
0	57
0	56
6	68
0	57
1	36
0	88
0	88
0	2
0	0
0	0
1	13
0	13
2294	408
0	0
8	0
0	23
0	23
0	21
0	19
0	0
20	10
0	10
3	1
3	495
0	505
0	465
2181	418
3	17
0	17
8	0
0	0
96	3
0	35
0	35
419	0
3	11
0	85
0	86
1	80
0	11
0	11
0	11
0	0
0	0
0	4
0	8
0	4
0	4
0	3
5	0
0	0
0	0
0	0
0	0
0	0
0	0
5	2
0	0
0	0
0	299
0	303
0	374
0	378
0	0
2	14
0	14
0	1
0	1
0	18
0	18
0	84
0	76
0	76
0	76
0	76
0	58
0	0
56	0
28	3
713	0
0	2
0	2
192	29
62	7094
0	4786
0	37
0	37
0	37
0	56
0	2
0	41
0	46
0	46
0	46
0	41
0	36
0	36
0	0
0	0
0	263
0	264
0	313
16	0
2	4
0	4
0	4
0	0
0	2
1	2
0	0
0	0
0	0
0	2
0	2
0	25
2	27
0	24
0	2
0	108
0	123
4	123
0	121
7	127
0	114
0	114
0	114
0	113
55	114
0	83
0	96
0	89
0	89
0	89
0	44
0	51
0	154
0	155
0	208
2	64
0	64
134	5
0	346
0	344
0	345
0	347
0	345
0	344
0	344
0	344
0	344
0	290
1	290
0	0
0	185
0	186
0	239
0	239
18	1
0	0
0	1
0	36
0	36
13	16
81	0
4	3
0	81
0	82
0	75
0	74
0	80
0	73
0	74
0	72
0	78
0	79
0	70
0	71
0	66
0	67
0	71
0	72
0	70
0	74
0	75
0	71
0	72
0	63
0	64
41	66
0	66
914	0
0	0
0	0
0	6
0	6
0	3
0	3
0	3
0	3
0	3
0	3
0	3
0	3
0	3
0	3
0	3
0	38
0	38
0	38
0	38
0	0
0	19
0	19
0	18
0	18
4599	8345
90	8345
1	0
0	0
4	4
0	4
0	4
0	4
0	4
40	127
0	127
0	109
4	86
0	85
0	69
0	68
0	96
0	96
0	80
0	3
0	3
0	3
0	2
3	0
0	78
0	77
0	77
0	77
0	78
0	78
0	78
0	78
0	78
0	78
0	78
0	80
0	79
0	79
0	79
0	80
0	79
0	79
0	79
0	80
0	79
0	79
0	79
0	79
0	79
0	79
0	79
0	79
0	81
0	81
0	80
0	81
0	80
0	75
0	77
0	78
0	78
0	67
0	67
0	67
0	67
0	68
0	68
0	68
0	68
0	68
0	68
0	68
0	70
0	70
0	4
0	4
0	0
0	35
0	0
0	0
0	10
0	10
0	10
0	10
0	10
0	10
0	10
0	8
0	10
0	2
0	2
0	0
0	1
0	1
471	735
13	735
41	0
0	182
0	182
3	179
0	227
0	216
0	216
0	215
0	212
0	201
0	201
0	200
0	185
0	174
0	174
0	173
0	170
0	159
0	159
0	158
0	160
0	145
42	0
43	0
14	0
0	2
0	2
81	581
4	581
0	6
0	8
28	98
0	2694
0	2693
6	0
0	0
347	0
0	28
0	28
0	28
0	28
0	0
0	0
0	0
0	0
0	0
0	0
0	0
