"sample"	"PC1: 16% variance"	"PC2: 14% variance"
"TS047_RoL_RNA_291"	-146.69852732392	-48.5748534383267
"TS047_RoL_RNA_526"	-103.517456164868	-16.5769105315107
"TS047_RoL_RNA_655"	-95.5270306759271	-31.9577530262528
"TS047_RoL_RNA_477"	-82.4140845130289	6.79278398242793
"TS047_RoL_RNA_177"	-77.4537060669846	-55.3977229965645
"TS047_RoL_RNA_286"	-57.9849316397742	20.8071956240099
"TS047_RoL_RNA_289"	-54.0738010032107	-15.8443654981038
"TS047_RoL_RNA_318"	-52.7054979817084	11.073311676159
"TS047_RoL_RNA_500"	-51.8900606021758	7.34283007601477
"TS047_RoL_RNA_528"	-50.678970678654	-16.4536276681773
"TS047_RoL_RNA_651"	-43.5492357682326	14.6457064360493
"TS047_RoL_RNA_136"	-42.2952529918039	-27.5757489020897
"TS047_RoL_RNA_679"	-42.2564561750572	9.12346882012907
"TS047_RoL_RNA_683"	-38.3928056736984	-46.0720602028615
"TS047_RoL_RNA_328"	-37.4769117101401	47.2555335402134
"TS047_RoL_RNA_710"	-37.1492971482686	-30.3223468217115
"TS047_RoL_RNA_532"	-35.0405183238757	-19.5257366187519
"TS047_RoL_RNA_530"	-34.541992314191	24.812349119279
"TS047_RoL_RNA_506"	-31.2822719126176	-0.564308402013326
"TS047_RoL_RNA_469"	-20.1857891737154	27.1669040329445
"TS047_RoL_RNA_142"	-17.9633141054144	70.3207952330261
"TS047_RoL_RNA_170"	-17.2930135922148	-71.2635144746832
"TS047_RoL_RNA_119"	-16.2133916916529	13.8939338070384
"TS047_RoL_RNA_498"	-15.9806997195081	45.8195236823496
"TS047_RoL_RNA_116"	-15.7006090175751	-17.6580137238046
"TS047_RoL_RNA_114"	-15.1429461588885	34.5209819430423
"TS047_RoL_RNA_319"	-12.3264052139918	56.2739000122048
"TS047_RoL_RNA_110"	-10.3992790228854	21.1872604398676
"TS047_RoL_RNA_322"	-9.48175812522874	60.2212491940411
"TS047_RoL_RNA_502"	-6.38694132467742	38.6960407533809
"TS047_RoL_RNA_229"	-6.35237155092332	-116.605440441345
"TS047_RoL_RNA_112"	-6.10676110813033	44.0033949730526
"TS047_RoL_RNA_677"	-4.77562310067363	58.4017694398655
"TS047_RoL_RNA_707"	-4.2601347209844	29.8035915431014
"TS047_RoL_RNA_646"	-3.81077593800708	40.0410860921454
"TS047_RoL_RNA_288"	-2.05688239714706	50.5730757458698
"TS047_RoL_RNA_146"	-1.14505138469727	68.6311522093469
"TS047_RoL_RNA_46"	-0.650301442834598	-88.6407356379715
"TS047_RoL_RNA_652"	-0.36948519493195	17.587090731698
"TS047_RoL_RNA_326"	0.269168522076416	63.7301776863261
"TS047_RoL_RNA_708"	1.23636102089972	27.7972911494645
"TS047_RoL_RNA_468"	1.29236083748581	54.5973045857095
"TS047_RoL_RNA_347"	4.98174284690799	4.3893097176725
"TS047_RoL_RNA_407"	7.36253463052138	-97.1930630809066
"TS047_RoL_RNA_85"	8.19383486591398	-79.1395378720497
"TS047_RoL_RNA_355"	9.77579729713536	19.15223979406
"TS047_RoL_RNA_678"	10.4518947035625	39.7244778589679
"TS047_RoL_RNA_676"	10.487161698747	69.0353186815671
"TS047_RoL_RNA_20"	10.9671248529681	-58.9162665082453
"TS047_RoL_RNA_145"	15.2340938658456	12.6114576880697
"TS047_RoL_RNA_478"	19.0675980140981	70.907283253406
"TS047_RoL_RNA_561"	25.9859260446488	-45.2099654663421
"TS047_RoL_RNA_204"	31.4149574193624	-80.3033317651517
"TS047_RoL_RNA_616"	32.0101882309163	-78.7785662817067
"TS047_RoL_RNA_175"	35.8815606163119	9.99315276951728
"TS047_RoL_RNA_412"	40.1176847355546	31.856639933483
"TS047_RoL_RNA_618"	41.1733231146905	-39.1258779911556
"TS047_RoL_RNA_559"	44.335181517033	-52.411469016923
"TS047_RoL_RNA_562"	50.1185798103111	-59.6467018430991
"TS047_RoL_RNA_51"	54.0022823813241	-28.358071090279
"TS047_RoL_RNA_258"	54.3885958196331	-36.6996789538978
"TS047_RoL_RNA_586"	54.848551548528	-11.3606766488215
"TS047_RoL_RNA_317"	58.4704410325877	41.3963027698928
"TS047_RoL_RNA_200"	64.8814456289087	19.5565109580757
"TS047_RoL_RNA_377"	68.4311789607925	9.66201299108893
"TS047_RoL_RNA_381"	68.7794892566183	-7.88127101584843
"TS047_RoL_RNA_442"	69.349470932404	18.6231735587613
"TS047_RoL_RNA_262"	73.1999727699141	-10.8598384888716
"TS047_RoL_RNA_16"	78.2062574958262	8.87458812929833
"TS047_RoL_RNA_79"	81.1860838124467	9.94786431620194
"TS047_RoL_RNA_231"	86.8098085445026	-20.6876999380294
"TS047_RoL_RNA_439"	88.619689823743	-21.2448806033238
