sample	TS047_RoL_RNA_110	TS047_RoL_RNA_112	TS047_RoL_RNA_114	TS047_RoL_RNA_116	TS047_RoL_RNA_119	TS047_RoL_RNA_136	TS047_RoL_RNA_142	TS047_RoL_RNA_145	TS047_RoL_RNA_146	TS047_RoL_RNA_16	TS047_RoL_RNA_170	TS047_RoL_RNA_175	TS047_RoL_RNA_177	TS047_RoL_RNA_20	TS047_RoL_RNA_200	TS047_RoL_RNA_204	TS047_RoL_RNA_229	TS047_RoL_RNA_231	TS047_RoL_RNA_258	TS047_RoL_RNA_262	TS047_RoL_RNA_286	TS047_RoL_RNA_288	TS047_RoL_RNA_289	TS047_RoL_RNA_291	TS047_RoL_RNA_317	TS047_RoL_RNA_318	TS047_RoL_RNA_319	TS047_RoL_RNA_322	TS047_RoL_RNA_326	TS047_RoL_RNA_328	TS047_RoL_RNA_347	TS047_RoL_RNA_355	TS047_RoL_RNA_377	TS047_RoL_RNA_381	TS047_RoL_RNA_407	TS047_RoL_RNA_412	TS047_RoL_RNA_439	TS047_RoL_RNA_442	TS047_RoL_RNA_46	TS047_RoL_RNA_468	TS047_RoL_RNA_469	TS047_RoL_RNA_477	TS047_RoL_RNA_478	TS047_RoL_RNA_498	TS047_RoL_RNA_500	TS047_RoL_RNA_502	TS047_RoL_RNA_506	TS047_RoL_RNA_51	TS047_RoL_RNA_526	TS047_RoL_RNA_528	TS047_RoL_RNA_530	TS047_RoL_RNA_532	TS047_RoL_RNA_559	TS047_RoL_RNA_561	TS047_RoL_RNA_562	TS047_RoL_RNA_586	TS047_RoL_RNA_616	TS047_RoL_RNA_618	TS047_RoL_RNA_646	TS047_RoL_RNA_651	TS047_RoL_RNA_652	TS047_RoL_RNA_655	TS047_RoL_RNA_676	TS047_RoL_RNA_677	TS047_RoL_RNA_678	TS047_RoL_RNA_679	TS047_RoL_RNA_683	TS047_RoL_RNA_707	TS047_RoL_RNA_708	TS047_RoL_RNA_710	TS047_RoL_RNA_79	TS047_RoL_RNA_85
TS047_RoL_RNA_110	0	112.295905670286	106.967779448568	115.314267607268	123.979111483802	123.033806550364	140.549154791498	113.447066974026	125.450833590465	148.05053563077	156.787238362883	146.038040039693	195.78656964047	147.141081363014	148.407776269135	162.821450336382	178.248524737413	178.326783572035	141.981461207102	156.29291201958	136.205199011928	123.552598684116	122.236433315674	248.645424453285	148.161993223316	124.559439718303	126.225478447816	126.188219735876	127.954395400095	135.269015003898	119.566875224441	139.195499847839	157.631291841149	146.15703084246	178.067772652168	168.502758376988	165.288375237763	150.572209787043	192.245405256001	114.121731058859	126.108237693017	192.23924921983	127.182047128563	111.311804870477	138.417967937437	102.965800291371	120.74964627611	145.548999510794	218.859232073961	121.990524932123	111.601953336226	127.744924627511	157.816865357606	176.4648233071	159.576122181052	189.710577768822	169.06834810389	150.37339247207	125.526616649654	129.107041298421	111.022091169393	207.188156986024	127.899574908406	118.333863220511	119.196000394363	137.921777564163	136.996511384949	103.70633778867	110.599471780842	126.541144242394	161.320931791264	177.097281450623
TS047_RoL_RNA_112	112.295905670286	0	104.730469566248	128.728914250386	123.101533963282	141.891700329198	137.030178240401	127.349384889099	116.561628914149	152.643612182847	177.908128993408	144.58316622566	201.963967627586	160.589141303564	138.439580982181	184.934748456331	194.636880135838	195.549073649944	157.586748699792	157.007954051634	140.834934174541	121.352474811246	133.834727940626	257.920720645532	154.600524774571	134.027612377396	124.797481229521	117.787541267576	124.292639249931	130.515008621744	122.598100541179	145.829507055612	151.844947081909	158.46259915616	195.890905329563	163.268098832859	176.698748481324	139.255019635201	200.191350831644	111.16594757449	135.959927675007	203.129351923948	112.617889969599	110.840733950408	145.177631331273	120.361553358596	137.000069722226	150.792598549043	224.581613503735	130.798825445024	120.142926839254	133.85684774797	163.979747771015	186.388784047512	167.982230641978	185.504486871815	178.762670135842	153.904703850832	119.276031306736	124.152671471743	119.256694536013	213.694637212243	123.451348037079	106.901630408248	108.549695566838	132.816880966898	157.828807442905	109.844891774322	107.500942967584	141.45984201064	165.194007947434	179.586539949238
TS047_RoL_RNA_114	106.967779448568	104.730469566248	0	126.167248385866	124.030497074995	132.649156694306	137.702635621827	124.292421510252	119.744326522556	155.949770546324	169.153720862736	144.558032181157	196.089376402656	156.421885230737	147.784619505277	176.323778840882	190.319293531274	190.30364938444	152.608014355638	159.343356326626	132.496007797089	125.740216158877	121.610859981553	250.854183900224	160.132091905306	130.111155939515	123.760413128694	120.516115818888	129.054383844557	123.799437512444	115.362697306852	140.337953220129	158.871129720594	153.864270021396	192.425712839953	173.992900544124	170.999643864808	151.61461819784	198.427247902331	106.713441930874	136.459583544707	198.911906213217	124.295332030997	100.306287939639	142.098062468389	116.826499887439	133.326693624016	149.776226122308	218.934324125985	124.140865322182	121.761831828641	129.91763180015	166.573037152905	181.478562087525	165.108598180447	191.430013445993	175.262923750063	157.474349650035	125.681428443391	127.955670043098	116.056231767427	208.010589100389	128.687949608127	116.226521583082	109.01610661577	135.591410169392	145.283401658893	103.37951009933	108.382415620166	135.101653505739	170.361333952814	180.692677784308
TS047_RoL_RNA_116	115.314267607268	128.728914250386	126.167248385866	0	123.952286002077	123.415734878152	166.596864175343	127.310714772909	155.040400189009	158.867828639791	147.187849348457	160.121297207329	189.670125175438	129.659189539389	160.676073368872	154.187542531722	160.244342162362	194.668389926602	147.804378363107	165.99938625147	148.983830878035	143.823282547384	121.198677972952	251.551645184959	169.44399016569	127.874899903064	149.672526978436	148.881774392042	161.307738437464	156.169378578478	125.454550036933	156.619020540233	166.050034936474	160.046584642823	166.033496665244	176.906129570999	178.63136602775	161.691508745736	175.783052109641	136.638073664908	134.330827852303	205.799483195855	156.408798183823	135.062804735377	141.065909159854	125.983549402318	124.03286768928	154.4040432152	223.070990087047	123.158490519877	130.316140865487	114.075955141454	148.801093828154	180.666137940371	148.047206195745	193.73344450941	159.210580397636	145.951492197205	138.249093407674	130.893875489729	125.150438439497	209.009813764989	156.965255598243	140.884652749114	133.909695823948	138.06222959992	128.17047982951	123.953277371558	125.237289139348	116.335946684802	169.272603512864	154.611970069152
TS047_RoL_RNA_119	123.979111483802	123.101533963282	124.030497074995	123.952286002077	0	134.255242672268	149.611843682986	130.043102735769	134.095536484904	161.205882905415	167.324540365528	149.012511326981	198.973198708629	158.43415938102	151.917645162842	171.763035398462	184.530754155121	198.714226439042	161.677749464599	162.041692708887	142.767284100292	120.35672131979	131.332546745945	258.567102761108	161.205418470567	131.091731725201	129.294746782993	122.232965275115	140.996605711321	138.158782843167	127.986872335621	147.034222483689	155.667090921086	163.688135090933	175.051440587286	166.343170589383	185.906947373374	156.058327788286	174.566283506339	131.406668202585	128.374937753142	210.767127055546	138.354207383744	115.718259117875	130.910045722633	135.235301162334	115.14440044184	160.341845663823	211.263511907608	136.289173270167	115.702499405082	123.723117844405	147.739496788672	172.380237562989	154.27467717631	190.216978091717	161.119687535109	143.160308958275	117.221539786325	115.88878421763	130.606349455326	200.271638575842	141.234024867518	119.90255328402	120.585579682684	123.68520750379	150.771703859829	120.30233482532	116.511472571393	134.916149108537	177.677732758105	157.029951483648
TS047_RoL_RNA_136	123.033806550364	141.891700329198	132.649156694306	123.415734878152	134.255242672268	0	170.284476703147	141.351591148849	163.492184038163	182.509538849344	144.662282596138	174.667074800185	191.221243973661	146.43438119339	183.118312058019	159.707824867252	151.27622376858	199.210318009765	161.632454567823	182.784510964584	138.95553260755	155.729595614047	109.401299224777	237.587179905889	188.485046864292	125.629582225866	152.991940568191	159.353699542491	162.766614200571	150.484980918606	133.937892057548	159.503879036156	185.371559796533	174.565977773833	168.388604135645	199.350420700889	188.27108596616	181.108744315931	177.295547965564	151.931582231853	153.168844982152	211.165394894457	161.18587902377	137.742365657514	139.21809996799	142.581750565935	134.243317692667	162.111992108489	217.587267660715	108.044826392276	128.136009356572	122.072958785246	165.256216264289	180.015077891118	162.910446722483	210.292246174017	161.130266274867	163.034853893103	154.941015634058	136.557378065004	142.495395187507	200.391671564376	164.260041382472	155.523371330234	153.768428159084	148.978283123226	121.119062624109	134.210350157556	138.547309609188	121.821954154708	199.297765501376	166.547584265699
TS047_RoL_RNA_142	140.549154791498	137.030178240401	137.702635621827	166.596864175343	149.611843682986	170.284476703147	0	148.672412315035	117.957553188668	175.38265455763	200.287723138442	152.179296437299	222.882121244083	192.170196310639	169.768015577401	211.490817808281	226.977812017139	193.378154141159	181.483443022487	177.191113825417	142.221788610962	122.439334568105	165.387338152959	262.0685571704	161.337723361179	146.776596287839	125.086122936487	115.466351696162	117.69597985655	125.287958091153	161.202918559781	166.952555581714	176.927679384339	171.453278621191	213.160595434197	164.253921535968	194.16298017447	169.389637407554	215.724321529048	137.773873715501	138.244654096662	206.615030913832	133.094525604186	126.95580593388	142.643332124669	137.315515845612	156.660212411887	185.728984374277	212.166879543345	170.463505054908	142.139713530295	167.998077378215	193.260949748324	190.913244620524	193.743040061364	192.238624646751	207.575980776047	186.935792117444	135.283222785661	141.06058894662	154.057259776349	207.451061628178	146.069518825502	125.561745045597	140.398110447301	150.579314038012	185.042972521924	135.327465439806	129.792157005571	179.593990157473	178.844887996688	207.765898445222
TS047_RoL_RNA_145	113.447066974026	127.349384889099	124.292421510252	127.310714772909	130.043102735769	141.351591148849	148.672412315035	0	138.216100203714	138.114885393242	156.902543095003	142.013751841434	203.929817285217	143.978671821418	140.792174357664	155.074112510634	181.597093649711	168.178832781162	133.136204430382	150.739654503199	155.053882398075	130.29079966385	144.219217448165	263.014763691863	140.214217801885	139.843701682356	143.728559286878	139.895475263937	145.121191352603	150.557873491736	130.825885015482	152.431456085339	154.29930189629	136.724055261328	182.839544705978	168.325084809086	162.884370604596	144.964452160321	193.653146385385	126.32251802402	139.55484547569	207.487306641807	135.206303839839	128.200781924913	146.606174896603	114.214287617075	134.44127780107	147.751250154103	231.83038422283	140.922877564006	132.720842790601	135.188287752154	153.302328310917	181.171378066691	155.449426608202	186.001542268115	170.835839344972	148.8028717992	132.383487485453	142.964229209219	121.350114734472	220.840993461431	149.895508331683	131.869418970881	127.374520365771	146.535266954643	149.797235043236	114.631722479182	122.410631998267	141.306658843091	145.806349267991	175.9804329792
TS047_RoL_RNA_146	125.450833590465	116.561628914149	119.744326522556	155.040400189009	134.095536484904	163.492184038163	117.957553188668	138.216100203714	0	158.846418554961	195.675501615067	144.211916982226	215.533769280718	183.563199496771	145.549665905801	201.110447537443	216.110766710836	189.58139623173	170.274921163272	157.418254998141	140.337407002157	112.037978550775	150.297271328242	263.507452040902	150.76203111117	140.460929096199	109.892230942123	110.973501134322	111.288615896861	122.654550185885	137.459632231269	149.217195618133	153.430324197842	158.268353690221	208.850899973472	156.958396724772	179.538239871834	146.248203296734	208.311058692286	117.704133873087	133.744882316938	204.294071282964	114.395336340421	107.477640617093	148.790885127731	129.069277977668	143.066181566114	164.923228255582	224.545746825894	157.627443671808	128.971405600335	153.383335382294	174.055472201253	186.908114534954	176.240650394592	186.276029076101	191.036157331667	164.371544865486	120.824113340815	135.395819304918	133.670781788869	215.667442873234	116.921329473111	109.4730578414	118.539906489432	148.527911904711	176.205353583219	117.516054340086	116.76380959807	167.965805792516	171.297085111417	197.196951058441
TS047_RoL_RNA_16	148.05053563077	152.643612182847	155.949770546324	158.867828639791	161.205882905415	182.509538849344	175.38265455763	138.114885393242	158.846418554961	0	192.481510780704	139.174873323758	221.483121440993	163.941356324295	130.820745091864	165.30178712206	202.440725166248	146.911864235092	132.445270697485	126.597396154059	197.108942953556	154.001131458886	185.618290336772	287.995713595598	137.783317979619	183.803827380054	164.003635388158	158.575327095023	158.119565398317	178.53862266859	149.793234681745	161.365886609171	138.070876900318	120.716204439297	192.62100518134	156.022575576335	133.107464384109	123.07746299277	206.020418152398	148.870727494426	172.513057045847	225.583797120788	148.086682591609	157.215686362587	188.62153290281	148.734300315456	173.150029147675	137.3439794226	257.25675163715	188.179075671279	171.647528318713	175.454145582484	157.381381376067	172.905692560524	146.895249014925	173.217989740954	172.55493613351	152.189994692138	156.612154355535	179.974676732032	147.729262663889	248.557481845244	157.39836640346	156.088888842728	147.34679823731	182.317970803458	187.868010738307	148.031260162221	149.302755394247	181.624767468118	128.48795260806	187.118348751789
