gene_id	taxa_id	correlation	p_value	fdr	abs_correlation	comparison_name	base_treatment	comparison_treatment
ifi27.1	Cetobacterium	0.8765320030304158	0.008991008991008992	0.043290043290043295	0.8765320030304158	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
mtus1b	Culicoidibacter	0.7593792416480625	0.030969030969030968	0.05156134188392253	0.7593792416480625	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
rbpms2b	Pirellula	-0.7243400993658876	0.005994005994005994	0.03525885878827056	0.7243400993658876	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
si:dkey-286h2.3	Culicoidibacter	0.7045454576428543	0.017982017982017984	0.045192902335759476	0.7045454576428543	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
rfc3	Paucibacter	-0.6875355152477227	0.004995004995004995	0.03525885878827056	0.6875355152477227	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
pdk2a	Paucibacter	0.6744554384571425	0.02097902097902098	0.04560656734569778	0.6744554384571425	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
wrap53	Paucibacter	-0.6576905688926337	0.007992007992007992	0.043290043290043295	0.6576905688926337	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
si:ch211-108d22.2	Cetobacterium	-0.6543638468253287	0.005994005994005994	0.03525885878827056	0.6543638468253287	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
ola1	Cetobacterium	-0.642745386594925	9.99000999000999e-4	0.023053869207715363	0.642745386594925	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
slc25a17l	Paucibacter	-0.6332578585544346	0.002997002997002997	0.023053869207715363	0.6332578585544346	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
zgc:172145	Fluviicola	-0.6323553673693416	9.99000999000999e-4	0.023053869207715363	0.6323553673693416	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
si:dkey-253d23.2	Fluviicola	-0.6171468810400295	0.002997002997002997	0.023053869207715363	0.6171468810400295	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
adap2	Fluviicola	-0.6132137111151732	0.002997002997002997	0.023053869207715363	0.6132137111151732	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
wrap53	Culicoidibacter	-0.5987745111822247	0.01898101898101898	0.045192902335759476	0.5987745111822247	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
pmt	Fluviicola	0.593369847522871	0.057942057942057944	0.07725607725607725	0.593369847522871	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
snapin	Fluviicola	-0.5839210550420313	0.001998001998001998	0.023053869207715363	0.5839210550420313	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
stard10	Fluviicola	-0.5818579434428468	0.001998001998001998	0.023053869207715363	0.5818579434428468	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
sugt1	Fluviicola	-0.5589460514899963	0.001998001998001998	0.023053869207715363	0.5589460514899963	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
