taxa	metadata	value	coef	stderr	N	N.not.0	pval	qval	comparison_name	base_treatment	comparison_treatment
Vogesella	Treatment	A- T+ P+	5.73339093066058	0.629452430767848	236	74	4.36263040034347e-17	1.18183657545305e-13	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Culicoidibacter	Treatment	A- T+ P-	-5.69212501504907	0.657596480042471	236	229	8.965221584058401e-16	1.21433926356071e-12	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Acinetobacter	Treatment	A+ T- P+	5.20397277146391	0.634822145854251	236	136	1.77451373632441e-14	1.60238590390094e-11	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Pararhodobacter	Treatment	A+ T+ P+	0.597282401012546	0.0784895741240875	236	8	7.19354473773221e-13	4.87182817362914e-10	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Cloacibacterium	Treatment	A+ T- P-	3.22249069953684	0.442735822133851	236	85	5.40712650775591e-12	2.92958114190215e-9	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Rhodovarius	Treatment	A- T- P+	1.51365560845168	0.209682682389486	236	22	7.739886000053469e-12	3.2351739174596504e-9	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
X67.14_Genus	Treatment	A- T- P+	3.8375495018753	0.532555675854172	236	104	8.35962252573553e-12	3.2351739174596504e-9	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Caulobacter	Treatment	A+ T- P-	3.09913393762243	0.433715138874355	236	53	1.1980890798372499e-11	4.0570291465989e-9	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Dongia	Treatment	A+ T+ P-	0.481589487281304	0.0678319444838172	236	4	1.57246001735441e-11	4.73310465223678e-9	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Tundrisphaera	Treatment	A+ T- P+	-5.27761889363777	0.749173867294011	236	168	2.1785819459039002e-11	5.90177849145365e-9	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Flavobacterium	Treatment	A+ T+ P-	-5.03196274178046	0.749954844937214	236	185	1.52483057802689e-10	3.75524185079531e-8	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Gemmataceae_Genus	Treatment	A+ T- P-	4.52123186675325	0.685822835804876	236	157	2.97174157509722e-10	6.19265225149105e-8	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Polymorphobacter	Treatment	A+ T+ P+	3.16698971582776	0.479894547316872	236	63	2.85750641326044e-10	6.19265225149105e-8	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
