gene_id	gene_name	TaxaID	correlation	abs_correlation	p_value	fdr
hephl1b	hephl1b	Paucibacter	-0.9255448958246447	0.9255448958246447	0	0
LOC100006250	LOC100006250	Gemmobacter	-0.8939502228954713	0.8939502228954713	1.5543122344752192e-15	6.708333888383322e-11
LOC101884777	LOC101884777	Vogesella	0.8784206255225506	0.8784206255225506	1.9451107391432743e-13	5.184583762307682e-9
cdk10	cdk10	Culicoidibacter	-0.8776459610468557	0.8776459610468557	2.402522625288839e-13	5.184583762307682e-9
nom1	nom1	Culicoidibacter	-0.8755809117267455	0.8755809117267455	4.163336342344337e-13	7.1875005946964166e-9
prpf31	prpf31	Plesiomonas	-0.8735158624066353	0.8735158624066353	7.08988423525625e-13	1.0199861955051404e-8
LOC100006250	LOC100006250	Paenirhodobacter	-0.8713810156677237	0.8713810156677237	1.2074785615823203e-12	1.4639075285316494e-8
homezb	homezb	Plesiomonas	-0.8704182884264697	0.8704182884264697	1.5263346142546652e-12	1.4639075285316494e-8
srpk1b	srpk1b	Culicoidibacter	-0.8704182884264697	0.8704182884264697	1.5263346142546652e-12	1.4639075285316494e-8
cdk10	cdk10	Plesiomonas	-0.863190615806084	0.863190615806084	7.985834216128751e-12	6.893292237020177e-8
psmd4a	psmd4a	Culicoidibacter	-0.8611255664859737	0.8611255664859737	1.24162902181979e-11	9.743288684951132e-8
agr2	agr2	Plesiomonas	-0.8590605171658634	0.8590605171658634	1.9058310485320362e-11	1.265457155986437e-7
gfpt1	gfpt1	Culicoidibacter	-0.8590605171658634	0.8590605171658634	1.9058310485320362e-11	1.265457155986437e-7
atp6v1ba	atp6v1ba	Plesiomonas	-0.8569954678457532	0.8569954678457532	2.889577466191895e-11	1.6628362486947879e-7
igbp1	igbp1	Plesiomonas	-0.8569954678457532	0.8569954678457532	2.889577466191895e-11	1.6628362486947879e-7
denr	denr	Culicoidibacter	-0.8559629431856981	0.8559629431856981	3.542255377908532e-11	1.7986114233275682e-7
psmd2	psmd2	Culicoidibacter	-0.8559629431856981	0.8559629431856981	3.542255377908532e-11	1.7986114233275682e-7
psmd6	psmd6	Culicoidibacter	-0.8538978938655879	0.8538978938655879	5.2776671921606066e-11	2.4765443715768495e-7
pdk2a	pdk2a	Paucibacter	0.8534571723426213	0.8534571723426213	5.738121089393644e-11	2.4765443715768495e-7
rfc3	rfc3	Paucibacter	-0.8534571723426213	0.8534571723426213	5.738121089393644e-11	2.4765443715768495e-7
tuba8l4	tuba8l4	Culicoidibacter	-0.8528653692055327	0.8528653692055327	6.415223907652035e-11	2.636931964212457e-7
nrbp2b	nrbp2b	Culicoidibacter	0.8518328445454776	0.8518328445454776	7.776912447354789e-11	3.051342297923718e-7
psmd11b	psmd11b	Plesiomonas	-0.8508003198854224	0.8508003198854224	9.402745249076361e-11	3.528850291978358e-7
anxa5b	anxa5b	Culicoidibacter	-0.8487352705653122	0.8487352705653122	1.3639334106585466e-10	4.905557003109795e-7
si:dkey-286h2.3	si:dkey-286h2.3	Culicoidibacter	0.8477027459052571	0.8477027459052571	1.6365531152473523e-10	5.636297410793745e-7
commd9	commd9	Culicoidibacter	-0.846670221245202	0.846670221245202	1.958884165986774e-10	5.636297410793745e-7
imp4	imp4	Culicoidibacter	-0.846670221245202	0.846670221245202	1.958884165986774e-10	5.636297410793745e-7
lonp1	lonp1	Culicoidibacter	-0.846670221245202	0.846670221245202	1.958884165986774e-10	5.636297410793745e-7
mtus1b	mtus1b	Culicoidibacter	0.846670221245202	0.846670221245202	1.958884165986774e-10	5.636297410793745e-7
uchl5	uchl5	Culicoidibacter	-0.846670221245202	0.846670221245202	1.958884165986774e-10	5.636297410793745e-7
zgc:77262	zgc:77262	Culicoidibacter	-0.8456376965851469	0.8456376965851469	2.3391044656762006e-10	6.513198657183998e-7
armc7	armc7	Paenirhodobacter	-0.8454470568680891	0.8454470568680891	2.416362665513816e-10	6.518062778890221e-7
ctbp1l	ctbp1l	Plesiomonas	-0.8446051719250917	0.8446051719250917	2.786590957981616e-10	7.07458073241221e-7
pigf	pigf	Culicoidibacter	-0.8446051719250917	0.8446051719250917	2.786590957981616e-10	7.07458073241221e-7
p2rx4b	p2rx4b	Gemmobacter	-0.8442863216235008	0.8442863216235008	2.9400015755243203e-10	7.250799885648109e-7
