gene_id	gene_name	TaxaID	correlation	abs_correlation	p_value	fdr	comparison_name	base_treatment	comparison_treatment
zranb2	zranb2	Uliginosibacterium	0.682012411569784	0.682012411569784	1.219613396585828e-5	0.04390608227708981	A- T- P+ vs A+ T- P+	A- T- P+	A+ T- P+
zgc:154142	zgc:154142	Uliginosibacterium	-0.6636458295705977	0.6636458295705977	3.165760387102701e-5	0.05698368696784861	A- T- P+ vs A+ T- P+	A- T- P+	A+ T- P+
slc28a1	slc28a1	Uliginosibacterium	-0.6403814923716284	0.6403814923716284	9.202159750265615e-5	0.10131097836851843	A- T- P+ vs A+ T- P+	A- T- P+	A+ T- P+
arpp19b	arpp19b	Rubrivivax	-0.6356166575225922	0.6356166575225922	1.1256775374279826e-4	0.10131097836851843	A- T- P+ vs A+ T- P+	A- T- P+	A+ T- P+
ifit8	ifit8	Longivirga	-0.615846057725948	0.615846057725948	2.460619240192141e-4	0.12443432812357935	A- T- P+ vs A+ T- P+	A- T- P+	A+ T- P+
psmd4b	psmd4b	Mycobacterium	-0.615052364513088	0.615052364513088	2.534770410544951e-4	0.12443432812357935	A- T- P+ vs A+ T- P+	A- T- P+	A+ T- P+
si:dkey-85k7.10	si:dkey-85k7.10	Acinetobacter	-0.614447578227745	0.614447578227745	2.5925527924086644e-4	0.12443432812357935	A- T- P+ vs A+ T- P+	A- T- P+	A+ T- P+
LOC141379833	LOC141379833	Acinetobacter	-0.612706933530216	0.612706933530216	2.7652072916350967e-4	0.12443432812357935	A- T- P+ vs A+ T- P+	A- T- P+	A+ T- P+
LOC141379833	LOC141379833	Chitinibacter	0.6094210410930452	0.6094210410930452	3.118113005915468e-4	0.12472452023661873	A- T- P+ vs A+ T- P+	A- T- P+	A+ T- P+
cyp2n13	cyp2n13	Roseomonas	0.602407142298149	0.602407142298149	4.002201285244755e-4	0.13660993973328478	A- T- P+ vs A+ T- P+	A- T- P+	A+ T- P+
ddah1	ddah1	Uliginosibacterium	-0.6011994507733645	0.6011994507733645	4.1741926029614795e-4	0.13660993973328478	A- T- P+ vs A+ T- P+	A- T- P+	A+ T- P+
dut	dut	Uliginosibacterium	0.5938528179736898	0.5938528179736898	5.362205268275577e-4	0.14363377950986794	A- T- P+ vs A+ T- P+	A- T- P+	A+ T- P+
LOC110437756	LOC110437756	Uliginosibacterium	0.5930673884164136	0.5930673884164136	5.50471278718323e-4	0.14363377950986794	A- T- P+ vs A+ T- P+	A- T- P+	A+ T- P+
si:ch211-284o19.8	si:ch211-284o19.8	Uliginosibacterium	0.5926283791737441	0.5926283791737441	5.585758092050419e-4	0.14363377950986794	A- T- P+ vs A+ T- P+	A- T- P+	A+ T- P+
cyp2n13	cyp2n13	Mycobacterium	0.5744850808962674	0.5744850808962674	9.946796531212776e-4	0.22871992501949376	A- T- P+ vs A+ T- P+	A- T- P+	A+ T- P+
pou2f3	pou2f3	Acinetobacter	-0.573542427835813	0.573542427835813	0.0010235426303002448	0.22871992501949376	A- T- P+ vs A+ T- P+	A- T- P+	A+ T- P+
nemp1	nemp1	Uliginosibacterium	0.568139603174829	0.568139603174829	0.0012029058958014094	0.22871992501949376	A- T- P+ vs A+ T- P+	A- T- P+	A+ T- P+
