gene_id	gene_name	TaxaID	correlation	abs_correlation	p_value	fdr	comparison_name	base_treatment	comparison_treatment
LOC101885452	LOC101885452	Dinghuibacter	0.8889402801466365	0.8889402801466365	8.387734951043058e-10	5.772439193307832e-6	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC110438351	LOC110438351	Gemmobacter	0.8621684028588265	0.8621684028588265	7.384285338751795e-8	1.8169949559476706e-4	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
igf2bp2b	igf2bp2b	Ensifer	0.8616475560561659	0.8616475560561659	7.920640610059593e-8	1.8169949559476706e-4	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC137489722	LOC137489722	Flavobacterium	0.8571340631831347	0.8571340631831347	1.4238469270289045e-7	2.44972863795323e-4	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC141381605	LOC141381605	Paenirhodobacter	0.8323097568723736	0.8323097568723736	2.052057762380599e-6	0.002824452304140657	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC141379342	LOC141379342	Aquihabitans	0.818840579710145	0.818840579710145	6.452666667655649e-6	0.007401208667801029	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
ugt5g1	ugt5g1	Agitococcus	-0.815450061973549	0.815450061973549	8.38909634781615e-6	0.007884538165983501	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
mhc2dgb	mhc2dgb	Pirellula	-0.8142783449605997	0.8142783449605997	9.165403273447836e-6	0.007884538165983501	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC101885452	LOC101885452	Legionella	0.8004595203267109	0.8004595203267109	2.4095628808895597e-5	0.0184251241625355	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC137496184	LOC137496184	Pseudorhodoplanes	0.7905101614354674	0.7905101614354674	4.4713812351826476e-5	0.03077204566052698	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
pla2g3	pla2g3	Flavobacterium	0.7880922768806395	0.7880922768806395	5.1517030345671344e-5	0.032230927530810013	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC141381754	LOC141381754	Rubrivivax	0.7838429884596079	0.7838429884596079	6.55804600713239e-5	0.037610393850904256	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC101885452	LOC101885452	Pseudorhodoplanes	0.7792693539929614	0.7792693539929614	8.417252295878086e-5	0.04182780762740622	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC101885452	LOC101885452	Ensifer	0.7790663928346828	0.7790663928346828	8.508998936118672e-5	0.04182780762740622	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
adam12b	adam12b	Flavobacterium	0.7775843798555644	0.7775843798555644	9.204524558814597e-5	0.04223035867584137	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC141379345	LOC141379345	Flavobacterium	0.7739467033882039	0.7739467033882039	1.1114652686394777e-4	0.047806899867355535	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
slco1c1	slco1c1	Roseomonas	0.7670764828304892	0.7670764828304892	1.562125255394342e-4	0.06323850592719919	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
hspa8	hspa8	Elstera	-0.7618527288259724	0.7618527288259724	1.9976068728144725e-4	0.07029912777847545	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
ugt5g1	ugt5g1	Sediminibacterium	-0.7618527288259724	0.7618527288259724	1.9976068728144725e-4	0.07029912777847545	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC108180198	LOC108180198	Pseudorhodoplanes	0.7613640884753035	0.7613640884753035	2.0429854047798734e-4	0.07029912777847545	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
cxcl11.4	cxcl11.4	Crenobacter	0.7552447552447553	0.7552447552447553	2.6865673325615624e-4	0.07946685925047899	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
