ID	Description	p.adjust	Count	geneID	log_padj	analysis_group
dre03050	Proteasome	1.1040605429217534e-4	8	415202/393261/393518/322265/321947/171585/336786/393941	3.9570071107228517	00_All_Treatments
dre04210	Apoptosis	0.02465307101122785	10	393154/561021/751765/567460/794666/195817/563053/552927/791531/58022	1.6081289733378137	00_All_Treatments
dre04621	NOD-like receptor signaling pathway	0.02465307101122785	9	492489/393620/561021/100149641/100150844/567460/794666/100334992/58022	1.6081289733378137	00_All_Treatments
dre04981	Folate transport and metabolism	0.02465307101122785	4	323301/393561/100073336/404609	1.6081289733378137	00_All_Treatments
dre04625	C-type lectin receptor signaling pathway	0.05067266062131447	7	192322/561021/100150844/565241/794666/246227/58022	1.2952262920223427	00_All_Treatments
dre04146	Peroxisome	0.054910090236558046	6	566378/573990/566863/100034578/100037349/334644	1.2603478425917154	00_All_Treatments
dre03410	Base excision repair	0.07872130217713809	4	259256/550335/393949/571485	1.1039077305870282	00_All_Treatments
dre00140	Steroid hormone biosynthesis	0.08250160676758946	5	324340/100379286/100415797/678597/334098	1.0835375932258007	00_All_Treatments
dre04120	Ubiquitin mediated proteolysis	0.08250160676758946	7	368425/550328/393934/335444/100001302/406335/565383	1.0835375932258007	00_All_Treatments
dre03050	Proteasome	8.104671096527328e-7	6	326884/415202/393261/554967/393518/393544	6.091264604980994	01_Parasite_Exposure_Response
dre03430	Mismatch repair	0.03605461081485806	2	259256/550504	1.443039187992998	01_Parasite_Exposure_Response
dre01230	Biosynthesis of amino acids	0.03605461081485806	3	386951/560827/560944	1.443039187992998	01_Parasite_Exposure_Response
dre05132	Salmonella infection	0.03605461081485806	5	100006250/336681/393154/327026/641421	1.443039187992998	01_Parasite_Exposure_Response
dre00030	Pentose phosphate pathway	0.04073215028774099	2	560827/560944	1.390062662502994	01_Parasite_Exposure_Response
dre03030	DNA replication	0.04073215028774099	2	259256/550504	1.390062662502994	01_Parasite_Exposure_Response
dre04540	Gap junction	0.04073215028774099	3	336681/393154/641421	1.390062662502994	01_Parasite_Exposure_Response
dre03082	ATP-dependent chromatin remodeling	0.04073215028774099	3	406357/393225/394048	1.390062662502994	01_Parasite_Exposure_Response
dre01200	Carbon metabolism	0.04073215028774099	3	386951/560827/560944	1.390062662502994	01_Parasite_Exposure_Response
dre04145	Phagosome	0.07951608579082729	3	336681/393154/641421	1.0995450063934848	01_Parasite_Exposure_Response
dre04622	RIG-I-like receptor signaling pathway	0.0031105253769549354	3	100148871/405785/564854	2.507166251152516	03_Historical_Contingency_Recovery
dre04621	NOD-like receptor signaling pathway	0.023054336566994283	3	405785/564854/641582	1.6372473709262103	03_Historical_Contingency_Recovery
dre05132	Salmonella infection	0.07929987406423528	3	100006857/405785/448942	1.1007275023829148	03_Historical_Contingency_Recovery
dre04620	Toll-like receptor signaling pathway	0.07929987406423528	2	405785/564854	1.1007275023829148	03_Historical_Contingency_Recovery
