feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Roseomonas	Timepoint	Timepoint	0.0977719014989798	0.00443285860087513	594	227	4.79473281361155e-79	8.07433005812185e-76
Dechloromonas	Timepoint	Timepoint	0.113356486799978	0.00525598908679519	594	256	1.7734391202654e-76	1.49323573926346e-73
Paenirhodobacter	Timepoint	Timepoint	0.0803698984285924	0.00387187731719272	594	257	3.05933973050308e-72	1.7173093687224e-69
Niveibacterium	Timepoint	Timepoint	0.0924049446774256	0.0048623731253553	594	214	3.66453770630001e-63	1.54277037435231e-60
Gemmataceae_Genus	Timepoint	Timepoint	0.0776030469705729	0.00427626187430032	594	175	8.59291332084636e-59	2.89409320646105e-56
Dinghuibacter	Timepoint	Timepoint	0.0823169825188461	0.00482334994768921	594	242	2.32469294222787e-53	6.52463819118622e-51
Rhodovastum	Timepoint	Timepoint	0.0502075617376896	0.00316813571477752	594	145	2.25574178585898e-47	5.42667023912359e-45
Fluviicola	Timepoint	Timepoint	0.0748959199061858	0.00479158583545353	594	166	2.519743074479e-46	5.3040591717783e-44
Rubrivivax	Timepoint	Timepoint	0.0517950668934451	0.00338513969911863	594	131	9.6425194679335e-45	1.80422253155556e-42
Hyphomicrobiales_Incertae_Sedis_Genus	Timepoint	Timepoint	0.0770445842523231	0.00515877308946019	594	267	5.28540970823995e-43	8.90062994867607e-41
Longivirga	Timepoint	Timepoint	0.0572402791390725	0.00387309619949436	594	168	2.86570659465985e-42	4.38713627764289e-40
Aurantisolimonas	Timepoint	Timepoint	0.0717465409335684	0.00487909767521752	594	282	6.38554179999491e-42	8.96104365932618e-40
Plesiomonas	Timepoint	Timepoint	-0.066576168448259	0.00457846019896274	594	586	3.72794614339173e-41	4.82912408113206e-39
Tundrisphaera	Timepoint	Timepoint	0.0759478252002188	0.00528021313038114	594	266	2.02218341659768e-40	2.43239776682178e-38
Vampirovibrionaceae_Genus	Timepoint	Timepoint	0.0494812905432118	0.00345832282518331	594	115	4.53418896709155e-40	5.09038281372144e-38
Pir4_lineage	Timepoint	Timepoint	0.0450922208028119	0.00317085144458458	594	130	1.14594380394216e-39	1.20610585364912e-37
Sutterellaceae_Genus	Timepoint	Timepoint	0.0735339570039322	0.00545058547718834	594	268	2.44350103531604e-36	2.42050337851307e-34
Chlamydiales_Genus	Timepoint	Timepoint	0.0428275244627593	0.00320920115905027	594	132	1.1021873232909e-35	1.03115747356771e-33
Aquihabitans	Timepoint	Timepoint	0.0522958798535368	0.00392067769656306	594	206	1.18155329310725e-35	1.04722933978559e-33
Candidatus_Obscuribacter	Timepoint	Timepoint	0.0431018276159691	0.00328994587977663	594	116	1.34739244919824e-34	1.13450444222491e-32
Pseudomonas	Timepoint	Timepoint	0.0463457538695631	0.00373307621651068	594	592	1.33645977786117e-31	1.07171345996105e-29
Microtrichales_Genus	Timepoint	Timepoint	0.0446563401009713	0.00374478704296848	594	141	1.61754741590647e-29	1.22573470761479e-27
X0319.6G20_Genus	Timepoint	Timepoint	0.0332794979587369	0.00279158076466972	594	94	1.67410322298932e-29	1.22573470761479e-27
SH.PL14	Timepoint	Timepoint	0.0499845768373079	0.00420753290851581	594	211	2.50210529492751e-29	1.7556438819408e-27
SH3.11	Timepoint	Timepoint	0.0424379338076596	0.00360516792112445	594	152	7.0994674409614e-29	4.7822012682316e-27
Gemmobacter	Timepoint	Timepoint	-0.0468239270162329	0.00399700382579991	594	541	1.22190910236187e-28	7.91421126298993e-27
Bdellovibrio	Timepoint	Timepoint	0.0414233008995204	0.00354171549972106	594	111	1.46439129741962e-28	9.13346275872092e-27
Chitinilyticum	Timepoint	Timepoint	0.072452538021536	0.00624053472212128	594	433	3.32081040539618e-28	1.99723025810256e-26
Culicoidibacter	Timepoint	Timepoint	-0.064930421768073	0.00567406659502908	594	584	1.61010917756995e-27	9.34973743113035e-26
X67.14_Genus	Timepoint	Timepoint	0.0373872596187415	0.00335331621481624	594	135	2.52095408147239e-26	1.41509555773317e-24
Verrucomicrobiia_Genus	Timepoint	Timepoint	0.027498669128897	0.00250391885904337	594	112	1.17941600815272e-25	6.40689212170705e-24
Clostridium	Timepoint	Timepoint	0.0543971825366009	0.00499038557617863	594	258	2.497884243957e-25	1.31451158338237e-23
Crenobacter	Timepoint	Timepoint	0.0577894133156415	0.00543004370284925	594	557	2.59322761384674e-24	1.32223963208396e-22
Roseicella	Timepoint	Timepoint	0.0236577306383367	0.00222361564629041	594	85	2.66960495788924e-24	1.32223963208396e-22
Chryseotalea	Timepoint	Timepoint	0.0598344926466638	0.00569940182720947	594	215	9.43946546647196e-24	4.54173138443965e-22
alphaI_cluster	Timepoint	Timepoint	0.0275046008849876	0.00268053764331546	594	82	7.73260846085157e-23	3.61714240224279e-21
Pedosphaeraceae_Genus	Timepoint	Timepoint	0.0462605550519946	0.00469241414991841	594	173	2.52658933306583e-21	1.14993957753591e-19
Mycobacterium	Timepoint	Timepoint	0.0523266467606922	0.0053267551241097	594	474	3.41281095060102e-21	1.5083037918426e-19
Polymorphobacter	Timepoint	Timepoint	0.0244791485968818	0.00249262384647029	594	63	3.49310260581126e-21	1.5083037918426e-19
Fimbriiglobus	Timepoint	Timepoint	0.0379262640687763	0.00388357301420378	594	133	5.5686960504073e-21	2.34442103722148e-19
Rhodocyclaceae_Genus	Timepoint	Timepoint	0.023579091148664	0.00242048990745341	594	66	6.84724914678351e-21	2.81238233248376e-19
Luteolibacter	Timepoint	Timepoint	0.0252115759275323	0.00261719564749482	594	66	1.71001881427241e-20	6.85636115055891e-19
Devosia	Timepoint	Timepoint	0.0400793711748434	0.00422018354303798	594	141	5.33510316248809e-20	2.08937528503022e-18
Pseudobdellovibrionaceae_Genus	Timepoint	Timepoint	0.0449312168345584	0.00473682521809391	594	273	5.8735815975453e-20	2.24797986596961e-18
Bradyrhizobium	Timepoint	Timepoint	0.0375093660213438	0.00407573197605267	594	162	5.99993459051604e-19	2.24530885565089e-17
Gammaproteobacteria_Genus	Timepoint	Timepoint	0.0536174478000673	0.00583443080285057	594	424	6.68360556454758e-19	2.44678081971698e-17
Chitinibacter	Antibiotics	Antibiotics	2.0625376763475	0.225060361367294	594	196	8.21881377825407e-19	2.94478348991061e-17
Pseudorhodoplanes	Timepoint	Timepoint	0.0243015514801635	0.00266358071671725	594	66	1.14319155449336e-18	4.0106970370142e-17
Fuscovulum	Timepoint	Timepoint	0.034917540722341	0.003828458291164	594	132	1.17237500657858e-18	4.02914185934353e-17
Candidatus_Megaira	Timepoint	Timepoint	0.0212378555028305	0.00234419909656754	594	69	1.91403959560158e-18	6.36140955030182e-17
Gemmata	Timepoint	Timepoint	0.0419810826260665	0.00463421629621468	594	192	1.92655514884438e-18	6.36140955030182e-17
PeM15_Genus	Timepoint	Timepoint	0.025802953375357	0.00295938640019656	594	92	2.85763112885543e-17	9.25432850190875e-16
Telmatocola	Timepoint	Timepoint	0.0297245808223424	0.00341826951047639	594	73	3.42617641785328e-17	1.08861907314433e-15
Cellvibrio	Timepoint	Timepoint	0.0508817706109312	0.00589651415759111	594	360	5.75660894776694e-17	1.79520916074806e-15
Cloacibacterium	Pathogen	Pathogen	-1.46237837323724	0.170122527570754	594	150	7.43971466338853e-17	2.27790536239023e-15
Elstera	Timepoint	Timepoint	0.0307922525336956	0.00359386552328072	594	87	9.23909159847505e-17	2.77832683068428e-15
Nitrospira	Timepoint	Timepoint	0.0259029658825824	0.00307096424835721	594	62	2.56783118757519e-16	7.58636442083617e-15
Cloacibacterium	Timepoint	Timepoint	0.032164824068177	0.00383003574811091	594	150	3.39719329877525e-16	9.86357502609919e-15
Nitrosomonas	Timepoint	Timepoint	0.0304779924169273	0.00365383782718806	594	74	5.22168270659225e-16	1.49039214879684e-14
Paracoccaceae_Genus	Timepoint	Timepoint	0.0365636793680142	0.00446832270437657	594	551	1.71674365738585e-15	4.81832719839628e-14
Vogesella	Timepoint	Timepoint	0.0363554793356	0.00449430883456593	594	101	3.43950787653301e-15	9.49529715423211e-14
Chthoniobacter	Timepoint	Timepoint	0.0176682540983607	0.00219168260066926	594	43	4.22020718230635e-15	1.14626272500063e-13
Polymorphobacter	Pathogen	Pathogen	0.888316756479998	0.11071736582454	594	63	5.59005885682392e-15	1.49423160553833e-13
Rhodocyclaceae_Genus	Pathogen	Pathogen	0.86169565049559	0.107513320526728	594	66	5.94997276864532e-15	1.5655865847498e-13
Reyranella	Timepoint	Timepoint	0.0266283776721446	0.00332687438847705	594	134	6.43827000386234e-15	1.66800718253911e-13
X11.24_Genus	Timepoint	Timepoint	0.024569266175028	0.00307265634571377	594	48	6.82298019507212e-15	1.74089373462143e-13
Rhodococcus	Timepoint	Timepoint	0.0282225977416058	0.00353925193704425	594	143	8.01005840571737e-15	2.01327438137732e-13
Halomonas	Timepoint	Timepoint	0.0164784011936079	0.00208284496751512	594	48	1.26455639305244e-14	3.13163671455927e-13
Microscillaceae_Genus	Timepoint	Timepoint	0.0216965474525892	0.00275155920044707	594	76	1.53035021330536e-14	3.73494168000903e-13
Cetobacterium	Timepoint	Timepoint	-0.034086849699956	0.00435042844411305	594	594	2.19464576403147e-14	5.27969066661284e-13
Chitinivorax	Timepoint	Timepoint	0.0162109920761191	0.00213389863999093	594	44	1.19856248606308e-13	2.84278764300032e-12
Caulobacter	Timepoint	Timepoint	0.0207412873141527	0.00273326807767847	594	63	1.27177811642789e-13	2.97454770564524e-12
Flavihumibacter	Timepoint	Timepoint	0.0171174771707309	0.00227735385513206	594	46	2.10652777061129e-13	4.85944214480743e-12
Agromyces	Timepoint	Timepoint	0.0277058513869455	0.00369045630543051	594	106	2.24226820455162e-13	5.1026752114391e-12
Candidatus_Alysiosphaera	Timepoint	Timepoint	0.0148437118854512	0.00197850685841345	594	50	2.32095635313825e-13	5.21132066491309e-12
Cytophagales_Genus	Timepoint	Timepoint	0.0374128052543043	0.00503014492582077	594	139	3.63834687042402e-13	8.06181069709743e-12
Vogesella	Pathogen	Pathogen	1.47873210882826	0.199628209474818	594	101	4.48488780626801e-13	9.80850787760433e-12
Ensifer	Timepoint	Timepoint	0.0381532435140641	0.00516473124775602	594	301	5.15311285443917e-13	1.11254385216353e-11
Candidatus_Berkiella	Timepoint	Timepoint	0.0156359016910863	0.00216338922951294	594	41	1.53221338679328e-12	3.26613587767074e-11
Parachlamydiaceae_Genus	Timepoint	Timepoint	0.0177550154433824	0.00245768706321391	594	79	1.56597686553902e-12	3.29638130195965e-11
Pirellula	Timepoint	Timepoint	0.0325518469255877	0.00455332020534109	594	236	2.59845388118249e-12	5.40221769865594e-11
Bacteroidia_Genus	Timepoint	Timepoint	0.0332459572665525	0.00465911254684678	594	131	2.84148187013556e-12	5.83543349915643e-11
Plesiomonas	Pathogen	Pathogen	-1.44712316736764	0.20336604477225	594	586	3.24422910466919e-12	6.58226724369026e-11
Candidatus_Megaira	Pathogen	Pathogen	0.740494357261468	0.104124635294553	594	69	3.33734164882911e-12	6.69057540074787e-11
Pirellulaceae_Genus	Timepoint	Timepoint	0.0101932591521935	0.00143521710927769	594	39	3.5526602948666e-12	7.03844698418276e-11
Rhizobium	Timepoint	Timepoint	0.0312073678562965	0.0044268329596208	594	210	5.04118032150793e-12	9.87133449002251e-11
Obscuribacteraceae_Genus	Timepoint	Timepoint	0.0192894895311358	0.00275052745971959	594	67	6.42065841466087e-12	1.23142836246262e-10
Paraclostridium	Timepoint	Timepoint	-0.0173243119167365	0.00247042804854375	594	46	6.43501757106356e-12	1.23142836246262e-10
Sporomusaceae_Genus	Timepoint	Timepoint	0.0178525526079704	0.00259161070471044	594	35	1.45073311013776e-11	2.74498264884494e-10
Beijerinckiaceae_Genus	Temperature	Temperature	1.02392625471996	0.149127227782662	594	122	1.67867146296909e-11	3.1409808262666e-10
Sutterellaceae_Genus	Antibiotics	Antibiotics	1.65918439998189	0.242214929933727	594	268	1.86297928007345e-11	3.44753528312493e-10
Aquabacterium	Timepoint	Timepoint	0.0259493746474023	0.00386870354555276	594	124	4.6513548879386e-11	8.51400177313979e-10
Halomonas	Pathogen	Pathogen	0.612855999627366	0.092515807610012	594	48	7.87576427473414e-11	1.42610613318842e-09
env.OPS_17_Genus	Timepoint	Timepoint	0.0431957419141321	0.00660363365173933	594	223	1.32600330451494e-10	2.37552081362037e-09
Lactococcus	Timepoint	Timepoint	-0.029669382509444	0.00461339802860112	594	185	2.62123173878891e-10	4.64647815591634e-09
Gordonia	Timepoint	Timepoint	0.0321659149055764	0.00503348491119857	594	203	3.36522442534396e-10	5.90316451279086e-09
Citrobacter	Timepoint	Timepoint	0.00990223753933995	0.00156560308719815	594	34	5.01512766728571e-10	8.70667524918467e-09
Chthoniobacter	Pathogen	Pathogen	0.613676989162835	0.0973501575912449	594	43	5.6972453571857e-10	9.78996038928645e-09
Pseudomonas	Temperature	Temperature	1.04617994949339	0.166468968669221	594	592	6.40064354214325e-10	1.08875593181507e-08
MBNT15_Genus	Timepoint	Timepoint	0.0125012565929187	0.00199293911315837	594	57	6.87077414160359e-10	1.15703836544605e-08
Candidatus_Protochlamydia	Timepoint	Timepoint	0.0151889188560278	0.00246588147291125	594	91	1.35114828917434e-09	2.25280566234613e-08
Blastococcus	Timepoint	Timepoint	-0.0293756139772265	0.0048356218313757	594	195	2.22787449425349e-09	3.67817710619889e-08
Flavobacterium	Temperature	Temperature	-1.49698848559676	0.246610776131038	594	407	2.28862095931783e-09	3.74178417037983e-08
Chitinivorax	Pathogen	Pathogen	0.569682591342094	0.0947835096301924	594	44	3.24615262423072e-09	5.25627021077359e-08
Rheinheimera	Timepoint	Timepoint	-0.0228313549880498	0.00380943090816936	594	105	3.58238429776156e-09	5.74546205469568e-08
Gracilibacteria_Genus	Timepoint	Timepoint	0.0145495675811118	0.00244283370361642	594	47	4.44621948329628e-09	7.06361661308579e-08
AAP99	Timepoint	Timepoint	0.0138690650174261	0.00235920996348172	594	45	6.9285139491646e-09	1.09043154115824e-07
Unknown_Family_Genus	Temperature	Temperature	0.585012594454551	0.10012333248611	594	49	8.49258544711525e-09	1.32421424934649e-07
Pirellulaceae_Genus	Pathogen	Pathogen	0.371252185494125	0.0637494734516617	594	39	9.47473969001995e-09	1.46380381999941e-07
Sutterellaceae_Genus	Temperature	Temperature	1.40411202279362	0.243057813558139	594	268	1.23336291592658e-08	1.88816650038215e-07
Caulobacter	Pathogen	Pathogen	-0.687146639098867	0.121406301268197	594	63	2.36726869247673e-08	3.5914238541719e-07
Azospira	Timepoint	Timepoint	0.00897157516873202	0.00159547482535077	594	27	2.89876315697334e-08	4.35849746102063e-07
Barnesiellaceae_Genus	Pathogen	Pathogen	-0.953648128624355	0.170264822472181	594	140	3.27366630797545e-08	4.87863191383244e-07
Paucibacter	Timepoint	Timepoint	-0.0183571866176611	0.00331131447498852	594	592	4.47197716735173e-08	6.60597328931607e-07
Flavobacterium	Timepoint	Timepoint	0.0305971212321482	0.00553026086765344	594	407	4.74967191116246e-08	6.89521336068757e-07
