feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Pararhodobacter	Temperature	Temperature	0.59728240101257	0.0789477775152041	236	8	9.44229940616026e-13	2.55791890912882e-09
Acinetobacter	Treatment	A- T+ P-	7.24978067566613	0.981907146754169	236	136	2.87203063503393e-12	3.89016549515346e-09
Cloacibacterium	Pathogen	Pathogen	-4.22519968693838	0.584923317231361	236	85	7.52436001682574e-12	6.79449709519364e-09
Pararhodobacter	Treatment	A- T+ P+	-1.19456480202518	0.169011758738838	236	8	1.89804141054258e-11	1.28544854528996e-08
Dongia	Pathogen	Pathogen	-0.481589487281321	0.0720875756999975	236	4	1.80036959359616e-10	9.75440245810399e-08
Flavihumibacter	Temperature	Temperature	2.81710104340949	0.442516423054275	236	42	1.05436147002673e-09	4.7604420371707e-07
Pararhodobacter	Pathogen	Pathogen	0.597282401012574	0.0984651783030503	236	8	5.40532608545889e-09	2.09186119507259e-06
Vampirovibrionaceae_Genus	Temperature	Temperature	3.8111366271366	0.639576727712851	236	111	9.56017140063014e-09	3.23731304053838e-06
Rhodococcus	Treatment	A- T+ P-	-4.77381190835598	0.807490993004273	236	95	1.22478879483886e-08	3.5099995170352e-06
Acinetobacter	Temperature	Temperature	-4.1325773597324	0.70029296840386	236	136	1.29568088484134e-08	3.5099995170352e-06
Culicoidibacter	Treatment	A- T+ P-	-5.45283074960854	0.938131704917497	236	229	2.06140284914461e-08	3.52718407474809e-06
Rubrivivax	Temperature	Temperature	3.56777557283975	0.609204711941763	236	118	1.63850690929526e-08	3.52718407474809e-06
Rubrivivax	Treatment	A- T+ P-	-4.98049407700159	0.854188871630879	236	118	1.87461810240043e-08	3.52718407474809e-06
Dinghuibacter	Treatment	A- T+ P-	-5.54258593710408	0.950609220473073	236	162	1.87568217423078e-08	3.52718407474809e-06
Roseicella	Temperature	Temperature	2.5667631671135	0.441752433448677	236	77	2.08323902532187e-08	3.52718407474809e-06
Pseudoxanthomonas	Temperature	Temperature	2.724730317023	0.46393103459676	236	49	1.50141961231019e-08	3.52718407474809e-06
Roseomonas	Treatment	A- T+ P-	-5.27634595857676	0.911954578690784	236	181	2.36788115782721e-08	3.77328826856112e-06
Gemmataceae_Genus	Treatment	A+ T- P-	6.55216295611805	1.13905274584818	236	157	2.81572028437957e-08	4.23765902799125e-06
Aquihabitans	Treatment	A- T+ P-	-5.26891664853211	0.949415225483567	236	141	7.91820714219714e-08	1.12896963937958e-05
Acetivibrio	Temperature	Temperature	0.501918435891496	0.0907052091230992	236	6	8.58785397973322e-08	1.16322482155486e-05
Neochlamydia	Pathogen	Pathogen	-3.10710985304607	0.567140137637608	236	48	1.13097497888565e-07	1.45895772276249e-05
Roseicella	Treatment	A- T+ P-	-3.36537879531802	0.619397725052056	236	77	1.41666327558784e-07	1.69796543176219e-05
Dongia	Treatment	A- T- P+	0.481589487281302	0.088693942536757	236	4	1.44160963198709e-07	1.69796543176219e-05
Dongia	Antibiotics	Antibiotics	0.4815894872813	0.0891170918459468	236	4	1.63792984171283e-07	1.84881330883336e-05
Pararhodobacter	Treatment	A- T+ P-	-0.597282401012601	0.110695652334226	236	8	1.70642283897995e-07	1.84907978831867e-05
Vampirovibrionaceae_Genus	Treatment	A- T+ P-	-4.82801337865235	0.896774618871688	236	111	1.81018777912302e-07	1.88607642063241e-05
Flavobacterium	Pathogen	Pathogen	4.24160815888019	0.797005408991174	236	185	2.45218525262881e-07	2.4603592034709e-05
Dongia	Treatment	A+ T- P-	-0.48158948728132	0.0906229180521252	236	4	2.54645170947527e-07	2.46369202891733e-05
Obscuribacteraceae_Genus	Temperature	Temperature	1.7676631942107	0.335121702859057	236	51	3.08711207484316e-07	2.88378848646556e-05
Polymorphobacter	Pathogen	Pathogen	3.16698971582779	0.602027755858547	236	63	3.30662624937251e-07	2.88956468050004e-05
Simkaniaceae_Genus	Treatment	A- T+ P+	-2.09469798918324	0.398080109035579	236	11	3.28324265041357e-07	2.88956468050004e-05
Acetivibrio	Treatment	A- T+ P+	-1.00383687178298	0.194182121437385	236	6	5.12584401240721e-07	4.33934732175348e-05
Rhodococcus	Treatment	A- T+ P+	-6.30012406193094	1.23288918774658	236	95	6.80775901423176e-07	5.58855126350116e-05
Rhodococcus	Treatment	A- T- P+	-4.49829712986	0.883737602197824	236	95	7.48369624311405e-07	5.96274503605764e-05
