feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Roseomonas	Timepoint	Timepoint	0.0981920009835649	0.00433435758456817	594	227	4.72171553702609e-82	1.59027379287039e-78
Dechloromonas	Timepoint	Timepoint	0.113234776868345	0.00519634846183302	594	256	1.58430546736167e-77	2.66797040703705e-74
Paenirhodobacter	Timepoint	Timepoint	0.0799840974696725	0.00383515779324209	594	257	1.21853665330707e-72	1.3680104827794e-69
Niveibacterium	Timepoint	Timepoint	0.0926572409320601	0.00479732934319065	594	214	1.14743329085402e-64	9.66138830899088e-62
Gemmataceae_Genus	Timepoint	Timepoint	0.0777772707589688	0.00407371347836796	594	175	1.57644447150931e-63	1.06189299600867e-60
Dinghuibacter	Timepoint	Timepoint	0.0824285812052325	0.00467514519619672	594	242	4.06836482615171e-56	2.28370878907982e-53
Rhodovastum	Timepoint	Timepoint	0.0505187846613308	0.00312088216369132	594	145	5.67551685277721e-49	2.73073439430766e-46
Rubrivivax	Timepoint	Timepoint	0.0522850505678083	0.00326640614475979	594	131	4.28093052529998e-48	1.80227175115129e-45
Fluviicola	Timepoint	Timepoint	0.0753732464360013	0.00474452262467264	594	166	1.64299799593315e-47	6.1484636114476e-45
Hyphomicrobiales_Incertae_Sedis_Genus	Timepoint	Timepoint	0.0777005829014999	0.0051241275689451	594	267	4.79067080353419e-44	1.61349792663032e-41
Vampirovibrionaceae_Genus	Timepoint	Timepoint	0.0502326332859759	0.00333315717921374	594	115	1.32357869074981e-43	4.05255730040486e-41
Aurantisolimonas	Timepoint	Timepoint	0.0717286913578882	0.00478701514412924	594	282	3.39768195649593e-43	9.53616069123192e-41
Longivirga	Timepoint	Timepoint	0.0573715619158692	0.00383488227189578	594	168	4.3897266420266e-43	1.13727687156504e-40
Plesiomonas	Timepoint	Timepoint	-0.0667232376177711	0.00456329749052156	594	586	1.71087452754203e-41	4.11587529197253e-39
Sutterellaceae_Genus	Timepoint	Timepoint	0.074669629339531	0.00518245231835083	594	268	1.68878432378537e-40	3.55489100156821e-38
Tundrisphaera	Timepoint	Timepoint	0.0758557355597557	0.00526425825513805	594	266	1.66349722110182e-40	3.55489100156821e-38
Pir4_lineage	Timepoint	Timepoint	0.0452027125090648	0.00315069641218631	594	130	3.2479430766849e-40	6.43474840133808e-38
Aquihabitans	Timepoint	Timepoint	0.0524098751515573	0.003866958682501	594	206	1.372215482534e-36	2.56756763620807e-34
Chlamydiales_Genus	Timepoint	Timepoint	0.0428492921646201	0.00318445454041557	594	132	3.76386219734125e-36	6.67194098981334e-34
Candidatus_Obscuribacter	Timepoint	Timepoint	0.0431052055660203	0.00328861127497191	594	116	1.34287621110771e-34	2.26140353950539e-32
Pseudomonas	Timepoint	Timepoint	0.0467678871325915	0.00370435731784213	594	592	1.74204832428747e-32	2.79391369342867e-30
X0319.6G20_Genus	Timepoint	Timepoint	0.0335052571694598	0.00277277307542307	594	94	3.62818795310728e-30	5.55442592093878e-28
SH.PL14	Timepoint	Timepoint	0.0500334418399265	0.00416363060084926	594	211	6.95023249707417e-30	1.01775578478895e-27
Microtrichales_Genus	Timepoint	Timepoint	0.0447478733443838	0.00372553130379153	594	141	7.34138664220407e-30	1.0302412587893e-27
Gemmobacter	Timepoint	Timepoint	-0.046859616085612	0.00391962856168213	594	541	1.26319878382043e-29	1.70178140156289e-27
Chitinilyticum	Timepoint	Timepoint	0.0726786000595677	0.00610897042528047	594	433	2.21391677239064e-29	2.8678737266968e-27
Culicoidibacter	Timepoint	Timepoint	-0.0646343302161949	0.00545010110489892	594	584	3.18497731390073e-29	3.97296429378432e-27
SH3.11	Timepoint	Timepoint	0.0425871423682037	0.00360870490499524	594	152	5.56579460989696e-29	6.69485580219034e-27
Bdellovibrio	Timepoint	Timepoint	0.0415865262988104	0.00352875085852067	594	111	6.49996445888224e-29	7.54892424052254e-27
X67.14_Genus	Timepoint	Timepoint	0.0380487595251714	0.00324546704960809	594	135	1.17015096060471e-28	1.31368947843888e-26
Verrucomicrobiia_Genus	Timepoint	Timepoint	0.0274877757150354	0.00249473298317565	594	112	8.7545594957679e-26	9.51140528443429e-24
Roseicella	Timepoint	Timepoint	0.0238138240421503	0.00217518539529763	594	85	1.67025623259733e-25	1.75794468480869e-23
Clostridium	Timepoint	Timepoint	0.054417338097454	0.00499197476482312	594	258	2.56719830736962e-25	2.62009815127905e-23
alphaI_cluster	Timepoint	Timepoint	0.0279347917766416	0.00262075217640269	594	82	2.30246601210152e-24	2.28079574375233e-22
Crenobacter	Timepoint	Timepoint	0.0579809972202109	0.00544683592012647	594	557	2.61580625746983e-24	2.5171529929024e-22
Chryseotalea	Timepoint	Timepoint	0.0600924754487427	0.00568487532097262	594	215	5.09571731895424e-24	4.7673266472883e-22
Polymorphobacter	Timepoint	Timepoint	0.0246924213562889	0.00246652112673363	594	63	6.98333594025551e-22	6.35672309372448e-20
Luteolibacter	Timepoint	Timepoint	0.0253815516350514	0.00256935506572581	594	66	2.17905341751807e-21	1.93132945005286e-19
Mycobacterium	Timepoint	Timepoint	0.05254982110885	0.00533083864719085	594	474	2.60437318091855e-21	2.24910996752146e-19
Pedosphaeraceae_Genus	Timepoint	Timepoint	0.0463633664249383	0.0047048787757166	594	173	2.68074833289445e-21	2.25719009629713e-19
Rhodocyclaceae_Genus	Timepoint	Timepoint	0.0237092935287121	0.00242261924924673	594	66	4.77056868312495e-21	3.91884764018654e-19
Fimbriiglobus	Timepoint	Timepoint	0.0378952393909072	0.00387933519340815	594	133	5.56526784371601e-21	4.46281478515132e-19
Pseudobdellovibrionaceae_Genus	Timepoint	Timepoint	0.0449010778578633	0.00470624464314944	594	273	3.7824844572455e-20	2.95548775088157e-18
Devosia	Timepoint	Timepoint	0.0402796342950402	0.00422294548957255	594	141	3.86108851065288e-20	2.95548775088157e-18
Pseudorhodoplanes	Timepoint	Timepoint	0.0244029045129066	0.00262164689298369	594	66	2.58854919389858e-19	1.93738526334454e-17
Bradyrhizobium	Timepoint	Timepoint	0.0374605474256635	0.00406194822399313	594	162	5.22375154162976e-19	3.82469460700197e-17
Candidatus_Megaira	Timepoint	Timepoint	0.0213701213804156	0.00233706294878183	594	69	9.86454359822404e-19	7.06888996570608e-17
Gammaproteobacteria_Genus	Timepoint	Timepoint	0.0529719079352042	0.00580141729289845	594	424	1.09718609872998e-18	7.69858912608866e-17
Fuscovulum	Timepoint	Timepoint	0.035009635960013	0.00383640281750096	594	132	1.14442824136748e-18	7.86619248352177e-17
Gemmata	Timepoint	Timepoint	0.042131006319645	0.00464346400608529	594	192	1.74711483249465e-18	1.17685655116839e-16
Culicoidibacter	Treatment	A- T+ P-	-4.29954046453948	0.478479402723129	594	584	3.51985019322162e-18	2.32448146093538e-16
PeM15_Genus	Timepoint	Timepoint	0.0261962449048245	0.00292419736761057	594	92	4.38046510594356e-18	2.83719355323421e-16
Cellvibrio	Timepoint	Timepoint	0.0515506786026688	0.00582870645233646	594	360	1.08389431989519e-17	6.88784164039059e-16
Telmatocola	Timepoint	Timepoint	0.0297723465988048	0.00342605120244529	594	73	3.63727475422513e-17	2.26858173559819e-15
Elstera	Timepoint	Timepoint	0.0308674368457534	0.00356684297397239	594	87	4.81338773894294e-17	2.94754361904724e-15
Cloacibacterium	Timepoint	Timepoint	0.0323514616788175	0.00375973701256164	594	150	7.05373279540899e-17	4.24231643838169e-15
Nitrospira	Timepoint	Timepoint	0.0260554039949242	0.00307594536353061	594	62	1.9777079477542e-16	1.1685825207081e-14
Nitrosomonas	Timepoint	Timepoint	0.0306894518295018	0.00365233421404581	594	74	3.32143264360537e-16	1.9287215764936e-14
