feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Vogesella	Treatment	A- T+ P+	5.73339093066058	0.629452430767847	236	74	4.36263040034306e-17	1.18183657545293e-13
Culicoidibacter	Treatment	A- T+ P-	-5.69212501504908	0.657596480042472	236	229	8.96522158405873e-16	1.21433926356076e-12
Acinetobacter	Treatment	A+ T- P+	5.20397277146389	0.63482214585425	236	136	1.77451373632461e-14	1.60238590390112e-11
Pararhodobacter	Treatment	A+ T+ P+	0.597282401012546	0.0784895741240874	236	8	7.19354473773189e-13	4.87182817362892e-10
Cloacibacterium	Treatment	A+ T- P-	3.22249069953684	0.442735822133853	236	85	5.40712650775627e-12	2.92958114190235e-09
Rhodovarius	Treatment	A- T- P+	1.51365560845168	0.209682682389486	236	22	7.73988600005359e-12	3.23517391745968e-09
X67.14_Genus	Treatment	A- T- P+	3.8375495018753	0.532555675854172	236	104	8.35962252573562e-12	3.23517391745968e-09
Caulobacter	Treatment	A+ T- P-	3.09913393762245	0.433715138874356	236	53	1.19808907983712e-11	4.05702914659843e-09
Dongia	Treatment	A+ T+ P-	0.481589487281301	0.0678319444838171	236	4	1.57246001735477e-11	4.73310465223787e-09
Tundrisphaera	Treatment	A+ T- P+	-5.27761889363777	0.749173867294011	236	168	2.17858194590382e-11	5.90177849145344e-09
Flavobacterium	Treatment	A+ T+ P-	-5.03196274178045	0.749954844937213	236	185	1.52483057802695e-10	3.75524185079546e-08
Gemmataceae_Genus	Treatment	A+ T- P-	4.52123186675328	0.685822835804877	236	157	2.9717415750969e-10	6.19265225149038e-08
Polymorphobacter	Treatment	A+ T+ P+	3.16698971582776	0.479894547316872	236	63	2.85750641326054e-10	6.19265225149038e-08
Polymorphobacter	Treatment	A- T- P+	2.81179753470031	0.43153047393055	236	63	4.57519975210139e-10	8.27153935290846e-08
Pseudoxanthomonas	Treatment	A+ T+ P+	3.00528410348424	0.461238434754344	236	49	4.5800328642904e-10	8.27153935290846e-08
Vampirovibrionaceae_Genus	Treatment	A+ T+ P+	4.05778032189169	0.635864701424829	236	111	9.68079772231728e-10	1.63908006435985e-07
Plesiomonas	Treatment	A- T- P+	-2.71453741487896	0.426863170178538	236	230	1.09491776403756e-09	1.74478366045749e-07
Unknown_Family_Genus	Treatment	A- T+ P+	1.66188358009081	0.263330882479718	236	17	1.42873157030148e-09	2.15024101330372e-07
Chthoniobacter	Treatment	A+ T+ P+	2.78177399765696	0.446611074451106	236	43	2.24332333318452e-09	3.19850679452466e-07
Halomonas	Treatment	A+ T- P+	2.32124112743297	0.381640175645328	236	48	4.95159115724069e-09	6.09720929316592e-07
Agromyces	Treatment	A- T- P+	-3.41395067587032	0.560989556053354	236	75	4.86438552192087e-09	6.09720929316592e-07
Agromyces	Treatment	A- T+ P-	-3.75348904476506	0.616741792678021	236	75	4.85367160825971e-09	6.09720929316592e-07
Flavihumibacter	Treatment	A+ T+ P+	2.6629877354236	0.439948111037774	236	42	5.79385043765161e-09	6.82414818939053e-07
Barnesiellaceae_Genus	Treatment	A+ T- P-	2.65503986159472	0.440262994669398	236	53	6.52979294920119e-09	7.37050379141084e-07
Uliginosibacterium	Treatment	A+ T- P+	1.61688458920454	0.269051885972872	236	20	7.30359152190509e-09	7.60978055109265e-07
Plesiomonas	Treatment	A- T+ P+	-2.66552275154722	0.443003935726731	236	230	7.02271722625559e-09	7.60978055109265e-07
Pseudomonas	Treatment	A- T+ P+	2.08922111489659	0.352773187262621	236	236	1.15967262490091e-08	1.12198326459163e-06
Candidatus_Megaira	Treatment	A+ T+ P+	2.68743210587344	0.45373528234019	236	64	1.15583519955381e-08	1.12198326459163e-06
Culicoidibacter	Treatment	A- T- P+	-3.50437656211445	0.598151060591197	236	229	1.61947249931413e-08	1.51281068987654e-06
Vogesella	Treatment	A- T- P+	3.50827649868232	0.606518449172182	236	74	2.38598621895811e-08	2.15454555571918e-06
Polyangiia_Genus	Treatment	A+ T- P+	-1.08727558972351	0.188758608919421	236	13	2.70381405923375e-08	2.36278460853685e-06
Flavobacterium	Treatment	A- T+ P-	-3.60817976604209	0.628065340016517	236	185	2.92508624051837e-08	2.47626832048883e-06
Paracoccaceae_Genus	Treatment	A+ T- P+	-2.92769763915423	0.511132372713528	236	224	3.19380139989298e-08	2.62182060373033e-06
Agromyces	Treatment	A+ T- P-	-3.38076738299595	0.592387039747937	236	75	3.55524168724725e-08	2.83269109728024e-06
Roseomonas	Treatment	A+ T- P+	-3.35942545593651	0.589596444510891	236	181	3.72694986516021e-08	2.884659195634e-06
Culicoidibacter	Treatment	A- T+ P+	-3.52425862094233	0.620768650268394	236	229	4.14174676464899e-08	3.11666444039836e-06
Polyangiia_Genus	Treatment	A- T+ P+	-1.08727558972351	0.193192865041679	236	13	5.32718558821533e-08	3.90036371850684e-06
Agromyces	Treatment	A- T+ P+	-3.25987251595738	0.582201976172557	236	75	6.1636009872637e-08	4.3939987038151e-06
Acetivibrio	Treatment	A+ T+ P+	0.501918435891521	0.0901787670151608	236	6	7.29806189708435e-08	5.06934607159013e-06
Pseudomonas	Treatment	A- T- P+	1.88703823029408	0.339919962159883	236	236	7.84770346771585e-08	5.31485717351056e-06
Polyangiia_Genus	Treatment	A+ T- P-	-1.08727558972352	0.196572588390773	236	13	8.68976934869682e-08	5.74160613795602e-06
Rhodocyclaceae_Genus	Treatment	A+ T+ P+	2.68061050652028	0.487536889034015	236	66	1.02484062993734e-07	6.61022206309583e-06
Pseudomonas	Treatment	A+ T+ P+	2.06382445358146	0.378016724702827	236	236	1.24302006711865e-07	7.83102642284749e-06
Vibrio	Treatment	A+ T- P+	3.5489418958132	0.651915537276712	236	65	1.3442885864433e-07	8.27654041062477e-06
Rhodocyclaceae_Genus	Treatment	A- T- P+	2.38347509996358	0.438402615657471	236	66	1.39282922269541e-07	8.38483192062634e-06
Rubrivivax	Treatment	A- T+ P+	3.06767047752319	0.565223059978787	236	118	1.45907075847436e-07	8.59265801023268e-06
Vampirovibrionaceae_Genus	Treatment	A- T- P+	3.09186396573797	0.571781858109721	236	111	1.61053796563667e-07	9.08947364356196e-06
Candidatus_Megaira	Treatment	A- T- P+	2.2073538697975	0.408007556080833	236	64	1.58946868117864e-07	9.08947364356196e-06
Legionella	Treatment	A+ T- P+	-3.46853218602315	0.64266024029792	236	150	1.69440795260742e-07	9.3676553951296e-06
Legionella	Treatment	A- T+ P-	-3.75694366936159	0.69677963779022	236	150	1.73915982796768e-07	9.42276794792891e-06
Candidatus_Nomurabacteria_Genus	Treatment	A+ T+ P-	0.395552325172613	0.0739293977591564	236	4	2.13289076337978e-07	1.13294138784232e-05
Rubrivivax	Treatment	A+ T+ P+	3.21936716726911	0.605668961174843	236	118	2.53184357431654e-07	1.31094806380077e-05
Polyangiia_Genus	Treatment	A- T+ P-	-1.08727558972351	0.204654258822188	236	13	2.56479318499227e-07	1.31094806380077e-05
