feature	Oleiharenicola	X0319.6G20_Genus	Planifilum	Hyphomicrobiales_Incertae_Sedis_Genus	Legionella	Craurococcus	Pseudorhodoplanes	Blastococcus	Pedosphaeraceae_Genus	Phreatobacter	Fluviicoccus	Caulobacter	Candidatus_Paracaedibacter	Dechloromonas	Rickettsiaceae_Genus	Chitinophagales_Genus	Culicoidibacter	Clostridium	Gammaproteobacteria_Genus	SWB02	Noviherbaspirillum	Crenobacter	Variovorax	Parachlamydiaceae_Genus	Streptococcus	Gemmata	X37.13_Genus	Haliangiaceae_Genus	Paracaedibacteraceae_Genus	Lutispora	Beijerinckiaceae_Genus	Comamonadaceae_Genus	Piscinibacter	Siminovitchia	Nitrospira	Rhodococcus	Frankiales_Genus	Pseudobdellovibrionaceae_Genus	Phaselicystis	Roseomonas	env.OPS_17_Genus	Paracoccus	Pirellulaceae_Genus	Pseudomonas	Hyphomicrobiales_Genus	Pedomicrobium	Reyranella	JGI_0001001.H03	Rhodocyclaceae_Genus	Candidatus_Bealeia	Luteolibacter	Cytophagales_Genus	Nocardia	Gemmataceae_Genus	Aeromonas	Candidatus_Protochlamydia	Enterobacterales_Genus	Micrococcus	Arthrobacter	Sphingorhabdus	SH.PL14	Planctomycetes_Genus	Paracoccaceae_Genus	Jeotgalicoccus	Nocardioides	Lysobacter	Luteimonas	Burkholderiales_Genus	Candidatus_Megaira	Bacillota_Genus	Terrimonas	Fimbriiglobus	Leuconostoc	Kinneretia	Blastocatellaceae_Genus	Aquihabitans	Caldilineaceae_Genus	Pirellula	Burkholderia.Caballeronia.Paraburkholderia	bacteriap25_Genus	Brevifollis	Granulosicoccus	Pajaroellobacter	IS.44	Bacteroidia_Genus	Sphaerotilus	Sandaracinaceae_Genus	Marmoricola	Emticicia	NS9_marine_group_Genus	Hyphomicrobium	Fusobacteriaceae_Genus	Cytophaga	Gracilibacteria_Genus	Verrucomicrobiaceae_Genus	Armatimonadaceae_Genus	Anaerovorax	Microscillaceae_Genus	Paludibaculum	NS11.12_marine_group_Genus	Xanthobacteraceae_Genus	Vampirovibrionaceae_Genus	Granulicatella	Flavobacterium	Sphingomonas	Devosia	Saprospiraceae_Genus	Staphylococcus	Leeia	Chlamydiales_Genus	Agitococcus	Microtrichaceae_Genus	Ensifer	Paucibacter	Cloacibacterium	Telmatocola	Rhizobium	Paenirhodobacter	Nitrosomonas	Novosphingobium	Gemmatimonadaceae_Genus	Candidatus_Berkiella	Pseudobdellovibrio	Chitinibacter	Aeromicrobium	Polyangiia_Genus	P3OB.42	Roseicella	A21b_Genus	Moraxellaceae_Genus	Blastocatella	Cetobacterium	Gaiellales_Genus	Shinella	Sutterellaceae_Genus	Meiothermus	Fluviicola	Niveibacterium	Vibrionaceae_Genus	Exiguobacterium	Chitinilyticum	AAP99	SM2D12_Genus	Rickettsiella	Acinetobacter	Eremiobacteria_Genus	Candidatus_Ovatusbacter	Shewanella	Bosea	Bryobacteraceae_Genus	Pectobacteriaceae_Genus	X11.24_Genus	JG30.KF.CM45_Genus	Runella	Tetragenococcus	Sphingomonadaceae_Genus	Abditibacterium	Oligoflexaceae_Genus	Enterovirga	Stagnimonas	Rhizorhapis	Rubrivivax	Mycobacterium	Neochlamydia	Blfdi19_Genus	Lonsdalea	Chryseotalea	Ga0077536_Genus	Verrucomicrobiia_Genus	Actinobacteria_Genus	Opitutaceae_Genus	Pseudomonadota_Genus	Pasteurella	Chryseobacterium	Gemmobacter	Kineosporiaceae_Genus	Microtrichales_Genus	Bdellovibrio	Rhodovastum	Sphingopyxis	Rhizobiaceae_Genus	Cellvibrio	Obscuribacteraceae_Genus	Marinomonas	Synechococcus_PCC.7902	cvE6_Genus	Pseudoduganella	Pir4_lineage	Agromyces	Planctomycetota_Genus	mle1.27_Genus	IMCC26207	Dyadobacter	Agriterribacter	Brevundimonas	Thermoleophilia_Genus	MBNT15_Genus	Undibacterium	Ligilactobacillus	Aeromonadaceae_Genus	Stella	Vibrio	Neisseriaceae_Genus	OM190_Genus	TM7a	Geodermatophilaceae_Genus	Caedibacter	Leucobacter	Parvibium	Pseudolysobacter	Dinghuibacter	WY65	Glutamicibacter	Sediminibacterium	BIrii41_Genus	Rothia	alphaI_cluster	Lysobacteraceae_Genus	Pseudoxanthomonas	Vampirovibrionales_Genus	Chitinophagaceae_Genus	Armatimonas	Kapabacteriales_Genus	Chlamydiaceae_Genus	Phenylobacterium	Alphaproteobacteria_Genus	Candidatus_Alysiosphaera	Bacillaceae_Genus	Gordonia	Alicyclobacillus	Deinococcus	PeM15_Genus	LWQ8_Genus	Fimbriimonadaceae_Genus	Gemmatimonas	TRA3.20_Genus	Bacilli_Genus	Tundrisphaera	KD4.96_Genus	Curvibacter	PMMR1	Bradyrhizobium	OLB17	Vicinamibacteraceae_Genus	Flavihumibacter	Anaerocolumna	Longivirga	Rhodospirillales_Genus	Holosporaceae_Genus	Pontibacter	SH3.11	Kineococcus	Sphingobium	CL500.3	Ruminiclostridium	Chromobacteriaceae_Genus	Aquabacterium	Myxococcaceae_Genus	Barnesiellaceae_Genus	Pyrinomonadaceae_Genus	Candidatus_Abawacabacteria_Genus	Aerococcaceae_Genus	Candidatus_Obscuribacter	Serinicoccus	Oscillospiraceae_Genus	Babeliaceae_Genus	Opitutus	X67.14_Genus	Malacoplasma	Blastomonas	Cypionkella	Paraconexibacter	Elstera	Defluviimonas	Ellin6055	Massilia	Thermomicrobiales_Genus	Thermodesulfobacteriota_Genus	Paraclostridium	Micromonospora	Alcaligenaceae_Genus	Pseudomonadales_Genus	Hyphomicrobiaceae_Genus	Methylorubrum	Brevitalea	Sporichthyaceae_Genus	Psychromonas	Rubritaleaceae_Genus	Campylobacterales_Genus	Fusobacteriales_Genus	Stenotrophomonas	Adhaeribacter	Thermoactinomycetaceae_Genus	Nevskiaceae_Genus	Simkaniaceae_Genus	OLB12	RBG.13.54.9_Genus	Hirschia	Plesiomonas	Knoellia	Lactococcus	Unknown_Family_Genus	Thermus	Rheinheimera	Sporomusaceae_Genus	Acidiferrimicrobium	Chitinimonas	Frisingicoccus	Raineya	NB1.j_Genus	Altererythrobacter	Rhodopseudomonas	Methylobacterium	Vampirovibrio	Acidovorax	Kocuria	Polyangiales_Genus	Elsteraceae_Genus	Peptoniphilus	Bacillus	Methyloligellaceae_Genus	Mesorhizobium	Micavibrionales_Genus	Veillonellales.Selenomonadales_Genus	Pseudorhizobium	Mariniblastus	Azospira	Rhodospirillaceae_Genus	Hassallia	Nannocystis	Isosphaeraceae_Genus	Fuscovulum	Aureimonas	Vermiphilaceae_Genus	Turneriella	Polyangiaceae_Genus	Permianibacter	Geodermatophilus	Hyphomonadaceae_Genus	Nordella	Delftia	Sandaracinus	Actinoplanes	Corynebacterium	Haliscomenobacter	Latilactobacillus	Ferruginibacter	Flectobacillus	Desulfotomaculum	Anaerospora	Thermobrachium	Peptostreptococcaceae_Genus	Romboutsia	Babeliales_Genus	Pediococcus	Lactobacillaceae_Genus	AKYH767_Genus	Bordetella	Acidibacter	Hydrogenophaga	Bacteroidales_Genus	Intrasporangiaceae_Genus	Aurantisolimonas	Acetobacteraceae_Genus	SM1A02	Perlucidibaca	Coxiella	Acetivibrio	Anaerotaenia	Vogesella	CL500.29_marine_group
f16	0	0	0	0	21	0	0	9	8	151	8	5	0	737	0	0	3617	5	121	0	0	1869	0	0	0	0	0	5	0	0	0	0	0	0	0	8	0	12	0	16	0	0	0	3289	0	0	0	0	0	0	0	2	0	0	58296	0	0	0	0	0	0	0	209	0	0	0	18	12	0	0	0	0	0	0	0	20	0	7	4	0	0	0	0	0	56	0	0	0	71	0	0	0	0	3	0	0	0	0	0	0	0	0	0	777	0	0	0	0	0	0	16	0	0	3560	33	0	14	52	0	0	0	0	0	0	0	0	0	0	5	0	0	581	0	0	232	0	225	3996	0	0	356	0	0	0	30	0	0	434	32	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	3	0	18	0	0	0	0	0	116	0	0	23	0	0	0	245	0	0	0	0	24	0	0	0	0	6	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	46	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	11	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	64	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0
f17	0	26	0	71	110	0	0	0	23	1116	0	5	0	1877	0	0	4054	140	304	0	0	3073	0	0	8	7	0	0	0	0	0	5	0	0	0	19	0	33	0	330	2	0	0	996	0	5	0	0	0	0	0	0	0	19	27387	0	0	0	0	0	24	0	1410	0	0	0	0	8	0	0	0	9	0	0	0	107	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	23	0	0	99	1787	16	0	41	496	0	0	0	0	0	0	0	0	0	0	0	0	0	6278	0	0	313	0	146	986	0	0	399	0	0	0	29	0	0	170	37	0	0	0	2	0	0	0	0	0	0	0	0	44	38	5	0	0	0	0	31	0	0	0	0	0	338	0	0	6	115	0	0	2	0	0	0	0	0	5	4	0	0	22	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	412	0	0	0	20	0	0	0	0	19	0	0	0	37	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	3	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	785	0	0	0	0	0	0	0	0
f18	0	0	0	0	20	0	0	2	0	192	0	0	0	358	0	0	1927	30	41	0	0	1269	0	0	9	0	0	0	0	0	0	14	0	0	0	5	0	2	0	55	0	0	0	289	0	0	0	0	0	0	0	0	0	0	50350	0	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	8	0	0	9	220	0	0	7	101	0	0	0	0	0	0	0	0	0	0	0	0	0	4358	0	0	65	0	0	265	0	0	166	0	0	0	6	0	0	242	14	0	0	0	0	0	0	0	0	0	0	0	0	9	7	0	0	0	0	0	4	0	0	0	0	0	71	0	0	0	23	0	0	0	0	0	0	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	61	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0
f19	0	3	0	2	41	0	0	0	5	659	0	0	0	935	0	0	3942	4	180	0	0	2664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	166	0	0	0	686	0	0	0	0	17	0	0	0	0	3	39100	0	7	0	0	0	5	0	666	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	349	0	0	0	0	0	8	0	0	17	2319	24	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	6376	0	0	323	0	185	367	0	0	344	0	0	0	8	0	0	114	47	0	0	0	0	0	0	0	0	0	0	0	0	17	13	0	0	0	0	0	62	0	0	0	0	0	220	0	0	0	35	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	121	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	354	0	0	0	0	0	0	0	0
f20	0	20	0	98	175	0	8	0	50	1679	0	10	0	2893	0	0	4373	9	580	0	0	3590	0	3	0	27	0	0	0	0	0	10	0	0	0	37	0	37	0	538	0	0	0	1688	0	5	0	0	0	0	0	3	30	15	21442	3	4	0	0	0	27	0	2016	0	3	0	4	12	0	7	0	12	0	0	0	178	0	46	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	0	20	0	0	0	69	0	0	295	4821	37	0	86	1077	0	0	0	0	0	0	0	0	0	0	0	0	0	5772	5	0	463	0	297	1065	0	0	225	0	0	0	29	0	0	133	56	0	6	0	5	0	0	0	0	0	0	0	0	53	155	7	0	0	0	0	25	0	0	0	0	0	503	0	8	0	112	0	0	45	0	0	0	0	0	20	11	0	0	30	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	523	0	0	0	50	0	0	0	0	11	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1202	0	0	0	0	0	0	0	0
f46	36	25	0	75	172	0	0	0	560	1208	0	51	23	1627	3	4	211	666	227	36	3	558	0	0	0	167	2	1808	5	0	0	310	18	0	93	92	0	258	13	120	994	12	0	2386	0	35	22	0	12	0	35	4659	50	101	19774	0	0	0	0	143	57	0	2545	0	10	0	95	6	0	0	0	355	0	0	0	54	0	58	0	0	30	0	34	0	190	156	76	0	57	4	0	0	106	10	0	38	0	33	3	0	0	0	0	521	0	6	223	0	0	0	210	0	88	1434	86	86	308	265	131	13	16	0	79	0	0	38	8	4	0	0	5	3008	0	0	222	0	158	574	0	0	35	0	0	0	0	53	2	22	132	0	0	4	4	31	0	0	0	0	0	0	4	0	185	0	0	0	2239	6	0	0	9	0	0	0	1444	0	0	100	0	8	46	295	21	0	0	2	10	19	0	0	18	18	0	0	0	0	3	435	0	0	0	0	0	320	0	0	0	0	0	68	605	13	10	88	48	0	19	0	4	0	4	0	61	0	0	0	0	0	158	0	0	0	0	3	0	0	0	981	0	17	0	178	0	41	0	0	19	0	0	0	0	0	0	0	0	0	107	0	6	11	0	0	221	0	0	0	10	0	0	0	0	4	1178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	43	2	6	109	0	0	0	0	5	243	0	0	0	0	9	0	16	0	0	56	122	0	5	0	0	0	0	0	0	0	0	0	0	47	0	0	71	0	0	22	0	0	0	0	17	0	3	0	0	631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	434	0	0	0	0	0	0	0	0
f47	0	15	0	31	256	0	0	0	3	1028	0	79	0	1178	0	0	289	202	281	0	0	679	0	0	6	11	0	0	0	0	0	33	0	0	0	0	0	33	0	85	0	0	0	3930	0	10	7	0	0	0	11	24	13	0	50034	0	8	0	0	0	50	0	2325	0	10	0	0	0	0	0	0	0	0	0	0	43	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	99	0	0	0	0	0	0	0	0	67	1396	941	0	380	160	0	0	0	0	0	0	0	0	0	0	0	0	0	457	0	0	190	0	143	247	0	0	176	0	0	0	0	0	0	49	127	0	0	0	3	0	0	0	0	4	0	0	0	0	156	0	0	0	14	0	3	0	0	0	0	0	1149	14	2	0	3	0	17	124	16	0	0	0	0	0	0	0	0	22	0	0	0	0	8	9	0	0	0	0	0	0	0	0	0	0	0	0	698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	746	0	0	0	124	0	0	0	0	14	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	3	0	0	0	0	0	0	0	0	521	0	0	0	0	0	0	0	0
f48	158	3	3	33	13	0	0	34	60	839	0	5	0	1430	0	0	47	16	134	8	0	831	0	0	6	104	0	540	31	0	0	702	0	0	53	255	0	5	0	0	562	56	0	6091	0	41	0	0	0	0	0	268	173	91	4433	0	0	16	0	66	14	0	303	0	48	42	654	4	0	0	0	0	0	0	0	0	0	46	0	0	21	0	5	0	836	312	24	0	1048	0	0	0	9	3342	24	0	0	0	0	0	0	0	0	93	19	0	20	0	73	0	0	13	54	7083	160	0	32	224	65	153	0	0	29	0	0	13	0	0	0	0	0	229	0	0	0	0	230	4845	0	0	9	0	0	0	0	48	0	0	83	0	0	0	9	151	0	0	0	0	0	0	0	0	645	0	0	0	243	0	0	0	0	0	0	0	42	4	0	4019	0	0	1610	3624	0	0	0	0	5194	0	0	0	36	0	0	0	0	0	0	3281	0	0	0	0	39	36	0	0	0	0	0	34	36	0	0	135	7	0	0	0	0	0	58	0	5	0	14	0	0	0	128	0	0	0	0	0	0	0	0	176	0	0	0	41	0	3	0	0	0	0	0	0	0	0	0	0	0	0	675	0	6	0	0	0	49	0	0	0	0	0	0	25	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	37	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	66	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	205	0	0	21	0	0	0	0	0	0	0	0	0	280	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	22	0
f49	0	11	0	9	150	0	0	4	21	574	0	37	0	538	0	0	669	239	227	0	0	1112	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	34	0	59	0	0	0	2078	0	0	0	0	0	0	27	0	0	21	75047	3	0	0	0	0	76	0	1610	0	0	0	0	0	0	0	0	0	0	0	0	44	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	2	0	0	0	0	0	0	0	29	1540	207	0	188	122	0	0	0	0	0	0	0	0	0	0	0	0	0	1017	0	0	282	0	192	437	0	0	309	0	0	0	0	0	0	104	71	0	0	0	0	0	0	0	0	0	0	0	0	14	103	0	0	0	9	0	0	0	0	0	0	0	947	0	0	0	0	0	0	45	24	0	0	0	0	14	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	361	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	522	0	0	0	63	0	0	0	0	18	0	0	0	6	0	0	0	0	0	0	0	11	0	0	0	64	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	320	0	0	0	0	0	0	0	0
f50	0	0	0	0	60	0	0	0	0	135	0	6	0	546	0	0	173	22	35	0	0	198	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1300	0	0	0	0	0	0	0	0	0	4	54182	0	0	0	0	0	6	0	417	0	0	0	0	17	0	0	0	0	0	0	0	5	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	18	295	80	0	64	38	0	0	0	0	0	0	0	0	0	0	0	0	0	297	0	0	49	0	45	111	0	0	132	0	0	0	0	0	0	19	18	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	204	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0
