feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Cloacibacterium	Treatment	A+ T+ P+	-2.50678037008606	0.319345762051558	40	12	1.79670557237701e-09	6.88138234220394e-07
Flavobacterium	Treatment	A+ T+ P+	3.65298297457704	0.63262714152181	40	24	1.16142244009897e-06	0.000222412397278952
Polymorphobacter	Treatment	A+ T+ P+	3.06471658640087	0.596208858972307	40	18	8.55761010096678e-06	0.00109252155622343
Rhodococcus	Treatment	A+ T+ P+	2.93805094338088	0.612778416261227	40	27	2.51635683315078e-05	0.00192752933419349
Pirellula	Treatment	A+ T+ P+	-2.89048602985831	0.598565258007038	40	27	2.26156103983085e-05	0.00192752933419349
Pseudobdellovibrionaceae_Genus	Treatment	A+ T+ P+	2.95338528718424	0.676522984491699	40	28	9.41149997915434e-05	0.00594508280520567
Neochlamydia	Treatment	A+ T+ P+	-2.97293429899501	0.701966631656366	40	18	0.000139701684717627	0.00594508280520567
Candidatus_Megaira	Treatment	A+ T+ P+	2.12473263632763	0.500340277971429	40	16	0.000134966400224261	0.00594508280520567
Chthoniobacter	Treatment	A+ T+ P+	2.78072687197708	0.656154350327321	40	15	0.000138540827753826	0.00594508280520567
Niveibacterium	Treatment	A+ T+ P+	-2.75945842349836	0.667596216519243	40	31	0.000189692568974518	0.00660475035611276
Chitinibacter	Treatment	A+ T+ P+	2.47279079512663	0.593714518188165	40	20	0.000172575148824441	0.00660475035611276
Rhodocyclaceae_Genus	Treatment	A+ T+ P+	1.94416617566862	0.504967808421546	40	16	0.000439404512908417	0.014024327370327
Undibacterium	Treatment	A+ T+ P+	-3.49095463876873	0.96005025061125	40	26	0.000817250966396065	0.0240774707792071
Hyphomicrobium	Treatment	A+ T+ P+	-1.63835692585951	0.455935946884172	40	12	0.000923940900669342	0.0252763832111684
Pseudomonas	Treatment	A+ T+ P+	1.37816383089931	0.390465828074485	40	40	0.00110827120932183	0.0265292420731413
Dinghuibacter	Treatment	A+ T+ P+	-1.75338976918368	0.493984210500148	40	35	0.00104718966495317	0.0265292420731413
Chitinivorax	Treatment	A+ T+ P+	2.34015677362298	0.70598943553258	40	13	0.00202400344767867	0.0455996070859372
Rhizobium	Treatment	A+ T+ P+	-2.36084444531077	0.71735181854653	40	15	0.00216075288583568	0.0459760197375037
Bdellovibrio	Treatment	A+ T+ P+	2.40506702140662	0.775793937973652	40	20	0.00363409662081989	0.0732557371460009
NS9_marine_group_Genus	Treatment	A+ T+ P+	1.84687233203437	0.600068527748394	40	14	0.0038587886405991	0.0738958024674727
Halomonas	Treatment	A+ T+ P+	1.32741434604346	0.441084220157225	40	11	0.004629218083049	0.0844281202765604
Shewanella	Treatment	A+ T+ P+	2.34859123154771	0.790497984312489	40	40	0.00512361335785083	0.0850055701490091
Acinetobacter	Treatment	A+ T+ P+	1.93612317022312	0.654925261943992	40	17	0.0053267198004601	0.0850055701490091
Pirellulaceae_Genus	Treatment	A+ T+ P+	1.33161250746303	0.445916426866202	40	12	0.0049221630711343	0.0850055701490091
X11.24_Genus	Treatment	A+ T+ P+	-2.75891988395392	0.970068986151274	40	14	0.00713399953028217	0.107112321015148
Roseicella	Treatment	A+ T+ P+	1.47197615561276	0.518914103082475	40	21	0.00727133249711188	0.107112321015148
Rhizobiaceae_Genus	Treatment	A+ T+ P+	-2.3632244033864	0.84061594074917	40	25	0.00776076405141189	0.110087875247806
Ferruginibacter	Treatment	A+ T+ P+	-1.46130663030911	0.527398180277059	40	5	0.00860727949808191	0.117735287420192
Thermodesulfobacteriota_Genus	Treatment	A+ T+ P+	-0.912631114475779	0.332405286688657	40	6	0.00917735654793774	0.121204398546902
Dongia	Treatment	A+ T+ P+	-0.481859213320685	0.176681621193688	40	4	0.00961136349308712	0.122705073928412
Turneriella	Treatment	A+ T+ P+	-1.68609784748978	0.628956595622824	40	10	0.0108033755608549	0.133473962574433
Nevskiaceae_Genus	Treatment	A+ T+ P+	-1.211113950374	0.468986035998335	40	5	0.0137886668948059	0.165033106897208
SWB02	Treatment	A+ T+ P+	-0.924042193355911	0.362312697718559	40	4	0.0149126867823302	0.173077546594924
env.OPS_17_Genus	Treatment	A+ T+ P+	2.92223669449374	1.16275115307057	40	24	0.0163236767867333	0.183881417921143
Saprospiraceae_Genus	Treatment	A+ T+ P+	-1.86212813936896	0.746012077994735	40	12	0.0170124700691963	0.18465227016734
Cetobacterium	Treatment	A+ T+ P+	1.7735304569188	0.713411663137901	40	40	0.0174327353929284	0.18465227016734
Pararhodobacter	Treatment	A+ T+ P+	0.597596992391807	0.241315030772928	40	8	0.0178384699639467	0.18465227016734
Sandaracinaceae_Genus	Treatment	A+ T+ P+	-1.14538542070386	0.472002649430186	40	6	0.0200913637595289	0.202499797892094
Pedomicrobium	Treatment	A+ T+ P+	-1.81235422326098	0.758647375550865	40	26	0.0219676890594674	0.214258294118487
Crenobacter	Treatment	A+ T+ P+	1.6599549183667	0.697140305752968	40	40	0.0223768453387454	0.214258294118487
Agitococcus	Treatment	A+ T+ P+	-1.30370807819089	0.550703588348103	40	10	0.0231109557726971	0.215890147827878
Paucibacter	Treatment	A+ T+ P+	-1.4542266030629	0.624921403491416	40	39	0.0253905574106086	0.218847004113637
Aquihabitans	Treatment	A+ T+ P+	1.46807979282406	0.633701542246638	40	32	0.0260097422149011	0.218847004113637
alphaI_cluster	Treatment	A+ T+ P+	-1.69151144437308	0.720677915106264	40	20	0.0242317516792924	0.218847004113637
Staphylococcus	Treatment	A+ T+ P+	-0.316843237739196	0.137034727060814	40	3	0.026284496577617	0.218847004113637
WY65	Treatment	A+ T+ P+	-1.03944973916786	0.449286328139974	40	7	0.0261982464167932	0.218847004113637
Clostridium	Treatment	A+ T+ P+	-2.13677543361844	0.93040651778172	40	32	0.0272453845730949	0.22202089981905
Gordonia	Treatment	A+ T+ P+	-2.01513401406809	0.88368654263658	40	23	0.0282830046971912	0.225674808313005
Telmatocola	Treatment	A+ T+ P+	-1.8832103936136	0.829984554218148	40	12	0.0290328569454933	0.226930290002529
Ga0077536_Genus	Treatment	A+ T+ P+	-1.0152038019169	0.450883871072825	40	5	0.0302104517731308	0.227872729329463
Nordella	Treatment	A+ T+ P+	-0.594131544424871	0.264098135185366	40	5	0.030343366046482	0.227872729329463
Chryseotalea	Treatment	A+ T+ P+	2.42000011151621	1.08930698150487	40	34	0.0323425070027778	0.238215003501229
Oscillospiraceae_Genus	Treatment	A+ T+ P+	-0.44918394194493	0.203461363442265	40	3	0.0333742512206028	0.238236560777088
Brevitalea	Treatment	A+ T+ P+	-0.428860921653145	0.194506842703411	40	3	0.033589488986848	0.238236560777088
