feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Flavobacterium	Treatment	A+ T+ P-	-3.98517887245334	0.436498141808322	51	38	3.77862621498821e-12	1.39053444711566e-09
Vampirovibrionaceae_Genus	Treatment	A+ T+ P-	2.76381674414848	0.615808074712817	51	21	4.36145052697857e-05	0.00802506896964057
Bosea	Treatment	A+ T+ P-	-2.59112088367418	0.601460142513567	51	44	7.89774236163777e-05	0.00968789729694233
Plesiomonas	Treatment	A+ T+ P-	-1.87267016867026	0.460513594975151	51	51	0.000172675310260692	0.0158861285439836
Crenobacter	Treatment	A+ T+ P-	-2.19161271790757	0.578798581145088	51	50	0.000417709351950679	0.0256195069196416
Beijerinckiaceae_Genus	Treatment	A+ T+ P-	1.444266691663	0.379996290040605	51	17	0.000399604823425842	0.0256195069196416
alphaI_cluster	Treatment	A+ T+ P-	1.92394176829702	0.538152765387217	51	16	0.000798751993863691	0.0419915333916912
Cetobacterium	Treatment	A+ T+ P-	-1.95549639795153	0.560820824097457	51	51	0.00104152305433737	0.0425867204440171
Neochlamydia	Treatment	A+ T+ P-	2.5140911664145	0.719664457677519	51	22	0.00102124322453507	0.0425867204440171
Chlamydiales_Genus	Treatment	A+ T+ P-	1.73400760573294	0.50390465163065	51	19	0.0011934935147867	0.0439205613441505
Dongia	Treatment	A+ T+ P-	0.481859213320686	0.146406035369777	51	4	0.00185385570527423	0.0620198999582651
Reyranella	Treatment	A+ T+ P-	1.92677748484078	0.595403618201897	51	23	0.00217458599969823	0.0666873039907459
Candidatus_Protochlamydia	Treatment	A+ T+ P-	1.62760780114995	0.523580085179938	51	13	0.00312730488475893	0.0824138153040588
SH3.11	Treatment	A+ T+ P-	2.02181623539658	0.650581461675465	51	24	0.00313530819091528	0.0824138153040588
Candidatus_Nomurabacteria_Genus	Treatment	A+ T+ P-	0.636852841315466	0.206630107798302	51	4	0.00336960375156435	0.0826676120383788
Unknown_Family_Genus	Treatment	A+ T+ P-	0.210586440244021	0.0718300750132937	51	3	0.00511056590123319	0.110628720685518
X67.14_Genus	Treatment	A+ T+ P-	1.48653033275441	0.505936459304495	51	14	0.00502130224668612	0.110628720685518
Candidatus_Berkiella	Treatment	A+ T+ P-	1.43051175474879	0.503816339872741	51	7	0.00656343086770141	0.134185697739673
Pseudorhodoplanes	Treatment	A+ T+ P-	1.26665437762125	0.460974677646343	51	8	0.00837378161399462	0.162186928102633
Gaiellales_Genus	Treatment	A+ T+ P-	0.723115693861474	0.271628932968117	51	8	0.0104725966728973	0.19269577878131
