feature	Oleiharenicola	Planifilum	Hyphomicrobiales_Incertae_Sedis_Genus	Legionella	Pseudorhodoplanes	Blastococcus	Niveibacterium	Pedosphaeraceae_Genus	Burkholderiales_Genus	Phreatobacter	Fluviicoccus	Caulobacter	Candidatus_Paracaedibacter	Dechloromonas	Rickettsiaceae_Genus	Chitinophagales_Genus	Culicoidibacter	Mycobacterium	Clostridium	Gammaproteobacteria_Genus	SWB02	Noviherbaspirillum	Aeromonas	Crenobacter	Streptococcus	Rhodospirillales_Genus	Gemmata	X37.13_Genus	Haliangiaceae_Genus	Paracaedibacteraceae_Genus	Lutispora	Beijerinckiaceae_Genus	Comamonadaceae_Genus	Piscinibacter	Nitrospira	Rhodococcus	Frankiales_Genus	Pseudobdellovibrionaceae_Genus	Phaselicystis	Chryseobacterium	Roseomonas	env.OPS_17_Genus	Sphingobium	Pseudomonas	Pedomicrobium	Paracoccaceae_Genus	Reyranella	JGI_0001001.H03	Rhodocyclaceae_Genus	Candidatus_Bealeia	Luteolibacter	Hyphomicrobiales_Genus	Cytophagales_Genus	Pajaroellobacter	Gemmataceae_Genus	Candidatus_Obscuribacter	Nocardia	Enterobacterales_Genus	Micrococcus	Arthrobacter	Sphingorhabdus	SH.PL14	Nitrosomonas	Planctomycetes_Genus	Nocardioides	Lysobacter	Obscuribacteraceae_Genus	Sphingomonas	Luteimonas	Candidatus_Megaira	JG30.KF.CM45_Genus	Bacillota_Genus	Terrimonas	Leuconostoc	Sediminibacterium	Babeliaceae_Genus	Blastocatellaceae_Genus	Aquihabitans	Acetobacteraceae_Genus	Pirellula	Burkholderia.Caballeronia.Paraburkholderia	bacteriap25_Genus	Brevifollis	Granulosicoccus	IS.44	Bacteroidia_Genus	Acidobacteriota_Genus	Sphaerotilus	Marmoricola	Aeromonadaceae_Genus	Emticicia	NS9_marine_group_Genus	Hyphomicrobium	Cytophaga	Gracilibacteria_Genus	Verrucomicrobiaceae_Genus	Candidatus_Protochlamydia	Armatimonadaceae_Genus	Anaerovorax	Alphaproteobacteria_Genus	Microscillaceae_Genus	Clostridia_Genus	Paludibaculum	NS11.12_marine_group_Genus	Xanthobacteraceae_Genus	Vampirovibrionaceae_Genus	X0319.6G20_Genus	Flavobacterium	Devosia	Saprospiraceae_Genus	Staphylococcus	Leeia	Brevundimonas	Chlamydiales_Genus	Microtrichaceae_Genus	Ensifer	Paucibacter	Telmatocola	Rhizobium	Agitococcus	Paenirhodobacter	Novosphingobium	Candidatus_Captivus	Candidatus_Berkiella	Pseudobdellovibrio	Chitinibacter	Polyangiia_Genus	P3OB.42	Roseicella	A21b_Genus	Moraxellaceae_Genus	Cetobacterium	Gaiellales_Genus	Shinella	Sutterellaceae_Genus	Fluviicola	Vibrionaceae_Genus	Exiguobacterium	Kineosporiaceae_Genus	AAP99	Streptomyces	SM2D12_Genus	Chitinilyticum	Fimbriiglobus	Acinetobacter	Eremiobacteria_Genus	Vibrio	Candidatus_Ovatusbacter	Shewanella	Bryobacteraceae_Genus	X11.24_Genus	Runella	Truepera	Sphingomonadaceae_Genus	Abditibacterium	Oligoflexaceae_Genus	Rhizobiaceae_Genus	Stagnimonas	Rhizorhapis	Rubrivivax	Neochlamydia	Blfdi19_Genus	Sandaracinaceae_Genus	Chryseotalea	Ga0077536_Genus	Verrucomicrobiia_Genus	Unknown_Family_Genus	Phenylobacterium	Opitutaceae_Genus	Pseudomonadota_Genus	Gordonia	Pasteurella	Microtrichales_Genus	Paracoccus	Bdellovibrio	Sphingopyxis	Haliscomenobacter	cvE6_Genus	Pseudoduganella	Pseudolabrys	Pir4_lineage	Agromyces	Planctomycetota_Genus	Candidatus_Nomurabacteria_Genus	mle1.27_Genus	IMCC26207	Dyadobacter	Romboutsia	Pseudoxanthomonas	Thermoleophilia_Genus	Bosea	MBNT15_Genus	Undibacterium	Stella	Neisseriaceae_Genus	OM190_Genus	TM7a	Caedibacter	Pectobacteriaceae_Genus	Bacillus	Anaeromyxobacter	Parvibium	Pseudolysobacter	Dinghuibacter	WY65	SH3.11	Glutamicibacter	Rothia	alphaI_cluster	Vampirovibrionales_Genus	Gemmobacter	Chitinophagaceae_Genus	Deinococcus	Kapabacteriales_Genus	Chlamydiaceae_Genus	Cellvibrio	Parachlamydiaceae_Genus	Micropepsaceae_Genus	oc32	Alicyclobacillus	Pseudomonadales_Genus	Longivirga	Turneriella	LWQ8_Genus	Bacilli_Genus	Fimbriimonadaceae_Genus	Gemmatimonas	TRA3.20_Genus	Tundrisphaera	KD4.96_Genus	Curvibacter	Sinimarinibacterium	SM1A02	PMMR1	Bradyrhizobium	Acidiferrimicrobium	OLB17	Vicinamibacteraceae_Genus	Flavihumibacter	PB19_Genus	Anaerocolumna	Holosporaceae_Genus	BIrii41_Genus	Pontibacter	Kineococcus	CL500.3	Ruminiclostridium	Candidatus_Alysiosphaera	Heyndrickxia	Cerasibacillus	Aquabacterium	Myxococcaceae_Genus	Barnesiellaceae_Genus	Pyrinomonadaceae_Genus	Enterobacteriaceae_Genus	Variovorax	Blastocatella	Aerococcaceae_Genus	Ottowia	Serinicoccus	Oscillospiraceae_Genus	Opitutus	X67.14_Genus	Malacoplasma	RBG.13.54.9_Genus	Blastomonas	PeM15_Genus	Cypionkella	Cloacibacterium	Paraconexibacter	DEV007_Genus	Defluviimonas	Rhodovastum	Massilia	Thermomicrobiales_Genus	Thermodesulfobacteriota_Genus	Paraclostridium	Alcaligenaceae_Genus	Methylorubrum	Micavibrionales_Genus	Brevitalea	Sporichthyaceae_Genus	Psychromonas	Gemmatimonadaceae_Genus	Rubritaleaceae_Genus	Campylobacterales_Genus	Steroidobacter	Rhodopseudomonas	Armatimonadota_Genus	Thermoactinomycetaceae_Genus	Virgibacillus	Bauldia	Nevskiaceae_Genus	Stenotrophomonas	DEV114	Simkaniaceae_Genus	Lysobacteraceae_Genus	Pirellulaceae_Genus	Hirschia	Plesiomonas	Lactococcus	OLB12	vadinHA49_Genus	Thermus	Rheinheimera	Rhodospirillaceae_Genus	Sporomusaceae_Genus	Weissella	Chitinimonas	Raineya	NB1.j_Genus	Acidovorax	Lactobacillaceae_Genus	Ferruginibacter	Vampirovibrio	Kocuria	Nordella	Polyangiales_Genus	Elsteraceae_Genus	Methylocystis	Methyloligellaceae_Genus	Mesorhizobium	Pseudorhizobium	Mariniblastus	Azospira	Oxalobacteraceae_Genus	Hassallia	Nannocystis	Isosphaeraceae_Genus	Fuscovulum	Aureimonas	Siphonobacter	Polyangiaceae_Genus	Permianibacter	Desulfosporosinus	Geodermatophilus	Hyphomonadaceae_Genus	Delftia	Sandaracinus	Actinoplanes	Corynebacterium	Elstera	Marinomonas	IMCC26134	Parcubacteria_Genus	Flectobacillus	Desulfotomaculum	Anaerospora	Thermobrachium	Peptostreptococcaceae_Genus	Babeliales_Genus	Bryobacter	Aeromicrobium	AKYH767_Genus	Bordetella	Acidibacter	Hydrogenophaga	Chthonomonas	Dongia	Panacibacter	Methylibium	Perlucidibaca	Coxiella	Aurantisolimonas	Agrobacterium	Anaerotaenia	Vogesella	CL500.29_marine_group
f16	0	0	0	21	0	9	3996	8	12	151	8	5	0	737	0	0	3617	7	5	121	0	0	58296	1869	0	0	0	0	5	0	0	0	0	0	0	8	0	12	0	0	16	0	0	3289	0	209	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	20	0	7	4	0	0	0	0	56	0	0	0	0	71	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	777	0	0	0	0	0	0	0	0	3560	0	14	16	52	0	0	0	0	0	0	0	0	5	0	581	0	0	232	225	0	0	0	0	0	0	356	0	30	0	0	0	434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	18	0	0	0	0	0	0	0	0	23	0	0	0	24	0	0	0	0	0	0	6	0	0	0	0	32	0	115	0	0	0	0	0	0	0	0	0	0	46	0	0	27	0	0	0	116	0	8	0	0	245	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	64	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0
f17	0	0	71	110	0	0	986	23	8	1116	0	5	0	1877	0	0	4054	38	140	304	0	0	27387	3073	8	0	7	0	0	0	0	0	5	0	0	19	0	33	0	0	330	2	0	996	5	1410	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	107	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	163	0	0	0	0	0	23	0	99	1787	0	41	0	496	0	0	0	0	0	0	0	0	0	0	6278	0	0	313	146	0	0	0	0	0	0	399	9	29	0	5	0	170	0	0	0	0	0	0	0	0	0	0	44	5	0	0	0	0	31	0	0	0	0	7	0	0	0	6	0	0	0	0	0	5	4	0	0	0	22	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	426	0	37	0	0	0	0	338	0	0	0	0	2	0	0	0	0	0	19	0	0	0	0	0	0	412	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	3	0	0	0	9	16	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	785	0	0	0	0
f18	0	0	0	20	0	2	265	0	0	192	0	0	0	358	0	0	1927	7	30	41	0	0	50350	1269	9	0	0	0	0	0	0	0	14	0	0	5	0	2	0	0	55	0	0	289	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	8	0	9	220	0	7	0	101	0	0	0	0	0	0	0	0	0	0	4358	0	0	65	0	0	0	0	0	0	0	166	0	6	0	0	0	242	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	5	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	5	0	0	10	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0
f19	0	0	2	41	0	0	367	5	0	659	0	0	0	935	0	0	3942	13	4	180	0	0	39100	2664	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	166	0	0	686	0	666	0	0	17	0	0	0	0	0	3	0	0	7	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	3	349	0	0	0	0	0	8	0	17	2319	0	0	0	151	0	0	0	0	0	0	0	0	0	0	6376	0	0	323	185	0	0	0	0	0	0	344	0	8	0	0	0	114	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	62	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	220	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	354	0	0	0	0
f20	0	0	98	175	8	0	1065	50	12	1679	0	10	0	2893	0	0	4373	155	9	580	0	0	21442	3590	0	0	27	0	0	0	0	0	10	0	0	37	0	37	0	0	538	0	0	1688	5	2016	0	0	0	0	0	0	3	0	15	0	30	4	0	0	0	27	0	0	3	0	0	0	4	0	5	7	0	0	0	0	0	178	0	46	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	20	219	20	0	0	0	0	69	0	295	4821	0	86	0	1077	0	0	0	0	0	0	0	0	0	0	5772	5	0	463	297	0	0	0	0	0	0	225	12	29	0	0	0	133	0	0	0	0	0	0	0	0	0	0	53	7	0	0	0	0	25	0	0	0	0	25	0	8	0	0	0	0	0	0	0	20	11	0	0	0	30	0	0	0	0	56	4	0	0	0	0	0	0	6	0	0	0	0	666	0	31	0	0	0	0	503	0	0	0	0	45	3	0	0	0	0	11	0	0	0	0	0	0	523	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	37	0	0	0	112	0	0	0	28	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1202	0	0	0	0
f46	36	0	75	172	0	0	574	560	6	1208	0	51	23	1627	3	4	211	185	666	227	36	3	19774	558	0	0	167	2	1808	5	0	0	310	18	93	92	0	258	13	0	120	994	0	2386	35	2545	22	0	12	0	35	0	4659	34	101	221	50	0	0	0	143	57	131	0	10	0	21	0	95	0	4	0	0	0	88	0	0	54	0	58	0	0	30	0	0	190	0	156	0	0	57	4	0	106	10	0	0	38	0	0	33	0	3	0	0	0	25	521	6	223	0	0	0	0	0	88	1434	86	308	210	265	13	0	0	79	0	38	8	4	0	0	3008	0	0	222	158	0	0	0	0	0	0	35	355	0	53	0	2	22	0	4	31	0	0	0	0	46	0	4	0	0	0	76	2239	6	0	0	0	9	0	158	0	0	12	100	8	631	2	10	0	19	0	0	0	18	18	0	0	4	0	132	3	435	0	0	320	0	0	0	0	0	0	68	605	13	0	10	0	19	0	1444	4	0	61	0	295	0	0	0	0	0	19	22	0	0	3	0	0	981	0	17	0	0	0	178	0	0	41	0	0	0	0	48	0	0	0	0	0	0	0	107	0	6	11	0	0	5	0	0	0	0	10	0	0	2	0	0	0	86	4	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	16	0	0	0	0	3	0	0	0	0	0	6	109	0	43	0	0	5	0	243	0	0	0	9	56	0	0	0	122	17	0	5	0	0	0	0	0	0	0	47	0	0	71	0	0	0	0	0	0	0	0	3	0	0	1178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	434	0	0	0	0
f47	0	0	31	256	0	0	247	3	0	1028	0	79	0	1178	0	0	289	156	202	281	0	0	50034	679	6	0	11	0	0	0	0	0	33	0	0	0	0	33	0	0	85	0	0	3930	10	2325	7	0	0	0	11	0	24	0	0	72	13	8	0	0	0	50	0	0	10	0	16	0	0	0	3	0	0	0	0	0	0	43	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	15	99	0	0	0	0	0	0	0	67	1396	0	380	0	160	0	0	0	0	0	0	0	0	0	0	457	0	0	190	143	0	0	14	0	0	0	176	0	0	0	0	0	49	0	0	0	0	0	0	4	17	0	0	0	0	0	0	14	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	127	8	9	0	0	0	0	0	0	0	0	0	0	698	0	9	0	0	0	0	1149	0	0	0	0	124	0	0	0	0	0	14	0	0	0	0	0	0	746	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	941	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0	521	0	0	0	0
f48	158	3	33	13	0	34	4845	60	4	839	0	5	0	1430	0	0	47	645	16	134	8	0	4433	831	6	0	104	0	540	31	0	0	702	0	53	255	0	5	0	0	0	562	0	6091	41	303	0	0	0	0	0	0	268	5	91	49	173	0	16	0	66	14	65	0	48	42	0	19	654	0	9	0	0	0	135	0	0	0	0	46	0	0	21	0	0	836	0	312	0	0	1048	0	0	9	3342	24	0	0	0	0	0	0	0	0	0	0	3	93	0	20	0	73	0	0	13	54	7083	0	32	0	224	153	0	0	29	0	13	0	0	0	0	229	0	0	0	230	0	0	4	0	0	0	9	0	0	48	0	0	0	0	0	151	0	0	0	0	1610	0	0	0	0	0	24	243	0	0	0	14	0	0	128	0	0	56	4019	0	280	0	5194	0	0	0	0	0	36	0	0	0	0	0	83	0	3281	0	39	36	0	0	0	0	0	0	34	36	0	0	0	0	0	0	42	58	0	5	0	3624	0	0	0	0	0	0	21	0	0	0	0	0	176	0	0	0	0	0	41	0	0	3	0	0	0	0	7	0	0	0	0	0	0	0	675	0	6	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	37	0	0	0	0	0	0	54	0	0	0	0	66	0	44	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	205	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	22	0
f49	0	0	9	150	0	4	437	21	0	574	0	37	0	538	0	0	669	103	239	227	0	0	75047	1112	0	0	5	0	0	0	0	0	0	0	0	0	0	34	0	0	59	0	0	2078	0	1610	0	0	0	0	27	0	0	0	21	64	0	0	0	0	0	76	0	0	0	0	24	2	0	0	0	0	0	0	0	0	0	44	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	11	129	0	0	0	0	0	0	0	29	1540	0	188	0	122	0	0	0	0	0	0	0	0	0	0	1017	0	0	282	192	0	0	0	0	0	0	309	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	14	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	18	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	361	0	6	0	0	5	0	947	0	0	0	0	45	0	0	0	0	0	18	0	0	0	0	0	0	522	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	4	0	0	7	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	320	0	0	0	0
f50	0	0	0	60	0	0	111	0	17	135	0	6	0	546	0	0	173	26	22	35	0	0	54182	198	16	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1300	0	417	0	0	0	0	0	0	0	0	4	15	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	18	295	0	64	0	38	0	0	0	0	0	0	0	0	0	0	297	0	0	49	45	0	0	0	0	0	0	132	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	5	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	204	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0
