feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Flavobacterium	Treatment	A+ T+ P-	-3.98517887245334	0.436498141808322	51	38	3.77862621498821e-12	1.39053444711566e-09
Vampirovibrionaceae_Genus	Treatment	A+ T+ P-	2.76381674414848	0.615808074712817	51	21	4.36145052697857e-05	0.00802506896964057
Bosea	Treatment	A+ T+ P-	-2.59112088367418	0.601460142513567	51	44	7.89774236163777e-05	0.00968789729694233
Plesiomonas	Treatment	A+ T+ P-	-1.87267016867026	0.460513594975151	51	51	0.000172675310260692	0.0158861285439836
Crenobacter	Treatment	A+ T+ P-	-2.19161271790757	0.578798581145088	51	50	0.000417709351950679	0.0256195069196416
Beijerinckiaceae_Genus	Treatment	A+ T+ P-	1.444266691663	0.379996290040605	51	17	0.000399604823425842	0.0256195069196416
alphaI_cluster	Treatment	A+ T+ P-	1.92394176829702	0.538152765387217	51	16	0.000798751993863691	0.0419915333916912
Cetobacterium	Treatment	A+ T+ P-	-1.95549639795153	0.560820824097457	51	51	0.00104152305433737	0.0425867204440171
Neochlamydia	Treatment	A+ T+ P-	2.5140911664145	0.719664457677519	51	22	0.00102124322453507	0.0425867204440171
Chlamydiales_Genus	Treatment	A+ T+ P-	1.73400760573294	0.50390465163065	51	19	0.0011934935147867	0.0439205613441505
Dongia	Treatment	A+ T+ P-	0.481859213320686	0.146406035369777	51	4	0.00185385570527423	0.0620198999582651
Reyranella	Treatment	A+ T+ P-	1.92677748484078	0.595403618201897	51	23	0.00217458599969823	0.0666873039907459
Candidatus_Protochlamydia	Treatment	A+ T+ P-	1.62760780114995	0.523580085179938	51	13	0.00312730488475893	0.0824138153040588
SH3.11	Treatment	A+ T+ P-	2.02181623539658	0.650581461675465	51	24	0.00313530819091528	0.0824138153040588
Candidatus_Nomurabacteria_Genus	Treatment	A+ T+ P-	0.636852841315466	0.206630107798302	51	4	0.00336960375156435	0.0826676120383788
Unknown_Family_Genus	Treatment	A+ T+ P-	0.210586440244021	0.0718300750132937	51	3	0.00511056590123319	0.110628720685518
X67.14_Genus	Treatment	A+ T+ P-	1.48653033275441	0.505936459304495	51	14	0.00502130224668612	0.110628720685518
Candidatus_Berkiella	Treatment	A+ T+ P-	1.43051175474879	0.503816339872741	51	7	0.00656343086770141	0.134185697739673
Pseudorhodoplanes	Treatment	A+ T+ P-	1.26665437762125	0.460974677646343	51	8	0.00837378161399462	0.162186928102633
Gaiellales_Genus	Treatment	A+ T+ P-	0.723115693861474	0.271628932968117	51	8	0.0104725966728973	0.19269577878131
Sediminibacterium	Treatment	A+ T+ P-	-1.86946563156319	0.712542063663383	51	16	0.0115648280091317	0.202659843207641
Pseudoxanthomonas	Treatment	A+ T+ P-	1.22543679066073	0.470561941051022	51	12	0.0121557824819024	0.203333088788186
Rhodospirillaceae_Genus	Treatment	A+ T+ P-	0.722429903328032	0.280720867479662	51	4	0.0131450267197764	0.207571601550934
Chitinimonas	Treatment	A+ T+ P-	0.685009537136725	0.267385269024854	51	3	0.0135372783620174	0.207571601550934
Agromyces	Treatment	A+ T+ P-	-2.82166718567509	1.11396958573548	51	25	0.014561303657117	0.214342389832762
Rubrivivax	Treatment	A+ T+ P-	1.66120751284826	0.665080281592641	51	22	0.0159046401714066	0.217888087877928
Cloacibacterium	Treatment	A+ T+ P-	1.7919835178055	0.718028387334563	51	29	0.0159863542736523	0.217888087877928
Rhizobiaceae_Genus	Treatment	A+ T+ P-	2.35709394340315	0.973255897744919	51	25	0.0191870668776576	0.235361353699266
WY65	Treatment	A+ T+ P-	1.06641832762881	0.436671467932773	51	11	0.0182544826994066	0.235361353699266
Aurantisolimonas	Treatment	A+ T+ P-	-2.21508927467509	0.910980546977651	51	40	0.018736901108819	0.235361353699266
Candidatus_Paracaedibacter	Treatment	A+ T+ P-	-0.93580711029407	0.409085858578788	51	11	0.0265187201999003	0.247350966289744
Pseudobdellovibrionaceae_Genus	Treatment	A+ T+ P-	-2.1650560812289	0.913210119356961	51	29	0.021726096198334	0.247350966289744
Aquihabitans	Treatment	A+ T+ P-	-1.77260584997182	0.78043980621577	51	37	0.0275581239616291	0.247350966289744
Acetobacteraceae_Genus	Treatment	A+ T+ P-	0.157868021556155	0.0693833902141034	51	2	0.027298635808067	0.247350966289744
Staphylococcus	Treatment	A+ T+ P-	0.285069725337971	0.123879138637001	51	4	0.0256744382175361	0.247350966289744
Polyangiia_Genus	Treatment	A+ T+ P-	-1.23898808620602	0.531048171400419	51	12	0.023791809977401	0.247350966289744
Micropepsaceae_Genus	Treatment	A+ T+ P-	0.150995670959402	0.0659718129923574	51	2	0.0264413123205569	0.247350966289744
Oscillospiraceae_Genus	Treatment	A+ T+ P-	0.416263601469074	0.176229600789429	51	4	0.022191295395875	0.247350966289744
PeM15_Genus	Treatment	A+ T+ P-	1.25022913437678	0.540761066520562	51	14	0.025023520181124	0.247350966289744
Thermodesulfobacteriota_Genus	Treatment	A+ T+ P-	0.784875895450982	0.340056878535298	51	7	0.0252576066767464	0.247350966289744
Peptostreptococcaceae_Genus	Treatment	A+ T+ P-	0.491128056668479	0.21477809910109	51	5	0.0265740547788541	0.247350966289744
