feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Aggregatilineales_Genus	Total.Worm.Count	Total.Worm.Count	0.0697454535349093	0.00875191635199581	129	3	7.91302491838416e-13	3.77451288606924e-10
Brucella	Total.Worm.Count	Total.Worm.Count	0.00956334755648772	0.00130539990412182	129	1	2.4231229118967e-11	2.31165925794952e-09
vadinHA49_Genus	Total.Worm.Count	Total.Worm.Count	0.044814234627865	0.00607380919610437	129	2	1.84166520803816e-11	2.31165925794952e-09
Bacillaceae_Genus	Total.Worm.Count	Total.Worm.Count	0.00956334755648773	0.00130539990412183	129	1	2.42312291189665e-11	2.31165925794952e-09
Kineococcus	Total.Worm.Count	Total.Worm.Count	0.00956334755648772	0.00130539990412182	129	1	2.42312291189677e-11	2.31165925794952e-09
Ruminiclostridium	Total.Worm.Count	Total.Worm.Count	0.0828888568959028	0.0119368953292834	129	3	1.75868734719312e-10	1.39815644101853e-08
Arthrobacter	Total.Worm.Count	Total.Worm.Count	0.0214519357298378	0.00341930286790896	129	2	5.09101113181652e-09	3.46916044268068e-07
Altererythrobacter	Total.Worm.Count	Total.Worm.Count	0.0435619893887626	0.00812128178821676	129	4	3.72108465485379e-07	2.21869672545657e-05
Dietzia	Total.Worm.Count	Total.Worm.Count	0.0430735282832462	0.00964442245521951	129	3	1.73953960502734e-05	0.00092195599066449
Pirellulaceae_Genus	Total.Worm.Count	Total.Worm.Count	0.117806614882075	0.0294745580830648	129	43	0.000108145994120441	0.00515856391954506
CM1G08	Total.Worm.Count	Total.Worm.Count	0.0544986930087142	0.0143896831105132	129	8	0.000233871828193109	0.00913925491196024
Chitinivorax	Total.Worm.Count	Total.Worm.Count	0.15583448621439	0.0410164385072028	129	45	0.000223961656919178	0.00913925491196024
Sporomusaceae_Genus	Total.Worm.Count	Total.Worm.Count	0.08745936802133	0.0231995168374404	129	8	0.000249078226112124	0.00913925491196024
Acetobacteroides	Total.Worm.Count	Total.Worm.Count	0.110129444105334	0.030933152914122	129	22	0.00052215097380866	0.0177904296076236
Sphingomonas	Total.Worm.Count	Total.Worm.Count	0.0534052880005208	0.0152077950511924	129	10	0.0006171299877472	0.019624733610361
alphaI_cluster	Total.Worm.Count	Total.Worm.Count	0.130372405946414	0.0376184726342752	129	46	0.000722104864227891	0.021527751264794
