feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Plesiomonas	Treatment	A- T- P+	-2.68814252545093	0.323132354088642	73	72	4.28196304722545e-12	1.69137540365405e-09
Culicoidibacter	Treatment	A- T- P+	-3.48315688157468	0.492743100070407	73	72	8.77724421494388e-10	1.73350573245142e-07
X67.14_Genus	Treatment	A- T- P+	3.91135500949961	0.569829473968666	73	35	2.08239180913046e-09	2.74181588202178e-07
Vogesella	Treatment	A- T- P+	3.51035591879266	0.598257783537417	73	26	1.29077466000404e-07	1.27463997675399e-05
Polymorphobacter	Treatment	A- T- P+	2.49462381839973	0.44408519778579	73	22	3.53848335779619e-07	2.79540185265899e-05
Halomonas	Treatment	A- T- P+	1.75635923600716	0.326996826025377	73	20	9.4115722445323e-07	6.19595172765043e-05
Vampirovibrionaceae_Genus	Treatment	A- T- P+	3.39958307845494	0.656102587321198	73	37	1.97777704624058e-06	0.000111562762658004
Pseudomonas	Treatment	A- T- P+	1.88343671172747	0.365915987661342	73	73	2.25949899054186e-06	0.000111562762658004
Paenirhodobacter	Treatment	A- T- P+	-2.75456872946188	0.554913563781527	73	56	4.5745814147467e-06	0.000200773295424994
Gemmobacter	Treatment	A- T- P+	-2.11606967108587	0.442164368701859	73	58	8.99252104274987e-06	0.00035520458118862
Rhodovarius	Treatment	A- T- P+	1.68952833921703	0.359074785546693	73	16	1.21580854792528e-05	0.000436585796754988
Paucibacter	Treatment	A- T- P+	-2.00044261148767	0.430209896204514	73	72	1.49379739441009e-05	0.000491708308993321
Candidatus_Megaira	Treatment	A- T- P+	2.02177932572518	0.440311767147348	73	22	1.85315423790248e-05	0.000563073787670368
Acinetobacter	Treatment	A- T- P+	2.75945554343797	0.609233343760733	73	47	2.33072724967334e-05	0.000613758175747314
Agromyces	Treatment	A- T- P+	-3.17797283270423	0.698740964239572	73	27	2.17566073129823e-05	0.000613758175747314
Rhodocyclaceae_Genus	Treatment	A- T- P+	2.11706695905893	0.488681204976417	73	26	4.76750838975591e-05	0.00117697863372099
Tundrisphaera	Treatment	A- T- P+	-2.5871403855066	0.670055185939437	73	60	0.000246456200997757	0.00572648231730083
Cloacibacterium	Treatment	A- T- P+	-1.76568331203942	0.465017746319553	73	22	0.000305711441468707	0.00670866774334108
Hyphomicrobiales_Incertae_Sedis_Genus	Treatment	A- T- P+	2.97168169778642	0.797210741516152	73	52	0.000385235130818273	0.00800883561437988
Eremiobacteria_Genus	Treatment	A- T- P+	-1.08892721155909	0.295228865027488	73	12	0.000438464070205071	0.00865966538655016
Chitinilyticum	Treatment	A- T- P+	-1.63355171597598	0.449927444292484	73	69	0.000529802107028455	0.0095214563213375
Citrobacter	Treatment	A- T- P+	1.11119506535009	0.306079997735127	73	12	0.000530308959669431	0.0095214563213375
Pirellulaceae_Genus	Treatment	A- T- P+	1.11913366774071	0.317396219227146	73	13	0.000743527152384547	0.0127692706605172
Sphaerotilus	Treatment	A- T- P+	-2.76908607292305	0.80083355793241	73	21	0.000924344705662663	0.0146046463494701
Azospira	Treatment	A- T- P+	1.23299386553431	0.355864496332893	73	12	0.000903948352957582	0.0146046463494701
