feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Cloacibacterium	Pathogen	Pathogen	-3.51305437668335	0.281197929798022	236	86	9.35275660959961e-28	1.05499094556284e-24
Aggregatilineales_Genus	Total.Worm.Count	Total.Worm.Count	0.0697454535349094	0.0064614064091455	236	3	2.72945970066057e-22	1.53941527117256e-19
Brucella	Total.Worm.Count	Total.Worm.Count	0.00956334755648773	0.000963756846815292	236	1	1.38986954666354e-19	5.22590949545493e-17
Bacillaceae_Genus	Total.Worm.Count	Total.Worm.Count	0.0468631879436735	0.00486035184194835	236	2	9.95310979905374e-19	2.80677696333316e-16
vadinHA49_Genus	Total.Worm.Count	Total.Worm.Count	0.0608294252939621	0.0064587214457156	236	3	4.69247142941973e-18	1.05862155447709e-15
Plesiomonas	Pathogen	Pathogen	-2.57372792519598	0.27797398213931	236	230	1.40200333265812e-17	2.63576626539727e-15
Vogesella	Pathogen	Pathogen	2.98467635479613	0.388356721083966	236	74	4.23057591677708e-13	6.81727090589221e-11
Candidatus_Megaira	Pathogen	Pathogen	1.87379226831924	0.25659813627924	236	66	4.44402083085636e-12	6.26606937150746e-10
Polymorphobacter	Pathogen	Pathogen	1.87865141568968	0.264539687138108	236	66	1.48280439143879e-11	1.85844817060329e-09
Halomonas	Pathogen	Pathogen	1.66892004207332	0.239331797396193	236	53	3.16814957819477e-11	3.5736727242037e-09
Rhodocyclaceae_Genus	Pathogen	Pathogen	1.79519628039473	0.281643088391734	236	74	9.76558502409126e-10	9.17964992264579e-08
Ruminiclostridium	Total.Worm.Count	Total.Worm.Count	0.089164457208805	0.0139880888014808	236	8	9.74924040908843e-10	9.17964992264579e-08
Caulobacter	Pathogen	Pathogen	-1.74533918763899	0.286039957912964	236	54	4.33627092745321e-09	3.76254892782094e-07
Vibrio	Pathogen	Pathogen	2.42812332510239	0.39919953126165	236	66	4.81029833577317e-09	3.87572608768009e-07
Dietzia	Total.Worm.Count	Total.Worm.Count	0.0430735282832463	0.00712033005782228	236	3	5.74685211435792e-09	4.32163278999715e-07
Pseudomonas	Pathogen	Pathogen	1.23586079412417	0.21186507041679	236	236	1.80571256634288e-08	1.27302735927173e-06
Paucibacter	Pathogen	Pathogen	-1.42173683976009	0.25232640634412	236	234	5.04327810896515e-08	3.34636335700747e-06
Rhizobium	Pathogen	Pathogen	-2.25256156834141	0.402030176493335	236	116	5.92276249944345e-08	3.71159783298456e-06
Niveibacterium	Pathogen	Pathogen	-2.76765594134268	0.497867681381345	236	165	7.40133358487125e-08	4.05430588040433e-06
Flavobacterium	Pathogen	Pathogen	2.13977458027454	0.385108259067258	236	186	7.50402701943643e-08	4.05430588040433e-06
Shewanella	Pathogen	Pathogen	2.01652585992011	0.363001799959619	236	222	7.54790988373147e-08	4.05430588040433e-06
Phreatobacter	Pathogen	Pathogen	-1.66887561851531	0.308928405116789	236	229	1.62314913519261e-07	8.32232829316939e-06
Pirellulaceae_Genus	Total.Worm.Count	Total.Worm.Count	0.12823098132951	0.0243210171849732	236	46	3.06924733585274e-07	1.50526564993126e-05
Chthoniobacter	Pathogen	Pathogen	1.29169740029502	0.248561903204444	236	44	4.42949847871559e-07	2.08186428499633e-05
Chitinivorax	Total.Worm.Count	Total.Worm.Count	0.15583448621439	0.0302818112047341	236	45	5.64569693092121e-07	2.54733845523165e-05
CM1G08	Total.Worm.Count	Total.Worm.Count	0.0544986930087143	0.0106236836523969	236	8	6.10050315594977e-07	2.64667983073513e-05
Dinghuibacter	Pathogen	Pathogen	-2.09480807228377	0.421907322228072	236	163	1.32716526078037e-06	5.54460153392686e-05
Bradyrhizobium	Pathogen	Pathogen	-1.77276591311056	0.359923419435562	236	108	1.59585070205876e-06	6.34785635814797e-05
Citrobacter	Pathogen	Pathogen	0.908908108051775	0.184955933873022	236	35	1.68080968339268e-06	6.34785635814797e-05
Kineococcus	Total.Worm.Count	Total.Worm.Count	0.00956334755648773	0.00194644792656499	236	2	1.68825966972021e-06	6.34785635814797e-05
Gemmobacter	Pathogen	Pathogen	-1.46810919049717	0.301527009762294	236	194	2.07063545015068e-06	7.53444125087088e-05
Acinetobacter	Pathogen	Pathogen	2.13674584212996	0.441937663436418	236	140	2.41910267545556e-06	8.52733693098085e-05
Acetobacteroides	Total.Worm.Count	Total.Worm.Count	0.110129444105334	0.0228374751832273	236	22	2.5626791331864e-06	8.75970321889169e-05
Bosea	Pathogen	Pathogen	-1.60707365732464	0.339267277493442	236	200	3.77287870850785e-06	0.00012517079950579
Paenirhodobacter	Pathogen	Pathogen	-1.67918147550828	0.355535580080955	236	188	4.0165944716627e-06	0.000129449101829586
Arthrobacter	Total.Worm.Count	Total.Worm.Count	0.0214519357298379	0.00460178287540902	236	3	5.28157231029655e-06	0.000165489265722625
Tundrisphaera	Pathogen	Pathogen	-2.2011605172938	0.47388986074576	236	169	5.6898918216429e-06	0.000173464810130086
Paracoccaceae_Genus	Pathogen	Pathogen	-1.43571594806793	0.314793618601456	236	224	8.23746708915903e-06	0.000244522707278194
Sporomusaceae_Genus	Pathogen	Pathogen	-1.38163046678649	0.305500567151978	236	35	9.73362979360539e-06	0.000281526523261202
Dechlorobacter	Total.Worm.Count	Total.Worm.Count	0.0673189605164015	0.0155124440606677	236	14	2.1273101948076e-05	0.000599901474935742
Dechloromonas	Pathogen	Pathogen	-2.10211819139642	0.486158520482805	236	194	2.27278867393391e-05	0.000625294054682305
Barnesiellaceae_Genus	Pathogen	Pathogen	-1.18938195203441	0.276331402710658	236	55	2.46884416202642e-05	0.000663061003515667
Chitinivorax	Pathogen	Pathogen	1.0499608627458	0.244526000148681	236	45	2.57768741040792e-05	0.00067619334859073
Comamonadaceae_Genus	Pathogen	Pathogen	2.26173606090929	0.528385434625679	236	151	2.72576058200405e-05	0.000698785894659221
Altererythrobacter	Total.Worm.Count	Total.Worm.Count	0.0627807765778548	0.0147344954476589	236	9	2.95794866893943e-05	0.000741459133014151
Rubrivivax	Pathogen	Pathogen	1.55163075008227	0.368043416302846	236	118	3.56129740385599e-05	0.000873292059032512
Pirellulaceae_Genus	Pathogen	Pathogen	0.819915872871421	0.196392514687467	236	46	4.21348799742002e-05	0.0010112371193808
Uliginosibacterium	Pathogen	Pathogen	0.726000336331109	0.174946531059514	236	20	4.66628695369861e-05	0.00109657743411917
Vampirovibrionaceae_Genus	Pathogen	Pathogen	1.65491525262438	0.414755320511078	236	113	8.84878599083843e-05	0.00203702665258485
NS9_marine_group_Genus	Total.Worm.Count	Total.Worm.Count	0.166106989739071	0.041751569716804	236	63	9.26408987360682e-05	0.0020899786754857
Spirosomataceae_Genus	Total.Worm.Count	Total.Worm.Count	0.0567612819420685	0.0143218152704789	236	9	9.8338857500114e-05	0.00217502414235546
Aurantisolimonas	Pathogen	Pathogen	-1.58884722047146	0.40447206282465	236	181	0.000112797570363061	0.00244683960326024
Polymorphobacter	Total.Worm.Count	Total.Worm.Count	0.127355017288873	0.0327602825761056	236	66	0.000132112691736148	0.00281175691091274
Pirellula	Pathogen	Pathogen	-1.35762700174931	0.353402779895679	236	128	0.000157635254174724	0.00329282530942756
Bdellovibrio	Pathogen	Pathogen	1.49866804650859	0.392181601939675	236	98	0.000170305216449652	0.00349280516645833
Gammaproteobacteria_Genus	Pathogen	Pathogen	-1.62554616988489	0.430597351290953	236	208	0.000203012029120256	0.00408924230085087
Rhodovarius	Total.Worm.Count	Total.Worm.Count	0.0706511967314695	0.0189010405926369	236	24	0.000233478097919996	0.00462040867462728
X67.14_Genus	Pathogen	Pathogen	1.27749429700546	0.347056062436577	236	111	0.00028875946382273	0.00561587371020757
Arthrospira_PCC.7345	Pathogen	Pathogen	0.608002373571621	0.166408678206112	236	19	0.000319374913007426	0.00610601528597248
Leptothrix	Total.Worm.Count	Total.Worm.Count	0.0039783140992029	0.00111956342070363	236	1	0.000460174129365253	0.00850944947416422
Absconditabacteriales_.SR1._Genus	Total.Worm.Count	Total.Worm.Count	0.00397831409920289	0.00111956342070363	236	1	0.000460174129365264	0.00850944947416422
Bacteriovorax	Total.Worm.Count	Total.Worm.Count	0.0191808851378993	0.00543584791728269	236	2	0.000503194676987247	0.00915489670389701
alphaI_cluster	Total.Worm.Count	Total.Worm.Count	0.130372405946414	0.0374981347789295	236	74	0.000605283294567842	0.0108374532741671
Haliangiaceae_Genus	Pathogen	Pathogen	-1.7958692594227	0.518935465324695	236	105	0.000640737655230897	0.0112930011734446
env.OPS_17_Genus	Pathogen	Pathogen	1.90279928002063	0.55277448763312	236	113	0.000683680249016248	0.0118644818598512
Pseudoxanthomonas	Pathogen	Pathogen	0.975048271944128	0.284130440146363	236	57	0.000709558893433747	0.0119460064446756
Azospira	Pathogen	Pathogen	0.641914936882606	0.186876445741635	236	29	0.000701444695118705	0.0119460064446756
Rhizobiaceae_Genus	Pathogen	Pathogen	-1.43235643417596	0.417998017063844	236	130	0.000722072254922106	0.011977904464002
Sphaerotilus	Pathogen	Pathogen	-1.2512433579756	0.365787831917356	236	49	0.000737469787391356	0.0120560278286587
Legionella	Pathogen	Pathogen	-1.34007215143671	0.409376902858489	236	161	0.00122386383111801	0.019443921147903
Roseomonas	Pathogen	Pathogen	-1.24593701934977	0.380266483127806	236	184	0.00121134204420924	0.019443921147903
Kinneretia	Total.Worm.Count	Total.Worm.Count	0.0664641537196202	0.0203342044757608	236	12	0.00124410685058203	0.0194910073257852
Candidatus_Alysiosphaera	Total.Worm.Count	Total.Worm.Count	0.101068532042478	0.0310175047010297	236	53	0.00128745532997984	0.019893830304346
X11.24_Genus	Pathogen	Pathogen	-1.18292609021958	0.365606658756331	236	47	0.00139051475607163	0.0211959546601188
