feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Plesiomonas	Treatment	A- T- P+	-2.71414505627815	0.339474777136492	130	126	7.14479497854072e-13	1.03742423088411e-09
Vogesella	Treatment	A- T+ P+	5.7313404533925	0.754911794687673	130	59	6.14994736766215e-12	3.47449149598073e-09
Plesiomonas	Treatment	A- T+ P+	-2.66447210418411	0.352311168678525	130	126	7.17870143797671e-12	3.47449149598073e-09
X67.14_Genus	Treatment	A- T- P+	3.9113550094996	0.535606288364936	130	66	2.81787522094206e-11	1.02288870520197e-08
Culicoidibacter	Treatment	A- T- P+	-3.48315688157467	0.50938074399506	130	128	3.09473171314184e-10	8.9871008949639e-08
Culicoidibacter	Treatment	A- T+ P+	-3.49889915818502	0.528641705675474	130	128	9.37623607170491e-10	2.26904912935259e-07
Vampirovibrionaceae_Genus	Treatment	A+ T+ P+	4.36862588032368	0.720794761203094	130	79	1.456730948568e-08	2.77328804397694e-06
Pseudomonas	Treatment	A- T+ P+	2.08863070351651	0.345175772676695	130	130	1.52798239337572e-08	2.77328804397694e-06
Unknown_Family_Genus	Treatment	A- T+ P+	1.76319656108429	0.2974266853016	130	15	2.74878410329978e-08	4.43470501999031e-06
Rhodovarius	Treatment	A- T- P+	1.68952833921703	0.297401126586626	130	23	8.79894291620773e-08	1.19003141968184e-05
Pseudomonas	Treatment	A- T- P+	1.88343671172747	0.332599357953536	130	130	9.57570004877868e-08	1.19003141968184e-05
Pararhodobacter	Treatment	A+ T+ P+	0.597596992391806	0.105638007311849	130	8	9.83497041059376e-08	1.19003141968184e-05
Pseudomonas	Treatment	A+ T+ P+	2.06171087940415	0.36987565876676	130	130	1.4433768825279e-07	1.60704940138756e-05
Pseudoxanthomonas	Treatment	A+ T+ P+	2.96833956610777	0.534003821144873	130	33	1.54949666800454e-07	1.60704940138756e-05
Halomonas	Treatment	A- T- P+	2.00657027109565	0.368129003975748	130	36	2.53838977822548e-07	2.45716130532227e-05
Polymorphobacter	Treatment	A- T- P+	2.74322488857205	0.511267114945091	130	57	3.73329098971072e-07	3.01152139836665e-05
Polymorphobacter	Treatment	A+ T+ P+	3.06471658640086	0.568567726978336	130	57	3.33941333687771e-07	3.01152139836665e-05
Cloacibacterium	Treatment	A+ T+ P+	-2.21656596722716	0.412601451908103	130	27	3.62330640542444e-07	3.01152139836665e-05
Agromyces	Treatment	A- T- P+	-3.38841193020866	0.63421141430535	130	48	4.13739469910394e-07	3.16184058057838e-05
Chthoniobacter	Treatment	A+ T+ P+	2.78072687197708	0.523535114600222	130	37	4.76110850801691e-07	3.45656477682027e-05
Vampirovibrionaceae_Genus	Treatment	A- T- P+	3.39958307845494	0.648152613209936	130	79	6.40491640263638e-07	4.4285421983943e-05
Gemmobacter	Treatment	A- T- P+	-2.20986767055695	0.426048337814092	130	107	8.28915079966469e-07	5.4708395277787e-05
Flavihumibacter	Treatment	A+ T+ P+	2.66238754816574	0.517227503406754	130	33	9.86577490642297e-07	6.22830659309833e-05
Chitinibacter	Treatment	A+ T+ P+	1.91606822079688	0.37755493803086	130	40	1.35549517024626e-06	7.91779647161074e-05
Plesiomonas	Treatment	A+ T+ P+	-1.91540532575034	0.377521645263067	130	126	1.36325696825254e-06	7.91779647161074e-05
Parachlamydiaceae_Genus	Treatment	A- T+ P+	1.56956389607561	0.314577107687311	130	29	1.96488346646818e-06	0.000106725179624902
Candidatus_Megaira	Treatment	A+ T+ P+	2.48293024293521	0.498709591343203	130	53	2.05806131508076e-06	0.000106725179624902
Cloacibacterium	Treatment	A- T+ P+	-1.91817064488061	0.385048384759254	130	27	2.03224041091748e-06	0.000106725179624902
Rubrivivax	Treatment	A- T+ P+	3.06688126023262	0.622208240733105	130	86	2.54842837490051e-06	0.000127597172426053
Cloacibacterium	Treatment	A- T- P+	-1.8256107453619	0.37101921887179	130	27	2.64296730909689e-06	0.000127919617760289
Paenirhodobacter	Treatment	A- T- P+	-2.92003323287576	0.597186918976282	130	100	3.01604092709072e-06	0.000141267465359217
Rubrivivax	Treatment	A+ T+ P+	3.21790653885182	0.666731854169908	130	86	3.94651077954144e-06	0.000174042145521741
Vogesella	Treatment	A- T- P+	3.51035591879266	0.727406724630833	130	59	3.95550330731229e-06	0.000174042145521741
Agromyces	Treatment	A- T+ P+	-3.13807285944839	0.658192536270052	130	48	5.05460145453674e-06	0.000212923229509662
Rhizobium	Treatment	A+ T+ P+	-3.39690495088827	0.713025203271443	130	61	5.13244699231279e-06	0.000212923229509662
Paenirhodobacter	Treatment	A- T+ P+	-2.86452290535445	0.619768052044316	130	100	9.27144853741526e-06	0.000373948424342416
Paucibacter	Treatment	A- T- P+	-2.01814357859989	0.439820221844651	130	128	1.06343789178416e-05	0.000417327518613676
Candidatus_Megaira	Treatment	A- T- P+	2.02177932572517	0.448449326022333	130	53	1.4748432448869e-05	0.000563545366204154
Chitinivorax	Treatment	A+ T+ P+	2.47061763773126	0.549052636871635	130	39	1.52713024644968e-05	0.000568562337908958
Gemmobacter	Treatment	A- T+ P+	-1.98128111898915	0.442158292509829	130	107	1.64813513912678e-05	0.000598273055503021
Halomonas	Treatment	A+ T+ P+	1.8228565928886	0.409387314198311	130	36	1.84720979181889e-05	0.000654182589688056
Crenobacter	Treatment	A- T+ P+	-2.05072494968635	0.463159010894859	130	129	2.04191692850019e-05	0.000705919852424352
Candidatus_Berkiella	Treatment	A- T+ P+	1.87747458817003	0.426695710032377	130	33	2.28082253731577e-05	0.00077017542422849
Acinetobacter	Treatment	A- T- P+	2.75945554343797	0.634045364905019	130	77	2.75947600324147e-05	0.00089039092371258
Paucibacter	Treatment	A+ T+ P+	-2.13114094397187	0.489113374405427	130	128	2.70520666512921e-05	0.00089039092371258
X67.14_Genus	Treatment	A+ T+ P+	2.58360827644152	0.595634729927155	130	66	2.9233551569956e-05	0.000922763410425566
Polyangiia_Genus	Treatment	A- T+ P+	-1.23898808620601	0.287968738588266	130	14	3.35697215546579e-05	0.00103709012122049
Eremiobacteria_Genus	Treatment	A- T- P+	-1.17198097452053	0.273797233019955	130	18	3.66047892677758e-05	0.00110729487535022
Pirellulaceae_Genus	Treatment	A- T+ P+	1.58839671677742	0.375236547149257	130	40	4.4053548798947e-05	0.00127287042588556
Polymorphobacter	Treatment	A- T+ P+	2.24734239867924	0.530599405035563	130	57	4.36397883142542e-05	0.00127287042588556
Chitinimonas	Treatment	A+ T+ P+	1.32987868657367	0.314446921770687	130	13	4.47082587604431e-05	0.00127287042588556
Hyphomicrobiales_Incertae_Sedis_Genus	Treatment	A- T- P+	3.19612971472991	0.768851150811417	130	103	5.91195739366105e-05	0.00161965323313129
Sphaerotilus	Treatment	A- T- P+	-2.76908607292305	0.665681502477854	130	30	5.84961933551499e-05	0.00161965323313129
Rhodocyclaceae_Genus	Treatment	A- T- P+	2.11706695905893	0.512577476997456	130	55	6.55181274083683e-05	0.00176170964809168
Chthoniobacter	Treatment	A- T+ P+	2.01040110308406	0.488574020545291	130	37	6.94933018424805e-05	0.00183462316864148
Longivirga	Treatment	A+ T+ P+	2.77663283168646	0.677646272861449	130	79	7.42521935392245e-05	0.00192525330390989
Rhodocyclaceae_Genus	Treatment	A+ T+ P+	2.32948412866654	0.570024948755081	130	55	7.7376179843511e-05	0.00193707264022031
Acetivibrio	Treatment	A+ T+ P+	0.332778042261703	0.081345036907411	130	5	7.61184908001871e-05	0.00193707264022031
Polyangiia_Genus	Treatment	A+ T+ P+	-1.23898808620601	0.308575037186435	130	14	0.000101359422929849	0.00245700957604679
Haliangiaceae_Genus	Treatment	A+ T+ P+	-3.85571159796726	0.960387342950972	130	63	0.000101529321324248	0.00245700957604679
Chryseotalea	Treatment	A+ T+ P+	3.59336200331207	0.901124321711435	130	95	0.000112384268171266	0.00267511405548652
Obscuribacteraceae_Genus	Treatment	A+ T+ P+	1.36153999874648	0.342694084039102	130	36	0.000118679738983155	0.00277940291941194
Bosea	Treatment	A+ T+ P+	-2.45305818612308	0.625053621574088	130	106	0.000142101336450716	0.00327509746867365
Tundrisphaera	Treatment	A- T- P+	-2.60386379555232	0.672973409578127	130	104	0.00017422155562697	0.00395265154328689
Phreatobacter	Treatment	A- T+ P+	-2.07772663843968	0.537824151389451	130	127	0.000178080800586803	0.00397805111464673
Chlamydiales_Genus	Treatment	A+ T+ P+	2.29735446254708	0.600771661070487	130	69	0.000205445470721674	0.00446264083542627
Shewanella	Treatment	A+ T+ P+	2.78890281069277	0.729435752501689	130	118	0.000205920754802727	0.00446264083542627
Uliginosibacterium	Treatment	A+ T+ P+	0.686237656575425	0.181079218393013	130	7	0.000232621409107039	0.0049671512650503
Candidatus_Accumulibacter	Treatment	A+ T+ P+	0.461865342053707	0.122069640355277	130	5	0.000237789004981424	0.00500390775700039
Sphaerotilus	Treatment	A- T+ P+	-2.61004518609789	0.690852587293557	130	30	0.000242652311983558	0.00503330224285894
SH3.11	Treatment	A+ T+ P+	2.47899390612019	0.657734585767824	130	74	0.000250659813789346	0.00512616971298776
Chitinivorax	Treatment	A- T+ P+	1.91838775904283	0.512387510992858	130	39	0.000274162359577937	0.00552894091815506
Nocardia	Treatment	A- T+ P+	2.98438758336259	0.801414673546686	130	99	0.000294602417722817	0.00585976315799356
Polyangiia_Genus	Treatment	A- T- P+	-1.02928722892795	0.277476651453335	130	14	0.00031015964282936	0.00608583515389502
Sphaerotilus	Treatment	A+ T+ P+	-2.73850729859183	0.740288212739842	130	30	0.000321623207297251	0.00615242847371691
Shewanella	Treatment	A- T+ P+	2.5154198750553	0.68072484230856	130	118	0.000326265146333472	0.00615242847371691
Verrucomicrobiia_Genus	Treatment	A- T+ P+	-1.81835074371684	0.492076041808589	130	52	0.000326200632456992	0.00615242847371691
Agromyces	Treatment	A+ T+ P+	-2.5982096544224	0.70529109288407	130	48	0.000339629257916539	0.00632232926275404
Culicoidibacter	Treatment	A+ T+ P+	-2.07559597300431	0.566469939712257	130	128	0.000364239751573785	0.00669463442133082
Citrobacter	Treatment	A- T- P+	1.18987911887754	0.326104543634348	130	26	0.000384439300270131	0.00697757329990288
Chlamydiales_Genus	Treatment	A- T+ P+	2.04358522038468	0.560652796141511	130	69	0.000389549376018656	0.0069830332590011
Pseudolysobacter	Treatment	A- T- P+	-0.915857621913739	0.25617258468563	130	10	0.000497134026031882	0.00880290982680845
Rubrivivax	Treatment	A- T- P+	2.13226580777712	0.599538199846556	130	86	0.000530274318874718	0.00927660615669989
Burkholderiales_Genus	Treatment	A- T+ P+	-1.31645614428358	0.375277386041181	130	49	0.000626629418719493	0.0108317370950084
Legionella	Treatment	A+ T+ P+	-2.48796136521492	0.710808452749046	130	98	0.000643498415559108	0.0108646527153175
Elsteraceae_Genus	Treatment	A- T- P+	-0.20146760254858	0.0575591254804087	130	6	0.000643498714543601	0.0108646527153175
Cetobacterium	Treatment	A- T+ P+	-1.99802103841131	0.571907332246499	130	130	0.000658108313631074	0.0109836008206014
Paucibacter	Treatment	A- T+ P+	-1.58839967951198	0.456450925967426	130	128	0.000689598564793487	0.0113783763190925
Caulobacter	Treatment	A+ T+ P+	-1.29574954642165	0.375883339070962	130	18	0.000770415838332402	0.0125690314298724
Spirosomataceae_Genus	Treatment	A- T- P+	0.764049823558344	0.22396170402155	130	8	0.000868808445054063	0.0140167762468722
Elsteraceae_Genus	Treatment	A- T+ P+	-0.201467602548581	0.0597355801723179	130	6	0.000989289107563528	0.0157851404855191
Haliangiaceae_Genus	Treatment	A- T+ P+	-3.01190739806521	0.89625374180425	130	63	0.00102990239877975	0.0160134672603
Chitinilyticum	Treatment	A- T- P+	-1.63157873342736	0.485040001131276	130	124	0.00101884618683293	0.0160134672603
