feature	Oleiharenicola	Nitrosomonas	Coxiella	Geobacillus	Candidatus_Megaira	Planifilum	Luteimonas	Hyphomicrobiales_Incertae_Sedis_Genus	Legionella	Pseudorhodoplanes	Blastococcus	Parachlamydiaceae_Genus	Pedosphaeraceae_Genus	Phreatobacter	Fluviicoccus	Caulobacter	Candidatus_Paracaedibacter	Dechloromonas	Rickettsiaceae_Genus	Chitinophagales_Genus	Culicoidibacter	Mycobacterium	Clostridium	KD3.93_Genus	Pseudoxanthomonas	Gammaproteobacteria_Genus	Burkholderiales_Genus	SWB02	Noviherbaspirillum	Crenobacter	Gemmata	X37.13_Genus	Haliangiaceae_Genus	Paracaedibacteraceae_Genus	Lutispora	Beijerinckiaceae_Genus	Comamonadaceae_Genus	Piscinibacter	Nitrospira	Hirschia	Rhodococcus	Frankiales_Genus	Pseudobdellovibrionaceae_Genus	Phaselicystis	Roseomonas	Aeromonas	env.OPS_17_Genus	Pseudomonas	Pedomicrobium	Reyranella	JGI_0001001.H03	Obscuribacteraceae_Genus	Rhodocyclaceae_Genus	Candidatus_Bealeia	Luteolibacter	Hyphomicrobiales_Genus	Cytophagales_Genus	Cetobacterium	Gemmataceae_Genus	Bradyrhizobium	Aquihabitans	Enterobacterales_Genus	Micrococcus	Arthrobacter	Sphingorhabdus	SH.PL14	Planctomycetes_Genus	Candidatus_Obscuribacter	Paracoccaceae_Genus	Gemmobacter	Nocardioides	Lysobacter	Hassallia	Bacillota_Genus	Terrimonas	Leuconostoc	Altererythrobacter	Blastocatellaceae_Genus	SM1A02	Pirellula	Burkholderia.Caballeronia.Paraburkholderia	bacteriap25_Genus	Brevifollis	Granulosicoccus	Pajaroellobacter	IS.44	Bacteroidia_Genus	Sphaerotilus	Sandaracinaceae_Genus	Marmoricola	Emticicia	NS9_marine_group_Genus	Hyphomicrobium	Cytophaga	Gracilibacteria_Genus	Verrucomicrobiaceae_Genus	Candidatus_Protochlamydia	Prosthecomicrobium	Armatimonadaceae_Genus	Anaerovorax	Alphaproteobacteria_Genus	Microscillaceae_Genus	Paludibaculum	Candidatus_Jidaibacter	NS11.12_marine_group_Genus	Xanthobacteraceae_Genus	Vampirovibrionaceae_Genus	Nocardia	Flavobacterium	P3OB.42	Devosia	Saprospiraceae_Genus	Staphylococcus	Leeia	Chlamydiales_Genus	Microtrichaceae_Genus	Ensifer	Paucibacter	Telmatocola	Rhizobium	Agitococcus	Paenirhodobacter	Opitutaceae_Genus	Novosphingobium	Pseudomonadota_Genus	Candidatus_Berkiella	Pseudobdellovibrio	Chitinibacter	Sphingomonas	Polyangiia_Genus	Roseicella	A21b_Genus	Moraxellaceae_Genus	Gaiellales_Genus	Shinella	Sutterellaceae_Genus	Fluviicola	Niveibacterium	Vibrionaceae_Genus	Exiguobacterium	AAP99	SM2D12_Genus	Babeliaceae_Genus	Turicibacter	Chitinilyticum	Fimbriiglobus	Acinetobacter	BIrii41_Genus	Eremiobacteria_Genus	Stagnimonas	Vibrio	Bdellovibrio	Streptococcus	Candidatus_Ovatusbacter	Shewanella	Bryobacteraceae_Genus	X11.24_Genus	Dinghuibacter	Runella	Truepera	Fusobacteriaceae_Genus	Sphingomonadaceae_Genus	Abditibacterium	Candidatus_Alysiosphaera	X0319.6G20_Genus	Oligoflexaceae_Genus	Rhizorhapis	Ahniella	Rubrivivax	Neochlamydia	Blfdi19_Genus	Lineage_IIc_Genus	Chryseotalea	Ga0077536_Genus	Verrucomicrobiia_Genus	Elstera	Phenylobacterium	Pasteurella	Kineosporiaceae_Genus	Microtrichales_Genus	Paracoccus	Sphingopyxis	Rhizobiaceae_Genus	cvE6_Genus	Pseudoduganella	Pir4_lineage	Agromyces	Planctomycetota_Genus	mle1.27_Genus	IMCC26207	Dyadobacter	Caedibacter	Brevundimonas	Thermoleophilia_Genus	Thermoanaerobacterium	Bosea	MBNT15_Genus	LiUU.11.161_Genus	Undibacterium	Stella	Neisseriaceae_Genus	OM190_Genus	TM7a	Pectobacteriaceae_Genus	Parvibium	Afipia	Pseudolysobacter	Cellvibrio	Lactobacillus	WY65	Chryseobacterium	Glutamicibacter	Vicinamibacteraceae_Genus	Sediminibacterium	alphaI_cluster	Vampirovibrionales_Genus	Chitinophagaceae_Genus	Kapabacteriales_Genus	Chlamydiaceae_Genus	Actinobacteria_Genus	Gordonia	Alicyclobacillus	LWQ8_Genus	Fimbriimonadaceae_Genus	Gemmatimonas	TRA3.20_Genus	Bacilli_Genus	Tundrisphaera	KD4.96_Genus	Curvibacter	Caldilineaceae_Genus	PMMR1	OLB17	Thermoactinomyces	Flavihumibacter	Anaerocolumna	Micavibrionales_Genus	Longivirga	Rhodospirillales_Genus	Bacillus	Deinococcus	Holosporaceae_Genus	Pontibacter	SH3.11	Kineococcus	Sphingobium	CL500.3	Ruminiclostridium	Aquabacterium	Myxococcaceae_Genus	Marinomonas	Barnesiellaceae_Genus	X67.14_Genus	Pyrinomonadaceae_Genus	Nevskiaceae_Genus	Variovorax	Aerococcaceae_Genus	Blastocatella	CSP1.2	Ottowia	Serinicoccus	Oscillospiraceae_Genus	Stenotrophomonas	Sandaracinus	Opitutus	Malacoplasma	AKYH767_Genus	Blastomonas	X28.YEA.48	PeM15_Genus	Cypionkella	Thermodesulfobacteriota_Genus	Nordella	Cloacibacterium	Allomeiothermus	Paraconexibacter	Defluviimonas	JG30.KF.CM45_Genus	Rhodovastum	Methylorubrum	Massilia	Thermomicrobiales_Genus	Solirubrobacterales_Genus	Paraclostridium	Alcaligenaceae_Genus	Schlesneria	Pseudomonadales_Genus	Candidatus_Captivus	Brevitalea	Sporichthyaceae_Genus	Enterococcus	Psychromonas	Gemmatimonadaceae_Genus	Rubritaleaceae_Genus	oc32	Lactobacillaceae_Genus	Campylobacterales_Genus	DEV114	Simkaniaceae_Genus	RBG.13.54.9_Genus	Plesiomonas	Arthrospira_PCC.7345	Ferruginibacter	Lactococcus	Anoxybacillus	OLB12	Thermus	Rheinheimera	Sporomusaceae_Genus	Acidiferrimicrobium	Rhodospirillaceae_Genus	Mediterraneibacter	Raineya	NB1.j_Genus	Rickettsia	Rhodopseudomonas	Vampirovibrio	Acidovorax	Kocuria	Polyangiales_Genus	Elsteraceae_Genus	Methyloligellaceae_Genus	Mesorhizobium	Pseudorhizobium	Mariniblastus	Azospira	Nannocystis	Isosphaeraceae_Genus	Fuscovulum	Aureimonas	Turneriella	Polyangiaceae_Genus	Permianibacter	Geodermatophilus	Hyphomonadaceae_Genus	Delftia	Steroidobacter	Actinoplanes	Corynebacterium	Lysobacteraceae_Genus	Latilactobacillus	Parcubacteria_Genus	Flectobacillus	Desulfotomaculum	KD3.10	Pedobacter	Anaerospora	Thermobrachium	Peptostreptococcaceae_Genus	Romboutsia	Babeliales_Genus	Enhydrobacter	Aeromicrobium	Methyloversatilis	Bordetella	Haliscomenobacter	SD04E11	Acidibacter	Hydrogenophaga	Kinneretia	Panacibacter	Thermoactinomycetaceae_Genus	Methylibium	Perlucidibaca	Aurantisolimonas	Anaerotaenia	DSSD61	Vogesella	CL500.29_marine_group	Pirellulaceae_Genus
f16	0	0	0	0	0	0	18	0	21	0	9	0	8	151	8	5	0	737	0	0	3617	7	5	0	0	121	12	0	0	1869	0	0	5	0	0	0	0	0	0	0	8	0	12	0	16	58296	0	3289	0	0	0	0	0	0	0	0	2	581	0	0	20	0	0	0	0	0	0	0	209	116	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	56	0	0	0	71	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	777	0	0	0	0	0	0	0	0	3560	0	14	16	52	0	0	0	0	0	0	0	0	0	5	0	0	0	232	225	3996	0	0	0	0	0	0	356	0	30	0	0	0	0	23	0	0	434	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	18	4	0	0	0	0	0	0	0	0	24	0	0	0	0	6	0	0	0	0	0	32	0	0	115	0	0	0	0	0	0	0	0	245	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	8	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	0	0	11	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0
f17	0	0	0	0	0	0	0	71	110	0	0	0	23	1116	0	5	0	1877	0	0	4054	38	140	0	0	304	8	0	0	3073	7	0	0	0	0	0	5	0	0	0	19	0	33	0	330	27387	2	996	5	0	0	0	0	0	0	0	0	6278	19	20	107	0	0	0	0	24	0	0	1410	338	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	23	0	99	1787	0	41	0	496	0	0	0	0	0	0	0	0	0	0	0	0	0	313	146	986	0	0	0	0	0	0	399	9	29	0	0	0	5	6	8	0	170	0	0	426	0	0	0	0	0	0	26	0	0	0	44	5	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	5	4	0	0	22	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	412	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	37	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	9	0	0	16	0	0	0	2	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	785	0	0	0	0	0
f18	0	0	0	0	0	0	0	0	20	0	2	0	0	192	0	0	0	358	0	0	1927	7	30	0	0	41	0	0	0	1269	0	0	0	0	0	0	14	0	0	0	5	0	2	0	55	50350	0	289	0	0	0	0	0	0	0	0	0	4358	0	0	11	0	0	0	0	0	0	0	184	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	8	0	9	220	0	7	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	265	0	0	0	0	0	0	166	0	6	0	0	0	0	0	9	0	242	0	0	74	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	61	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0
f19	0	0	0	0	0	0	0	2	41	0	0	0	5	659	0	0	0	935	0	0	3942	13	4	0	0	180	0	0	0	2664	0	0	0	0	0	0	0	0	0	0	0	0	6	0	166	39100	0	686	0	0	0	0	17	0	0	0	0	6376	3	6	50	7	0	0	0	5	0	0	666	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	349	0	0	0	0	0	8	0	17	2319	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	323	185	367	0	0	0	0	0	0	344	0	8	0	0	0	0	0	0	0	114	0	0	175	0	0	0	0	0	0	3	0	0	0	17	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	354	0	0	0	0	0
f20	0	0	0	0	0	0	4	98	175	8	0	3	50	1679	0	10	0	2893	0	0	4373	155	9	0	0	580	12	0	0	3590	27	0	0	0	0	0	10	0	0	0	37	0	37	0	538	21442	0	1688	5	0	0	0	0	0	0	0	3	5772	15	50	178	4	0	0	0	27	0	0	2016	503	3	0	0	7	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	30	219	0	20	0	0	0	69	0	295	4821	0	86	0	1077	0	0	0	0	0	0	0	0	0	0	0	5	0	463	297	1065	0	0	0	0	0	0	225	12	29	0	0	0	0	0	0	0	133	0	0	666	0	0	0	0	0	0	20	0	0	0	53	7	0	0	0	0	25	0	0	0	0	8	0	0	0	0	0	20	11	0	0	30	0	0	0	0	0	56	4	0	0	0	0	0	0	6	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	523	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	37	0	0	0	5	112	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1202	0	0	0	0	0
f46	36	131	0	0	0	0	95	75	172	0	0	0	560	1208	0	51	23	1627	3	4	211	185	666	0	4	227	6	36	3	558	167	2	1808	5	0	0	310	18	93	6	92	0	258	13	120	19774	994	2386	35	22	0	21	12	0	35	0	4659	3008	101	178	54	0	0	0	143	57	0	221	2545	1444	10	0	47	0	0	0	0	0	0	58	0	0	30	0	34	0	190	156	76	0	57	4	0	106	10	0	0	0	38	0	0	33	3	0	0	0	0	50	521	8	6	223	0	0	0	0	88	1434	86	308	210	265	9	13	0	0	79	0	0	38	4	0	0	0	0	222	158	574	0	0	0	0	0	0	35	355	0	48	53	0	0	100	0	2	22	0	4	605	31	0	0	0	0	0	25	0	4	0	0	0	0	0	2239	6	0	1178	0	0	0	0	12	8	46	2	10	19	0	0	18	18	0	0	0	0	0	132	3	0	435	0	0	320	0	0	0	0	68	295	0	13	0	10	41	88	19	0	4	61	0	0	158	0	0	3	0	0	0	981	0	17	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	107	0	0	6	0	11	3	0	0	5	0	0	0	0	0	3	10	0	0	0	0	0	0	0	17	86	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	2	109	0	0	0	0	43	0	5	243	0	0	0	0	9	0	16	0	56	122	0	5	0	0	0	0	0	0	0	71	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	631	0	0	66	0	0	0	0	0	434	0	0	0	0	0
f47	0	0	0	0	0	0	0	31	256	0	0	0	3	1028	0	79	0	1178	0	0	289	156	202	0	0	281	0	0	0	679	11	0	0	0	0	0	33	0	0	0	0	0	33	0	85	50034	0	3930	10	7	0	16	0	0	11	0	24	457	0	124	43	8	0	0	0	50	0	72	2325	1149	10	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	13	99	0	0	0	0	0	0	0	67	1396	0	380	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	190	143	247	0	0	0	0	0	0	176	0	0	0	0	0	0	0	6	0	49	0	0	698	0	0	0	0	0	0	15	4	0	0	0	0	0	0	14	0	3	5	0	0	14	2	0	0	17	0	0	0	0	0	0	22	0	0	0	0	0	127	8	0	9	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	746	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	941	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	521	0	0	0	0	0
f48	158	65	0	0	0	3	654	33	13	0	34	0	60	839	0	5	0	1430	0	0	47	645	16	0	0	134	4	8	0	831	104	0	540	31	0	0	702	0	53	25	255	0	5	0	0	4433	562	6091	41	0	0	0	0	0	0	0	268	229	91	41	0	0	16	0	66	14	0	49	303	42	48	42	0	0	0	0	0	0	0	46	0	0	21	0	5	0	836	312	24	0	1048	0	0	9	3342	24	0	0	0	0	0	0	0	0	0	0	0	173	93	0	0	20	0	73	0	13	54	7083	0	32	0	224	0	153	0	0	29	0	19	13	0	0	0	0	0	0	230	4845	0	0	0	0	0	0	9	0	0	7	48	0	0	4019	6	0	0	0	0	36	151	0	0	0	0	0	3	0	0	0	0	0	0	0	243	0	0	58	14	0	4	0	56	0	1610	0	5194	0	0	0	36	0	0	0	0	0	0	83	0	0	3281	0	39	36	0	0	0	0	34	3624	0	0	0	0	3	135	0	0	58	5	0	0	128	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	675	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	160	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	44	0	0	0	0	0	54	0	0	0	0	0	0	0	0	66	0	0	7	0	0	0	0	0	0	0	205	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280	0	0	0	0	0	0	0	0	54	0	0	22	0	0
f49	0	0	0	0	0	0	0	9	150	0	4	0	21	574	0	37	0	538	0	0	669	103	239	0	0	227	0	0	0	1112	5	0	0	0	0	0	0	0	0	0	0	0	34	0	59	75047	0	2078	0	0	0	24	0	0	27	0	0	1017	21	63	44	0	0	0	0	76	0	64	1610	947	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	29	1540	0	188	0	122	0	0	0	0	0	0	2	0	0	0	0	0	0	282	192	437	0	0	0	0	0	0	309	0	0	0	0	0	0	0	0	0	104	0	0	361	0	0	0	0	0	0	11	0	0	0	14	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	18	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	522	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	6	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	7	0	0	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	320	0	0	0	0	0
f50	0	0	0	0	0	0	0	0	60	0	0	0	0	135	0	6	0	546	0	0	173	26	22	0	0	35	17	0	0	198	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	54182	0	1300	0	0	0	0	0	0	0	0	0	297	4	33	5	0	0	0	0	6	0	15	417	204	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	18	295	0	64	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	49	45	111	0	0	0	0	0	0	132	0	0	0	0	0	0	0	16	0	19	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	5	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0
