feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Polymorphobacter	Treatment	A+ T+ P+	3.06471658640086	0.381411267215025	61	18	4.77100896751017e-11	1.91794560493909e-08
Vampirovibrionaceae_Genus	Treatment	A+ T+ P+	3.49241674598161	0.51512630206851	61	30	6.37708643045096e-09	1.28179437252064e-06
Chthoniobacter	Treatment	A+ T+ P+	2.78072687197708	0.419760053009577	61	15	1.16506991309156e-08	1.5611936835427e-06
Chitinibacter	Treatment	A+ T+ P+	1.82611950102771	0.329724814942476	61	23	7.43824584752735e-07	7.47543707676499e-05
Rubrivivax	Treatment	A+ T+ P+	2.8099383855619	0.515376989498398	61	34	1.02690179402374e-06	8.2562904239509e-05
Pseudomonas	Treatment	A+ T+ P+	2.06171087940415	0.387755824783312	61	61	1.69878084710124e-06	0.000113818316755783
Chitinivorax	Treatment	A+ T+ P+	2.34015677362299	0.451640932862101	61	13	2.80404757911899e-06	0.000161032446686548
Candidatus_Megaira	Treatment	A+ T+ P+	1.94884011725471	0.383710648581246	61	17	4.08504120131038e-06	0.000205273320365846
Pseudoxanthomonas	Treatment	A+ T+ P+	2.52074296878531	0.513062080638284	61	20	7.46714395096977e-06	0.000327579200760007
Plesiomonas	Treatment	A+ T+ P+	-1.91540532575034	0.391781336239813	61	61	8.14873633731361e-06	0.000327579200760007
Rhodocyclaceae_Genus	Treatment	A+ T+ P+	1.70830308750329	0.351780470793612	61	20	9.17214135013009e-06	0.000335200074795663
X67.14_Genus	Treatment	A+ T+ P+	2.0284828439733	0.423450871098595	61	23	1.16187403416605e-05	0.000389227801445625
Halomonas	Treatment	A+ T+ P+	1.32741434604345	0.282173753084961	61	11	1.58039601081246e-05	0.00042354613089774
Rhizobium	Treatment	A+ T+ P+	-3.39690495088827	0.721193371807976	61	30	1.54769237152004e-05	0.00042354613089774
Bosea	Treatment	A+ T+ P+	-2.01378952081772	0.424527570765475	61	51	1.37346847819971e-05	0.00042354613089774
Pirellulaceae_Genus	Treatment	A+ T+ P+	1.10619092625171	0.238655838991562	61	12	2.02016787789231e-05	0.000507567179320444
Shewanella	Treatment	A+ T+ P+	2.68721570921903	0.600757153126712	61	58	3.57063648909664e-05	0.000844350510951088
Longivirga	Treatment	A+ T+ P+	2.77663283168646	0.631114103371349	61	39	4.61009439900418e-05	0.00102958774911093
Paucibacter	Treatment	A+ T+ P+	-2.13114094397186	0.493020037333817	61	60	6.01283382080656e-05	0.00127218905050749
SH3.11	Treatment	A+ T+ P+	2.47899390612019	0.579977216749243	61	34	7.09722315042972e-05	0.00142654185323637
Flavihumibacter	Treatment	A+ T+ P+	1.58261241497472	0.385352480538308	61	14	0.000125212525522681	0.00239692548857704
Cloacibacterium	Treatment	A+ T+ P+	-1.90571424843662	0.483441178128853	61	17	0.00021682611179746	0.00396200440648086
Culicoidibacter	Treatment	A+ T+ P+	-2.07559597300431	0.528578848215154	61	61	0.000227977584165874	0.00398465168846441
Pararhodobacter	Treatment	A+ T+ P+	0.597596992391807	0.154375887409298	61	8	0.000273650032631344	0.00458363804657502
Chryseotalea	Treatment	A+ T+ P+	3.59336200331207	0.943507571052368	61	43	0.00033540410894455	0.00539329807182836
Legionella	Treatment	A+ T+ P+	-2.3150206875907	0.620553561476037	61	47	0.000431212090839666	0.00666720232759791
Pseudorhodoplanes	Treatment	A+ T+ P+	1.33081955900072	0.367022223744767	61	15	0.000601567673484752	0.00895667424966186
Candidatus_Protochlamydia	Treatment	A+ T+ P+	1.46279408033643	0.405142660433188	61	20	0.000631584068627487	0.00906774269958035
Haliangiaceae_Genus	Treatment	A+ T+ P+	-3.85571159796725	1.07578653293582	61	30	0.000686465397043672	0.00951583067626056
Chlamydiales_Genus	Treatment	A+ T+ P+	1.45575770360701	0.410330979775214	61	28	0.000769178619599435	0.0103069935026324
Obscuribacteraceae_Genus	Treatment	A+ T+ P+	1.36153999874647	0.410311081953388	61	23	0.00155526217801791	0.0201682385665549
Roseicella	Treatment	A+ T+ P+	1.61368400306154	0.504335866925481	61	30	0.0022155711667347	0.0269896851220409
Chitinimonas	Treatment	A+ T+ P+	0.908841076098814	0.283799572667816	61	7	0.00219744811432164	0.0269896851220409
Vogesella	Treatment	A+ T+ P+	1.9166042456201	0.602848454284791	61	9	0.00235259583677507	0.0278159860701053
Tundrisphaera	Treatment	A+ T+ P+	-2.37920250191369	0.752265526810827	61	51	0.00246957567784271	0.0283648406426505
Pirellula	Treatment	A+ T+ P+	-1.80552082247017	0.593808290366105	61	39	0.00351853928167154	0.0382708823547443
Polyangiia_Genus	Treatment	A+ T+ P+	-1.23898808620602	0.40997880627064	61	12	0.00370972627654075	0.0382708823547443
Verrucomicrobiia_Genus	Treatment	A+ T+ P+	-1.7529515841035	0.5801048868972	61	30	0.00371284679560952	0.0382708823547443
Citrobacter	Treatment	A+ T+ P+	0.703988472074368	0.231967464621266	61	6	0.00357664667146086	0.0382708823547443
Caulobacter	Treatment	A+ T+ P+	-0.92763081681707	0.311830593652969	61	12	0.00424330081293259	0.0426451731699725
Reyranella	Treatment	A+ T+ P+	1.34597453512056	0.454717834602634	61	32	0.00442406094822192	0.0433773780776881
SWB02	Treatment	A+ T+ P+	-1.28821432588285	0.44476578499188	61	11	0.00528769318733856	0.0474441885141614
env.OPS_17_Genus	Treatment	A+ T+ P+	2.91801682956218	1.00977346804931	61	32	0.00538590725204822	0.0474441885141614
Rhodococcus	Treatment	A+ T+ P+	1.80375786010947	0.624805510761868	61	40	0.00542893699415777	0.0474441885141614
Bacteroidia_Genus	Treatment	A+ T+ P+	-2.43885869010031	0.839773353554493	61	23	0.0051740254364896	0.0474441885141614
Agitococcus	Treatment	A+ T+ P+	-1.61716263364958	0.559540388689597	61	20	0.00538008839808738	0.0474441885141614
Microtrichales_Genus	Treatment	A+ T+ P+	1.64914737571284	0.573811147069451	61	30	0.00562659599370267	0.0481253529674143
Sphaerotilus	Treatment	A+ T+ P+	-2.73850729859183	0.963037633490606	61	19	0.00611973661389177	0.0512527941413436
Acetivibrio	Treatment	A+ T+ P+	0.332778042261684	0.118874944524963	61	5	0.00690827871143372	0.0566760824897216
Agromyces	Treatment	A+ T+ P+	-2.59820965442241	0.936655230359742	61	30	0.00740400840200612	0.0595282275521292
NS9_marine_group_Genus	Treatment	A+ T+ P+	1.46561085785839	0.53254331819155	61	20	0.00785458152270599	0.0619125837672119
Paracoccaceae_Genus	Treatment	A+ T+ P+	-1.48705326864522	0.544518646095805	61	59	0.00831502415060517	0.0630686737460996
Paenirhodobacter	Treatment	A+ T+ P+	-1.67081515637045	0.611640966904804	61	53	0.00829844524912144	0.0630686737460996
Nocardia	Treatment	A+ T+ P+	1.81552851350029	0.680636120000101	61	44	0.00985175936896215	0.0733408753022738
Cytophagales_Genus	Treatment	A+ T+ P+	-2.76322639340638	1.05471466452697	61	27	0.0111658391982546	0.0816121337763339
Luteolibacter	Treatment	A+ T+ P+	1.16651510721415	0.451370847577716	61	19	0.012249566653776	0.0849021688761718
Uliginosibacterium	Treatment	A+ T+ P+	0.686237656575429	0.264623176280494	61	7	0.0119698258408076	0.0849021688761718
Candidatus_Accumulibacter	Treatment	A+ T+ P+	0.461865342053695	0.178388532073968	61	5	0.0121003198083312	0.0849021688761718
Lactococcus	Treatment	A+ T+ P+	1.01698961063198	0.401614394742615	61	10	0.0140147421832922	0.0954902772488721
Gammaproteobacteria_Genus	Treatment	A+ T+ P+	-1.8003730527749	0.718874834670044	61	54	0.0150482895269526	0.0999344753844883
Rhodopseudomonas	Treatment	A+ T+ P+	-0.867219091149899	0.346690631741873	61	12	0.0151641865633179	0.0999344753844883
