feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Vogesella	Treatment	A- T+ P+	5.73134045339249	0.648516676025826	68	28	8.45237396155853e-13	3.5246399419699e-10
Culicoidibacter	Treatment	A- T+ P+	-3.47823516235973	0.524999813936296	68	67	7.47402445953229e-09	1.55833409981248e-06
Plesiomonas	Treatment	A- T+ P+	-2.66447210418411	0.412702581687248	68	65	1.48339633576779e-08	2.06192090671723e-06
Pseudomonas	Treatment	A- T+ P+	2.08863070351651	0.379001563344462	68	68	6.35677388936954e-07	6.62693677966774e-05
Rubrivivax	Treatment	A- T+ P+	2.65571846073074	0.497816329332317	68	40	1.25643669824195e-06	0.000104786820633378
Polymorphobacter	Treatment	A- T+ P+	1.91636693444715	0.362687183700437	68	17	1.52794415217247e-06	0.000106192118575987
Pirellulaceae_Genus	Treatment	A- T+ P+	1.58839671677741	0.310409403060638	68	17	2.8851762644377e-06	0.000171874071752932
Shewanella	Treatment	A- T+ P+	2.47170078872972	0.496935854311201	68	63	4.95145561045874e-06	0.000258094623695162
Crenobacter	Treatment	A- T+ P+	-2.05072494968635	0.430808328313454	68	67	1.09604463281866e-05	0.000457050611885379
Paenirhodobacter	Treatment	A- T+ P+	-2.86452290535446	0.599996018231961	68	55	1.04068321802874e-05	0.000457050611885379
Chitinivorax	Treatment	A- T+ P+	1.72050513664269	0.378981628800282	68	14	2.44890636153436e-05	0.000928358138872569
Unknown_Family_Genus	Treatment	A- T+ P+	1.72403921441828	0.397288964230389	68	13	5.01011527548869e-05	0.00174101505823232
Candidatus_Berkiella	Treatment	A- T+ P+	1.75881416959937	0.411476859567019	68	17	6.30217842647513e-05	0.00175200560256009
Parachlamydiaceae_Genus	Treatment	A- T+ P+	1.22897370885946	0.285643217633402	68	17	5.7095621802639e-05	0.00175200560256009
Gemmobacter	Treatment	A- T+ P+	-1.9108229919177	0.446247681578823	68	57	6.13650843129482e-05	0.00175200560256009
Chthoniobacter	Treatment	A- T+ P+	1.54637153357607	0.381021636302565	68	12	0.000133223781094541	0.00347214479477647
Phreatobacter	Treatment	A- T+ P+	-2.07772663843968	0.522552696104021	68	67	0.000176349475517587	0.00406350492139965
Cetobacterium	Treatment	A- T+ P+	-1.99802103841131	0.504063522560751	68	68	0.000183832175083916	0.00406350492139965
Agromyces	Treatment	A- T+ P+	-2.99266704930527	0.755396192403518	68	29	0.000185147706250823	0.00406350492139965
Cloacibacterium	Treatment	A- T+ P+	-1.9181706448806	0.493527923922285	68	22	0.000238322105094523	0.00496901589122081
Chlamydiales_Genus	Treatment	A- T+ P+	2.04358522038467	0.55792916800564	68	32	0.000498212289678351	0.00989307260932726
Nocardia	Treatment	A- T+ P+	2.73783778909086	0.752012331843369	68	48	0.000535178725380707	0.0101440694765343
Paucibacter	Treatment	A- T+ P+	-1.58839967951198	0.437949043065036	68	68	0.000559505444477066	0.0101440769716059
Burkholderiales_Genus	Treatment	A- T+ P+	-1.10317034397923	0.305930003992107	68	26	0.000598523929555367	0.0103993532760245
