feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Vogesella	Treatment	A- T+ P+	5.73339093066058	0.629452430767848	236	74	4.36263040034347e-17	1.18183657545305e-13
Culicoidibacter	Treatment	A- T+ P-	-5.69212501504907	0.657596480042471	236	229	8.9652215840584e-16	1.21433926356071e-12
Acinetobacter	Treatment	A+ T- P+	5.20397277146391	0.634822145854251	236	136	1.77451373632441e-14	1.60238590390094e-11
Pararhodobacter	Treatment	A+ T+ P+	0.597282401012546	0.0784895741240875	236	8	7.19354473773221e-13	4.87182817362914e-10
Cloacibacterium	Treatment	A+ T- P-	3.22249069953684	0.442735822133851	236	85	5.40712650775591e-12	2.92958114190215e-09
Rhodovarius	Treatment	A- T- P+	1.51365560845168	0.209682682389486	236	22	7.73988600005347e-12	3.23517391745965e-09
X67.14_Genus	Treatment	A- T- P+	3.8375495018753	0.532555675854172	236	104	8.35962252573553e-12	3.23517391745965e-09
Caulobacter	Treatment	A+ T- P-	3.09913393762243	0.433715138874355	236	53	1.19808907983725e-11	4.0570291465989e-09
Dongia	Treatment	A+ T+ P-	0.481589487281304	0.0678319444838172	236	4	1.57246001735441e-11	4.73310465223678e-09
Tundrisphaera	Treatment	A+ T- P+	-5.27761889363777	0.749173867294011	236	168	2.1785819459039e-11	5.90177849145365e-09
Flavobacterium	Treatment	A+ T+ P-	-5.03196274178046	0.749954844937214	236	185	1.52483057802689e-10	3.75524185079531e-08
Gemmataceae_Genus	Treatment	A+ T- P-	4.52123186675325	0.685822835804876	236	157	2.97174157509722e-10	6.19265225149105e-08
Polymorphobacter	Treatment	A+ T+ P+	3.16698971582776	0.479894547316872	236	63	2.85750641326044e-10	6.19265225149105e-08
Polymorphobacter	Treatment	A- T- P+	2.81179753470032	0.43153047393055	236	63	4.57519975210108e-10	8.27153935290861e-08
Pseudoxanthomonas	Treatment	A+ T+ P+	3.00528410348424	0.461238434754345	236	49	4.58003286429048e-10	8.27153935290861e-08
Vampirovibrionaceae_Genus	Treatment	A+ T+ P+	4.0577803218917	0.635864701424829	236	111	9.68079772231692e-10	1.63908006435978e-07
Plesiomonas	Treatment	A- T- P+	-2.71453741487897	0.426863170178538	236	230	1.09491776403749e-09	1.74478366045738e-07
Unknown_Family_Genus	Treatment	A- T+ P+	1.66188358009081	0.263330882479719	236	17	1.42873157030169e-09	2.15024101330405e-07
Chthoniobacter	Treatment	A+ T+ P+	2.78177399765696	0.446611074451106	236	43	2.24332333318434e-09	3.19850679452441e-07
Halomonas	Treatment	A+ T- P+	2.32124112743297	0.381640175645328	236	48	4.95159115724076e-09	6.09720929316601e-07
Agromyces	Treatment	A- T- P+	-3.41395067587032	0.560989556053354	236	75	4.86438552192071e-09	6.09720929316601e-07
Agromyces	Treatment	A- T+ P-	-3.75348904476506	0.61674179267802	236	75	4.85367160825954e-09	6.09720929316601e-07
Flavihumibacter	Treatment	A+ T+ P+	2.66298773542361	0.439948111037774	236	42	5.7938504376513e-09	6.82414818939017e-07
Barnesiellaceae_Genus	Treatment	A+ T- P-	2.65503986159472	0.440262994669396	236	53	6.52979294920097e-09	7.3705037914106e-07
Uliginosibacterium	Treatment	A+ T- P+	1.61688458920453	0.269051885972873	236	20	7.30359152190602e-09	7.60978055109362e-07
Plesiomonas	Treatment	A- T+ P+	-2.66552275154723	0.443003935726732	236	230	7.02271722625544e-09	7.60978055109362e-07
Pseudomonas	Treatment	A- T+ P+	2.0892211148966	0.352773187262622	236	236	1.15967262490088e-08	1.1219832645916e-06
Candidatus_Megaira	Treatment	A+ T+ P+	2.68743210587344	0.45373528234019	236	64	1.15583519955384e-08	1.1219832645916e-06
Culicoidibacter	Treatment	A- T- P+	-3.50437656211445	0.598151060591197	236	229	1.61947249931407e-08	1.51281068987649e-06
Vogesella	Treatment	A- T- P+	3.50827649868233	0.606518449172182	236	74	2.38598621895803e-08	2.1545455557191e-06
Polyangiia_Genus	Treatment	A+ T- P+	-1.08727558972352	0.188758608919422	236	13	2.70381405923345e-08	2.36278460853658e-06
Flavobacterium	Treatment	A- T+ P-	-3.60817976604208	0.628065340016516	236	185	2.92508624051855e-08	2.47626832048898e-06
Paracoccaceae_Genus	Treatment	A+ T- P+	-2.92769763915424	0.511132372713528	236	224	3.19380139989276e-08	2.62182060373015e-06
Agromyces	Treatment	A+ T- P-	-3.38076738299594	0.592387039747936	236	75	3.55524168724735e-08	2.83269109728031e-06
Roseomonas	Treatment	A+ T- P+	-3.35942545593651	0.589596444510892	236	181	3.72694986516016e-08	2.88465919563397e-06
Culicoidibacter	Treatment	A- T+ P+	-3.52425862094234	0.620768650268395	236	229	4.14174676464878e-08	3.1166644403982e-06
Polyangiia_Genus	Treatment	A- T+ P+	-1.08727558972352	0.193192865041679	236	13	5.32718558821415e-08	3.90036371850598e-06
Agromyces	Treatment	A- T+ P+	-3.25987251595739	0.582201976172558	236	75	6.1636009872635e-08	4.39399870381495e-06
Acetivibrio	Treatment	A+ T+ P+	0.501918435891517	0.0901787670151609	236	6	7.29806189708622e-08	5.06934607159143e-06
Pseudomonas	Treatment	A- T- P+	1.88703823029408	0.339919962159883	236	236	7.84770346771563e-08	5.31485717351041e-06
Polyangiia_Genus	Treatment	A+ T- P-	-1.08727558972352	0.196572588390773	236	13	8.68976934869612e-08	5.74160613795556e-06
Rhodocyclaceae_Genus	Treatment	A+ T+ P+	2.68061050652029	0.487536889034015	236	66	1.02484062993734e-07	6.61022206309583e-06
Pseudomonas	Treatment	A+ T+ P+	2.06382445358147	0.378016724702827	236	236	1.24302006711862e-07	7.83102642284731e-06
Vibrio	Treatment	A+ T- P+	3.54894189581321	0.651915537276712	236	65	1.34428858644325e-07	8.27654041062445e-06
Rhodocyclaceae_Genus	Treatment	A- T- P+	2.38347509996359	0.438402615657471	236	66	1.39282922269535e-07	8.38483192062601e-06
Rubrivivax	Treatment	A- T+ P+	3.0676704775232	0.565223059978788	236	118	1.45907075847433e-07	8.59265801023251e-06
Vampirovibrionaceae_Genus	Treatment	A- T- P+	3.09186396573797	0.571781858109721	236	111	1.61053796563662e-07	9.08947364356165e-06
Candidatus_Megaira	Treatment	A- T- P+	2.2073538697975	0.408007556080833	236	64	1.58946868117864e-07	9.08947364356165e-06
Legionella	Treatment	A+ T- P+	-3.46853218602315	0.642660240297921	236	150	1.69440795260743e-07	9.36765539512966e-06
Legionella	Treatment	A- T+ P-	-3.75694366936158	0.696779637790219	236	150	1.73915982796774e-07	9.4227679479292e-06
Candidatus_Nomurabacteria_Genus	Treatment	A+ T+ P-	0.395552325172614	0.0739293977591564	236	4	2.13289076337968e-07	1.13294138784226e-05
Rubrivivax	Treatment	A+ T+ P+	3.21936716726911	0.605668961174843	236	118	2.53184357431657e-07	1.31094806380072e-05
Polyangiia_Genus	Treatment	A- T+ P-	-1.08727558972351	0.204654258822188	236	13	2.56479318499218e-07	1.31094806380072e-05
Paenirhodobacter	Treatment	A- T- P+	-2.92018598239324	0.552370291664971	236	188	2.91277088382286e-07	1.46124006005113e-05
Polymorphobacter	Treatment	A- T+ P+	2.35810941504866	0.447847721922924	236	63	3.22913124954979e-07	1.59049391909643e-05
Chitinivorax	Treatment	A+ T+ P+	2.3411057152841	0.444939525175365	236	44	3.28920935113337e-07	1.59115502361077e-05
Polyangiia_Genus	Treatment	A+ T+ P+	-1.08727558972352	0.20701724710343	236	13	3.44461436490272e-07	1.63709830079324e-05
Gemmobacter	Treatment	A+ T- P+	-2.48058361974109	0.480380212601015	236	194	5.2694123471486e-07	2.46117897386648e-05
Ensifer	Treatment	A- T+ P-	-3.28142028189824	0.641744433668507	236	159	6.70403119892628e-07	3.02687008631522e-05
Candidatus_Accumulibacter	Treatment	A+ T+ P+	0.507806468741887	0.0992992541643729	236	6	6.68437611031e-07	3.02687008631522e-05
Cloacibacterium	Treatment	A+ T- P+	-2.17220031986851	0.425136579768947	236	85	6.82819473394674e-07	3.03239008758389e-05
Dinghuibacter	Treatment	A+ T- P+	-3.13308315128695	0.61458742530228	236	162	7.21285503169174e-07	3.15155230336337e-05
Sphaerotilus	Treatment	A+ T- P+	-2.99292732489189	0.588742312194167	236	49	7.71700789836485e-07	3.31831339629689e-05
Dechloromonas	Treatment	A+ T- P+	-4.07919241507309	0.806946135372377	236	192	8.82804549268017e-07	3.73674613119853e-05
Paenirhodobacter	Treatment	A- T+ P+	-2.86428328722364	0.573256795810603	236	188	1.16201579429977e-06	4.84292428732012e-05
Polyangiia_Genus	Treatment	A- T- P+	-0.926107270092698	0.18615391913456	236	13	1.28488370168776e-06	5.27386355738204e-05
Paucibacter	Treatment	A- T- P+	-2.02515263823469	0.414153372422002	236	234	1.90468426785359e-06	7.58792600237557e-05
Rhizobium	Treatment	A+ T+ P+	-2.66123658115169	0.543980694569389	236	114	1.88472740006615e-06	7.58792600237557e-05
Aquihabitans	Treatment	A- T+ P-	-3.24852715204586	0.665505820882185	236	141	1.9811720799799e-06	7.77825386183413e-05
Paenirhodobacter	Treatment	A+ T- P+	-2.72631373243081	0.560099128440741	236	188	2.10996867854501e-06	8.16315110746338e-05
Gemmobacter	Treatment	A- T- P+	-2.3045749556495	0.473751421258598	236	194	2.13947481960096e-06	8.16315110746338e-05
Chitinimonas	Treatment	A+ T+ P+	1.50989972177752	0.312533233255075	236	22	2.49157722930877e-06	9.37455932527425e-05
Chthoniobacter	Treatment	A- T+ P+	2.01075052446302	0.416786882444841	236	43	2.56941294993253e-06	9.53498586488662e-05
Chitinibacter	Treatment	A+ T+ P+	2.08634882225318	0.432877359528579	236	68	2.6247824439563e-06	9.60883194686164e-05
Sphaerotilus	Treatment	A- T- P+	-2.76919461157323	0.580618226647728	236	49	3.29695506906331e-06	0.000115704085447823
Paenirhodobacter	Treatment	A- T+ P-	-2.89488652744118	0.607265928977713	236	188	3.33145760979335e-06	0.000115704085447823
Eremiobacteria_Genus	Treatment	A- T- P+	-1.24097610890634	0.259900796753429	236	24	3.21731175282341e-06	0.000115704085447823
Plesiomonas	Treatment	A+ T- P+	-2.06394810835492	0.432835895029387	236	230	3.31124707481611e-06	0.000115704085447823
Cloacibacterium	Treatment	A+ T+ P+	-2.21661848478535	0.466260081543119	236	85	3.53312241461676e-06	0.000121154792673377
Neochlamydia	Treatment	A+ T+ P-	2.53240726636918	0.533659482334068	236	48	3.67375126575054e-06	0.000124402402236477
Dinghuibacter	Treatment	A- T+ P-	-3.15107291908213	0.66634276829391	236	162	3.9554103093693e-06	0.000132286500346684
Pirellulaceae_Genus	Treatment	A- T+ P+	1.33510521058392	0.282540977402835	236	39	4.01896355897181e-06	0.000132772832698227
Halomonas	Treatment	A- T- P+	1.7599191306424	0.376373903168078	236	48	5.00962310589817e-06	0.000161560345165216
Sutterellaceae_Genus	Treatment	A- T+ P-	-3.66451498553855	0.783401145818582	236	171	4.97160574662767e-06	0.000161560345165216
Rhodocyclaceae_Genus	Treatment	A+ T- P+	2.07345964219059	0.444536801926386	236	66	5.27617114061489e-06	0.000168154677881479
Paucibacter	Treatment	A+ T+ P+	-2.13941132147212	0.460569895256572	236	234	5.74403716473808e-06	0.00018093717068925
