feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Plesiomonas	Treatment	A- T- P+	-2.68863169181409	0.323273315258808	73	72	4.32079962796093e-12	1.36537268243565e-09
Culicoidibacter	Treatment	A- T- P+	-3.48367007916289	0.492236864099943	73	72	8.47417587352715e-10	1.33891978801729e-07
X67.14_Genus	Treatment	A- T- P+	3.83754950187532	0.581130702637552	73	34	6.20893184916752e-09	6.54007488112312e-07
Vogesella	Treatment	A- T- P+	3.50827649868234	0.598258366281009	73	26	1.30913725946335e-07	1.03421843497605e-05
Polymorphobacter	Treatment	A- T- P+	2.45659663156249	0.448902786730551	73	21	6.30616722107613e-07	3.98549768372012e-05
Rhodocyclaceae_Genus	Treatment	A- T- P+	2.38347509996358	0.459290686358584	73	21	1.91727638321386e-06	0.000100976556182596
Pseudomonas	Treatment	A- T- P+	1.88703823029408	0.366876406559099	73	73	2.29177067996804e-06	0.000103457076409986
Paenirhodobacter	Treatment	A- T- P+	-2.75480277473179	0.555497106146841	73	56	4.65912191519627e-06	0.000172530909063892
Candidatus_Megaira	Treatment	A- T- P+	2.07617029076688	0.419833595347672	73	22	4.91385500498428e-06	0.000172530909063892
Gemmobacter	Treatment	A- T- P+	-2.09998042209298	0.442671398674416	73	58	1.05215385202422e-05	0.000332480617239654
Halomonas	Treatment	A- T- P+	1.54750314895169	0.332777784556395	73	17	1.49192686206798e-05	0.000362652991087293
Vampirovibrionaceae_Genus	Treatment	A- T- P+	2.67144476299654	0.572407479539269	73	35	1.40176444422309e-05	0.000362652991087293
Paucibacter	Treatment	A- T- P+	-2.00422427962451	0.430275682782688	73	72	1.44963871555588e-05	0.000362652991087293
Agromyces	Treatment	A- T- P+	-3.18528740433387	0.693063133532116	73	26	1.82425876768165e-05	0.000411761264705287
Acinetobacter	Treatment	A- T- P+	2.80980340084622	0.621675491827476	73	44	2.41477966051437e-05	0.000508713581815027
Rhodovarius	Treatment	A- T- P+	1.23878236934823	0.281734384639197	73	15	3.77508818055312e-05	0.000745579915659241
Cloacibacterium	Treatment	A- T- P+	-1.76525320009391	0.464874143598173	73	22	0.000305458042254507	0.00567792596190731
Tundrisphaera	Treatment	A- T- P+	-2.52922652639559	0.682741152180966	73	59	0.000415793778557988	0.00729949077912913
Chitinilyticum	Treatment	A- T- P+	-1.63330978652724	0.44936872638951	73	69	0.000522969771146018	0.00869781303590219
Azospira	Treatment	A- T- P+	1.26432981788167	0.354884187414378	73	11	0.000660751893907367	0.0102368259106704
Eremiobacteria_Genus	Treatment	A- T- P+	-1.05486011078982	0.296841120638114	73	11	0.000680295392797717	0.0102368259106704
Hyphomicrobiales_Incertae_Sedis_Genus	Treatment	A- T- P+	2.91833667559612	0.826466206139851	73	49	0.000731408347144342	0.0105056835317096
Sphaerotilus	Treatment	A- T- P+	-2.76919461157322	0.801142086153888	73	21	0.000927858194350199	0.0127479647571593
Citrobacter	Treatment	A- T- P+	1.03043412980776	0.302881382002858	73	11	0.00110187419344877	0.0145080102137421
