feature	Oleiharenicola	Halomonas	Hyphomicrobiales_Incertae_Sedis_Genus	Pseudorhodoplanes	Pedosphaeraceae_Genus	Exiguobacterium	Parachlamydiaceae_Genus	Fluviicoccus	Dechloromonas	Rhodovarius	Chitinophagales_Genus	Mycobacterium	SWB02	Blfdi19_Genus	Streptococcus	Chloroflexaceae_Genus	Beijerinckiaceae_Genus	Piscinibacter	Nitrospira	Rhodococcus	Frankiales_Genus	Bacillus	Pseudobdellovibrionaceae_Genus	Phaselicystis	Pedomicrobium	Reyranella	Luteolibacter	Babeliaceae_Genus	Ideonella	Paracaedibacteraceae_Genus	Sphingorhabdus	SH.PL14	Hyphomonadaceae_Genus	env.OPS_17_Genus	Lysobacter	Luteimonas	Terrimonas	Psychromonas	Sediminibacterium	Altererythrobacter	Crenobacter	Acinetobacter	Rubrivivax	Deinococcus	Aeromonas	Larkinella	Fimbriimonadaceae_Genus	Brevifollis	Pajaroellobacter	IS.44	Bacteroidia_Genus	Pseudomonas	Brevibacterium	Kocuria	Marmoricola	NS9_marine_group_Genus	Hyphomicrobium	Cytophaga	Gracilibacteria_Genus	Verrucomicrobiaceae_Genus	Candidatus_Protochlamydia	Armatimonadaceae_Genus	Microscillaceae_Genus	Fimbriiglobus	Paludibaculum	Xanthobacteraceae_Genus	Vampirovibrionaceae_Genus	Flavobacterium	Gammaproteobacteria_Genus	Devosia	Saprospiraceae_Genus	Ilumatobacter	Peptostreptococcus	Leeia	Brevundimonas	Chlamydiales_Genus	Emticicia	Agitococcus	Phreatobacter	Microtrichaceae_Genus	Ensifer	Novispirillum	Paucibacter	Unknown_Family_Genus	Telmatocola	Paracoccaceae_Genus	Nocardia	Paenirhodobacter	Nitrosomonas	Uliginosibacterium	Novosphingobium	Comamonadaceae_Genus	Candidatus_Berkiella	Pseudobdellovibrio	Chitinibacter	Sphingomonas	Gemmataceae_Genus	P3OB.42	Limnobacter	Cetobacterium	Shinella	Sutterellaceae_Genus	Fluviicola	Hydrogenophaga	Legionella	Burkholderiales_Genus	SM2D12_Genus	Turicibacter	Clostridium	Chitinilyticum	Sphaerotilus	Stagnimonas	Vibrio	Candidatus_Ovatusbacter	Vampirovibrio	Shewanella	Bryobacteraceae_Genus	Polyangiia_Genus	Granulicatella	Sphingobium	Roseomonas	Dinghuibacter	IMCC26207	Truepera	Caulobacter	Tetragenococcus	Abditibacterium	Chitinivorax	Enterovirga	Saccharimonadales_Genus	Fundidesulfovibrio	Sandaracinaceae_Genus	Leucobacter	Chryseotalea	Ga0077536_Genus	Rickettsiaceae_Genus	Verrucomicrobiia_Genus	Phenylobacterium	Opitutaceae_Genus	Gordonia	Chryseobacterium	Micrococcus	Micavibrionales_Genus	Microtrichales_Genus	Paracoccus	Sphingopyxis	Rhizorhapis	Gaiellales_Genus	Cytophagales_Genus	Kinneretia	X0319.6G20_Genus	Lactobacillus	cvE6_Genus	Pir4_lineage	JG30.KF.CM45_Genus	Candidatus_Nomurabacteria_Genus	mle1.27_Genus	Methylibium	Polymorphobacter	Dyadobacter	Caedibacter	Aquihabitans	Chitinophagaceae_Genus	Agromyces	Bosea	LiUU.11.161_Genus	Pararhodobacter	Ligilactobacillus	Neisseriaceae_Genus	TM7a	Mariniblastus	Holosporaceae_Genus	Parvibium	Afipia	Pseudolysobacter	Culicoidibacter	Undibacterium	Arthrospira_PCC.7345	Neochlamydia	Citrobacter	Loigolactobacillus	Glutamicibacter	Rhizobium	Candidatus_Megaira	alphaI_cluster	Haliangiaceae_Genus	NS11.12_marine_group_Genus	Dietzia	Candidatus_Finniella	Cellvibrio	Candidatus_Alysiosphaera	Geminicoccaceae_Genus	Bacilli_Genus	Gemmatimonas	TRA3.20_Genus	SM1A02	Aquicella	KD4.96_Genus	Curvibacter	Brucella	Alphaproteobacteria_Genus	Gemmata	CM1G08	Bradyrhizobium	Nocardioides	Aerococcus	Chloracidobacterium	Staphylococcus	Vicinamibacteraceae_Genus	Flavihumibacter	Kineosporiaceae_Genus	PB19_Genus	Anaerocolumna	Candidatus_Paracaedibacter	Thermodesulfobacteriota_Genus	Rhizorhabdus	Bdellovibrio	BIrii41_Genus	Kapabacteriales_Genus	SH3.11	Dechlorobacter	Aeromicrobium	CL500.3	Ruminiclostridium	Aquabacterium	Sphingomonadaceae_Genus	DEV007_Genus	Pyrinomonadaceae_Genus	Nevskiaceae_Genus	Vagococcus	Acetobacteroides	Variovorax	Blastocatella	Bryobacter	Candidatus_Obscuribacter	Trueperella	Oligoflexaceae_Genus	bacteriap25_Genus	Pirellula	Sandaracinus	Babeliales_Genus	Weeksellaceae_Genus	X67.14_Genus	Malacoplasma	RBG.13.54.9_Genus	Blastomonas	PeM15_Genus	Cypionkella	Caldilineaceae_Genus	OM190_Genus	Cloacibacterium	Enterococcus	Allomeiothermus	Paraconexibacter	Silvanigrellaceae_Genus	Defluviimonas	Microbulbifer	Rheinheimera	Terrisporobacter	Rhodovastum	Massilia	Parageobacillus	X11.24_Genus	Thermomicrobiales_Genus	Chloronema	Fuscovulum	Paraclostridium	Pseudomonadales_Genus	Methylorubrum	Candidatus_Captivus	Weissella	Gemmobacter	MBNT15_Genus	Runella	Brevitalea	Rhizobiaceae_Genus	Spirosomataceae_Genus	Sporichthyaceae_Genus	Gemmatimonadaceae_Genus	Rhodocyclaceae_Genus	Vibrionaceae_Genus	Leuconostoc	Stenotrophomonas	Planococcus	Armatimonadota_Genus	DEV114	Simkaniaceae_Genus	Arthrobacter	Azospira	Eremiobacteria_Genus	Hirschia	Plesiomonas	OLB12	Thermus	Sporomusaceae_Genus	Chitinimonas	Levilactobacillus	Lysinibacillus	Lactococcus	Rhodospirillaceae_Genus	Raineya	Barnesiellaceae_Genus	NB1.j_Genus	AAP99	Acidovorax	Pirellulaceae_Genus	Ferruginibacter	Rhodopseudomonas	Pediococcus	Methylocystis	Mesorhizobium	Hyphomicrobiales_Genus	Hassallia	Nannocystis	WY65	Chthoniobacter	Turneriella	Permianibacter	Pseudoduganella	Nordella	Sporocytophaga	Delftia	Steroidobacter	Elstera	Longivirga	Latilactobacillus	Serinicoccus	Roseicella	Marinomonas	Tundrisphaera	IMCC26134	Parcubacteria_Genus	Pseudoxanthomonas	Vogesella	Flectobacillus	Rubripirellula	Candidatus_Accumulibacter	Burkholderia.Caballeronia.Paraburkholderia	Lacibacter	Propionivibrio	Peptostreptococcaceae_Genus	Romboutsia	Opitutus	AKYH767_Genus	Lautropia	Methyloversatilis	Bordetella	Haliscomenobacter	Ramlibacter	Panacibacter	Niveibacterium	Blastococcus	Elsteraceae_Genus	Perlucidibaca	Obscuribacteraceae_Genus	Coxiella	Acetivibrio	Polyangiaceae_Genus	Aurantisolimonas	Agrobacterium	Anaerotaenia	Limosilactobacillus	CL500.29_marine_group
f106	0	21	207	21	176	0	7	0	673	27	0	1085	0	0	0	0	0	0	0	0	7	0	146	0	30	22	0	0	0	0	0	8	0	2157	0	0	0	0	0	0	1856	18	577	0	37891	0	0	0	0	0	0	5677	0	0	0	0	0	0	0	0	49	0	7	15	0	0	151	256	271	31	0	0	0	0	0	0	0	0	458	0	114	0	1871	0	0	1779	113	442	0	0	0	456	0	0	0	0	162	0	0	4182	0	615	428	0	159	0	0	0	108	202	0	0	0	0	0	551	0	0	0	0	60	125	38	0	0	0	0	4	0	0	0	0	7	101	0	0	33	0	0	86	0	0	0	64	0	0	0	0	6	0	54	0	0	70	7	0	0	0	96	0	0	234	0	0	45	0	0	0	0	0	0	0	0	0	0	657	0	0	0	0	0	0	23	22	10	0	0	0	0	244	8	0	0	0	0	0	0	0	0	0	0	32	0	32	0	0	0	0	0	17	0	0	0	0	0	0	201	0	0	133	0	0	0	0	0	0	0	0	0	0	14	0	0	0	15	0	0	0	44	0	0	0	165	19	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	105	0	0	0	0	0	237	0	0	0	112	0	0	0	561	0	0	0	3	0	0	0	0	86	0	0	25	0	0	0	0	0	0	10	0	0	0	0	0	0	25	0	47	0	0	8	7	0	0	0	11	0	0	0	0	0	0	0	0	77	0	0	5	0	412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	322	0	0	0	0	0	0	0	254	0	0	0	0
f107	0	0	7	0	0	0	0	0	183	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	559	8	21	0	83511	0	0	0	0	0	0	4039	0	0	0	0	0	0	0	0	0	0	0	8	0	0	6	34	17	0	0	0	0	0	0	0	0	0	42	0	14	6	563	0	0	91	0	28	0	0	0	133	0	0	0	0	0	0	0	380	0	51	20	0	0	7	0	0	0	89	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	149	15	10	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	7	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	13	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272	0	0	0	0	0	0	0	29	0	0	0	0
f108	0	0	77	0	19	0	2	0	176	6	0	106	0	0	0	0	0	0	0	0	0	0	20	0	0	2	0	0	0	0	0	4	0	263	0	0	0	0	0	0	1125	10	157	0	58065	0	0	0	0	0	0	1706	0	0	0	0	0	0	0	0	6	0	4	0	0	0	0	111	38	0	0	0	0	0	0	0	0	0	86	0	18	3	223	0	0	306	8	95	0	0	0	71	0	0	0	0	0	0	0	4016	0	135	52	0	9	0	0	0	5	92	0	0	0	0	0	371	0	0	0	0	14	42	0	0	0	0	0	4	0	0	0	0	0	9	0	0	12	0	0	0	0	0	0	11	0	0	0	0	0	0	8	0	0	0	3	0	0	0	15	0	0	27	0	0	9	0	0	0	0	0	0	0	0	0	0	247	0	35	0	0	0	0	0	7	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	12	0	23	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	9	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	23	0	0	0	15	9	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	21	0	0	0	107	0	0	0	0	0	0	0	0	33	0	0	15	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	77	0	0	0	0
f109	0	0	0	0	0	0	0	0	60	0	0	17	0	0	71	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	547	11	16	0	71459	0	0	0	0	0	0	1448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	10	0	0	0	0	0	0	0	0	0	9	0	0	2	298	0	0	70	0	0	0	0	0	88	0	0	0	0	0	0	0	773	0	64	6	0	41	0	0	0	0	59	0	0	237	0	0	117	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	5	0	0	0	0	0	0	0	0	0	0	0
f110	0	3	0	0	0	0	0	0	41	0	0	0	0	0	24	0	0	0	9	25	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	3	0	1710	0	0	0	62793	0	0	0	0	0	0	1569	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	143	2	0	0	0	0	0	0	0	0	0	19	0	9	3	246	0	0	82	0	10	0	0	0	76	0	0	0	0	0	0	0	998	0	72	7	0	0	0	2	0	0	56	0	0	0	0	0	737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	5	0	0	7	0	0	0	0	0	0	0	0	0	0	132	7	28	0	0	0	0	0	0	0	6	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	7	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	26	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	15	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	76	0	0	0	0	0	0	0	26	0	0	0	0
f138	7	0	1423	19	135	0	3	0	890	21	0	222	0	0	0	0	0	0	8	0	0	0	102	0	13	0	53	0	0	0	0	42	5	437	0	133	0	0	13	0	536	292	117	0	32191	62	0	29	42	0	173	22817	0	0	0	25	0	6	0	0	0	0	35	21	0	0	13	88	65	40	23	0	0	0	0	12	0	21	225	0	257	0	393	0	18	623	155	125	41	0	4	282	0	0	0	0	101	6	0	255	12	50	30	0	92	0	0	0	96	51	0	0	0	0	0	20	0	0	0	0	87	51	9	0	0	0	0	11	0	0	0	2	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1264	0	47	0	12	53	4	0	0	0	56	0	0	95	0	0	181	5	0	0	18	0	0	0	0	0	0	17	0	0	15	27	0	0	25	27	34	692	0	0	0	65	0	0	0	0	0	0	0	0	39	0	0	19	0	54	0	0	0	0	0	16	0	0	0	0	0	0	33	0	25	72	41	0	0	0	126	0	0	9	0	0	6	0	0	0	10	0	10	0	0	0	0	0	49	8	0	0	24	0	0	39	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	199	0	0	0	0	0	135	0	8	0	56	44	3	0	77	0	0	0	0	0	0	0	0	50	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	88	42	0	0	5	0	314	0	0	10	571	0	0	0	0	0	0	14	0	6	0	0	0	0	314	0	0	645	0	0	0	0	0	0	0	89	0	0	0	0
f139	0	0	1346	14	62	0	0	0	269	14	0	112	0	0	15	0	0	0	0	0	0	0	42	0	0	9	70	0	0	0	0	58	0	10	0	3	0	0	0	0	99	283	0	0	51648	0	0	7	0	0	0	11460	0	0	0	6	0	0	0	0	0	0	28	0	0	0	22	12	37	23	0	0	0	0	0	18	0	0	116	0	126	0	163	0	0	248	22	74	0	0	0	104	0	0	0	0	37	0	0	205	0	0	0	0	57	0	0	0	83	40	0	0	6	0	0	0	0	0	0	0	81	25	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	18	0	13	30	9	0	0	0	23	0	0	22	0	0	110	0	0	0	69	0	0	0	0	0	0	0	0	0	6	13	0	0	15	7	23	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	25	9	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	56	0	0	0	0	0	74	0	0	0	10	0	3	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	13	0	0	5	0	190	0	0	0	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	0	0	0	0	0	0	0	19	0	0	0	0
f140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	15	0	0	0	1124	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0	0	0	2	0	0	2923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	44	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	43	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	118	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	11	0
f166	2	8	34	0	18	0	0	0	8	0	0	31	0	0	0	0	0	0	7	0	0	0	0	0	0	0	8	0	0	0	0	0	0	14	0	0	0	0	0	0	639	14	0	0	18566	0	0	27	0	0	36	681	0	0	0	0	0	0	0	0	5	0	0	0	0	0	57	110	51	9	5	0	0	0	0	0	21	0	66	0	0	0	117	0	0	89	13	0	2	0	2	7	0	0	0	0	43	0	0	29399	0	10	29	0	7	0	0	0	0	33	0	0	0	0	0	1321	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	14	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	4	2	0	0	0	0	0	0	0	5	0	0	7	0	0	0	0	0	0	0	0	0	0	382	0	2	0	0	0	0	0	0	0	3	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	6	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	2	0	0	6	0	9	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
f167	0	14	12	0	0	0	0	0	0	0	0	84	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	510	5	19	0	29870	0	0	0	0	0	0	1279	0	0	0	0	0	0	0	0	4	0	0	0	0	0	117	249	70	0	0	0	0	0	0	8	0	0	171	0	0	0	120	0	0	119	20	0	0	0	0	0	0	0	0	0	123	0	0	31390	0	9	94	0	8	0	0	0	5	93	0	0	0	0	0	1039	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	17	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	437	0	0	0	5	0	0	0	3	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0
