feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Culicoidibacter	Treatment	A- T+ P-	-5.69212501504909	0.631104422988197	107	103	1.11627435456968e-14	1.0716233803869e-11
Flavobacterium	Treatment	A+ T+ P-	-5.03196274178047	0.675438976714666	107	70	2.98125856343243e-11	1.43100411044756e-08
Gemmataceae_Genus	Treatment	A+ T- P-	4.52123186675325	0.639652231547532	107	71	1.92572111960837e-10	6.16230758274678e-08
Flavobacterium	Treatment	A- T+ P-	-3.6081797660421	0.565660470673032	107	70	5.1584151123568e-09	1.23801962696563e-06
Legionella	Treatment	A- T+ P-	-3.61493089879427	0.640439495505188	107	75	1.4704748979628e-07	2.82331180408858e-05
Caulobacter	Treatment	A+ T- P-	2.88393807565903	0.515242831922368	107	43	1.8123778718469e-07	2.89980459495504e-05
Ensifer	Treatment	A- T+ P-	-3.02628751534885	0.554472149301082	107	74	3.34142466337675e-07	4.58252525263097e-05
Acinetobacter	Treatment	A- T+ P-	2.97063464796193	0.549924753542205	107	44	4.2653364194486e-07	5.11840370333832e-05
Aquihabitans	Treatment	A- T+ P-	-3.19826474805876	0.600978346850353	107	59	6.03277530566277e-07	6.43496032604029e-05
Cloacibacterium	Treatment	A+ T- P-	2.89668939893544	0.570419664305024	107	74	1.70236681830309e-06	0.000163427214557097
Agromyces	Treatment	A- T+ P-	-3.55804261314018	0.711942075980075	107	30	2.38506094524475e-06	0.000208150773403179
Vampirovibrionaceae_Genus	Treatment	A+ T+ P-	2.86870259570733	0.579792553020648	107	31	2.93447536165718e-06	0.000234758028932574
Paenirhodobacter	Treatment	A- T+ P-	-2.72193121005082	0.556084875772229	107	93	3.65343824876159e-06	0.000269792362985471
Dongia	Treatment	A+ T+ P-	0.48158948728132	0.100921356187658	107	4	6.04194868877013e-06	0.000414305052944237
Bosea	Treatment	A+ T+ P-	-2.7169808382575	0.574733769012778	107	97	7.2379709748503e-06	0.000463230142390419
Agromyces	Treatment	A+ T- P-	-3.20977491248431	0.683827922590636	107	30	8.28675344858433e-06	0.00049720520691506
Flavobacterium	Treatment	A+ T- P-	-2.53691093739672	0.54332288763729	107	70	9.14760673316871e-06	0.000516570733167174
Dinghuibacter	Treatment	A- T+ P-	-2.44630936628395	0.536599672734769	107	79	1.4202169707004e-05	0.000757449051040212
Barnesiellaceae_Genus	Treatment	A+ T- P-	2.65503986159469	0.593351337533272	107	36	1.97894296403852e-05	0.000999886971303672
Bacteroidia_Genus	Treatment	A+ T- P-	-2.92696796794397	0.661053150453968	107	36	2.37664409777985e-05	0.00114078916693433
Sutterellaceae_Genus	Treatment	A- T+ P-	-3.05745207674873	0.69535475059368	107	67	2.67823047921806e-05	0.00122433393335683
Cytophagales_Genus	Treatment	A+ T- P-	-3.12072850499099	0.736090498948325	107	42	4.89531518379845e-05	0.00213613753474841
Rhodococcus	Treatment	A- T+ P-	-1.9560666316248	0.483288922285415	107	35	0.000100377073976412	0.00418965178336327
Polyangiia_Genus	Treatment	A+ T- P-	-1.08727558972349	0.270925542534862	107	11	0.00011381522584145	0.00455260903365799
alphaI_cluster	Treatment	A+ T+ P-	1.92300420411123	0.489811362457049	107	28	0.000156276527013239	0.00600101863730837
Neochlamydia	Treatment	A+ T+ P-	2.53240726636921	0.650377708744681	107	30	0.000175532182603801	0.00648118828075571
Polyangiia_Genus	Treatment	A- T+ P-	-1.08727558972349	0.282064079012117	107	11	0.000201864663327501	0.00717741025164448
Chlamydiales_Genus	Treatment	A+ T+ P-	2.44261975752438	0.642235417570535	107	45	0.000242319148560694	0.00830808509350951
Pseudorhodoplanes	Treatment	A+ T- P-	1.31575259866695	0.349739631338802	107	24	0.000280218373448369	0.00917737106375109
Crenobacter	Treatment	A+ T+ P-	-2.19189680222831	0.583888490207106	107	106	0.000288328302631795	0.00917737106375109
