gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gbp1	4447.724187592934	3.7750000827350263	0.4167035782817811	9.059197663482303	1.3141360592566458e-19	2.5504752638052982e-15
zgc:110540	174.68746132794467	2.9207072341625993	0.34212352343375374	8.53699624290273	1.3775603231437972e-17	1.3367845375787408e-13
ercc6l	250.81595830390816	2.7024421834856867	0.32030954116855637	8.43697060545437	3.256683238755855e-17	2.1068569432591208e-13
tapbpl	718.4779507496936	1.9740526208548084	0.23519737316634703	8.393174610239496	4.731880324923529e-17	2.2959083336528966e-13
batf2	462.48958928495	4.567710078134889	0.5615889964122444	8.13354625413971	4.1691090867216905e-16	1.6182813831018914e-12
LOC101885672	1001.4550333110907	4.689232866758211	0.5810329914228947	8.070510514858587	7.000483469848772e-16	2.2644230530470825e-12
gbp2	978.2952409762415	2.7379497370355246	0.34165899969836633	8.013691251958015	1.1131594622509493e-15	3.0863141204809176e-12
pcna	2492.457445619841	1.8328244750783151	0.2300765438375584	7.966150936152577	1.6369298939257957e-15	3.971191922663981e-12
zgc:101715	456.289851159299	2.319145389433472	0.29378925582216475	7.89390811091229	2.9286783140816314e-15	6.315532079966256e-12
anxa3b	3058.488817189106	2.2002528041850797	0.2870085742866799	7.6661570465394755	1.772261731749042e-14	3.4396055689785405e-11
irf10	568.7360864203528	2.642525264693892	0.34799420790637087	7.5935897916004205	3.1116239093087827e-14	5.4900360756240776e-11
dut	513.0327126405361	2.1289939146057875	0.28106316786793817	7.574788012088898	3.597145216694472e-14	5.817782863800526e-11
rab40b	383.74487788796876	-2.0965899057292487	0.282181995636301	-7.429920895560976	1.0866264393392736e-13	1.6222496872843555e-10
rfc4	296.2963165417897	1.602370759285588	0.21771540233161715	7.359932931363799	1.8400265339179848e-13	2.5508024978771603e-10
ncapd3	225.59768723784748	2.4916230855760153	0.34102420384193616	7.306293974168696	2.746110309314508e-13	3.5531005922117316e-10
smc2	410.24843513878375	2.162799773361519	0.2985797578056914	7.243624917028091	4.368485076569319e-13	5.298972397878584e-10
zgc:194101	958.8616894849764	3.671732528360138	0.5134563651572501	7.15101180454865	8.614058163170173e-13	9.834214166518043e-10
acp2	1703.1008199718494	-1.554233651549901	0.21858094386062538	-7.110563364301935	1.155702271926176e-12	1.1944299774853694e-9
klhdc3	784.358651056622	-0.8911832895240102	0.12536080923604012	-7.108946527666502	1.169320361305751e-12	1.1944299774853694e-9
nup93	792.8134816663966	1.3396250328177508	0.18891314139349458	7.091222044883545	1.3293285370239975e-12	1.241831910429641e-9
rpa1	798.6995728730617	1.2813843404535552	0.18073799098246426	7.089734335809227	1.343696935234051e-12	1.241831910429641e-9
lgals9l1	1992.3675879247799	2.2211318090025425	0.3136524236416926	7.081506921623213	1.4259524524275744e-12	1.25794932712338e-9
ncapg	255.13083226917814	2.991102992944361	0.42357714108717576	7.061530717326332	1.646783301054734e-12	1.3895987089943598e-9
lig1	708.7757622568467	1.6705055280412757	0.23797374926607953	7.019705043910015	2.223371067625452e-12	1.7979660700197822e-9
mybl2b	197.63029079550154	2.4063439282711387	0.3454874411610775	6.96506917931417	3.282424142235058e-12	2.5482115100999207e-9
LOC795715	181.5977463567015	5.444862959774959	0.7862603015557768	6.925013190925682	4.359348991939291e-12	3.237454290532346e-9
socs1b	245.36185321204235	2.8402374351860953	0.4105508664674526	6.918113362236107	4.576979846191659e-12	3.237454290532346e-9
znf367	286.2650923025948	2.0641314564842794	0.2984901717368817	6.915240942351047	4.6706883828784874e-12	3.237454290532346e-9
mki67	1221.3518866270879	2.084226665588249	0.30311181108934243	6.876098486884504	6.151398073165049e-12	4.116770131171975e-9
LOC101886833	177.47941213104332	3.8960908372298637	0.5672602462218965	6.868259962122959	6.4989712095364926e-12	4.204401107822808e-9
hapstr1b	1690.0953674231446	-0.6688363594919566	0.09770901434019627	-6.8451858204530645	7.637666603532893e-12	4.78167204649569e-9
prpf40a	1222.6135870898286	0.7292365894319399	0.10714859981731524	6.805843386430283	1.0045895270728145e-11	6.09283548169662e-9
ube2t	118.62882928877917	3.1302518957030974	0.4621361200438962	6.7734413302422	1.2575458622081852e-11	7.3958939677989265e-9
