gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
LOC137487668	17.220098171276273	-23.058244404601336	2.858066205462258	-8.067778262285545	7.158890978669963e-16	1.4722259297634778e-11
cpdb	10.438667587907993	-18.346966802237322	2.499838363510346	-7.339261237864186	2.1477603768651396e-13	2.20843460751158e-9
LOC141381605	29.875267397145475	-23.608950982584084	4.270126928465813	-5.528863984159458	3.223111126451544e-8	2.2094426771825332e-4
lhx8a	5.454771393395816	-17.39643727139818	3.2670422824098515	-5.324827708861526	1.0104877142868923e-7	5.190371583263932e-4
nots	4683.87468930656	-8.893052569391173	1.6829233871032063	-5.284288421886314	1.261943005899327e-7	5.190371583263932e-4
LOC137491340	12.617771433396191	18.833324137404844	3.621548323390324	5.200351467290092	1.989120247910314e-7	6.817709649712601e-4
vtg5	206858.02178736083	-8.782089102313316	1.6998307519357985	-5.166449125780383	2.385831025670681e-7	7.009230720416794e-4
rcn3	1094.7996497025554	-4.672496355753965	0.9386429733099244	-4.977927165722449	6.426882985635705e-7	0.0016521106074949784
rtn1a	2599.0543620897542	-3.8338397417947214	0.7866365384807639	-4.873711751553062	1.0952075703458019e-6	0.002502549298240157
mthfr	364.4624886733169	-2.609052164515837	0.5450965886677771	-4.786403398510332	1.6979660780318828e-6	0.003491867239472567
mboat2a	222.02003834391044	-2.0775334778586396	0.44215153284628755	-4.698691112716072	2.618341064408001e-6	0.0037878138327834604
slc43a1a	246.46297479545396	-2.340774085443585	0.49655424863774666	-4.7140349556272945	2.428589730866781e-6	0.0037878138327834604
slc7a1b	173.7309239612511	-2.0487176326633834	0.43704031725220077	-4.687708551797384	2.7628109648311164e-6	0.0037878138327834604
vtg7	141150.31758096867	-9.383166374312504	1.9827430103854182	-4.73241682112325	2.218622306132708e-6	0.0037878138327834604
vtg8	134.4625249808187	-6.245018880139402	1.320857169106975	-4.7280046822637365	2.267369578246968e-6	0.0037878138327834604
LOC141380276	860018.8317810098	-9.575074382401276	2.0768254329931537	-4.61043775287436	4.018219463371689e-6	0.005164667704014924
ifi44a8	16524.87982044576	-3.598611166762652	0.7844324048814079	-4.587535069139192	4.485101044368796e-6	0.005425653116320253
manf	912.6382199044181	-1.8173805112460841	0.4006290500998523	-4.536317350908833	5.724502124586559e-6	0.005989482835143972
vtg3	31564.282213738014	-9.484528824111447	2.084193415410827	-4.550695129339471	5.346897467753816e-6	0.005989482835143972
vtg4	215496.25296937447	-9.383325992062998	2.0701650258204496	-4.532646371196514	5.824928602133695e-6	0.005989482835143972
zgc:173544	7.491960732316896	-19.039271684536093	4.249566758231489	-4.480285348537395	7.4543313724960935e-6	0.007299920222637246
slco1c1	34.18740890904329	-4.150795154513513	0.9327347848788651	-4.450134402409555	8.581656655379357e-6	0.008021898596267112
LOC141385619	33.47176467341598	-4.867600995411557	1.1147885596887899	-4.366389440496611	1.2631717921466853e-5	0.010835926153331777
vtg6	107962.01187507961	-9.421015832319128	2.1577424102308997	-4.366144813046051	1.2645865678578295e-5	0.010835926153331777
fam20cl	779.3140158000156	-9.002388657678585	2.0956183153741357	-4.2958150306447225	1.740526679743533e-5	0.013520347960057643
LOC103910189	278.2744705037869	-2.405320715352006	0.5596164818919908	-4.298159173618205	1.7222247061933993e-5	0.013520347960057643
vtg2	248904.83183230067	-9.163328776765233	2.135252283415369	-4.291450170987921	1.7751003886290124e-5	0.013520347960057643
cxcl18b	288.4207206342253	-2.5138516123805963	0.5898293842446435	-4.261997926061151	2.0260732411790046e-5	0.014570791864988556
LOC108184065	17.248951905264892	-18.926226126948567	4.4439650883848785	-4.25886021841525	2.0547190084350504e-5	0.014570791864988556
reep2	88.44767089899774	-2.2955732628314034	0.5426677322131671	-4.230163554168486	2.3352146500843208e-5	0.01600789642632802
elmo2	65.56363192889476	1.7796656581106505	0.4230409596918732	4.206840064392088	2.58966278072479e-5	0.017179488737292033
LOC100538242	25.45917946836724	6.291687407903143	1.514926954901826	4.1531292235214545	3.2795941218493485e-5	0.0204378342775248
LOC101883092	185.90125493529698	-2.630152871392402	0.6328992708520775	-4.155721127394262	3.2426315035393054e-5	0.0204378342775248
LOC101883008	99.63295382537211	0.7677287864025559	0.18767081786637677	4.090826667304159	4.298383033032807e-5	0.025256070592662765
plaub	41.21736516297505	3.8171440373433683	0.9322068593888165	4.094739272618102	4.226437351420315e-5	0.025256070592662765
gpam	228.23753124364782	-1.7151188425731465	0.42123460247568756	-4.071647562885431	4.668177455745737e-5	0.025521527154539172
LOC795984	16.367000167572858	-16.617513511829817	4.083649684063183	-4.069279883796395	4.715866918903421e-5	0.025521527154539172
mcfd2	1526.3516324204622	-1.5832428400582643	0.38849530216755973	-4.075320425304409	4.5951030440236934e-5	0.025521527154539172
polr3k	165.07570993121524	-1.4148745219687002	0.3488155127453288	-4.056225913902241	4.9872023858163905e-5	0.02629790181136258
ankrd66	4.739290135244086	15.951596734433723	3.9944581207283854	3.9934319630631063	6.512377134581573e-5	0.03291469453862945
LOC141380546	16.170184823007105	-4.7074025376974316	1.1793190217228344	-3.991627753803647	6.56213214725897e-5	0.03291469453862945
cxcl11.4	78.59427548845805	-3.36066138395002	0.849938218127958	-3.9540066704519847	7.685326524492274e-5	0.03763065237528181
zgc:56106	246.9271041496331	-0.7817616036267346	0.19834251239088582	-3.9414727291851017	8.098284352068469e-5	0.03873051574425304
fam20ca	47.82610850055174	-4.7308984908581975	1.2198583653143895	-3.8782358881794616	1.0521667149657707e-4	0.047038714115806686
lmf2b	469.62383934324527	-1.9434818759435681	0.5006850917102297	-3.8816451860091608	1.0375218040835436e-4	0.047038714115806686
LOC137491221	21.183596302640368	-2.0946807809992527	0.5395223498543198	-3.882472675255904	1.033996384416597e-4	0.047038714115806686
sec61a1b	1679.5896620764718	-1.277227542528698	0.3307559756273647	-3.861540339841492	1.126744035172021e-4	0.049301044858111945
