gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
dut	513.0327126405361	3.22518033504406	0.2768065600812947	11.651386925573094	2.2575438017705682e-31	2.3213194141705868e-27
pcna	2492.457445619841	2.6441228489039275	0.22664971769465694	11.666120195508455	1.8988721059108774e-31	2.3213194141705868e-27
ercc6l	250.81595830390816	3.5601848915533094	0.315690083094457	11.277468258285685	1.6955556370891153e-29	1.1623033892245886e-25
zgc:110540	174.68746132794467	3.739019677111136	0.3373657894248756	11.082984091200327	1.5172968112275665e-28	7.800802230723726e-25
lig1	708.7757622568467	2.5692892349417784	0.23435052821282015	10.963445461529048	5.727637403859964e-28	2.3557772642076033e-24
rfc4	296.2963165417897	2.3196107003780795	0.2143117527285213	10.823534737809917	2.6630442558659806e-27	9.127584186980649e-24
smc2	410.24843513878375	3.114424188224038	0.2940959381966057	10.589823876255029	3.322163248528115e-26	9.760041029425812e-23
nup93	792.8134816663966	1.9432314349643127	0.18604384512937683	10.445018665427868	1.5442500860090202e-25	3.9696878773469376e-22
mki67	1221.3518866270879	3.070565657834996	0.29859523428548995	10.283371284148483	8.374594429491533e-25	1.9135948271388153e-21
rpa1	798.6995728730617	1.8031370421998805	0.1780005847010379	10.129950107907518	4.0685698353777e-24	8.36701386645424e-21
vrk1	386.4051489172818	2.02168572568608	0.20114596457205855	10.050839100785593	9.108847031465887e-24	1.7029403563826905e-20
gbp1	4447.724187592934	4.112567882937803	0.41057013036517004	10.016724497907326	1.2869757612674723e-23	2.2055547108721305e-20
lsm8	255.35885680101904	1.6586869805828637	0.16826246617961563	9.857736061067001	6.346418400782659e-23	1.0039545724007338e-19
hmgn2	7749.881000763982	2.4213770329890174	0.24640328605022804	9.82688612559912	8.624423334693198e-23	1.2668661848426115e-19
cirbpa	6839.512091841875	1.5657549202742578	0.15993442487758988	9.789980621574438	1.2431971132777436e-22	1.6551403657905128e-19
seta	2331.190265145165	1.5020019483649525	0.15347816430271358	9.786421118527779	1.287733812431228e-22	1.6551403657905128e-19
