gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
LOC101885452	27.724968402394037	-21.142035296327414	1.801803330954582	-11.7338196312061	8.551093036957887e-32	1.7585322830503897e-27
LOC101887118	8.030694579910808	-19.264622774499017	2.417675792296529	-7.968240752495488	1.6094908272728667e-15	1.6549589431433253e-11
mhc2dgb	256.447144092134	-26.073807504861993	3.98315355167894	-6.546021178086799	5.90902046098931e-11	4.050633526008172e-7
LOC137495296	226.20290357865485	-10.772530533988688	1.9066488051832888	-5.649981530265669	1.604650771446528e-8	8.249910778699462e-5
LOC137491340	12.617771433396191	19.54784154204795	3.6210879914756338	5.398333757165063	6.726265285212633e-8	2.766512911807956e-4
LOC101882702	378.81272358429493	-4.802515306183126	0.9130216798351475	-5.260023296544562	1.4403715165758167e-7	4.936873373063612e-4
si:dkey-211g8.5	198.63263829629415	-3.7360702309520675	0.7175508853489465	-5.206697263198565	1.9223132607350469e-7	5.647481743859462e-4
ly6m5	279.8043214383287	-4.637713444065732	0.9007406021882784	-5.1487780530807346	2.621888991099227e-7	6.739893387744451e-4
pld4	132.5807852328861	-3.028742421207158	0.603317889142809	-5.0201435689407115	5.16328742456504e-7	0.0011798111765131116
stat1b	2635.37965225865	-2.725502174452598	0.5470505560897085	-4.982176042255324	6.287319468860653e-7	0.0012929872487711933
ftr11	142.86509888597325	-2.4916708730253143	0.511237144119859	-4.8738064158365315	1.0946826260333586e-6	0.0016200359451750974
LOC100001589	553.6138157842508	-2.3843294993423605	0.4894017955758216	-4.871926341293865	1.10515374203767e-6	0.0016200359451750974
mxa	305.1671470727048	-2.6581787643251964	0.5414741422906484	-4.909151807471463	9.14711516617742e-7	0.0016200359451750974
si:ch211-217k17.11	6447.324346032774	-2.6579838496931716	0.5484910724322567	-4.8459929127131876	1.2598001337818306e-6	0.0016200359451750974
si:ch211-271e10.3	2015.3053378095199	-2.870609402135032	0.5880348704402761	-4.881699277435259	1.0517556385613514e-6	0.0016200359451750974
