gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gbp1	4447.724187592934	4.32037772658829	0.4105693479165958	10.522893997108483	6.775974835082674e-26	1.3663753254944213e-21
pcna	2492.457445619841	2.3322557779062474	0.2266815485385694	10.2886882189682	7.924862196786791e-25	7.990242309910281e-21
zgc:110540	174.68746132794467	3.403983183124794	0.3376651780867409	10.080942318104132	6.707968460177717e-24	4.508872799982789e-20
dut	513.0327126405361	2.754007964044277	0.27696401762466294	9.94355868918851	2.6904032122015526e-23	1.3562995193511078e-19
tapbpl	718.4779507496936	2.2930419985488544	0.2318020665134966	9.892241398181593	4.498413745070614e-23	1.8142102633869786e-19
LOC101885672	1001.4550333110907	5.585392127016699	0.5726586720633727	9.75344022450881	1.7832070492973139e-22	5.993061691513389e-19
ercc6l	250.81595830390816	2.9294399382598466	0.3160732039151903	9.268232491628373	1.8925600679571606e-20	5.451924824336592e-17
rab40b	383.74487788796876	-2.479981113930688	0.27853618007040015	-8.903622909253196	5.405285965747023e-19	1.362469893741109e-15
gbp2	978.2952409762415	2.9812984078889344	0.3366924920037605	8.854662573989433	8.3937342381826e-19	1.8806627879216903e-15
irf10	568.7360864203528	3.0210203649215206	0.34298324722702356	8.808069750770892	1.2731920673732998e-18	2.567391803858259e-15
lig1	708.7757622568467	2.061570753811991	0.2345056828960983	8.791133452938132	1.4805856971862567e-18	2.714182780341897e-15
dnmt1	773.4252283570987	2.4860253785247592	0.28319268432605904	8.778564970493477	1.6557362819323035e-18	2.782326843763742e-15
irf8	1095.9939022079923	3.2772561615711826	0.3752566329601823	8.733373040521114	2.471881487283488e-18	3.834268476236272e-15
pold2	116.2317196873633	2.8623342686899442	0.33068425034909815	8.655792544302376	4.894982666864088e-18	6.580488365154289e-15
rfc4	296.2963165417897	1.8594196599330204	0.21471063510620297	8.660119043536385	4.712718433758152e-18	6.580488365154289e-15
smc2	410.24843513878375	2.5239542099301375	0.2943254835541589	8.575384568987566	9.875625475308966e-18	1.2446374231850331e-14
anxa3b	3058.488817189106	2.4101494811308495	0.2827862809106101	8.52286565447886	1.5565329760701724e-17	1.743749303469724e-14
batf2	462.48958928495	4.72175712721338	0.5537697761611542	8.52657066253339	1.50750104145884e-17	1.743749303469724e-14
mybl2b	197.63029079550154	2.882117686049576	0.34068878502865135	8.459678782226995	2.6811501123833795e-17	2.845546948221623e-14
ncapd3	225.59768723784748	2.840863406429635	0.3363270531601043	8.446728800841594	2.9957855656863893e-17	3.020500796603302e-14
zgc:101715	456.289851159299	2.443002584426305	0.2896453634314398	8.434461216585548	3.327320756493955e-17	3.1950201454619335e-14
banf1	2214.5962602468335	1.7004789632333408	0.2042592340689554	8.325102025298303	8.42561417879636e-17	7.722841359792209e-14
LOC137496284	85.57321886155376	4.599464908755876	0.561149448931356	8.196506149146227	2.474746289232866e-16	2.169706909668728e-13
rpa1	798.6995728730617	1.442466739381881	0.1781587772879048	8.096523569258972	5.65520247194512e-16	4.751548243615556e-13
ube2t	118.62882928877917	3.684532820823026	0.4560879325891722	8.078558009430875	6.553709682997027e-16	5.286222230305402e-13
vrk1	386.4051489172818	1.6048908749496444	0.20144245361481253	7.966994276283145	1.6258019165410037e-15	1.2609344479634362e-12
lgals9l1	1992.3675879247799	2.455349796095893	0.3090412128128476	7.9450561747013	1.9410280354609593e-15	1.4496603827803794e-12
foxm1	113.08913238099997	3.129183186157296	0.39823388797832693	7.857651698209057	3.914018476353607e-15	2.8187922348453747e-12
tyms	265.81922533980867	2.5380250183452047	0.3236390114926771	7.842147974187073	4.429039966875528e-15	3.079710032139483e-12
fen1	299.0470981933299	2.359189427575904	0.3022217406762981	7.8061539262417625	5.895956565334124e-15	3.80762599078139e-12
skp2	92.32159882313813	4.646407504569975	0.5952093609151479	7.806341448370399	5.887194994295645e-15	3.80762599078139e-12
zgc:194101	958.8616894849764	3.948089893536505	0.5059668381593232	7.803060587724322	6.042352179767145e-15	3.80762599078139e-12
ncapg	255.13083226917814	3.244462405321571	0.41777448311281085	7.766061682722434	8.096413472940626e-15	4.947399323692355e-12
pclaf	237.37698846913761	3.0036622288718218	0.3885869904133359	7.729703523210744	1.0779733958667301e-14	6.393333390486063e-12
nup93	792.8134816663966	1.4345383106479497	0.18623568742019916	7.702811048299432	1.331051095406847e-14	7.668755811108306e-12
slc29a2	122.33582072742713	2.7098727427447997	0.3520723523922087	7.696920034567215	1.3938506290677189e-14	7.807499426430709e-12
rpa2	405.3810687903847	1.9812413522038335	0.25833106094432495	7.669388825956268	1.7281781645083354e-14	9.418570996570429e-12
pold1	392.5689926949928	2.058593602852272	0.2691311325074399	7.649035559999228	2.0249224332397204e-14	1.0745410754283936e-11
haus8	69.48204646072375	2.5791213526438583	0.3373772871636638	7.644620579904986	2.0956234664664417e-14	1.0835448000332256e-11
stat2	2570.4296175187187	-2.262138411964601	0.2961953073237811	-7.637320227669175	2.2178939437923808e-14	1.1180957844143339e-11
