Description	p.adjust	Count	log_padj	mean_log2FC	n_up	n_down	gene_list	fc_list
2'-deoxyribonucleotide metabolic process	0.0052479646427504075	5	2.2800090996061235	1.0950110195223048	4	1		
DNA biosynthetic process	7.139654988712804e-4	11	3.146322774234814	1.7659332838218083	11	0		
DNA conformation change	1.1370003083139753e-5	12	4.944239417547059	1.5483213092453025	11	1		
DNA damage checkpoint signaling	1.757207269004901e-4	12	3.7551770088655223	1.913834035937253	12	0		
DNA damage response	3.275829930123286e-22	91	21.484678653409254	1.7253184942184208	88	3		
DNA duplex unwinding	2.2443351904080523e-5	10	4.648912280894684	1.7740405272860273	10	0		
DNA geometric change	2.2443351904080523e-5	10	4.648912280894684	1.7740405272860273	10	0		
DNA integrity checkpoint signaling	2.47960440523644e-6	15	5.605617600757237	1.899662807556693	15	0		
DNA recombination	1.4304268622136061e-16	47	15.844534342786412	1.7807004544865745	47	0		
DNA repair	1.2539783481398332e-21	77	20.901709962201135	1.791123878067274	76	1		
DNA replication	6.756168780259623e-37	65	36.17029950957175	1.702886412682309	64	1		
DNA replication checkpoint signaling	0.00789790960621397	5	2.102487841192932	1.644255176228279	5	0		
DNA replication initiation	1.217243073603607e-13	17	12.914622688011718	1.7792362497962775	17	0		
DNA strand elongation	2.2718473665904812e-7	10	6.643620849930307	1.7737075596370024	10	0		
DNA strand elongation involved in DNA replication	4.795374663037189e-8	10	7.31917745570228	1.7737075596370024	10	0		
DNA synthesis involved in DNA repair	0.040938704328815904	5	1.3878659064646715	2.133767341930547	5	0		
DNA-templated DNA replication	2.59700577747537e-26	43	25.585527084208632	1.7770143423840783	43	0		
DNA-templated DNA replication maintenance of fidelity	2.2443351904080523e-5	10	4.648912280894684	1.8140712693199934	10	0		
G2/M transition of mitotic cell cycle	1.2118466799743746e-6	14	5.9165523226227625	2.2155517220426404	14	0		
attachment of spindle microtubules to kinetochore	0.0032943938425388656	6	2.4822244824531845	2.235817994670188	6	0		
autophagy	0.046953473106760665	24	1.3283322778320739	-0.8390606841301661	4	20		
carboxylic acid transport	0.017069872115300765	23	1.7677697325365402	-1.2182430962175754	4	19		
cell chemotaxis	2.6316180118908587e-4	23	3.5797771497721778	1.2146226896634766	18	5		
cell cycle DNA replication	1.3160738598886613e-11	14	10.880719736829995	1.8774427645254914	14	0		
cell cycle G2/M phase transition	4.730334953853603e-6	14	5.325108105888004	2.2155517220426404	14	0		
cell cycle checkpoint signaling	9.6915513935989e-12	26	11.013606696865692	2.049166679537735	26	0		
cell cycle phase transition	4.557263218102454e-14	45	13.341295886741648	1.9239086049041438	44	1		
cell division	4.496368463999835e-14	62	13.347138106841783	2.0374594264184815	62	0		
cellular response to biotic stimulus	0.04636106330554937	9	1.3338466119138557	0.38369924024537927	5	4		
cellular response to chemokine	8.610770404458743e-5	13	4.06495799053969	1.1986026484435761	10	3		
cellular response to cytokine stimulus	0.006954232320229092	23	2.1577508049227916	0.9026500015050007	17	6		
cellular response to estrogen stimulus	7.954953346276173e-8	14	7.099362363033645	-3.0585129049384294	0	14		
cellular response to hormone stimulus	0.004977451614060266	26	2.3029929530682605	-2.290210609899678	1	25		
cellular response to interleukin-1	0.003379972551734093	9	2.4710868265504	1.3378740797538429	7	2		
cellular response to lipopolysaccharide	0.08634176448241944	8	1.0637790803363645	0.5576371011937145	5	3		
cellular response to molecule of bacterial origin	0.09751524323487412	8	1.0109274916311688	0.5576371011937145	5	3		
cellular response to tumor necrosis factor	0.005403053538980446	10	2.2673607290055804	1.3143366573509712	8	2		
cellular response to type II interferon	8.702367352810902e-4	10	3.0603625877944713	1.3410106280218168	8	2		
cellular response to xenobiotic stimulus	0.014380340195013995	13	1.8422308397480083	-1.5914560632995935	0	13		
centriole assembly	0.0014559654381595833	8	2.836848934222659	1.6858141781035072	8	0		
centriole replication	0.02532242080253597	6	1.5964947784758565	1.6293250042770897	6	0		
centromere complex assembly	3.6536285789242506e-9	12	8.437275604307626	1.834263528479258	12	0		
centrosome cycle	6.93099627226109e-5	15	4.159204334732025	1.817855906118008	15	0		
centrosome duplication	0.06514399430313457	7	1.1861256161944242	1.7560795344924742	7	0		
chemokine-mediated signaling pathway	2.8003975241513063e-4	12	3.5527803149823476	1.167946944118955	9	3		
chromatin organization	0.022683262707124327	35	1.644294477389887	1.4253787754175185	33	2		
chromosome condensation	2.8577380916307114e-4	10	3.543977576304916	2.0802623476198177	10	0		
chromosome localization	0.0017148578504504756	9	2.765771874060616	2.236141363029183	9	0		
chromosome organization	1.4758909246296544e-29	76	28.83094573775815	1.8369528798708468	75	1		
chromosome organization involved in meiotic cell cycle	0.04719669570943507	6	1.3260884057174365	1.9956106695084823	6	0		
chromosome segregation	1.405798739462108e-37	74	36.85207685043816	1.9827718498846347	73	1		
chromosome separation	5.95920290054765e-7	12	6.224811827347816	2.1241886080852592	12	0		
cytokine-mediated signaling pathway	0.00820111546830466	22	2.086127073374518	0.8724763151943631	16	6		
cytokinesis	0.08561271224556308	13	1.0674617441055956	1.9212579445573144	13	0		
