Description	p.adjust	Count	log_padj	mean_log2FC	n_up	n_down	gene_list	fc_list
chromosome segregation	1.405798739462108e-37	74	36.85207685043816	1.9827718498846347	73	1		
DNA replication	6.756168780259623e-37	65	36.17029950957175	1.702886412682309	64	1		
mitotic cell cycle process	6.756168780259623e-37	96	36.17029950957175	1.900499806631723	94	2		
nuclear chromosome segregation	6.54164652403775e-30	52	29.184312926552725	2.031170990757428	52	0		
chromosome organization	1.4758909246296544e-29	76	28.83094573775815	1.8369528798708468	75	1		
nuclear division	3.163169189865037e-28	61	27.4998775781571	1.945769504543333	60	1		
sister chromatid segregation	1.259933620292949e-27	43	26.89965233512044	1.9776928055857448	43	0		
organelle fission	1.590005426912705e-26	63	25.79860139336872	1.894670405778457	61	2		
DNA-templated DNA replication	2.59700577747537e-26	43	25.585527084208632	1.7770143423840783	43	0		
mitotic sister chromatid segregation	2.6913836990701514e-24	38	23.570024382314337	2.047006685997649	38	0		
DNA damage response	3.275829930123286e-22	91	21.484678653409254	1.7253184942184208	88	3		
mitotic nuclear division	1.1447626334534245e-21	44	20.941284554955683	1.9683945132982226	43	1		
DNA repair	1.2539783481398332e-21	77	20.901709962201135	1.791123878067274	76	1		
regulation of cell cycle process	1.5170086035831067e-17	56	16.81901195614269	1.9036728140108226	55	1		
DNA recombination	1.4304268622136061e-16	47	15.844534342786412	1.7807004544865745	47	0		
double-strand break repair via homologous recombination	1.4583453956132987e-16	34	15.836139605205927	1.7725035297491403	34	0		
recombinational repair	2.1017043947550302e-16	34	15.67742836763918	1.7725035297491403	34	0		
cell division	4.496368463999835e-14	62	13.347138106841783	2.0374594264184815	62	0		
cell cycle phase transition	4.557263218102454e-14	45	13.341295886741648	1.9239086049041438	44	1		
DNA replication initiation	1.217243073603607e-13	17	12.914622688011718	1.7792362497962775	17	0		
