Description	p.adjust	Count	log_padj	mean_log2FC	n_up	n_down	gene_list	fc_list
2'-deoxyribonucleotide metabolic process	0.010867861375779303	6	1.963855909830708	2.2032846809742836	6	0		
DNA biosynthetic process	2.1129771563368279e-4	16	3.6751051981348564	2.120159816702756	16	0		
DNA conformation change	2.3963357343799742e-4	14	3.620452335959657	1.8904013465689977	13	1		
DNA damage checkpoint signaling	1.374511150737624e-5	18	4.861851732587209	2.297309137843608	18	0		
DNA damage response	1.117377771198038e-38	160	37.9517999726233	1.8482792267407135	149	11		
DNA duplex unwinding	1.340463577992015e-4	12	3.872744981824318	2.10562553932121	12	0		
DNA geometric change	1.340463577992015e-4	12	3.872744981824318	2.10562553932121	12	0		
DNA integrity checkpoint signaling	5.870009854275676e-7	21	6.231361169680161	2.3052853846826946	21	0		
DNA recombination	4.897910329274438e-22	72	21.30998917018268	2.154290850306664	71	1		
DNA repair	1.8160056306806576e-41	140	40.74088280924569	1.8984978055826096	133	7		
DNA replication	7.958956612775235e-42	88	41.09914386279187	2.139930300852439	87	1		
DNA replication checkpoint signaling	2.869966609996824e-4	8	3.5421231559414377	1.9712113379755136	8	0		
DNA replication initiation	3.371013183409462e-13	20	12.472239549030263	2.253911113761223	20	0		
DNA strand elongation	2.4466348166094526e-8	13	7.6114308483706745	2.1635671984095803	13	0		
DNA strand elongation involved in DNA replication	3.5894047719650364e-8	12	7.444977564146931	2.2355629715329424	12	0		
DNA synthesis involved in DNA repair	0.02621951949627286	7	1.581375271533401	2.4735243102087465	7	0		
DNA-templated DNA replication	1.2655026127883861e-36	63	35.89773695384954	2.153401082269738	63	0		
DNA-templated DNA replication maintenance of fidelity	2.6581827216681984e-9	17	8.575415169260571	2.170707542237895	17	0		
G2/M transition of mitotic cell cycle	1.3706793501920123e-5	17	4.863064129987611	2.7357093847990224	17	0		
RNA 3'-end processing	0.050250544561491535	15	1.2988592274643023	1.5142143381687154	15	0		
RNA export from nucleus	0.01470353822456837	14	1.832578145081397	1.2218543324141	14	0		
RNA localization	0.01972771562785676	20	1.7049232009948327	1.355815782601158	20	0		
RNA splicing	0.08520141877830253	52	1.0695531732795724	1.3029216504361767	52	0		
RNA splicing, via transesterification reactions	0.019124063238250902	44	1.7184198288761643	1.31469570971798	44	0		
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	0.019124063238250902	44	1.7184198288761643	1.31469570971798	44	0		
RNA surveillance	0.0050199609309577965	7	2.2992996628421256	1.3200621009432074	7	0		
RNA transport	0.006348421311916226	20	2.1973342590802734	1.355815782601158	20	0		
RNA-templated DNA biosynthetic process	0.01242664778032428	7	1.9056460110892623	1.6450882012649557	7	0		
acyl-CoA biosynthetic process	0.08310711429401246	8	1.080361797318376	-0.7186222665875968	2	6		
acyl-CoA metabolic process	0.015650576916106735	16	1.8054696487332726	-0.9156231239696913	4	12		
acylglycerol biosynthetic process	0.017237214372445873	8	1.7635329171901841	-1.5673562920955086	0	8		
acylglycerol metabolic process	0.09041523855174786	13	1.043758367520149	-1.6355116016842048	0	13		
alcohol biosynthetic process	3.694212766897612e-5	25	4.432478095136021	-1.4890381583540162	3	22		
alcohol metabolic process	1.8843790993695096e-8	50	7.724831721393488	-1.2474491182963463	6	44		
alpha-amino acid catabolic process	0.0825006998597174	18	1.083542367281297	-1.3388199367622082	2	16		
alpha-amino acid metabolic process	0.0931610945282448	30	1.0307654176815324	-0.9101899455444513	7	23		
amine metabolic process	0.08729478266133119	12	1.0590117119542757	-0.7106583923209623	4	8		
amino acid catabolic process	0.08604452331652325	20	1.0652767670459657	-1.3541874799250435	2	18		
anaphase-promoting complex-dependent catabolic process	0.01242664778032428	7	1.9056460110892623	1.6356621504946611	7	0		
aromatic compound catabolic process	0.05935059212446025	49	1.226574943851717	0.3873667005167214	31	18		
attachment of spindle microtubules to kinetochore	0.01242664778032428	7	1.9056460110892623	2.831732500864838	7	0		
autophagy	0.09704592897194865	37	1.0130226783292169	-0.8120057568587614	7	30		
base-excision repair	0.05376875591780234	8	1.269470011956655	1.8990386305248639	8	0		
carbohydrate derivative catabolic process	0.06032506624528692	23	1.2195021925033578	-0.6154466922469343	5	18		
carbohydrate metabolic process	0.02281716631476662	59	1.6417382920069878	-1.0685578323395646	8	51		
carbohydrate transport	0.06032506624528692	13	1.2195021925033578	-0.7439466475320989	4	9		
carboxylic acid biosynthetic process	0.04984033103748467	33	1.3024190817727341	-1.2054521630061554	8	25		
carboxylic acid catabolic process	0.001690609132468493	38	2.7719567893471417	-1.296619218979501	3	35		
carboxylic acid transport	3.946195399469223e-5	45	4.403821414063495	-1.4671824702425302	6	39		
cell cycle DNA replication	2.8228745325471558e-9	15	8.549308424379952	2.5019316410087047	15	0		
cell cycle G2/M phase transition	1.374511150737624e-5	18	4.861851732587209	2.751267968301391	18	0		
cell cycle checkpoint signaling	1.691877628528007e-11	34	10.771631052158076	2.4661868182447697	33	1		
cell cycle phase transition	1.4797790860302846e-15	65	14.8298031149288	2.3022252682385904	62	3		
cell division	6.967191346994334e-12	85	11.156942261834798	2.5118681377873	83	2		
cellular aldehyde metabolic process	0.001166281571477576	15	2.9331965866470204	-1.4241200922263453	0	15		
cellular lipid catabolic process	7.659719611903021e-5	36	4.115787127656173	-1.1613333799938335	3	33		
cellular modified amino acid metabolic process	0.01015720023513714	18	1.9932259859493089	-0.90699126552908	2	16		
cellular response to chemokine	0.06601250608492681	12	1.1803737794708788	1.244790539260027	9	3		
cellular response to estrogen stimulus	6.198500281185911e-8	18	7.207713374758514	-4.159586616601126	0	18		
cellular response to hormone stimulus	0.004453053707006202	41	2.3513420669357483	-2.6924305121724426	1	40		
cellular response to type II interferon	0.022675755547304235	11	1.6444382335045418	0.886604774081761	7	4		
cellular response to xenobiotic stimulus	4.243040431485455e-9	32	8.372322829867283	-1.6188012828568679	2	30		
centriole assembly	7.839655889433469e-4	11	3.105702999636991	2.1510005763897206	11	0		
centriole replication	0.008644573132318423	9	2.0632564472548025	2.0657987367039605	9	0		
centromere complex assembly	4.568698551606746e-13	17	12.340207496287197	2.6118131000031517	17	0		
centrosome cycle	2.1129771563368279e-4	20	3.6751051981348564	2.3634598536140894	20	0		
centrosome duplication	0.022675755547304235	11	1.6444382335045418	2.1105339696592127	11	0		
cholesterol biosynthetic process	1.0449472706356037e-5	13	4.98090562405031	-1.3075727495935137	2	11		
cholesterol efflux	0.049838588597401305	7	1.3024342651658951	-1.5779415522318414	0	7		
cholesterol homeostasis	0.0542818007140137	9	1.265345753731755	-2.07573214499014	0	9		
cholesterol metabolic process	1.1351010284506127e-9	29	8.944965482835629	-1.2184319440763072	4	25		
cholesterol transport	0.0017954564723148883	14	2.7458251191163527	-1.369177201641818	1	13		
chromatin organization	0.0077363642486417295	60	2.1114630907023226	1.6575985509532292	55	5		
chromatin remodeling	0.027679888877836758	39	1.5578356577065797	1.6075086538469683	35	4		
chromosome condensation	0.00913289202384778	11	2.039391676888858	3.1219326871583073	11	0		
chromosome localization	0.00236459303208493	12	2.626243594515417	2.9660518771953144	12	0		
chromosome organization	1.4004987282521329e-33	108	32.85371728120909	2.3622033808233396	107	1		
chromosome organization involved in meiotic cell cycle	0.06648803636131967	8	1.1772564931884248	2.780121200342042	8	0		
chromosome segregation	8.804854700301484e-34	91	33.05527780646308	2.6470723850317945	90	1		
chromosome separation	1.164330847828814e-6	15	5.933923596172239	2.687379307828191	15	0		
circadian regulation of gene expression	0.0037701665611962255	13	2.4236394627887625	-1.3251913845854797	1	12		
circadian rhythm	0.013968372673150408	21	1.8548541866014425	-0.8736196033904856	5	16		
defense response to other organism	0.07152407081540542	59	1.1455477754991181	1.314796499792937	43	16		
deoxyribonucleotide metabolic process	0.01242664778032428	7	1.9056460110892623	2.208696495354099	7	0		
